,user_links,user_ratings,review_text
0,https://www.goodreads.com/user/show/1381799-sleeps9hours,Rating 2 out of 5,"I just read Kelly McGonigal's ""The Willpower Instinct"", so I can't help but compare the two.Duhigg is an investigative reporter for the NY Times, while McGonigal is a research psychologist, and the differences come across in the writing. McGonigal has a much better grasp on the research and how to apply it, while Duhigg brings in stories that are entertaining but stretch his powers of interpretation. His most annoying stylistic problem is that he breaks his stories up, stopping one to start another and then coming back to it later. I assume he's trying to add a sense of anticipation and drama to what should otherwise be a straightforward nonfiction book, but I found it frustrating for him to be jumping back and forth for no good reason.I did enjoy many of his stories though. The most interesting was in the section about social habits where he explains why the arrest of Rosa Parks was so influential while other black women at the same time had also refused to give up their seats but didn't spark much interest (Parks had social ties across dozens of groups, black and white, and knew some people of influence). The entire story of how Martin Luther King, Jr. became involved, and all the people who got the bus boycott rolling is so fascinating to hear in detail. "
1,https://www.goodreads.com/user/show/373260-k,Rating 3 out of 5,"Read this because of fascinating NYT magazine excerpt on how Target tracks our buying habits. The rest of the book is not as compelling -- anecdotes sometimes don't support particular arguments he's attempting to illustrate (the Hey-Ya examples being the most egregious), and his section on how social movements occur is weak and unconvincing, and not really about habits, per se. Style and structure were often clunky, and the book seems a bit muddled as its ultimate purpose. I dunno, I guess I was expecting slightly more substantial psychology or social science and instead got more of a book solidly for businesses/manager types and people on the beginning of their self-help journeys. But I fall into the latter category, so why am I pooh pooh-ing this book so much? I dunno. Maybe I am just jealous of how $$$ money this dude's gonna make at corporate speaking gigs. Anyway, lessons I'll take away -- *making your bed every morning and committing to regular exercise are two habits that can transform your entire goddamn life*Diagram about mouse brain activity spike post-reward eventually arriving prior to reward (the origin of cravings)*Changing habits requires identifying the cues and rewards that trigger and support the habit behavior, then trying out various substitutes for the behavior that might achieve the same reward*deliberate advance plans for responding to challenging situations can be extremely helpful (ex Scottish knee/hip replacement patients, Michael Phelps, Starbucks)*With more challenging habits like alcoholism or stuff related to football, true belief and submission to some higher purpose is necessary*in general, it's more effective to change others' habits if you make them believe they have some power or authority over their decision than if you coerce them with force *casinos are super evil"
2,https://www.goodreads.com/user/show/12827408-robert-chapman,Rating 5 out of 5,"This is great book, and you need to read it. How is that for a definitive opening line? The reason it’s such a good book is because it uses research to explain how habits are formed and changed. Everyone knows someone who was out of shape, or was a smoker, and then in what appeared as if almost overnight, changed themselves in a short period of time. How did they do that? They formed new habits and changed old ones, that’s how.Do something enough and it becomes a habit, good or bad. This is explained in the book by research on memory loss. For example, the research found that patients suffering from memory loss could not show someone where the kitchen is when asked, but once they got hungry the would get up and go to the kitchen automatically.This is made possible by the habit loop of cue, routine, and reward. The cue makes the brain find the routine as it anticipates the reward. A classic example is stress and smoking, the cue is stress, the routine is smoking, the reward is the feeling the cigarette brings.I was most interested in how the book described changing a habit. Let’s face it, we all have habits we want to change. To accomplish this we need to keep the cue and reward, but change the routine. I’ll use an example from my own life to illustrate. I love chocolate, and to make it worse I love to eat at it night. Well I love to eat at night because that is how I formed the habit some time ago. I used the guidance from this book to change that habit. I kept the cue and reward, but I changed the routine to use apples instead of chocolate.This logic flows into much larger problem sets such as organizations and communities. Focus on changing one thing, the keystone habit from which a cascade of other habits will form. The author illustrates this example by discussing how the company Alcoa was transformed by the keystone habit of a singular focus on safety.The book flows really well and uses research throughout to substantiate the concepts presented. The audience who can benefit from this book is vast, from individuals to corporates to governments."
3,https://www.goodreads.com/user/show/78485297-mario-the-lone-bookwolf,Rating 2 out of 5,"I was looking forward to a substantial, science and evidence based, compelling read, but just found many mixed up ego and self finding trips, business manager motivation yada, and some good points accidentally mixed in. Read Clear James` Atomic habits instead, it´s much better. What is really strange is that the chapters seem to follow a logical approach, if one orients her/himself as always first by the titles of the index, and it looks like they are dealing with the meta or concrete context, but are in reality just anecdotes, except of some technobabble about Target´s use of pattern recognition, AI, and behavioral science; I mean, why? Was it too difficult to pimp the already written material with the help of some experts to combine both nonfiction and autobiographical elements instead of this? It seems as if many people are getting their swift kick out of procrastination by material available in any newspaper column, youtube guru channel, or whatever, but I just don´t get the hype around it. Worst of it, with this social science mixup and freely interpretation of the stories in a highly subjective style he is entering the realm of, don´t be scared or stop reading and forget liking my review, https://en.wikipedia.org/wiki/Replica...You see, it´s sweet if some unique people with subjective mindsets and different characters deal with difficult situations in a positive way, but I don´t get the picture of how Duhigg can extrapolate this to universal ideas as if he would have used real scientific evidence of, let´s say, long term studies going over decades with millions of participants, or brain chemistry, neurology, or anything substantial instead of person XY had results YZ. This has absolutely no worth for the reader. There are a handful of useful tips one can take away, most of them available in shorter, better, free, and easier form available in many wikis (see end of the review) if one just searches for motivation, positive psychology, meditation, self reflection, behavior, etc. that don´t just repeat commonplaces. How he is trying to deal with addiction is pop psychology at it´s worst and that the book doesn´t really offer solutions, plans, or at least good sources for more research is the kicker, as it´s what the title and marketing are implying and promising. It´s not totally bad, but very, very overhyped and the sad thing is that people mind find it great to read this motivating stories, but without a concrete plan to self development and improvement, the motivation fades away as quickly as the memory of the redundant, convertible tiny tales. Oh, did I mention that reading the book has the lovely extra element of being belittled by a condescending, narcissistic writing style? A completely failed approach that depreciates the few, good elements in it and insults the reader. Ok, one more, it stigmatizes the victims of gambling, addictions, or shopaholics instead of just moving a centimeter (review written in Europe, sorry) towards asking why such unregulated industries can easily hunt down already weakened human game. Shame on you, gambler! Evil shopaholic! How dare you having an alcohol problem! That´s a wise, mature, and productive way of dealing with serious topics. Without this, I would have given 3 stars, but including own, restricted bias and agenda disguised as facts downed it to 2. Funny, just now that I am thinking about it, how each hard earned everyman bill has to be tracked down and taxed, while letting people lose everything within hours, the reasons for addictions, or brainwashing for consumerism is absolutely no problem and Duhigg is completely ignoring the structures producing the problems because he is so busy with victim blaming and shaming. Other authors stay objective or avoid such topics instead of superficially dealing with it to boost sales. I am pretty sure that some of the concepts and ideas won´t stand the test of time, as real science, medicine, and screening technology improve, and as they appear like very soft humanities stuff. A final subjective list of elements a good nonfiction book should at least have, that are quite missing in this one:A detailed plan how to DIY.Own theories that are defined as subjective opinions in the case of humanities or, and in natural sciences, proofed by many hard facts.New combinations of existing theories and ideas.Entertaining, very well written anecdotes. There is not much new under the sun and most fictional and nonfiction works are remixes and new interpretations of facts and tropes, but that doesn´t mean that it have to be loveless, average, wrong, and presumptuous concoctions. But thanks for extra training to deal with anger through cognitive techniques and quick meditations, at least it´s good for that.A wiki walk can be as refreshing to the mind as a walk through nature in this completely overrated real life outside books: https://en.wikipedia.org/wiki/Positiv...https://en.wikipedia.org/wiki/Motivationhttps://en.wikipedia.org/wiki/Behavio...https://en.wikipedia.org/wiki/Classic...https://en.wikipedia.org/wiki/Persona...https://en.wikipedia.org/wiki/Mindful..."
4,https://www.goodreads.com/user/show/1242918-rhianna,Rating 2 out of 5," This may be a crappy review since its going up via iPhone. Sorry. First caveat: I work in research. A big part of my job is creating these habit loops and seeing if they can be altered or enhanced via medication. Second caveat: I'm a nerd and love journal articles, scientific writing, and technical reading, even off the job.Third caveat: I only got to chapter eight. I honestly don't know what I was expecting. By far and large, when there's big buzz about a book I inevitably dislike it with very few exceptions. I was hoping for something smart and eye opening; a different, more personal take on habits and addiction (which is really what a habit is if you think about it), and I was let down mostly by the writing and anecdotes. I realize this book isn't intended for scientific review, but when there were so many teasing moments of talking about the research going on, I guess I just expected a little more substance in laymans terms. The biggest problem I had with the book was that I probably could have only read the first few chapters and have a total grasp of the theory. While some stories were interesting, they reminded me of Grandpa Simpson's storytelling. I don't think we needed so many examples that all said the same thing. Think of all the trees that could have been saved if a few were omitted. Don't get me wrong, it wasn't a bad read. People with a non-neuroscience background can enjoy it and will learn something from it. Although how to apply it to your life is pretty much missing from the book (unless it was in the chapters I didn't get to yet). Yeah, find a new reward to break bad habits, but how? It would have been interesting to see those suggestions. Overall, not horrible. Had it not been a book club read I wouldn't have picked it up of my own volition, but I'm not upset that I read most of it. I am upset that I kept reading hoping to get something different in the next chapter, which didn't happen. Just save the time and money and read his NY Times article (at least I think it was there) instead. "
5,https://www.goodreads.com/user/show/175635-trevor,Rating 3 out of 5,"I need to start with the obvious – this guy is one of those writers. One of those writers that make you want to track him down and hurt him. And not just him, maybe even his pets too. He assumes you are as thick as dog-shit and that you won’t get what it is he is talking about unless he makes it painfully (PAINFULLY) clear. He has missed his calling. He really should have gone into the self-help book market – let’s face it, assuming your readers are dumb in that market is just ‘responding to reality’. You might be wondering why I gave this book three stars, given I wanted to find ways to hurt the author. Well, the problem is that some of the ideas here are not insane, in fact, some are really well worth thinking about. It’s just that someone (someone who also needs hunted down, now that I think about it) has told this guy you need to ‘tell a story’. And while this is often excellent advice – you also need to remember that people are reading your book for a reason and that reason isn’t to cry over the last moments of a drug addict’s life or to find out how the skunk lady got laid. No, it is to find out about the affect of habits and what we can do to change the habits of a life time that are stuffing up our lives.I’ve been reading lots of Bourdieu lately. He talks of Habitus – what he calls the ‘feel for the game’, but basically the habits we have that are so unconscious we don't even know they are habits and so, therefore, have no idea what a huge part they play in shaping the kinds of people we are. So we tend to think that because we wouldn’t do something someone else clearly has done that automatically qualifies us for the golden stamp of merit. Whereas, so much of what we do in life is either non-rational or automatic – having those automatic structures implanted in us from no age is more a matter of luck than of rational deliberation.This guy stuffs up his argument at the end by not having the conviction of what his view on habits was telling him. He tells a long, long, long story of a woman that lost everything through gambling. Terribly sad and all that. But obviously this book is written in America and so nothing can come between the rights of rich people to take money from poor people. So, the fact that casinos do everything to manipulate you so that you end up with nothing is YOUR fault, not theirs – have you no self control? Have you no free will? I think this guy should read Sam Harris’s new book. Either that or he needs to also argue that it should be ok for drug dealers to offer kids drugs at schools and in the streets – if one is wrong it isn’t at all obvious why the other is right. And if not drugs to kids, then drugs to adults – unless I’m missing something the same argument applies.This book is quite chilling in that it explains – in very long and all too often boring detail, in fact endless bloody detail, just how companies like Target are targeting you and manipulating you to buy and buy and buy. Yet again this is presented as if it was nothing to be concerned about – but I struggled to read it as something I should just shrug and get over. When I first learned about data warehousing it sent a cold shiver down my spine – I have never had ‘Fly Buys’ or any other of those ‘loyalty’ programs that give those arseholes all of my details so they can work out how to better market to people like me. I’m manipulated enough in life without needing to provide billionaires with better weapons to trip me up.The information in this book is very worthwhile. But if you ever needed proof that Gladwell has lots to answer for, this book is Item A on the case for the prosecution. And what the hell is it about American Football? I hope to God it isn’t nearly as uninteresting to watch as it is to read about. No wonder Americans invade countries at the drop of a hat – anything to get away from two down on the thirty-first yard line with a wingback on a hiding to nowhere blah, blah AHHHHH!!!! "
6,https://www.goodreads.com/user/show/1651956-riku-sayuj,Rating 3 out of 5,"Nothing Succeeds Like Success: A Case StudyHey. Have you heard of Thomas Baker? How about Carol Wright? Chris Cameron? Vineet Shaw? Let us discuss Baker.Thomas Baker was an average joe, but not without ambitions. A few years ago, acting on a tip, Tom, a competitive enough guy, decided to take his life into his own hands. What’s more, he decided to pick up one more Self-help book and this time follow up thoroughly on it. No holds barred. He asked around, looked in that wonderful site and finally decided on what seemed to him like the best out there right now. The ratings seemed to be out of the world too. The author, in the intro, even tries to reassure him against feeling overwhelmed by the excess of research in the book. This is exactly the sort of help that Tom needed. Tom read the book with great diligence. He made notes and he made placards and he even bought magnets for his fridge and special sticky tapes for his mirrors. He knew this could work. He only had to believe.He changed his routines, identified and included habit-forming cues. He created them, he played around with them, he even had some fun. He was very inventive and imaginative. The author would have commended the effort if he knew. Tom decide that he would write to Duhigg about his success once it pays off. A month passed. Tom had made slight improvements but no major pay-off seemed to be in the offing. He chided himself for expecting windfalls. He reminded himself that these things take time. He kept at it.6 months now. Even the minor gains he had made originally have fallen by the wayside now. He had read the book thrice in this time, trying to reaffirm his faith. He was discouraged now but he kept at it.2 years. The book is long forgotten. But Tom had taken the trouble to document his experiences and had sent a detailed case study to the author. He had requested that it be included in the next edition of the book. He wanted the author to include a chapter on failures - on how it might not work for everyone. He wanted a caveat, a mild statement of warning that just because a book worth of case studies of success is presented, there is no reason to expect that any approach (no matter how good) might work for everyone. Humans would be fulfilling Asimovesque dreams if that were the case. He thought this would add depth and realism to an otherwise fine book.He did not even get an auto-generated acknowledgment slip. But that was ok, he had discovered a new Gladwell book on another airport aisle. Apparently, it is not just habits that doesn’t stick, lessons don’t either. "
7,https://www.goodreads.com/user/show/614778-ahmad-sharabiani,Rating 4 out of 5,"The Power of Habit, Charles Duhigg The Power of Habit: Why We Do What We Do in Life and Business is a book by Charles Duhigg, a New York Times reporter, published in February 2012 by Random House. The Habit loop is a neurological pattern that governs any habit. It consists of three elements: a cue, a routine, and a reward. Understanding these components can help in understanding how to change bad habits or form good ones. The habit loop is always started with a cue, a trigger that transfers the brain into a mode that automatically determines which habit to use. The heart of the habit is a mental, emotional, or physical routine. عنوانهای چاپ شده در ایران: «نقش و قدرت عادت‌ها در زندگی»؛ «نیروی عادت: علت آنچه در زندگی و کارمان انجام می‌دهیم چیست؟»؛ «قدرت عادت»؛ «قدرت عادت : چرا ما در زندگی و کار اینگونه عمل می‌کنیم؟»؛ «قدرت عادت: علت کارهای که در کسب‌وکار و زندگی انجام می‌دهیم»؛ «قدرت عادت: دلیل هر آن چه در زندگی و کسب و کار انجام می‌دهیم»؛ «قدرت عادت: چرایی کارهایی که انجام می‌دهیم و چگونگی تغییر دادن آن‌ها»؛ «قدرت عادت: قدرت عادتهای اثرگذار در چرخه‌ی زندگی»؛ ‬«قدرت عادت: چرایی کارهایی که انجام می دهیم، در زندگی و کسب و کار»؛ نویسنده: چارلز داهیگ؛ تاریخ نخستین خوانش: روز دهم ماه سپتامبر سال2014میلادیعنوان: قدرت عادت؛ نویسنده: چالز دوهینگ؛ مترجم: پروین بیات؛ تهران، هورمزد، سال‏‫1392؛ در335ص؛ شابک9786006958118؛ چاپ دوم سال1393؛ چاپهای چهارم تا هشتم سال1393؛ در352ص؛ چاپ دهم سال1394؛ در352ص؛ چاپ چهاردهم سال1396؛ چاپهای پانزدهم و شانزدهم سال1397؛ موضوع جنبه های اجتماعی عادت از نویسندگان ایالات متحده امریکا - سده21م‬عنوان: قدرت عادت: چرا کارهایی را در زندگی و کسب و کار انجام می‌دهیم؟ نویسنده: چارلز دوهیگ؛ مترجم: سکینه تقی زاده؛ اصفهان، گاهداد، سال1394؛ در340ص؛ شابک9786009382125؛عنوان: نقش و قدرت عادت‌ها در زندگی؛ نویسنده: چارلز داهیگ؛ مترجمها: ندا نایب‌پور، محمدرضا مینایی؛ اصفهان: آمیس، سال1395؛ در207ص؛ شابک9786005419795؛ عنوان: نیروی عادت: علت آنچه در زندگی و کارمان انجام می‌دهیم چیست؟ نویسنده: چالرز دیوهیگ؛ مترجم: علی هداوند؛ تهران پندار‌تابان‏‫، سال1395؛ در328ص؛ شابک9786006895598؛ چاپ دوم سال1396؛ چاپ سوم سال1397؛ چاپ چهارم سال1398؛عنوان: ‬قدرت عادت: چرایی کارهایی که انجام می دهیم، در زندگی و کسب و کار؛ نویسنده: چارلز داهیگ؛ مترجمها: مصطفی طرسکی، معصومه ثابت‌قدم؛ ویراستار: طاهره خیرآبادی؛ تهران نوین توسعه‏‫، سال‏‫‏‏‏‏‬1396؛ در329ص؛ شابک9786008738091؛ چاپهای دوم و سوم سال1396؛ چاپ هفتم سال1397؛عنوان: قدرت عادت : چرا ما در زندگی و کار اینگونه عمل می‌کنیم؟ نویسنده: چارلز دوهیگ ؛ مترجم: شهرزاد حکیم‌مختار؛ تهران معیار اندیشه، سال‏‫1398؛ در288ص؛ شابک9786005462746؛‬عنوان: قدرت عادت: دلیل هر آن چه در زندگی و کسب و کار انجام می‌دهیم؛ نویسنده: چارلز داهیگ؛ مترجم: الهام شریف؛ تهران : نسل نواندیش‏‫‬، سال1396؛ در344ص؛ شابک9789642369119؛ ‬عنوان: قدرت عادت: چرایی کارهایی که انجام می‌دهیم و چگونگی تغییر دادن آن‌ها؛ نویسنده: چارلز داهیگ؛ مترجم: اصغر اندرودی؛ کرج: در دانش بهمن،‏ سال1395؛ در342ص؛ شابک9789641741794؛ چاپ دوم سال1396؛ چاپهای سوم و چهارم سال1397؛عنوان: قدرت عادت؛ نویسنده: چارلز دوهیگ؛ مترجم: فروزنده دولتیاری؛ تهران: چابک اندیش، سال‏‫‏‏‏‏1397؛ در352ص؛ شابک9786005861259؛‬‬‬عنوان: قدرت عادت؛ نویسنده: چارلز داهیگ؛ مترجم: طیبه شیخی؛ قم: دارالفنون بوریا، سال‏‫1398؛ در270ص؛ شابک97862295661؛عنوان: قدرت عادت: علت کارهای که در کسب‌وکار و زندگی انجام می‌دهیم؛ نویسنده: چارلز دوهینگ؛ مترجم: زهرا شاه‌قلعه؛ قم: آوای بیصدا، سال‏‫1398؛ در368ص؛ شابک9786009926459؛عنوان: قدرت عادت: قدرت عادتهای اثرگذار در چرخه‌ی زندگی؛ نویسنده: کارلس (چارلز) دوهیگ؛ مترجم: مرجان فرجی؛ تهران،رشد، سال‏‫1398؛ در440ص؛ شابک9786003511248؛ کتاب «قدرت عادت» یکی از کتابهای پیروزمند روانشناسی است، که نخستین بار در سال2013میلادی توسط «چارلز دوهینگ» نگاشته شد، و به زودی از پرفروش‌ترین کتابهای «نیویورک» شد؛ «دوهینگ» در این کتاب بیان می‌کند، که این عادت‌های ما هستند، که زندگیمان را شکل می‌دهند، و «قدرت عادت» و تأثیر آن در زندگی انسان را بازنمایی می‌کنند؛ و در پی آن موضوع را بیان می‌کنند: (اگر انسان بتواند عادت‌های خود را تغییر بدهد، می‌تواند رفتار و زندگانی خود را نیز تغییر دهد)، و در پایان نیز الگوهایی برای دیگر کردن عادت‌ها ارائه می‌دهندتاریخ بهنگام رسانی 21/03/1400هجری خورشیدی؛ 01/01/1400هجری خورشیدی؛ ا. شربیانی"
8,https://www.goodreads.com/user/show/1586355-c,Rating 1 out of 5,"This long-winded book explains how habits form in individuals, organizations, and social groups. Despite the intriguing premise, the verbose anecdotes left me screaming, “I get the point already!” A better book (or article) would have resulted from taking the appendix (a short, practical guide to changing a habit) and adding some of the psychological research and a few brief examples. (After I wrote this review, I discovered Charles Duhigg's New York Times article, which is basically what I described). The book’s moral is a respectable one: once you’re aware of a bad habit, it’s your responsibility to change it.My favorite case study was the one about Target using predictive analytics and behavioral research to personalize its marketing to each shopper’s habits.• A habit is a cue that triggers a routine that results in a reward.• Habits can’t be eradicated; they can only be replaced.• The Golden Rule of Habit Change: to replace a habit, keep the cue and reward but replace the routine.• “For a habit to stay changed, people must believe change is possible. And most often, that belief only emerges with the help of a group.”• Studies show that willpower is a finite resource; it's like a muscle that tires with use. Willpower can be increased by exercising self-discipline. Increasing self-discipline in one area of life increases it in other areas.• To introduce new habits, “sandwich” them between existing ones so they feel familiar.• Habits are most susceptible to being altered when your life changes. Having a baby is the event that produces the most habit changes."
9,https://www.goodreads.com/user/show/6237864-nandakishore-mridula,Rating 4 out of 5,"I remember reading a story by the famous Malayalam writer Padmarajan called Oru Sameepakala Durantham (""A Tragedy of Recent Times""). It tells of a housing colony in Kerala, bitten by the exercise bug in the early eighties. Someone gets up before sunrise and starts jogging. Soon, he is joined by more and more people until the whole colony is out running, every day. This leaves the houses unattended which comes to the notice of a group of thieves: and they conduct a spate of early morning robberies. The people of the colony, even after a couple of houses are robbed, continue their morning ritual - they can't stop, even after they know that their houses may be invaded any time.Padmarajan ostensibly wrote this seemingly absurd and Kafkaesque story to make fun of the urban animal, blindly following the latest fad. But he may have more true to life than he thought.Such is the power of habit.------------------------------This book by Duhigg, if you can get past the unnecessarily prolix prose, says a very simple but significant thing: habit is what drives you. From picking your nose to gambling away your life's savings, ingrained habits hard-coded into your brain makes you tick. It follows the ""cue-routine-reward"" loop as illustrated below:(Cue = a certain time; routine = eat a cookie; reward = diversion from work)Habits are not endemic to people alone - organisations and societies also have habits, which why they are so resistant to change.The key to getting rid of a destructive habit is to replace it with a constructive one. In the loop illustrated above, the cue and the reward would remain the same, but a different routine can be substituted. See below:(Here the routine of ""have a drink"" is replaced with ""have a chat"")This is easier said than done, however: it requires real effort to identify a habit, and great will power (which can be cultivated, according to Duhigg) to change it. But it can be done. Successful individuals have changed their lives by changing destructive habits: successful executives have turned around companies by changing corporate habits: and leaders have transformed societies. Examples abound in this book.And please note: supermarket chains and gambling dens monitor our habits and feed those which will drain our pockets and maximise their profits.------------------------------This book is well worth a read. I only wish that the author had cut the fluff and trimmed it down to a slimmer volume. But then, the HABIT of writing needlessly long books among American journalists is one that dies hard."
