,user_links,user_ratings,review_text
0,https://www.goodreads.com/user/show/91520258-jack-edwards,No Rating,brb sobbing atsomeone will remember us i say even in another time
1,https://www.goodreads.com/user/show/8645302-anna-of-readsrainbow,Rating 5 out of 5,"if i weren't already a lesbian, this would turn me into one
someone will remember usi sayeven in another time
"
2,https://www.goodreads.com/user/show/6431467-s-penkevich,Rating 5 out of 5,"Fuck me up, Sappho"
3,https://www.goodreads.com/user/show/30800-oriana,Rating 5 out of 5,"I love this book so much that I copied out some of the best lines in thick sharpie onto a shirt that I wore so often it's now terribly stained and faded and rather hard to read. An interesting cyclical thing, sort of, given the flimsiness of what remains of Sappho's works. Also, I once had a writing teacher who said we should follow the ""Sappho rule"": every word of your writing should be so good that if there was a great flood or conflagration and only snippets of lines survived, there would still be great beauty and intensity in what was left. Kind of a tall order, but given the state of publishing today, I'd say it's needed now more than ever. "
4,https://www.goodreads.com/user/show/32804270-michael,Rating 5 out of 5,"Intimate, piercing, and incisive, Sappho's fragments are as enrapturing as they are reflective. The subjects of her lyrics range from musing about forbidden love to reveling in the passing of time. Paradoxically, the soft musicality of the poet's phrasing pairs extraordinarily well with the intensity of the emotions she describes in her lyrics: at once the fragments read as tender and visceral. Carson's edition makes for an ideal introduction to Sappho's work, as it clearly marks the many gaps in her extant verse. Whereas editions that don't format the fragments tend to transform Sappho into a kind of sparse Imagist, If Not, Winter forces readers to remember that most of the poet's work has in fact been lost or destroyed."
5,https://www.goodreads.com/user/show/49374500-kimberlina,Rating 4 out of 5,only by the power of lesbians could i get out of my reading slump
6,https://www.goodreads.com/user/show/52545435-elle-ellexamines,Rating 5 out of 5,"
(137) I want to say something but shameprevents meyet if you had a desire for good or beautiful thingsand your tongue were not concocting some evil to sayshame would not hold down your eyesbut rather you would speak about what is just
Sappho (c.630-c.570BCE), one of Ancient Greece’s Nine Lyric Poets, is an absolutely gorgeous poet and writer, one who’s been the subject of much academic discourse. Sappho was a complicated woman. Believed to have written 8 or 9 books, her lover Megara, daughter Kleis, and enemy Andromeda all appear within these texts. Through this translation, Anne Carson attempts to convey the best of her work, through both presentation—sometimes the spacing makes the poem, as with verse 26—and wording, as she discusses in her final notes of the book. For me, half the appeal of this edition was the work put into translation notes by Carson. Her insights on poem 137’s use of the extremely loaded term aidos (shame), and poem 142’s use of the term hetairai (friend) to connote an intimate relationship with a woman, each deepen the meaning of the poem. I also appreciated Carson’s commentary on 16, 55, 94, and 98. I particularly loved her choice to end on the brief verses, page after page of lines with no context beyond. Each line may be brief, but together they are infinite. Carson points out that Sappho associates desire with death, an idea that—interestingly enough—is also a function of queer theory in later times. Lee Edelman would, in his iconic 2004 book No Future, argue that because queerness cannot produce the patriarchal ideal of a Child, it is fundamentally defined by a drive towards death. Though I think this can easily become an oversimplification when applied to the ancient world, I couldn’t help but think of this when reading her poetry. If desire is death, what does it mean that through her poetry, her desire has kept her alive? There is something particularly powerful about a note in Anne Carson’s introduction, where she discusses the fact that much of our remaining knowledge of Sappho comes from references—other ancient artists quoting Sappho, discussing her works, creating poetry inspired by her. I wondered, reading this, what our future histories will look like: Which lines will survive? Which will not?A few of my highlights are listed below. ____(16) Some men say an army of horse and some say an army on foot and some men say an army of ships is the most beautiful thing on the black earth. But I say it isWhat you love.(22)Because I prayedthis word:I want. (26)]frequently]for thoseI treat well are the ones who most of all]harm me]crazy]]]]you, I want]to suffer]in myself I amaware of this]]](55) Dead you will lie and never memory of youwill there be nor desire into the aftertime—for you do not	share in the rosesof Poeroa, but invisible too in Hades’ houseyou will go your way among dim shapes. Having been breathed out. (69)]]sinful](94) I simply want to be dead. Weeping she left mewith many tears and said this:Oh how badly things have turned out for us. Sappho, I swear, against my will I leave you. …(96)…]into desire I shall come(138)stand to face me belovedand open out the grace of your eyes(158)with anger spreading in the chestto guard against a vainly barking tongueI also really enjoyed fragments 23, 31, 74B, 91, 93, 95, 104B, 120, 126, 129B, 137 (commentary here) and 147. I know I’ll return to this collection again, and I’m sure different poems will resonate with me each time. Regardless, I adored this, and am honored to have spent some time with Sappho in 2021. Blog | Youtube | Twitter | Instagram | Spotify | About |"
7,https://www.goodreads.com/user/show/72975-marley,Rating 5 out of 5,"I took high-school Latin, as perhaps a couple of my recent reviews have mentioned. The first poem they ever had us translate in our AP Catullus/Horace class was Catullus' half-translation (""inspired by?"") of the second-most-complete Sappho lyric I think we have: Sappho 31. It's perfectly preserved as far as it goes, because it's in someone else's book and quoted in full in Greek, except that it very likely cuts off suddenly. As Carson translates the original, it begins ""He seems to me equal to gods,"" (I now paraphrase) that lucky man who is standing in front of you and getting to hear your sweet voice. It's every high school crush rolled into one, double-strength for adults. The awe there of a particular type of love from afar. And having your voice stopped up, just as the poem goes on to say. Really, it's the run into the third stanza, which came through just as overwhelming in my own half-proficient high school translation out of Latin when I was 17, that gives me shivers:for when I look at you, even a moment, no speakingis left in meno: tongue breaks and thinfire is racing under skinand in eyes no sight and drummingfills ears.(Nobody seems to be sure whether this stray last line was a mistaken addition in a later copy or whether the jerk of a grammarian we got it from decided to break off one line into another stanza--and Catullus' copy doesn't help either, because after some very gorgeous poetry, he breaks off somewhere ENTIRELY differently right at this point -- starts grumbling about how all this desire is probably just a sign he's got too lazy a schedule. That's the Roman in him, even though no other Roman appreciated Sappho like Catullus did--all his love poems are to ""Lesbia,"" after Sappho's homeland, which had at the time more sensual and artistic than solely homoerotic connotations.) The PointAnyway, this is a long, nerdy, Goodreadsy introduction, but there's a reason: a poem nearly 2,600 years old, not even in its original language, not even in its entirety, and originally written as a song but with the music lost aeons ago (one wonders whether this is what will happen to Bob Dylan one far-away day)--what I am saying to you is: all these qualifiers, all this in between us and the original impact, and me bored in high school, and it still knocked me flat on my ass.And now you realize there is only one other poem in better shape (from a book of her work as late as the 8th century, which KILLS me that she survived in good shape over 1,000 years but couldn't last more), and every single other one in existence is in pieces--some still getting you most of a through-line, others just one or two or three words. Shattering.And of course, this is exactly what Carson plays up, translating every tiny snowflake of parchment we've ever been able to trace to Sappho, every time some stodgy grammarian or hokey philosopher quotes half a line to keep his audience from falling asleep--and showing you as best she can how much is lost, and how much you can tell through this incredibly hazy lens how fantastic a poet she clearly was.And I'm getting frustrated, because this input form has eaten half my review twice already (starting to feel like our subject, here), but I'm going to lay out what this means if it kills me:The way Carson shows you the gaps are with the power of ASCII art: brackets, brackets everywhere. Left hand page is always the Greek, laid out in the SHAPE of what remains, brackets to show the yawning gaps in the ripped or torn or blotted parchment, and to show the little interpolations that remain. Right hand page is her English--still using brackets, but gesturally, to give you a sense of the ""papyrological event,"" as Carson says in her introduction--and desperately trying to translate only the words that remain, to show you that lack that is also need that is also desire.How else to behold:]noble]taking]sing to usthe one with violets in her lap]mostly]goes astrayand realize even those few words come from two full stanzas we will never see, and not go as silent as the lover in that first poem I mentioned, trying to grapple with the passion for life that still blazes out of this gorgeous, tragic confetti?"
8,https://www.goodreads.com/user/show/5114433-liz-janet,Rating 4 out of 5,"""Someone will remember usI sayeven in another time""Sappho was an ancient Greek poetess from the island of Lesbos, but little is known of her life, with mostly fragments of her work surviving, which are often not taken as biography. So little of her works survives, that it is known she was exiled from Lesbos after the rise of Pittacus, but very little of her political standing has been discovered. “yet if you had a desire for good or beautiful thingsand your tongue were not concocting some evil to sayshame would not hold down your eyesbut rather you would speak about what is just” Sappho wrote with wit and sharpness, but so soft and beautiful, that I would love to listen to her fragments being sung, they create a space of peace within me. It makes me happy. “Evening you gather backall that dazzling dawn has put asunder:you gather a lamb, gather a kid,gather a child to its mother.” It is to say, that a poem written 2 millennial ago, by an ancient woman, not to my eyes in its native tongue, and not even in its entirety, still survives and is widely read, loved, admired, and studied, is to show the magnificence of the author."
9,https://www.goodreads.com/user/show/138125050-li-reading,Rating 5 out of 5,I bloody love anne carson
