,user_links,user_ratings,review_text
0,https://www.goodreads.com/user/show/4622890-emily-may,Rating 4 out of 5,"
“The face you give the world tells the world how to treat you.”
There is something deeply unhealthy about this book. It's in the characters, in the story, in the relationships, in the sex, and just in the general mood of the novel. Reading this made me feel a little unwell, both physically and mentally, but I am glad I did. If you know me, you'll know I love complex characters with issues that feel raw and real, rather than melodramatic. The people in this novel are majorly fucked up, no one is without a dark past and everyone, it seems, has a horror story.The protagonist - Camille Preaker - was just thirteen when her sister died and fuelled by grief (amongst other things) Camille spent her teen years carving words into her flesh, covering almost every inch of her body with the marks of her pain. Ten years later, Camille Preaker is now a journalist who returns to the small town of her youth to report on the murders of two young girls - girls who had had all of their teeth removed.Camille is soon caught up in the town once again, she tries to get along with the mother who never loved her and establish a relationship with the troublesome half sister she hardly knows. It seems that once again small towns hold the biggest secrets and Camille finds herself getting dragged deeper and deeper into the investigation, her fragile state of mind constantly threatening to tip her over the edge.This is one mean and nasty book. I knew I was getting a dark, psychological thriller, but I expected something on par with In The Woods by Tana French. Um, not exactly. Flynn never shies away from the horrific details. You're not going to find anything pleasant in this story; sex, for example, is always something complex - it's an escape or a bargain or a catharsis. Everything else is similar.Flynn does a fantastic job of challenging the notion that women are weak, innocent, damsels in distress. In a world where women are victims - both in their media representation and in statistics - this is a very interesting look at other kinds of women. It's programmed into us to believe that women are safer, kinder, built with an instinct that makes it difficult for them to be cruel and cause pain without reason. Maybe we were always wrong.Last updated: April 2016Blog | Facebook | Twitter | Instagram | Youtube | Store"
1,https://www.goodreads.com/user/show/1127870-simon-cleveland-phd-edd,Rating 1 out of 5,"The razor blade on the front cover of the book is what one yearns for right after embarking on this read, sharp blade with which to cut every single page, one by one, until they are so neatly shredded that even the memory of what was written on them becomes non existent. And then, one can use the same razor to end one's own life. I'm still unsure what the author was thinking when she began this book, unless she had some very deep and very disturbing mental issues to work through. This book is dangerous and not because it excites one with a thrilling and suspenseful story. It is dangerous because once one reads it, one loses any desire to look for another book that may restore one's faith in the existence of good books with an uplifting charge. Not only is this book dangerous, but it is sick. Its underlying sickness is that it's emotionally draining and unless readers are looking to load up on more mental baggage (I can't think of anyone who doesn't have enough), I'd stay away from its pain. The main character is a female reporter who returns home on an assignment (covering the serial murders of two little girls). As memories of her painful childhood emerge, readers find a lot more about her character, for example her alcoholic addiction and her obsession to carve words into her own flesh. Waves of her unresolved issues wash away further hopes of a challenging literary work as readers are practically dragged into her problems (not loved enough by her mother, not popular enough in school, not motivated enough in her work) and are subjected to the anguish of either feeling sorry for her or wanting to end her existence. As disturbing details of the two murders resurface, readers are introduced to yet two more characters as equally unpleasant as the first. There is the psychologically unstable (almost emotionally poisonous) personality of her mother and the pathologically sinister and equally disturbed one of the teenage sister. And of course there are the endlessly problematic and mentally crushing details of the small-town's Midwest America (why would one want to read this is beyond my understanding). This book robs one of smiles, of the beauty of life, and even of the reason for love. It is not only bitter, but leaves one with an unpleasant smell of what I'd like to call rotten feelings. I can't brand the book dull (as it did leave me with unwanted thoughts), but I can promise you that you'll feel dull once you've read it. I don't recommend it, but may compare the feelings I have for it to what Chuck Palahniuk's 'Choke' birthed in me."
2,https://www.goodreads.com/user/show/721021-randomanthony,Rating 4 out of 5,"Last week I read the fuck out of Gillian Flynn's catalog. Three novels in eight days while my wife and kids were out of town and a sweltering late July marooned me in one of the house's two air conditioned rooms. So although this review is primarily for Sharp Objects, my favorite of Flynn's trio, let me go on record with Gone Girl (four stars, go read another of the zillion of reviews) and Dark Places (three stars, maybe too many narratives perspectives and too willing to wallow in the muck) as well, but I'm not writing reviews for those two. Sharp Objects, to me, stands out as Flynn's best so far. The narrator and the storyline don't dance with each other in a seamless, synchronized manner; family history and unwritten community norms mosh-pit it up until the collective response to the murders reminded me of that Soundgarden video where all the faces go funhouse-mirror-y. This narrator isn't a shining heroine. She's very human, supremely fucked up, trying to make sense and move forward. Maybe that's what makes Sharp Objects so interesting. Highly recommended, Sharp Objects is the kind of book one could characterize as a summer read. This is the rare novel that both devoted and casual (yes, that sound you hear is me turning up my nose) readers will appreciate, as long as they can handle the psychological darkness. Good for any season, not just a summer read, even. My nose just turned up a little higher. I better stop now before I'm looking at the ceiling.(By the way, if I haven't said so yet, Gillian Flynn is knee-weakening cute.)"
3,https://www.goodreads.com/user/show/100759205-kat,Rating 4 out of 5,sweet jesus.
4,https://www.goodreads.com/user/show/32879029-emma,Rating 4 out of 5,"BEST GILLIAN FLYNN BOOK. By a mile. Sorry, Gone Girl, you are no longer welcome here. (Just kidding I'm going to reread it in one absolute second but will it be as good as this book? No, it will not. Probably. We'll see.)This is so CREEPY and the writing is so visceral and it's so unique. There have probably been thrillers like this one since this one, but definitely not many before. There are so many characters that are just hopelessly fascinating. Like, all of them, basically. Any time the protagonist gets into a conversation with any human person it's a goddamn treat because everyone is so interesting and confusing and you just want to know everything about everyone!!!Flynn also has this fantastic crazy writing style that you feel and picture so hard. Very Virgin Suicides. There are turns of phrase in this book I read four times and promptly filed away as ""you will remember this at random points for the rest of your life.""I don't even know what to say beyond this is a whole new level of good. You have no idea. If the HBO adaptation doesn't do it justice I will goddamn picket the home of Amy Adams with a protest sign but also HOW COULD IT DO IT JUSTICE.I'm a mess. And I'm not even mad about it.Bottom line: How is this Gillian Flynn's first book??? How is this any non-deal-with-devil-having person's first book????? How is this a book?????-------------currently-reading updatesme: yeah i can reread this before the show premieres...even though i haven't finished a book in almost a week...and i have to read another book in its entirety today for school....and the show premieres in less than 9 hours. sure no problem!!!! gillian flynn come thru"
5,https://www.goodreads.com/user/show/30604861-emma-giordano,Rating 2 out of 5,"2.5 Stars. Unfortunately, I did not love this book and it is probably my least favorite of Gillian Flynn's work. As this was her debut, I'm happy to say I feel her later works show great improvement and a lot of strength.CW: self-harm, sexualization of children, murder, child abuse (I don't normally put content warnings under spoilers but this warning is so integral to the ending AND it's so specific that I don't want people attacking me for spoiling the book) Munchausen By Proxy I think Gillian Flynn is a brilliant writer, but it was quite obvious that Sharp Objects was her debut. Her prose remains easy to engage with, but it is much more simplistic compared to her later works. That being said, the writing was one of the elements I actually appreciated in this story.I didn't particularly love the plot of the story. The idea of children being murdered and a journalist having to return to their small hometown was super intriguing to me, but the execution fell flat in my opinion. The ""darkness"" I constantly see associated with this book is definitely present - this book is not for the faint of heart, but truthfully, the story was boring in my opinion. I understand some people love small-town stories that focus on gossip and rumors, but it's not my cup of tea. I was missing the exhilarating plot twists from Gone Girl and Dark Places. It was very slow and for the most part, anticlimactic to me. I felt there were so many opportunities for more enticing, eventful scenes to be included but it was taken over by bland character interactions.The big reveals/plot twists are difficult to discuss because my experience is an amalgamation of ""This is surprising"" and ""This is expected."" I feel the best way to describe it is I felt the resolution of the story was clever and well constructed, but it was partially anticipated. I feel the minute details surrounding the resolution were stronger than the big reveal itself if that makes sense. Additionally, the ending felt very rushed as the truth of the mystery is revealed through Camille recollecting the events instead of being shown actively through the story. I think it would have been much stronger had we followed the revaluation in real-time along with Camille's initial reactions as opposed to having the events relayed to readers at a later time. Again, I feel this is a marker of this novel being Flynn's debut work and I can confirm that there is little ""telling, not showing"" in her future books. Overall, I wasn't a fan of Sharp Objects, I think it just wasn't for me, but I'll continue to love Gillian Flynn's work."
6,https://www.goodreads.com/user/show/11057966-alex,Rating 5 out of 5,"Little buddy read with Her Majesty La Lionne and Jerry on January 31st!! :DThis is my third Gillian Flynn book, after Gone Girl and Dark Places. The first one blew my mind, the second one freaked me out a little and this one really scared me. Sure, after reading 5% of it I was like --a creepy story with the potential of giving me special nightmares, but by 90% I was likeWTF did I just read??All the characters were disturbing, especially even the children. Allow me to start with Camille. She's a reporter, a writer. She's practically obsessed with words, even if they are scribbled on her skinand not necessarily with a pen or marker, if you get my drift. You see, Camille used to be a cutter. She's a little better now, but you never know what can make her snap and get back to her old habit.I can't say I liked her. I hated the way she used Richard and John, her lack of reason, her irresponsibility when she took X with Amma, her 13 year-old half-sister. Yes, Camille, I get that you're fucked-up, but you're 30, get a grip or see a therapist!Amma, Camille's 13 year-old half-sister, is a piece of work.It sure would, sweetie, it sure would...I hated her with a vengeance for countless reasons, but most importantly because she was a little bitch, in all the senses of the word. Adora, the matriarch of the family, Camille and Amma's mother, was also a vision to behold: a bad mother suffering from Münchausen syndrome, who felt the need to bring another child into the world, after Marian, only to smother her in torture and drive her to madness and eventually murder.Who's left? The only character I remotely liked was Richard, the cop. He was hot. He would have been so good for Camille. But noooo, she just had to ruin it all by becoming a cradle-robber under the convenient pretext that she felt the need to comfort and be comforted. As much as the characters annoyed and disturbed me, I enjoyed the story very much. It was shocking, unexpected, creepy, not funny at all and extremely well-written. I will definitely be reading more of Gillian Flynn's novels!5 stars!! "
7,https://www.goodreads.com/user/show/48727754-chan,Rating 4 out of 5,holy shit
8,https://www.goodreads.com/user/show/47627265-kaylin-the-re-read-queen,Rating 1 out of 5,"1 StarOverview: I should have known better. I don’t have an excuse.I read Gillian Flynn's other book, Gone Girl, last year—and wasn’t a fan. Everyone raved about it, but I found the characters shallow, the plot twists weak, and the narrative so busy being cynical it didn’t seem to know what it was trying to say. Nevertheless, I’d heard great things about Gillian Flynn’s writing. So I went into this with an open mind--- maybe I had just started with the wrong book! But I really should have known better.  When I wanted to DNF this around 13% of the way through, I should have trusted my instincts and realized Flynn's writing just isn't for me. But I kept seeing reviews talking about “the twist” and how the ending was the best part. So I persevered. Safe to say, I didn’t like this. Actually I think I disliked it more than Gone Girl. *language and mature themes ahead, due to the nature of this book* Pros: I don’t like to rate things so low. I really don’t, and I rarely do it. I was initially going to round this up to a two-star, but I realized I didn't have a real reason. I have 'criteria' for all my ratings and in order to earn two-stars from me, a book has to contain some elements I liked. This contained a handful of descriptions I liked. That’s it. At points in the text, Flynn compares a new-found murder victim’s appearance to that of a baby doll, with mouth open and ready to suckle. This was an incredibly creepy simile that I thought painted the scene quite clearly. Then later, Flynn describes a woman as having “hips like antlers.” In regards to the bony prominence that juts out against the rest of the woman's body. Again, I thought this was an incredibly inventive description that also perfectly illustrated the character. Cons: Oh boy. Here we go. What were these characters supposed to be? Every single character was filled with an intense hatred and cynicism about everything. They were all incredibly violent, shallow people with no other defining characteristics They were all very boring, flat people who just seemed to be awful without any motivation. It seems Flynn’s work relies upon a belief that all people are inherently evil and selfish—which is a popular theory in itself that I’ve seen in a wide variety of fiction. But the characters still need to make sense.  Everything was needlessly dark? Like I just don’t understand?I don’t have a problem with darker books. I think a story can be just as dark and twisted as the author feels it needs to be, as long as it still tells the story well This just seemed to include random gritty details or supppppeeerrr intense descriptions. The main character’s struggle with mental health problems and self-harm (is this a spoiler? It’s pretty evident from the book’s blurb) was never discussed in any sort of nuanced way. Instead, it’s used almost as a plot device to show just how “edgy” this book is. I don’t mind profanity or adult material in adult books. But the over-abundance of it in this book, again, just seemed like it was trying to hard to be gritty or “edgy.” Everything was needlessly sexualized even when the conversations or characters didn’t call for it at that time. This book was too short to be so boring The pace was irrationally languid despite the intense subject matter, and it felt like it took chapters and chapters for the characters to stop just discussing things and for things to actually happen. There’s been a fairly large amount of controversy surrounding the way Gillian Flynn, a self-proclaimed feminist, writes her female characters.You have those who think it’s problematic all of her female characters are such awful people: Like The Huffington Post and others.And then you have those who believe all her characters are horrible people, and that feminism means allowing for female villains and anti-heroes:  Including Flynn herself.  I won’t be touching upon this controversy too much, as I don’t think there’s very much I can say that hasn’t already been discussed. I personally want female villains and anti-heroes who are just as complex as their male counter parts—which I didn’t find in this book where all the characters were so shallow. There were a few things that did seem problematic:-	The main character calls a man a “sexist, liberal lefty practicing sexual discrimination” for believing a drunk woman having sex with an entire football team without her explicit consent was sexual assault. Even when when it was revealed the woman was a minor. -	This entire quote:  “Sometimes I think illness sits inside every woman, waiting for the right moment to bloom. I have known so many sick women all my life. Women with chronic pain, with ever-gestating diseases. Women with conditions. Men, sure, they have bone snaps, they have backaches, they have a surgery or two, yank out a tonsil, insert a shiny plastic hip.”  -	The whole book is filled with the assumption that woman are either so fragile they are sick and broken all the time, or that they just love the attention of being sick. I understand a large part of this was related to the situations Camille was raised in and her mother, but it extended to every other character as well. -	“Women get consumed. Not surprising, considering the sheer amount of traffic a woman's body experiences. Tampons and speculums. Cocks, fingers, vibrators and more, between the legs, from behind, in the mouth.”  WOMEN ARE NOT COMMODITIES THAT GET CONSUMED. The implication that a woman can be ‘run-down’ based off the amount of things she’s had in her orifices is completely disgusting.I guessed whodunit less than halfway through. The reasoning was interesting, though the way it was all revealed match the same odd, explicit tone as the rest of the story.  In Conclusion:  Safe to say, I will not be reading Dark Places."
9,https://www.goodreads.com/user/show/1526851-will-byrnes,Rating 3 out of 5,"Camille Preaker is a young Chicago reporter with a troubled past. When a second young girl goes missing in her home town, Wind Gap, MO, Camille’s fatherly boss sends her down to get the inside scoop. Who says you can’t go home again? Well, maybe you can, but would you really want to? There is a reason she is in Chicago, instead of Podunk, MO, and the danger for Camille lies as much with her delicate psychological state, a product of her childhood, as it might with a psycho-killer on the loose. ""Qu'est-ce que c'est ?""Wind Gap is home to an array of characters left over from GCB, (Yes, I know it was published before the show) Stepford and Village of the Damned, and mix in a bit of Mommie Dearest and Cruella de Vil. Sounds like fun, no? Sorry to disappoint, but not so much. Gillian Flynn - Image from Orion BooksLess than a year ago a young girl was found dead, floating in a stream, strangled, with her teeth removed. Now a second girl, about the same age, has gone missing and folks are fearing the worst. Well, duh-uh. ‘Ere long the body is found wedged in a foot-wide space between two buildings, sans pearly whites. The game is afoot.Camille has to cope with an uncooperative local Sheriff and then try to get some, any information from the very cute Kansas City detective who had been brought in to help out. Camille is presented as a dish, and there is definite sexual tension between the reporter and the town’s visiting investigator. Ok I really first wrote “between the reporter and the town’s visiting dick”, but my wife (who does not have the mind of a 12 year old boy) shamed me into removing it. Usually she does not see my material until it is on line but had expressed curiosity about the book, so got a preview.Amy Adams as Camille Preaker – image from NY TimesCamille makes the rounds, visiting the families of the victims, reconnecting, for good or ill, with her former schoolmates, most of whom seem never to have heard of the women’s movement. But the largest connection for Camille in Wind Gap is her childhood home, inhabited by her mother, stepfather, and half-sister. Cue thunder and lightning, creepy music, and under the chin lighting. Mom, ironically named Adora, has the warm presence of a guillotine and Camille’s stepfather, Alan, appearing in various costumes, seems to need only a pinky ring and fluffy white lap cat to complete the cartoon. We all know what happens when we return to the houses in which we were raised. We regress. Come on, admit it. We behave like the children we once were. At the very least we feel the tug of those urges. In Camille’s case, her home life was, shall we say, lacking. Her little sister, Marian, had died when Camille was kid. Attempting to cope with that and some other issues, she took to a bit of long-lasting self-destructive behavior. In case the razor on the cover of this book is not obvious enough, Camille is a cutter, or was, anyway. Not just lines, but words. And the words on her skin pop into her mind as she digs into her research and takes on the psychological challenges of her home town. We learn early on that she had spent some time in rehab attempting to overcome her addiction. The Camille we meet here may be scarred, but is trying to carve a less destructive path forward for herself. It is a challenge, and represents a parallel set of mysteries. How did the adolescent Camille reach a place where she felt it necessary to indulge in such harmful behavior? What’s the deal with her family? Camille has to figure out not only the secret of the two murders, but her own history.Eliza Scanlen as Amma CrellinHer background makes it easier for her to relate to her thirteen-year-old stepsister, Amma, who knew both the dead girls. They share some traits. Like Camille as a kid, Amma (a word that usually means “mother”) is a mean-girl group leader, headstrong, bright, and not someone you would ever cross. Amma is physically precocious, and behaviorally far beyond that. She can usually be seen with her girl-pack, laughing at funerals, or, metaphorically, kicking cripples. Adding to the creepshow atmosphere, and keeping the cutting notion sharp, there is a slaughterhouse in town. One particular scene resonated a lot. In the slaughterhouse, sows are positioned on their sides, with absolutely no room to maneuver, and piglets are brought to the captive females to nurse. It is not an inducement to eating bacon. It so happened that I had seen a film, Samsara, the day before reading the book, in which this very scene was shown. In the book, an added element is that a young girl sits and watches this with unnatural pleasure.We learn more about the victims in time, and it is a somewhat fun ride. But every now and then Camille does or says something that makes you shake your jowls like Louis Black approaching a punch line and burble out a WTF? And those moments take one out of the story.Patricia Clarkson as Adora CrellinThere is clear evidence of talent on display. I liked the prefiguring of the opening in which Preaker is looking at her latest story, about a crack-addled mother who abandoned her kids. Mothering figures prominently in the story. Using a slaughterhouse to echo the cutting Camille practices on herself, and maybe some other horrors as well, may have been a bit heavy-handed, but fine, ok. Having Camille carve words into her skin definitely seems over the top to me, a bit of literary license, but fine, ok. I enjoyed the fun noir twang with which Flynn begins her story, but it seemed to fade quite a lot over the course of 254 pages. Fine, ok. And for fun, Camille, who has been known to hoist a few, manages to visit what seems every bar in town. I took it to be a running joke, but I am not 100% certain. Fine, ok. I felt a lot of fine, ok here. There is some sex, a fair bit of sexiness, some serious creepiness, a bit of satisfaction to be had in the procedural elements of finding this out, then that. But while there may have been satiric intent at work, the characters were either too inconsistent, too thinly drawn or even cartoonish to invest much emotionally. Sharp Objects may have been the bleeding edge of Flynn’s career as a novelist, and it is not a bad first cut, but it left me hoping that she would apply her obvious talent with finer lines next time, maybe use some subtler shades and etch more believable characters, give us material we could dig into a little deeper. The images (except for the author’s) are from the HBO mini-series made from the book.=============================EXTRA STUFFLinks to the author’s personal, Twitter and FB pagesMarch 23, 2013 - GR pal Peg clued us in to a wonderful piece Flynn wrote for Powell's, that goes a way to illuminating her literary choices. If you read this or other books by Flynn, this short piece is MUST READ material. BTW, Powell's moved the location of this file. Thanks to sharp-eyed Marty Fried, it is linked again.NY Times - Gillian Flynn Peers Into the Dark Side of Femininity - by Lauren Oyler - Nov. 8, 2018"
