,user_links,user_ratings,review_text
0,https://www.goodreads.com/user/show/4622890-emily-may,Rating 4 out of 5,"Update: I had planned to leave this post as it is, but after seeing the continued kind responses, I thought it best to inform you that my grandad passed away just before Christmas. Thank you to everyone who commented about this review and about him, but it seemed wrong to not let you know. It's always hard to lose someone who has been such a huge part of your life from day one, but please know that he died a happy old man, peacefully, surrounded by his family. And isn't that the best any of us can ever hope for?~ Emily ♥ .......................................................................I'm going to share something with you.My grandad is the very definition of curmudgeonly. He's an eighty year old man who likes to complain about anything and everything: youth today, UK politics, my dad, the weather, technology... you name it. He calls me and my siblings up most days to tell stories punctuated with rants and numerous ""bloody hell""s. I'm not worried about him seeing this post because he doesn't trust computers and hasn't even grasped the concept of the internet. Most new technology is referred to as ""those bloody things"", except for FaceTime, which he has recently taken a liking to. He makes use of it by popping up on my iPhone multiple times a day to deliver a bout of doom and gloom in which I see nothing on the screen but his chin. All my friends are a little afraid of him and are never quite sure when he's joking. He is nothing short of a grumpy old man. Except, in truth, that's only half of it.The other day I opened the mailbox to find an envelope which contained this picture of me and him from my graduation:And with it came this note:Thing is, behind whatever my grandad may seem on the outside, he is a loving man who lost his wife - my grandmother - several years ago. He bugs us constantly with his moaning about life because he's lonely and because he misses us. He has a heart and he has a sense of humour, even if most people don't really get it. And it was in Ove, the protagonist of this novel, that I recognized pieces of my grandad.

“People said he was bitter. Maybe they were right. He’d never reflected much on it. People also called him antisocial. Ove assumed this meant he wasn’t overly keen on people. And in this instance he could totally agree with them. More often than not people were out of their minds.”

I loved Ove. Parts of this novel punched me right in my emotions. I think I would have been okay if this novel was merely a sad, moving tale about a man who has to get on with his life after his wife died. I could have shaken off the emotional manipulation - as I did with The Fault in Our Stars - and not shed a tear. But this story is so much more than a tearjerker.Ove shouldn't be a character we love; he's so miserly and grumpy and skeptical of everything... but he's also hilarious. He charms us with his completely uncharming ways. Because, though I don't share his worldview, what he says actually makes sense and sometimes it's really funny. Take this:
“Ove glares out of the window. The poser is jogging. Not that Ove is provoked by jogging. Not at all. Ove couldn’t give a damn about people jogging. What he can’t understand is why they have to make such a big thing of it. With those smug smiles on their faces, as if they were out there curing pulmonary emphysema. Either they walk fast or they run slowly, that’s what joggers do. It’s a forty-year-old man’s way of telling the world that he can’t do anything right. Is it really necessary to dress up as a fourteen-year-old Romanian gymnast in order to be able to do it? Or the Olympic tobogganing team? Just because one shuffles aimlessly around the block for three quarters of an hour?”
Plus, there's a wonderful cat who our lovable protagonist grudgingly befriends, which just improves this book even more. I think perhaps the saddest part of this book is not found in the most obvious place. Ove's loss of his wife touched me, but I was even more affected by the underlying tale of old age and how many old people can be left feeling lonely and out of place towards the end of their lives. How difficult it must be to live alone in a world that becomes more foreign to you every day, with its new gadgets and trends that you don't understand or care to entertain. It was moving and thought-provoking.I'm going to call my grandad now.Blog | Leafmarks | Facebook | Twitter | Instagram | Tumblr"
1,https://www.goodreads.com/user/show/13400128-lynda,Rating 5 out of 5,"""Death is a strange thing. People live their whole lives as if it does not exist, and yet it's often one of the greatest motivations for living. Some of us, in time, become so conscious of it that we live harder, more obstinately, with more fury. Some need its constant presence to even be aware of its antithesis. Others become so preoccupied with it that they go into the waiting room long before it has announced its arrival. We fear it, yet most of us fear more than anything that it may take someone other than ourselves.""― Fredrik Backman, A Man Called Ove""For the greatest fear of death is always that it will pass us by. And leave us there alone.""― Fredrik Backman, A Man Called OveI'm sitting here this afternoon, alone. Alone and contemplating. Contemplating life. Contemplating time. Contemplating age. Just contemplating...I do so with tear streaked cheeks. I've just finished crying. I've just parted with a man I've never met, yet a man I feel I know so well. A man I disliked in the beginning, yet a man I loved at the end. A man who spent his life contemplating. A Man Called Ove. Ove (pronounced 'Oo-veh') is a cantankerous, taciturn, inflexible man. He's a veritable stick in the mudslide of human advancement, futilely rebelling against it. He thinks himself surrounded by idiots, with people always disappointing him. Over the years he has been conned, ripped off and harrassed, mainly by bureaucrats (""the men in the white shirts""), whom he despises. He is a man who lives life fairly and squarely but finds himself beset by injustice and bad luck. Ove has certainly had his fair share of sadness. At 59, he's lost his job as well as the love of his life, his wife Sonja. He misses Sonja so much that sometimes he can't bear existing in his own body. 
""Loving someone is like moving into a house. At first you fall in love with all the new things, amazed every morning that all this belongs to you, as if fearing that someone would suddenly come rushing in through the door to explain that a terrible mistake had been made, you weren't actually supposed to live in a wonderful place like this. Then over the years the walls become weathered, the wood splinters here and there, and you start to love that house not so much because of all its perfections, but rather for its imperpections. You get to know all the nooks and crannies. How to avoid getting the key caught in the lock when it's cold outside. Which of the floorboards flex slightly when one steps on them or exactly how to open the wardrobe doors without them creaking. These are the little secrets that make it your home.""
“People said Ove saw the world in black and white. But she was color. All the color he had.” ― Fredrik Backman, A Man Called OveLife has got to the point where Ove's had enough. He is fed up. So fed up that he simply wants to end it all. He wants out of this world.A Man Called Ove essentially calls out the dangers of living in a society that focuses more on thought than action, and highlights the risk of imprisoning oneself in grief. There is a sombreness to this novel (afterall, it's from Sweden! :-) ), but there is also optimism and lots of laugh out loud humor. 
“Ove glares out of the window. The poser is jogging. Not that Ove is provoked by jogging. Not at all. Ove couldn’t give a damn about people jogging. What he can’t understand is why they have to make such a big thing of it. With those smug smiles on their faces, as if they were out there curing pulmonary emphysema. Either they walk fast or they run slowly, that’s what joggers do. It’s a forty-year-old man’s way of telling the world that he can’t do anything right. Is it really necessary to dress up as a fourteen-year-old Romanian gymnast in order to be able to do it? Or the Olympic tobogganing team? Just because one shuffles aimlessly around the block for three quarters of an hour?”
I simply adored this book. Backman's writing is clean and simple, at times deceptively so, with its gentle, episodic and occasionally repetitive structure. The story is laced with loneliness, with life's numerous disappointments and the great grey weight of the real; the last chapters deliver some unexpectedly savage emotional blows. But this is tempered with a sense of quiet celebration.A note of hope threads through the writing, building slowly, and the small details as much as the grand narrative delight and move: the moments of connection, the reawakening of a man frozen by grief, the ability of people to touch one another's lives.This is a MUST READ. It will resonate with everyone."
2,https://www.goodreads.com/user/show/8665845-debbie,Rating 2 out of 5,"Argh! It’s hard not to start this review with a bunch of expletives, because this book pissed me off royally! Shit! See, I can’t even hold it in. The cat and the fat were the straws that broke the camel’s back. Let’s start with Ove not liking the cat. Not liking the cat is one thing. For some reason bitching about a cat is supposed to be funny, but to me it’s annoying. Ove kicking the cat a couple of times cranked my wincing up a notch. But there was a way worse cat crime: Ove was going to leave the cat to die in a snow bank! The neighbor saw the cat and saved it, while Ove looked on with annoyance. So Ove isn’t just grumpy, he’s heartless--seriously mean. And then miraculously, yet still predictably, Ove comes to like the cat and suddenly they’re best friends. At least the story’s predictability saved me from fretting incessantly about the cat.Cat problem number 2: The author, Backman, is completely absolutely totally clueless when it comes to cats. Cats are known for not being adaptable. Yet here is a stray cat; i.e., probably unsocialized and skittish and scared of people, who immediately and happily jumps into Ove’s car and accompanies him on all his errands. I mean the cat actually goes into stores with him! What??? I’ve met maybe one cat that doesn’t hate riding in a car. You usually can’t even coax a cat into the car, but if you do succeed, the second the car starts moving the cat freaks out. And it’s highly unlikely that the cat would follow its new person into a store, full of strange people, sounds, smells, and objects; it’s just ludicrous. When the cat walked into McDonald’s with Ove, that was the last straw. And never mind that restaurants don’t even allow pets (including Sweden). The writer should have made the animal a dog instead of a cat, or should have talked to a cat person before writing the book.The next huge bitch I have is the way the author talks about the big guy, Jimmy. Ove makes a disparaging comment about the guy letting himself get fat. So at first, I thought, okay, so Ove doesn’t like fat people; he doesn’t like anyone, so that’s not surprising. But I quickly see it’s the author who has a problem. When the author first introduces Jimmy, he’s referred to a “quarter-tonner” who, the author says, probably tests bacon for a living! The author mentions something about Jimmy’s weight every single time Jimmy enters a scene. For instance, the author says something like “the overweight man gets into the car.” That’s like saying every time a non-overweight person gets into a car, “the height-weight proportionate man gets into the car.” Not only is it obnoxious that the author points out Jimmy’s weight every chance he gets, but isn’t it bad writing to repeat, time after time, the same feature of a particular character? He’s overweight, we get it. The author’s prejudices and insensitivities are shining through, and they aren’t pretty: Jimmy either has food hanging out of his mouth, or has food spilled on his clothes, or he’s looking for food. I hate to tell the author, but most overweight people are not slovenly and they often don’t even eat in public. His prejudice against overweight people was prominent and infuriating.But I’m not done. Let’s talk about Ove’s transformation. First, why in the hell would an upbeat woman fall in love with the jerk? Talk about an unlikable character! And why would any neighbor put up with his shit? Not believable, sorry. Second, how would his personality change over just a couple of months? People don’t transform that fast, if at all. But most important, I want to know why someone who is grumpy and mean becomes a super star when he simply turns into a civil human being. Why is he being rewarded, praised, adored, and esteemed because he finally becomes civil? Why does he get extra credit for acting civil, like everyone else is doing all along?Okay, there are a couple of fine things about the book. Ove is so well drawn, I believed every nasty word he uttered. Also, the language is good, and the story moves along seamlessly. But there are many structural and logistical problems. One time the same paragraph appears three times within 20 pages. Another time, a character disappears from a scene. This all points to a careless editor and writer. Debut book or no debut book, it shouldn’t be this sloppy.I wish I had better news. Those who aren’t bothered by cat and fat insensitivities might find Ove to be interesting and funny, and the book entertaining. I didn’t. The majority of reviews are positive. It just hit me all wrong. "
3,https://www.goodreads.com/user/show/71848701-miranda-reads,Rating 5 out of 5,"

Shout out to this absolutely fabulous book in my 
 latest booktube video
 - all about the best books I read each month and 2019's bookish stats (and yes, I really did read 365 books in 365 days!).Now that you know this one made the cut - check out the video to see what other ones made my top 12 list!The written review: 
 He went through life with his hands firmly shoved into his pockets. She danced.
Ove is the quintessential grumpy old man. He lives in a little development, where he spends much of his time patrolling and reporting rule-breakers.Even when he was younger, Ove has always been...particular. He had a steward set of principles and absolutely compromised them. 
Men are what they are because of what they do. Not what they say.
 But then...Sonja came into his life.
She just smiled, said that she loved books more than anything, and started telling him excitedly what each of the ones in her lap was about. And Ove realised that he wanted to hear her talking about the things she loved for the rest of his life.
And immediately, Ove's life was forever changed.
Ove had never been asked how he lived before he met her. But if anyone had asked him, he would have answered that he didn’t.
But, after many, many blissful years of marriage, Ove is grieving. Grieving far harder than he ever would have thought possible. 
Death is a strange thing. People live their whole lives as if it does not exist, and yet it's often one of the great motivations for living.
Ove has always been grumpy, but since the loss of his wife, those characteristics have grown tenfold.Most, if not all, of the neighbors avoid him as much as possible...and with nothing left for him, all Ove can think about is finding a way to join Sonja...that is until a young family moves in next door. The bumbling husband and his young (and VERY pregnant wife), Parvaneh, move in, along with their two children. And suddenly his world becomes upended for the second time in his life.Three points:1) where has this book been all my life?!2) according to the audiobook, he's ""Oo-vah"". It's weird, and I'm honestly disappointed that it's not ""Love"" but without the ""L""3) this is, quite possibly, the best book everTo summarize - this one was truly one of the best books I've ever read. It is so well-written and it's has the perfect blend of heartwarming and heartwrenching. I can hardly believe how many times I almost cried...only to burst out laughing. My emotions were a roller coaster in the best way possible.The characters were incredibly real - I really felt like I could have a full conversation with all of them.And Ove! Ove is a charming old grump - and I love how this book emphasizes humanity - how even the old man down the street needs love in his life.It's just so good - PICK IT UP TODAY!Audiobook CommentsRead by George Newbern - and he really nailed it. The audiobook was so perfect - so incredible!YouTube | Blog | Instagram | Twitter | Facebook | Snapchat @miranda_reads"
4,https://www.goodreads.com/user/show/42130592-chai,Rating 5 out of 5,"When I finished reading this book, I closed it very gently, as though the pages were flesh that might be bruised. Something about the moment felt very fragile, and it was hard to immediately identify how I felt then: a fierce sense of joy swiftly yanked back by the leash of a sadness still incipient, a grief that had not sunk in yet. There’s a hollowness in me now, a rawness that only a novel like A Man Called Ove leaves behind. A Man Called Ove traces the story of Ove, a cranky 59-year-old Swedish man who lost his wife, then his job. Ove’s first suicide attempt is interrupted by his very pregnant and very blunt Iranian neighbor, Parvaneh, and her annoyingly sunny husband who seems determined to aggrieve Ove by not properly parking his car, and later, for the rest of the novel, by a series of comically mundane happenings “that made [Ove] sufficiently angry to hold his attention.”From such a tragic and simple premise, Backman crafts an unforgettable story about love, loss, family and friendship, with all their risks and rewards. This is probably not the best reading material for your commute, because (and speaking from experience) you will likely find yourself too immersed in your reading to remember your stop.One of the most impressive elements of this novel is the way Backman nails that perfect mix of tragedy and comedy, allowing the reader to experience fierce joy even when the story probes real grimness. He never comes off as irreverent or disrespectful, but nor does he allow the story to become too unbearably sad. The reader senses from the outset a very deep compassion between protagonist and author, and it's contagious. Ove is a very special character, and it takes, I think, a rare talent to treat this sort of character with not just respect but with sincere empathy and infectious enthusiasm.I spent most of my time reading with my heart aching for Ove. Ove, who is not a people person, who lives his life by the bullish assumption that any course of action he suggests would automatically be undertaken by those to whom he suggested it. Ove who bleeds integrity, who believes that “there’s a right way of doing things, and a wrong way.” Ove whose grumpy facade conceals a deep loneliness and an even deeper grief. It's impossible not to love Ove, and in loving him, to grieve for him (and with him). At the heart of the matter, after all, is grief; and Backman’s explorations of loss and aftermath—what it means to grieve and grieve messily, to not only mourn the loss of another, but also the loss of the hidden parts of yourself that only they could coax out of you—comes through with powerful clarity in A Man Called Ove. For years, love was a big blue wave that lifted Ove up; it shored him up, carried him home, and just when he believed it would last forever, it disappeared and left him behind. There one moment, and then gone.I don't think I've ever felt this helplessly sad reading a novel, but when I think about Ove's story, I want to think about the love Ove and his wife had for each other and the steady and undemanding affection of it; about the generous transformation of Ove’s neighbours into the most cherished of friends; about the deep steadfast stream of kindness that carries the novel; and of course, about Ove himself, the most loveable grumpy comedian in the world.I can't recommend this novel highly enough. A Man Called Ove will make you smile and it will make you cry and it will make you feel so deeply for someone who doesn’t exist but whom you'll never forget."
5,https://www.goodreads.com/user/show/32879029-emma,Rating 4 out of 5,"FINE. I’M CHARMED.Everyone said it. Everyone in the whole world agreed: this book is lovable as hell. Everyone stated, in unison, “It is impossible not to fall in love with A Man Called Ove.”I, the queen of unpopular opinions (yes people definitely call me that, and not just me, in an attempt to get people to think it’s a nickname and start using it), thought I knew better.I did not know better.This book sneaks right into your heart. Even if you think you have a heart of stone, surrounded by a tall wall and lava and three moats with sea monsters in them, this story will crawl in when you’re not paying attention and it WILL NOT LEAVE. It will use its wittiness and its likable Scandinavian style and its grumpy protagonist and its ragtag cast of characters and its unsentimentally related moments of pure sadness, and it will make you love it. If aliens wanted to invade the world, and they wanted to take over through the sheer power of affection and charm, they could do it with A Man Called Ove and we would all be powerless to stop it.My recommendation: Don’t try to stop it. Read this book.(And HELP ME THE ALIENS HAVE GOT ME they’ve got everyone they’re COMIGN FOR YOU NEXT DON’T READ THIS BOOK--IT’S HOW THEY GET YOU--IT’S HOW THEY INVADEEEFGJHSEGFSHJDFSHHFS///////////////////////Bottom line: I, Emma, recommend this book and have definitely not been taken over by aliens!------------pre-reviewokay FINE so maybe everyone was right. review to come------------currently-reading updatesif I don't like this book, I'm pretty sure I'm allowed to sue the whole world"
6,https://www.goodreads.com/user/show/124132123-lisa-of-troy,Rating 5 out of 5,"The One Who Does Not Read Books sat down and listened to the audiobook and started chuckling. The One Who Does Not Read Books also has a Saab.Ove is a grumpy old man who finds himself alone. However, things begin to change quickly when his new next door neighbors run over his mailbox as they move in. Can Ove find new value to bring in this Starbucks laden, InterNET infested world?This is one of the funniest books that I have ever read. Backman perfectly nailed the character of Ove. Personally, I was laughing so much because The One Who Does Not Read (and also owns a Saab) shares many of the same characteristics as Ove that I was laughing so hard!There is one member of my family who has emphatically insisted that he does not read (The One Who Does Not Read). After initially refusing, I heard him chuckling in the other room. Eventually, he sat down next to me and listened to some of the audiobook. Overall, this book hit the perfect spot! It definitely delivered on the funny!2024 Reading ScheduleJan	MiddlemarchFeb	The Grapes of WrathMar	Oliver TwistApr	Madame BovaryMay	A Clockwork OrangeJun	PossessionJul	The Folk of the Faraway Tree CollectionAug	Crime and PunishmentSep	Heart of DarknessOct	Moby-DickNov	Far From the Madding CrowdDec	A Tale of Two CitiesConnect With Me!Blog Twitter BookTube Facebook Insta"
7,no user info,Rating 5 out of 5,"Received as an ARC from the publisher. Started 5-8-14. Finished 5-11-14. First let me explain what happened to me while reading this book aloud to my wife as she was preparing dinner. I'm 70; she's almost 70. I'd read the first page, laughed out loud and decided she'd like to hear it read. I read, we laughed and nodded knowingly, then I got to the end of chapter 4 and completely lost it---I couldn't continue through those last few sentences. My wife said I should quit since she knows that I cry at supermarket openings! Now how many books have you read that can cause that kind of a physical and emotional response?! On the other hand, this book is hilarious, insightful, touching and just plain awesome. It seems pretty simple at first but there is more depth to this book than any I've read in forever. As I got near the end, I thought that there really should be a sequel, then the plot changed-----definitely no sequel. But I'm thankful I had the opportunity to read this. You will too."
8,https://www.goodreads.com/user/show/597461-elyse-walters,Rating 5 out of 5,"This is a tale that makes you appreciate life!I vote *OVE* as 'character-of-the-year'! The author has created the most memorable character to be found in a novel --in years. *OVE*, is an unassuming man. He likes routines, and rules. He's an honest man. Doesn't smile and give compliments -- but he's a man of integrity. To watch OVE grow - heal the loss of his wife -and allow his neighbors to love him (and love them back) -- is is a treasure. This book has great humor & great heart!Its a personal gift for 'all' readers! DON'T MISS THIS GEM!"
9,https://www.goodreads.com/user/show/8721294-nicholas-sparks,Rating 5 out of 5,"This novel, set in Sweden, tells the story of Ove, who can best be described as a curmudgeon. The story takes place after the death of his wife, and shows how healing can occur with the unlikeliest of people, in the unlikeliest of ways."
