,user_links,user_ratings,review_text
0,https://www.goodreads.com/user/show/2268905-chris,Rating 1 out of 5,"After enthusiastically starting this book, I gradually became annoyed, and eventually angry, as it slid on a downward slope to the end. This embarrassing work is far beneath what I would have expected from a scholar such as Harris. What a surprise it was to find details on the sexual malpractices of spiritual gurus and how to find one that matches your ""tastes,"" among other awkward and simplistic information.I had been eagerly looking forward to reading Waking Up after its publication was announced in Spring 2014. Who better than Harris, the master of rationality, to offer a companion way to look at the world to sit side-by-side with my scientific outlook—one that embraces the spiritual without the religious? Who could object to experiencing another form of beauty in one's life that doesn't contradict the observed facts of the universe? Maddeningly, his book does not deliver on this promise, as other reviewers have also noted. What it does do is present a trivial prescription, not at all original, which is easily summarized: (1) ""you"" don't exist, and (2) empty ""your"" mind of all thought.Those that have read Waking Up, should see evidence of my displeasure by noting the deliberately frequent use of ""I"" and ""me"" in this review: ""I"" being the very one who read his book and subsequently wrote this text with some passion. ""I"" am most certainly not an illusion, believe me. (You, on the other hand, are free to believe what you will concerning yourself.)Of course, in this demotion of self and mind, Harris only reiterates ancient well-known aspects of Buddhist philosophy. He does so here without adding anything new. That reduces what's left of the book to its only other theme: that of the meaning and origin of human consciousness. Again, Harris adds nothing, this time to the relevant science, which is covered in great depth in several recent authoritative books by other scientists. An excellent example is the very readable Consciousness and the Brain: Deciphering How the Brain Codes Our Thoughts, by Stanislas Dehaene. Published in 2014, it's quite comprehensive, covering many of the points in Harris's book, with more depth and authority, and going far beyond.In the final analysis, what's left? Only some surprising autobiographical material about his use of psychoactive drugs—that is, it's surprising if you are a Harris fan. Such use may be more common by others who are not necessarily public intellectuals. (I acknowledge that, like Harris, Aldous Huxley used mescaline and wrote a book about it, the classic The Doors of Perception. Huxley's is leagues ahead in spiritual depth, even if the science is somewhat dated.)What am I critical of this book? Not for the link to Buddhism, I'm not a believer, never will be; not for the drug use, I'm not a prude; not even for the amateurish advice about gurus, since at least it is momentarily (ironically?) humorous. My ultimate criticism is his failure to teach us something new. He should have given us some real tools with which to make our lives meaningful in the spiritual sense without resorting to religion. The book's promise was forfeited. Concomitant with that failure, he has damaged his image as a leader in the American culture war, whether he wants to be one or not.This book strongly deserves a 1-star. I'm struggling to maintain some intellectual respect in Harris. He's possibly now nothing to me, despite his great previous work advocating rationality over groundless faith (see The End of Faith: Religion, Terror, and the Future of Reason). Unlike him, who seems to think that an empty consciousness is man's highest mental state, I still consider human thought to be the ultimate expression of the Universe examining itself, not the true source of pain and suffering that Harris claims in this deeply weird book."
1,https://www.goodreads.com/user/show/28251796-dan-harris,Rating 5 out of 5,"This book is not out yet, but Sam was nice enough to let me read the galley. It's fascinating. It will surprise a lot of people to learn that this often acerbic atheist in fact has a deep history of meditation practice. In this book - which is part polemic, part memoir, part pop-science - he makes the case for a ""spirituality"" (he doesn't like the word, per se, but points out that there are sadly no other options) divorced from religion. Whether or not, you agree with his views on faith, Sam makes a compelling philosophical and scientific argument for the benefits of meditation. "
2,no user info,Rating 2 out of 5,"A little disappointed with this one. Harris basically defines spirituality as the quest to see the ego and the self as illusions, and while that's certainly a worthy goal, it strikes me as a somewhat narrow definition for spirituality, as I personally find spirituality to also include things such as developing a sense of love and compassion towards other people.The book is subtitled ""A Guide to Spirituality Without Religion"". In practice, the guide parts consist of a few meditation instructions, some arguments from neuroscience and philosophy on why there isn't a unified self, and a brief discussion about how psychedelics can provide useful insights to the nature of consciousness. The meditation instructions aren't bad, but there's also nothing particularly novel about them, and only a few of them are provided. The neuroscience arguments seemed weak even to someone who believed in the claim that they were trying to establish, as did the philosophy for the most part. Ken Wilber's No Boundary: Eastern and Western Approaches to Personal Growth did the philosophy much better, I feel. I'm sure that there are people who find the content in this book interesting and novel, and there were a few useful nuggets of information, but for the most part it was either stuff that I had seen before or stuff that was novel but unconvincing.And then there is the ranting and endless religion-bashing. Harris seems to use every possible excuse to attack religion and superstition. While I'm an atheist who agrees that religions have plenty of silly beliefs, I didn't get this book to read endless rants about their evils. Blah blah Christianity prevents people from correctly interpreting their meditative experiences and is generally evil blah blah blah Buddhism is better and has a lot of valuable stuff but still we shouldn't forget that it too has all kinds of silly nastiness blah blah YES I GET IT COULD WE PLEASE GET BACK TO THE TOPIC. Oh, only for a few paragraphs, then you want to get back to the ranting. Sigh."
3,https://www.goodreads.com/user/show/12528364-josh,Rating 5 out of 5,"This book is bound to ignite another firestorm in the skeptic community around the word ""spirituality,"" but it really shouldn't. As Harris makes clear from the outset, his interests still lie squarely within the bounds of rational inquiry. One need not entertain any spooky metaphysics in order to honestly interrogate the mind and its limits. What he does argue, however, is that consciousness is an object of study unlike any other in science - because it is both the subject of investigation and the tool we're using to investigate. A healthy portion of the book is spent fending off the attacks Harris anticipates from his less experience-hungry colleagues in the scientific community: spirituality is a term too loaded down with religious baggage, mystics and contemplatives are all on some level lying about the depth of their experiences, and the entire enterprise is ripe for fraud. Harris is quite willing to grant some ground to these objections, but having spent a serious span of his life on meditation retreats, experimenting with mind-altering drugs, and exploring the possibilities of consciousness, he insists that there really is a ""there"" there. And scientists would be well served not to dismiss it out of hand.By the final pages, Harris has made a strong case with his usual verbal flair. All of us - scientists included - should be eager to openly and honestly explore consciousness because that's all that could ever really matter. And unlike so many self-help books, Waking Up suggests that the answer doesn't rest in learning more and more about the ""self"" but rather in dissolving it - and noticing that the thing that thinks our thoughts cannot be identical with the thoughts themselves. While the program put forward in the book (and likely the online courses set to begin this September) is a daunting one, it's extremely hard to argue with Harris' reasoning. Who doesn't want to be happier, less neurotic, and more at home in one's own mind? "
4,https://www.goodreads.com/user/show/551265-lance,Rating 2 out of 5,"Much of this was about becoming consciousness and not being distracted by thought, but most of the time I was thinking of other things."
5,https://www.goodreads.com/user/show/5448792-b-schrodinger,Rating 1 out of 5,"""A Guide to Spirituality Without Religion"" - sounds great. I feel spiritually stunted yet dread the involvement of religion.The book started out great, thoughts on the use of spirituality with some academic references.Sam then says that to be spiritual without religion you need to lose your sense of self. He then explores the psychology and brain physiology of self and thinks he shows that the self doesn't exist. I followed most of the science, but when the philosophy came into it I was lost.Alright, Sam, what else do you have to offer? Oh, the one true way to do this is to use a Bhuddist meditation technique cutting out the jumbo jumbo. Oh, you studied it yourself with your guru for like ever. Yeah, this is far from religion. How do you do it? Hand wavy stuff and you might want to study it yourself. Why thanks Sam. This really helps out.Oh and now you want to go on about how gurus are often shady characters. Really holding up this argument well, Sam.I couldn't deal with anymore.In summary this is a pamphlet for some Bhuddist hippy shit that Sam got into in his twenties. Note: There are a lot of reviews here that love this book. I definitely know there is a possibility that I was just too dense to get what Sam was on about. But I'm just a scientist who was hoping to develop his spirituality."
6,https://www.goodreads.com/user/show/32669562-thomas-stroemquist,Rating 2 out of 5,"My first acquaintance with Sam Harris was through one of the many YouTube snippets in which logically reasoning and science advocating people debates different religious people about the existence of god (along with about a million sidetracks). Being Swedish, I found this fascinating for a while (very few Swedes would ever define themselves as 'atheists' - for quite similar reasons why most people do not define themselves as ""non-elf-believers""). I watched a bunch of these, until my fascination with the power of human self-delusion was exhausted and the fascination with Harris' and his team-mates patiences was long gone - and I will probably never have to watch another. I've also never picked up a book by any of the knowledgeables (Harris, Hitchens, Nye, Dawkins...) much for the reason that I know beforehand that I will agree on most counts and the compelling powers of logical reasoning in themselves are not enough to keep interest up for a lengthy text - or so I've always thought. Harris (and Neil deGrasse Tyson) did stand out from the rest of the debate-willing sceptics (yes I do know this is not all these guys do!) by discussing more about how peoples' different beliefs affects all of us - from immediate family all the way through globally, short-term, long-term and impact on development, economics, humanitarian, personal freedom and many other levels. Some debating 'atheists' seem quite content with discussing the plausibility of talking snakes or likewise conversing burning bushes or the possibility of building an impossibly large wooden boat and sail on it for an extended time carrying two of every species on earth. This is why I have been a bit more interested and learned a bit more about and from these two.And so, I was excited to happen upon this book. ""...a scientific and philosophical exploration of the self"" - and that far it's great. Chapter 2, ""The Mystery of Consciousness"" had some very interesting ideas and information, all expressed in Harris' usual eloquent and impeccable style and Chapter 3 ""The Riddle of the Self"" had me largely spellbound. Unfortunately, then the fun ended. ""...and a how-to guide for transcendence"", or the second half of this book contains, much to my chagrin, some of the same logical discrepancies (or at least the missing arguments) for much of the theories and ""practises"" taught that he himself has consistently accused his religious counterparts. First, the author does not offer a single piece of argument - much less evidence - before he jumps head-first into the art of meditation. Long story short: we don't know what thoughts are, how they come to be, how they work or why we have them. But we know that they spin around in our heads every waking hour. And therefore it must be right to try to turn off the flow, right? Wrong. You just jumped the first four questions and they should really be answered before the ""solution"".So now, un-persuaded that I should really meditate for some unclear reasons, lots of the remaining text got less interesting. But that's not the worst. Harris - being a meditation fan - can't really avoid fan-boy:ing the ""masters"" of this trade. Problem is that the ""masters"" do seem to be lacking. Being an ""enlightened"" and ridiculously wise and 'good' person - would it be too much to ask that you refrain from sexually abusing your protégés? Or show a basic understanding of what they are used to, or the codes and ways of the society they where brought up in? Do we really need Sam Harris acting apologist to a bunch of men (always...) that are - by undisclosed standards - above the rest of us, but that are - in the cold light of reasoning - obviously as clueless as most of us? No, that stinks in my opinion. If meditation for some yet unproven reason is what an animal brought forward by millions of years of evolution must do to keep sane - is there one piece of information that leads us to believe that a Tibetan monk or an Indian outcast is the go-to authority on the subject? Asking an old guy, talking in riddles and surprising by obviously having it together in some respects, but sounding like a charlatan in the next instant - does this remind anyone of anything? If Harris meant this to be any sort of primer, he failed miserably. Nowhere in this book did I find the reason to why I should strive to turn off my conscious thoughts (often by focusing on physical phenomena, such as how the bench of choice feels against my buttocks or worrying very much about breathing) for hours on end. Breaking negative thought cycles and breaking free from disabling pondering, I'm convinced is a good idea, from a psychological and personal experience viewpoint. Some people like fishing, I'm into equine therapy myself.Two thought-provoking and great chapters, unfortunately that leaves more than half of this book with a lot more to be wished for."
7,https://www.goodreads.com/user/show/1339246-gendou,Rating 1 out of 5,"TL;DR the only benefit of meditation is investment justification.This book made me so very sad, because I like the idea of spirituality without religion. Really, this book is about Vipassana meditation and Buddhism. It's just awful, which I never would have expected from Sam Harris.Harris starts off with an accusation that ""few scientists have developed strong skills of introspection"". I've found the opposite to be true, both anecdotally in my personal life and in the biographical literature.The thesis of this book is that we go throughout life ""thinking without being aware that we're thinking"" which is the ""illusion of the self"". If by ""there is no self"" he meant the Cartesian creature is fiction, I would agree.But Harris is a believer in the ""Hard Problem"" of consciousness. He says that consciousness cannot be explained in terms of information processing. He doesn't accept that neuroscience can fully explain the emergence of consciousness by correlating mind states with brain states. ""We know nothing about how such a miracle of emergence might occur."" Well, maybe *you* know nothing about it, but other people do. Don't be fooled. This isn't philosophy. This is science denial. Worse, it's dualism. Plain and simple. Ironically, he rejects dualism in the first chapter.His emphasis on consciousness is also ironic because later on he insists, ""what does not survive scrutiny cannot be real."" Well, the idea that there's something special called consciousness beyond what neuroscience can explain about the brain doesn't survive scrutiny at all! He nonetheless demands the reader accept the subjective experience of consciousness as undeniable evidence for its existence. This is totally unscientific. Subjective experience alone is not falsifiable, subject to independent verification, etc. and so is not scientifically reliable.Harris tries to explain the illusion of the self by comparing it with the optical blind spot. This is a false analogy because the blind spot is real and can be measured. Meditation, on the other hand, produces no physiological or psychological consequences in excess of what we'd expect from undertaking a calming activity.Harris caution the reader about meditation Gurus who abuse the power they have over their disciples. He cautions against believing claims of supernatural powers, though he doesn't dismiss their possibility, either. He sounds particularly credulous to ESP which I find hilarious.I think the overarching problem with this book is that Harris doesn't fully appreciate the philosophy of science. He claims his baloney detector is fully functional, but I think his detection rate would be improved were he to study skepticism and critical thinking.For example, people who claim great benefit from mediation are biased because they've got an imperative to rationalize the large amount of time they spend meditating. This conflict of interest goes unmentioned in the book.Another telling example is when Harris describes an interaction with his young son. His son asked where gravity comes from, and after a thoughtful pause, he replied, ""we don't know where gravity comes from."" Um, yes we do, Sam! Mass! Gravity comes from mass! Duh!Obviously, he was answering the childlike question ""why does gravity behave the way that it does?"" instead of the scientific question ""how does gravity behave?"" Harris seems not to understand that ""why"" questions are invalid in science. Only ""how"" questions are answerable by science."
8,https://www.goodreads.com/user/show/597461-elyse-walters,Rating 5 out of 5,"I did not sleep much last night ---but I read this book during the dark hours --and finished it this morning! I'm inspired!!!!!On the bottom of page 43, Sam says, ""I make no claims in support of magic or miracles in this book"".[HE SHOULD!!!!]. 'Miracles' would manifest in the world if enough people read this book.On the same page (bottom of page 43) , Sam goes on to say, ""However, I can say that the true goal of meditation is more profound than most people realize -- and it does, in fact, encompass many of the experiences that traditional mystics claim for themselves. It is quite possible to lose one's sense of being a separate self and to experience a kind of boundless, open awareness -- to feel, in other words, at one with the cosmos."" SAM HARRIS wrote the ABOVE sentences! AMAZING!!! YES?/!!!! (For those who are familiar with Sam's other books --- its pretty cool to see SAM HARRIS writing THESE words. Sam? Cosmos? Sam-the-atheist?Don't let his other AMAZING --LIFE-ALTERATING- books fool you to think Sam does NOT have his own 'spiritual' practice....(so to speak --for lack of a better way to say this). This was the MOST personal -wonderful SAM HARRIS book to date! (he let us see into his personal soul and educated us at the same time). The Chapter on ""The Mystery of Consciousness"" was and entirely new discovery --way of understanding for me. He talked about the 'split-brain' phenomenon. The isolated right hemisphere is independently conscious from the left hemisphere. (He/she does not know what the other is thinking --or even that he/she exists).This chapter is so good--I've already re-read parts of it a few times. I'm still trying to figure it out with my OWN Right & Left brain. For Book clubs that choose NON-FICTION books ---PICK THIS BOOK. Much to chew on for discussions!!!I could go on and on ---but I will leave you with just two more things to consider:1) Read Moral Landscape --(if you've not already). Its a brilliant book that changed my thinking forever!!!!2) ""Where does gravity come from""? Sam's 3 year old daughter wanted to know. Do you? lolGREAT BOOK!!! VERY TOUCHING --(Congrats to SAM!!!!)---- 'EXCELLENT'....[This book is needed 'now' & people might be able to hear the message today]. The Bonus: Wonderful teachings on meditation found in these pages, to boot!!! "
9,no user info,Rating 4 out of 5,"I received this book through a goodreads sweepstakes. It came in the mail a few days ago. I couldn't put it down after I opened it. All finished reading it within three days. I was baptized Catholic and attended a Catholic school through 8th grade. I was later confirmed Catholic in high school because that was my grandmother's wish for me. The woman is my life, so I do as I'm told, but I never really felt like Catholicism was for me. Way too strict and judgmental. I went to a few other churches to try those out and none of them really fit me. I decided to change from religious to spiritual. This book breaks that all down for the reader. It makes it easy to see why more and more people are choosing to be good people because they believe they should be instead of because a priest or deacon tells them to be. My only complaint is all of the references in the back. Of course I had to cross reference a lot of them for more information, such a sucker for knowledge, so that took a little while.Great book. Worth a buy or a rental. ENJOY!!!!!!!!"
