,user_links,user_ratings,review_text
0,https://www.goodreads.com/user/show/27788046-sean-barrs,Rating 5 out of 5,"To get through life some people drink copious amounts of alcohol to de-stress. Others smoke tobacco or cannabis. Some try heavier substances. My drug of choice, my way of clearing my head, calming down and escaping for a few hours, is to run. I am an absolute junkie. Sometimes I feel like I live to run. When I’m not reading, writing or cycling to work, then I’m running. It’s a fantastic experience, blasting my favourite psychedelic rock albums as I lose all my troubles on the road. Anyone who has taken up running seriously will understand how much of a drug it can be. As strange as it may sound, I don’t think I’d be able to write a single review on here or even read a single book if I didn’t run regularly. I’m naturally quite a fidgety person. I have lots of energy and don’t like to sit still. I want to be outside! I also pace up and down a lot if I’m bored. Running calms me down. It allows me to sit at a desk (sometimes all day) writing essays for university. It also means I sleep at night. Without running, I just don’t get much. I end up with about 4-5 hours of sleep because I’m just not tired. I’m then perpetually groggy and moody the next day. Running is such a healthy thing to do, and, as Murakami recognises, for some people it is essential for mental balance. It keeps them sane. Murakami gets running; he understands the point of it. I’ve often been asked: “why do you go running?” or “what’s the point of it?” The answer is simple: I go running to live. Being a literature student, and working in a pretty slow and unphysical environment, means I’m restless. We all need some form of exercise and some time to ourselves to reflect and be introspective. And that's what running is all about, at least for me and the author of this book. For Murakmi it was an essential part of his writing process. In order to write novels, he had to run. As he was aiming for a deadline or the end of story, he was also aiming for a personal best in his next marathon. Ironically, I’m doing the exact same thing. As I approach my dissertation deadline, I’m also training for a marathon. Reading the words of another, who did the same thing as I’m doing, for the same reasons, is really quite revealing. My idea, which makes little sense to my friends and family, was given much more clarity in these pages. To hear another say the same thing, one who was immensely successful, gave me a little confidence boost and some motivation for my marathon. As a treat to myself, I’m actually running it on my birthday.The book takes on the form of a memoir and relays the memories of the author as he trained, competed and eventually reflected upon his experience. There’s much wisdom to be gained from these pages, and, as I said Murakmi gets running, especially the near meditative mind set it can get you in. During long distance runs your mind forgets about the outside world and get into a sort of rhythm with your body, ten miles can pass in an instant as you experience the ""runner's high."" Not all runs are as good as this, but on some you lose yourself. It’s wonderful. Running is wonderful. And, for the right reader, this would be a wonderful book.___________________________________You can connect with me on social media via My Linktree.__________________________________"
1,https://www.goodreads.com/user/show/6536286-ariel,Rating 5 out of 5,"*happy sigh*You know when you read a book and it just speaks to you? Something about the time and place and just all the circumstances match up and you know you read the book at the perfect time? This was that.My drive to immerse myself in the world of writing keeps growing, and I've found so much fun in collecting books about writers and writing that I can't wait to sink into. I had to start somewhere, so I picked up What I Talk About When I Talk About Running because, back when I bought it a few months ago, I'd read the first few pages in the bookshop and it had really piqued my interest.This book is definitely about writing. We learn about Murakami's methods, his work ethic, why he became a writer in the first place, what keeps him writing now. But more than that it is a book about running. About why he loves running, how it has influenced his life, how it interlinks with his writing. It's a journal about his training, his ups and downs, and for a person who really really hate running (no, really, friends, I HATE IT) I found this an absolute pleasure. Sure, this was about running, but it was really about a person who loves something, and I learned so much from his determination and passion and consistency.It was such a meditative reading experience for me, a chance to listen to someone talk about their life and the lessons they've learned, through a journal on running and writing."
2,https://www.goodreads.com/user/show/91520258-jack-edwards,Rating 2 out of 5,This book is literally so pointless
3,https://www.goodreads.com/user/show/614778-ahmad-sharabiani,Rating 4 out of 5,"Hashiru Koto ni Tsuite Kataru Toki ni Boku no kataru koto = What I Talk About When I Talk About Running, Haruki MurakamiWhat I Talk About When I Talk About Running is a memoir by Haruki Murakami in which he writes about his interest and participation in long-distance running. Murakami started running in the early 1980's and since then has competed in over twenty marathons and an ultra-marathon.Murakami gives reasons that make him run. Physical fitness is important to him and the constant challenge of breaking the record of the previous day is what motivates him to keep moving until he is forty. The point at which he finds that he cannot improve his times any longer gives him a shock. A motive is thus lost. He is struggling with the fact of getting old and accepting the associated limits of his capabilities. In describing his sport, Murakami also describes his character and his way of coping with life. Without feeling his physical limits again and again, he could not follow his calling as a writer. He combines running with writing in a symbiosis: the one is not possible without the other.عنوانهای چاپ شده در ایران: «از دو (دویدن) که حرف می‌زنم از چه حرف می‌زنم»؛ «وقتی از دویدن صحبت میکنم در چه موردی صحبت می‌کنم»؛ نویسنده: هاروکی موراکامی؛ تاریخ نخستین خوانش: روز نخست ماه آوریل سال 2011میلادیعنوان: از دو (دویدن) که حرف می‌زنم از چه حرف می‌زنم؛ نویسنده: هاروکی موراکامی؛ مترجم: مجتبی ویسی ؛ تهران، نشر چشمه، 1388؛ در183ص؛ شابک 9789643627553؛ چاپ سوم 1389؛ چاپ چهارم 1390؛ در 179 ص؛ چاپ ششم 1394؛ موضوع: داستانهای نویسندگان ژاپن - سده 21معنوان: وقتی از دویدن صحبت میکنم در چه موردی صحبت می‌کنم؛ نویسنده: هاروکی موراکامی؛ مترجم: علی حاجی قاسم؛ تهران، نگاه، 1390؛ در160ص؛ شابک 9789643627553؛ چاپ سوم 1389؛ چاپ چهارم 1390؛ در 179ص؛ چاپ ششم 1394؛ وقتی از دویدن صحبت میکنم در چه موردی صحبت میکنم، آرام و ساده است؛ یادمانهای «موراکامی» است، نویسنده ی محبوب «ژاپنی» برنامه ای دقیق و منظم برای دویدن، و شرکت در مسابقات ماراتن دارند، و در این کتاب از لذت این ورزش استقامتی، و تاثیراتی که میتواند روی زندگی و حتی نویسندگی و شخصیت داستانها بگذارد، حرف میزنندتاریخ بهنگام رسانی 06/07/1399هجری خورشیدی؛ 09/06/1400هجری خورشیدی؛ ا. شربیانی"
4,https://www.goodreads.com/user/show/32879029-emma,Rating 3 out of 5,"i don't care about running, but i do care about murakami.and this was VERY murakami: thoughtful, unique, addicted to writing about women in the strangest and most objectifying way for genuinely no reason. you have to hand it to the guy: he meets your expectations.bottom line: this one's for the fans."
5,https://www.goodreads.com/user/show/419287-jessica,Rating 4 out of 5,"I'm a bit baffled by how anyone who's not a distance runner could possibly be interested in this book, but I personally got a lot out of it. This is in spite of the fact that I'm not a Murakami girl, and honestly didn't enjoy the style of this book at all. I always feel when I'm reading him that I've somehow wound up with a crappy translation, but then I realize that I'm reading the same version as all the English-only Murakami lovers out there, so apparently I just don't like the way he writes. Still, I did enjoy this book, and I've given it four stars because I've found since finishing that it's really helped me with my own running. Now when I'm out there pounding the pavement, I think of Murakami and some things he wrote about, and it keeps me going. That's just what I'm after with these exercise books!What I Talk About When I Talk About Running covers three main themes: running, writing, and growing older. This last was sort of a surprise, and was where I drew a large and unexpected amount of comfort, not exclusively related to running. Murakami was in his early thirties when he sold his jazz bar to write a first novel, and he took up distance running around that time. If Murakami can change careers, quit smoking, start running marathons regularly, and become a writer beloved of everyone in the world except for me, well then.... there's hope still for all of us! My life isn't necessarily decided yet, just because I'm nearing thirty. So now when I'm out running, I like to fantasize that I'm a sort of Haruki Murakami/Tilda Swinton figure, who's quit my job in social work to devote myself to my writing career. When I'm not on sabbatical in Hawaii, I live in a sprawling Manhattan castle with my older husband, younger boyfriend, and adorable children, and I take these long, rambling runs through the city to clear my mind for the novel-writing that sustains our unconventional and extremely good-looking family. I am currently at work on a sort of vanity project, this book about exercise called Where I'm Running From, which chronicles my personal journey from indolent vice to literary genius.... I know not all my adoring fans will necessarily enjoy this unconventional little piece, but if it helps a few poor schlumps discover the benefits of running, well then my work is not in vain!I ran 15 miles yesterday, and not a few of those can be dedicated to Murakami, who really isn't a bad running buddy at all, as far as things go. Running is a solitary sport, which is why I like it, and Murakami understands and in some ways ameliorates the legendary loneliness of the long-distance runner. This is why I'm giving it four stars, even though I thought it was badly written. Again, I don't quite see how anyone who isn't a distance runner could get much from this book, and in fact I got bored towards the end when he started talking about triathlons, as I personally don't swim or bike. I do think non-runners could appreciate the description of his ultra-marathon, which was luridly fascinating to me as someone who would never consider running 62 miles and who believes people who do this sort of thing are complete mental cases. However, the main appeal of this book was in being able to relate to it. Murakami wrote about running, writing, and growing older in a way that made me feel better equipped to slog through all three of these often exhausting activities.... that's no small thing!"
6,https://www.goodreads.com/user/show/67861858-pakinam-mahmoud,Rating 4 out of 5,"""as long as my body allows i ll keep on running..i dont care what others say-that's just my nature,the way i m..""and to be completely honest i just love the way you are😍في كل كتاب كنت بقراه لموراكامي كنت بعرف حاجة عن شخصيته..ودايماً بقول إني يوما ما أتمني أقابله وأتكلم معاه وأعرفه أكتر و الكتاب هنا حقق لي جزء من هذه الأمنية😍عمّ أتحدث عندما أتحدث عن الجري ..كتاب رائع لموراكامي بيتكلم فيه لأول مرة عن نفسه بعيداً تماماً عن كل الجنان اللي موجود في معظم رواياته..الكتاب علي حسب علمي غير مترجم للعربية و متوفر إلكتروني ككتاب صوتي و بي دي أف بالإنجليزية...في هذا الكتاب عرفت حاجات كتير عن موراكامي أهمها طبعاً إن الرجل طلع رياضي وعداء جامد جداً بيشترك كل سنة في ماراثون و حتي كتابة هذا الكتاب كان شارك في اكتر من ٢٥ ماراثون ده غير إنه شارك أيضاً في العديد من السباقات الثلاثية(الترياثلون) اللي بيكون فيها جري و سباحة و ركوب دراجات...موراكامي كان يدير مقهي لموسيقي الجاز وكان يطبخ بنفسه فيه و قرر فجأة بدون أي مقدمات و هو عنده ٣٠ سنة إنه لازم يكون كاتب لدرجة انه مكانش عنده حتي قلم ولا ورقة يكتب فيها..!وزي ما قرر فجأة إنه لازم يكون كاتب قرر فجأة أيضاً إنه لازم يجري وكان يبلغ من العمر ٣٣ عاماً و هو شايف إن الكتابة والجري با��نسبة له مرتبطين ببعض جداً من وجهة نظره:)إسلوب السرد رائع ،ممتع و دمه خفيف في أوقات كتير و الكتاب عبارة عن مذكرات يومية كتبها هاروكي في عام ٢٠٠٥ و ٢٠٠٦ و بيتكلم فيه مش بس عن الجري لكن بيتكلم من وقت للتاني عن نفسه و عن حياته ككاتب وحتحس في نهاية الكتاب إنك عرفته أكتر و حتلاقي نفسك بتتمني تجري معاه شوية وياريت لو تتكلم معاه كمان بس في الغالب بيكون ساكت وحيسلم عليك ويكمل جري و هو بيسمع مازيكا:)موراكامي بيصحي ٥ الصبح و بينام بدري..بيعشق الموسيقي...بيحب يقعد لوحده لساعات طويلة..عنده إرادة غير عادية علي الرغم إنه مش صغير في السن..معندوش مشكلة إنه بيتعب وهو بيجري بالعكس هو شايف التعب ده لوحده بيحسسك إنك موجود..إنك عايش..وإنك تقدر تيجي علي نفسك مهماً كانت الظروف صعبة... كتاب ملهم ..ممتع و مش بس مشجع علي الرياضة ولكن مشجع أكتر إنك تحط لنفسك هدف في الحياة وتحاول بكل ما تقدر إنك تحققه..والصراحة أنا من ساعة ما بدأت الكتاب وأنا بعمل رياضة:)يقول هاروكي إنه لو عنده فرصة يكتب علي قبره بعد وفاته مش حيحب يكتب غير كدة.. Haruku Murakami  1949-20** writer(and runner) at least he never walked.. قبل الكتاب دة يا موراكامي كنت من كتابي المفضلين وبعد الكتاب دة بقيت من كتابي الملهمين...وبعدين بقي في الحب دة كله يا عم إنت😍"
7,https://www.goodreads.com/user/show/29002534-valeriu-gherghel,Rating 4 out of 5,"M-a impresionat dintotdeauna modestia lui Haruki Murakami. Autoportretul... începe ca un jurnal de antrenament pentru maratonul de la New York și continuă ca o meditație despre viață și scris.Cîți dintre noi au oare curajul să afirme cu maximă franchețe că nu dispun de o istețime maximă? Aproape nimeni. Haruki Murakami nu se sfie��te să declare abrupt: „Nu sînt o persoană foarte inteligentă”. Mărturisește că se descurcă greu cu abstracțiunile. Preferă teoriilor concretul palpabil. Peste cîteva rînduri, își atenuează afirmația: „Sigur, un strop de inteligenţă tot am. Cred că am”. Dar nu e un speculativ ca Proust, Mario Vargas Llosa ori Umberto EcoȘi mai spune: „Sînt un om imperfect, un scriitor limitat, care duce o viaţă banală şi plină de contradicţii”. În schimb, își recunoaște o calitate extrem de rară la muritori: e perseverant, silitor, tenace. Poate rezista unui efort îndelungat. În plus, se simte bine în singurătate: „Sînt genul de om care preferă să fie singur”. Cînd s-a apucat de scris? E destul de curios, dar a ținut minte ziua în care s-a hotărît să scrie un roman. Se afla pe un stadion, privea un meci de baseball: Era 1 aprilie 1978, ora unu şi jumătate după-amiaza. Totul a început ca din întîmplare, nu avea ambiții de mărire, nu-și dorea notorietate, nu voia să devină cel mai curtat prozator din univers. Așa a redactat Ascultă cum cîntă vîntul. A fost nominalizat la premiul Akutagawa, nu l-a luat, dar asta nu a avut nici o importanță. În definitiv, recunoaște Murakami, premiul ar fi fost o povară (interviuri, întîlniri cu cititorii, emisiuni). A înțeles, astfel, că destinul lui este să scrie. Odată cu hotărîrea de a scrie și-a modificat radical programul de viață. Nu mai avea de ce să-și piardă nopțile într-un bar (afacerea familiei). Trebuia să-și cultive rezistența fizică, absolut necesară prozatorilor. A convocat un sfat în familie: „Eu şi soţia mea – am decis să ne schimbăm stilul de viaţă. Ne-am hotărît să ne trezim cînd răsare soarele şi să ne ducem repede la culcare după ce se întunecă. Asta era viaţa care ni se părea nouă firească”. Tot din acel moment s-a apucat de jogging și a hotărît să participle la alergări pe distanță lungă. În iulie 1983, a mers în Grecia și a parcurs în alergare „ușoară” drumul de la Atena la Marathon. A fost groaznic. Verile grecești sînt toride, te lichefiezi...În opinia lui Murakami, un scriitor are nevoie de trei calități: de talent, de concentrare și de rezistență. Crede că scrisul unui roman e o specie de „muncă fizică”. Cînd talentul e firav, poți compensa: „Din fericire, spre deosebire de talent, aceste abilităţi (puterea de concentrare şi rezistenţa) se pot dobîndi ulterior şi se pot perfecţiona prin exerciţiu. Dacă te aşezi zi de zi la birou şi exersezi cum să-ţi focalizezi atenţia într-un singur punct, dobîndeşti în mod natural putere de concentrare şi rezistenţă”.Haruki Murakami nu a acceptat niciodată mitul „poetului blestemat”, cultivat de romantici și ilustrat de Verlaine sau Rimbaud. Pentru a scrie un roman interesant nu e nevoie să duci o viață extravagantă. E suficient să te așezi zilnic la masa de scris și să reziști acolo 4-5 ore...P. S. Programul lui Murakami m-a umilit. Nu m-aș putea culca în veci odată cu găinile..."
8,https://www.goodreads.com/user/show/597461-elyse-walters,Rating 5 out of 5,"Audiobook.... narrated by Haruki MurakamiListening to Murakami speak about the very universal way our inner voice functions with random thoughts - like clouds in the sky that come and go - was a little taste of heaven for me. Given that I, too, was a runner for 25 years of my life - running marathons - and hilly trail half marathons - often beginning my training runs in the dark with a flashlight — this was absolutely a lovely delightful Audiobook. I enjoyed it very much. I’m familiar with the language- the culture- the drive - the speed training - the setbacks - the injuries- the exhaustion- the pain - the adrenaline rush on race days - the replacement drinks - the log books - the socks and shoes - the chaffing - the spirituality- the emotions - the runner’s high and exhilaration. I’ve been away from running almost as many years as I spent running obsessively......Would I have enjoyed this tape 25 years ago? Not really. I was too busy ‘doing’ my own thing. I wouldn’t have appreciated ‘my own’ accomplishments back then either It wasn’t as though I woke up at 4am - to dress for 33° outside to begin my run and say to myself, “aren’t I inspiring?” Not a chance. BUT NOW.... as an older fart who wouldn’t even consider running today, I can indulge in a few semi- inspiring ( or crazy) - memories from my younger running days. I remember ‘starting’ a marathon in Oakland in the pouring rain.....and it ‘never’ stopped the entire 26.219 miles. Nuts! I was nuts! And exhilarated. Breakfast was delicious afterwards. Listening to Murakami share about himself - his daily running schedule- his running in Hawaii- his attempts to answer the questions “what does he think about when he is running” MIGHT EVEN BE MORE ENJOYABLE - or at least as much - TO THE NON RUNNER - than the runner. As I said .... I don’t think I would’ve enjoyed this audiobook as much when I ‘was’ a runner, as much as I did now. Murakami says .......... he doesn’t really think of anything worth mentioning. ...... he runs to avoid...... occasionally he runs not to get fat...... The only people who ever even ask him the question of what he thinks about when he’s running are people who have never been running and don’t have a clue. ...... he’s not the type of person, we are being alone for five hours, is painful. He enjoys being by himself. ...... he mostly listens to rock music when he runs because the rhythm is the right beat......he talked about being a young runner - then turning 50 - he talked about his emotions about growing old. ...... he talked a few times about competition, and how that is not the world and lifestyle he is after. He simply competes with himself. There’s a lot of wisdom from Murakami. He’s likable and humble. A meditative type of listening and appreciating for me! Lovely as can be! YES....I’m inspired! "
9,https://www.goodreads.com/user/show/3675162-j-l-sutton,Rating 4 out of 5,"“Pain is inevitable. Suffering is optional. Say you’re running and you think, ‘Man, this hurts, I can’t take it anymore. The ‘hurt’ part is an unavoidable reality, but whether or not you can stand anymore is up to the runner himself.”Haruki Murakami’s What I Talk About When I Talk About Running. pairs running and the art of writing (and its demands on focus and endurance). After reading Murakami’s Colorless Tsukuru Tazaki and His Years of Pilgrimage a few weeks ago, I had wanted to read more from this author. Admittedly, What I Talk About has a very different (one might say non-literary) quality which differentiates it from his novel. Still, it was an interesting account in which Murakami describes a nearly lifelong connection between running and how that running impacts his writing, and between aging and the potential decline of creative and physical power. 3.5 stars rounded up to 4."
