,user_links,user_ratings,review_text
0,https://www.goodreads.com/user/show/1253673-diane-yannick,No Rating,"There is no rating low enough to compensate for the way this book has ruined my life. Whatever you do, don't read it as it will haunt you. This is a long review but it behooves you to stick with it. To begin, you have to touch each and every possession and ask yourself if it brings you joy. If it doesn't, it needs to be discarded. Do you know how hard it is to summon joy for beige underwear or Neosporin? Yet summon you must. I like my carrot peeler but is joy too strong a word? It gets tougher. Not only must you ""apply hands"" to every piece of clothing while checking for your joy response, you must fold your clothes in very specific ways in order to find each piece's ""sweet spot"". I never knew that ""Every piece of clothing has it's own 'sweet spot' where it feels just right"". This will lead to an historical moment when ""your mind and the piece of clothing connect."" Don't forget to thank your clothes for protecting your body. Thank your accessories for making you beautiful. ""Express your appreciation to every item that supported you during the day.""Never, never ""ball up your socks"" as they can't get their much deserved rest that way. They need to breathe a sigh of relief. You must visit your off season clothes to ""let them know you care and look forward to wearing them when they're next in season. This kind of communication helps your clothes stay vibrant and keeps your relationship with them alive longer.""Everything must be stored standing up rather than laid flat. ""Stacking weakens and exhausts the things that bear the weight of the pile. Just imagine how you would feel if you were forced to carry a heavy load for hours?""You must empty your hand bag every day.""Being packed all the time, even when not in use, must feel something like going to bed with a full stomach."" When you get a new phone, it is kind to text your old one with a message of thanks for its service.Every single thing must be in its assigned place before you go to bed."" Have you ever thought about what it would be like to have no fixed address?"" It is equally important for our possessions to have ""that assurance that there is a place for them to return to.""If we greet our house properly it will "" be happy to tell me what the family no longer needs and where to put the things remaining so that the family can be comfortable and happy in this space."" Not sure if you do this before or after applying hands and checking your joy response. It did come near the end of the book, if that helps.So what do the things that get discarded for not sparking joy feel? ""I think they simply want to leave. Lying forgotten in the closet, they know better than anyone else that they are not bringing you joy."" The people who tidy as this book recommend experience a change in their appearance. ""Their figures are more streamlined, their skin is more radiant, and their eyes shine brighter.""Unfortunately, my eyes are crossed, I've gained 10 pounds, and I feel hives ready to pop. I had no idea when I picked up this pretty little book that it was going to necessitate my search for a live-in psychiatrist. I had NO freaking idea that I was squashing the self-esteem of my possessions. I can NOT find those folding sweet spots and everything in my drawers is in a mosh pit. My hand bag looks sad every time I walk by its nightly fullness. My socks are falling down. I'm not sure why. I hate the word joy now. I'm sleep deprived. My possessions call out to me for help but I don't know if they want me to summon joy or if they want to leave. The other day my husband heard me thanking my underwear for staying up all day. I'm not sure how much longer I'll be married."
1,https://www.goodreads.com/user/show/730754-ken,Rating 2 out of 5,"How do I get into messes like this? Reading books that have words like ""tidying"" in their title, I mean. Well, there's a story behind it.The Good Wife and I are trying to purge, to clean up after decades of marriage, kids, three moves, etc. ""We've got to do something about all this stuff we keep bumping into or dusting,"" I keep saying, ""something more than the penny ante efforts we're doing so far.""Enter a New York Times feature on THIS book, calling it the greatest thing since sliced sushi:http://www.nytimes.com/2014/10/23/gar...""That does it,"" I told my wife. ""We're both reading this on the Kindle.""""You first,"" she said.I should've known right there. It was kind of like the puppy we picked out 10 years ago. ""He's a little mouthy,"" the guy at the shelter said. You'd think an English major would know foreshadowing when he heard it.Anyway, I'm reading this book and reading this book and saying to myself, ""The Times article IS the book. Free, too! Why am I reading all this filler, this clutter, these words in need of TIDYING up?""That said, I should give the book a star back just for the punch line, ""Does it spark joy?"" It's what you say when holding some up-for-tossing item in your hand. ""Does it spark joy?"" If not, heave and ho, my friends.Just now, I looked around the kitchen with my wife at my side. ""Nothing in here sparks joy...,"" I said.""I'm in the kitchen,"" she replied firmly.""No, no. Stuff, I mean.""Anyway, that's the gist of the book. As for her system, Marie Kondo goes into houses (she does this for a living) and starts her ritual by singing its praises. Then she practices the praise of reduction. She's grateful in her own home, too. For instance, she brings her purse home from work, empties it, puts stuff in its place (fear not, it has a place), then thanks her purse for another job well done. In the morning it all goes back in. Says it extends the life of her purse. You tell me -- ""tidying"" or tidying?Marie also says to congregate everything by category in one spot. Start with clothes. Never room by room where clothes may be found, but ALL clothes from the WHOLE house in ONE spot on the floor (if you have a room big enough, and you don't). Now hold each piece of clothing, one by one. ""Does this spark joy?"" Bzzt.(And that's just the clothes... you still have books, papers, mementos, and personal stuff ahead and in that order.)The only other thing I recall is hanging stuff in the closet. Light clothes (color, material) left, darker and heavier right. That's after you've tossed 87.9% of it.Anyway, my wife is getting cute now. ""Done,"" I said. ""Now you.""""Why don't you tell me the highlights instead,"" she said, already spooked by the ""spark-any-joy?"" talk.""Wha-?""Yep. Just like the former puppy that by now has consumed half the house because he's ""a little mouthy."" Should've seen it coming from the get-go -- the minute I got the ""you first"" line. Bottom line: You can't ""tidy"" a house in ruthless Marie Kondo fashion when you're 40% of a pair (the other 60% having a Security Council Veto, among other super powers). But that's marriage... a very untidy thing."
2,https://www.goodreads.com/user/show/6536286-ariel,Rating 5 out of 5,"""You will never use spare buttons."" WORDS WE ALL NEED TO HEAR.I really thoroughly loved this book. I've always been interested in minimalism - trying to stop material goods being the things that bring us happiness, and not owning more than we need - and picked this book up after hearing a few people around me enjoy it. I was hoping it would give me a few tips on how to lead a more clutter-free existence, and while it accomplished that, it also did so much more. The thing that most stuck me about this book was the immense respect that the author, (who feels like my friend after reading this, a gentle companion through this process), shows to all possessions. She understands that this is an emotional process, and her ideas are not about guilt. She isn't saying ""You're a fool for allowing all of this garbage into your life! Get rid of it all at once!"" Instead she's saying ""All of these things came into your life for a reason, take your time considering them, and then thank them and let them go onto the next stage of existence."" It's all so kind and loving and made me not feel guilty or fear the process.I also really liked the structure of this book. It has a solid introduction, a clear process, a section of tips, and then a conclusion. It's very straightforward and doesn't feel complex or gimmicky. It all feels like common sense. It also had key points in bold which helped in figuring out the main thesis of different sections.The book focuses on tidying your house, but for me (and most of the people reading this) we don't own a house, we own one room. I don't think this matters for two reasons. Firstly, the ideas and methods in this book can be perfectly applied to your space, no matter how extensive it is. It's all about creating the most positive space imaginable, and that is very achievable with just one room. Secondly, this book was very much a philosophy. It's about learning to reflect on the relationship between you and your possessions and is something I will carry with me moving forward in life. Someday I will move out of my parents house and into my own house/apartment and I am extremely grateful that I have read this book and will be able to start that journey with this knowledge.Thank you, Marie, for sharing what you've learned, I'm very excited to start my journey of only surrounding myself with things that I love and bring me joy."
3,https://www.goodreads.com/user/show/2435270-george-cotronis,Rating 1 out of 5,Do you like talking to furniture? Do you believe shirts have souls? Are you insane? This might be the book for you.
4,https://www.goodreads.com/user/show/2866806-suellen,Rating 2 out of 5,"This book did not spark joy. Therefore, I am discarding it."
5,https://www.goodreads.com/user/show/288885-maggie,No Rating,"The book is short and sweet, and the author is bat-shit crazy. But. Here are two take-aways that will stay with me:If it does not spark joy, throw it out.And: ""My basic principle for sorting papers is to throw them all away.""Believe me - I have been throwing away (and selling, and donating to Goodwill) with a vengeance for the past few days, and tidying. I refuse to fold my socks though. Folding socks is for people with all the time in the world."
6,https://www.goodreads.com/user/show/4115019-sheri,Rating 2 out of 5,"""Personally, I recommend hanging sponges outside, such as on the veranda.""Quite possibly the funniest line I have ever read in a book. Because she is dead serious.Although there were several helpful sections about how to declutter and organize your home, much of this book is ridiculously funny. This woman obviously has no children (and no life) as she speaks to all her inanimate objects daily, empties her purse EVERY SINGLE DAY, and doesn't own a dish rack, preferring instead to put all her dishes ""on the veranda"" to dry. She's also afraid of hurting her socks' feelings. I gave it two stars because I do like the idea of getting rid of things that don't bring you joy and I like the idea of stacking things vertically. And I'm taking Marie Kondo's advice and getting rid of this book. It most definitely does not spark joy. Well. . . maybe in an ironic way. :)"
7,no user info,Rating 4 out of 5,"This book just spoke to me, for whatever reason, although I can see why others might not get much out of it. No matter what the subject is, I love reading books by people that are truly passionate about the subject matter, and one thing is for sure: Marie Kondo is passionate about tidying. Despite all of that, this book isn't really about tidying, at its core. It's about living very intentionally and allowing your surroundings and possessions to become an expression of yourself. If that last sentence made you roll your eyes, skip this book, but if you like the idea of finding meaning in the things that you own, you'll enjoy this. "
8,https://www.goodreads.com/user/show/279256-diane,Rating 3 out of 5,"This review was delayed because I was busy tidying up. Yesterday I finished this charming little book about the Japanese art of decluttering and organizing, and this morning I woke up filled with ENTHUSIASM and was ready to open up every drawer and every closet and to simplify, simplify, simplify. Of course, such projects always take longer than you expect. I was trying to follow the spirit of Marie Kondo's guidelines, which involve handling each one of your possessions and asking: Does this spark joy? If it gives you happiness, keep it. Otherwise, get rid of it.Imagine yourself living in a space that contains only things that spark joy. Isn't this the lifestyle you dream of? Keep only those things that speak to your heart. Then take the plunge and discard all the rest. By doing this you can reset your life and embark on a new lifestyle.After spending most of the day doing that, my donation pile had grown to several bags of clothes, a big bag of kitchen items, and a hefty stack of books. The most difficult things to sort were the books (a problem I bet most people reading this can relate to) and fortunately, Marie had some good advice on this:The most common reason for not discarding a book is ""I might read it again."" Take a moment to count the number of favorite books that you have actually read more than once ... In the end, you are going to read very few of your books again ... So when deciding which books to keep, forget about whether you think you'll read it again or whether you've mastered what's inside. Instead, take each book in your hand and decide whether it moves you or not. Keep only those books that will make you happy just to see them on your shelves, the ones that you really love.I have many, many books that make me happy, and I will keep those. But when I looked more closely at my shelves, I do have a fair number of books that I can pass on because they have served their purpose. Which brings me to one of my favorite aspects of Marie's advice, which is that when you get rid of something, you take a moment to appreciate the item and how it served you.Each object has a different role to play. Not all clothes have come to you to be worn threadbare. It is the same with people. Not every person you meet in life will become a close friend or lover. Some you will find hard to get along with or impossible to like. But these people, too, teach you the precious lesson of who you do like, so that you will appreciate those special people even more. When you come across something that you cannot part with, think carefully about its true purpose in your life. You'll be surprised at how many of the things you possess have already fulfilled their role. By acknowledging their contribution and letting them go with gratitude, you will be able to truly put the things you own, and your life, in order. In the end, all that will remain are the things that you really treasure.Marie is apparently a very successful and sought-after organizing consultant in Japan, and her book has numerous stories about her clients' efforts to declutter. Marie says many of her clients have a life-changing experience doing this. For example, after getting rid of all the books that didn't spark joy, one of Marie's clients realized that all of the books she kept were about social work, and that what she truly enjoyed in life was helping others, so she changed her career. Marie said this kind of epiphany often ocrrus because once we clear away the clutter in our lives, we can better see what truly matters to us.The anecdotes and guidelines were helpful, and this was a pleasant read, even though the Japanese-to-English translation was a bit stilted at times. I doubt I will take every piece of advice Marie gives —- for example, she recommends putting all of your clothes on the floor, and then sorting them — but I appreciated the spirit of it.Now I have to decide whether or not to keep this book: Does it spark joy?"
9,https://www.goodreads.com/user/show/71848701-miranda-reads,Rating 4 out of 5,"

Looking for a new book but don't want to commit? Check out my latest 

BooktTube Video: One & Done 

 - all about fabulous standalones! Now that you know this one made the list - check out the video to see the rest!
The Written Review
:  The question of what you want to own is actually the question of how you want to live your life.
By no exaggeration, Marie Kondō has spent her entire life tidying.She tidied when she was a child up until her adulthood - and over those decades, she's learned a thing or two about keeping a house clean.
The space in which we live should be for the person we are becoming now, not for the person we were in the past.
 And the secret? Joy.That's right. The key to a clean house is joy - what makes us happy and how can we bring that more fully into our lives.She's taken on clients from all over the world and has developed the ""Konmarie Method"" to tidying - starting with the impersonal (clothing) and proceeding into the memorable (keepsakes/heirlooms). She's dealt with a wide variety of clients over the years, and has developed instincts for the best way to clear a house. And (more importantly) how to keep a house clean.
Clutter is caused by a failure to return things to where they belong. Therefore, storage should reduce the effort needed to put things away, not the effort needed to get them out.
She wants to make the world a happier, healthier and (above all) a tidier place.Overall - I liked this one!For as long as I could remember, my closet(s) practically overflowed with clothing (from years and years of keeping outfits ""just-in-case"").
But when we really delve into the reasons for why we can’t let something go, there are only two: an attachment to the past or a fear for the future.
After reading her book/watching her Netflix series, I was able to cut out all those extra clothes and really make my wardrobe manageable! One thing I found uniquely associated with her method is the way she integrates joy into her tidying. According to Marie, everything in your house should bring you joy - even the little things. And while that seems impractical when first thinking of it (who ever thought ""joy"" when they look at a potato peeler?), the more I thought about it...the more I realized she was right.Taking the potato peeler example (which I saw a few GR reviewers throwing it around), if you don't feel joy holding it...try getting rid of it.Next time you want to make mashed potatoes...think about how fun it is to use a knife to skin them. How many nicks you get on your hands. The loss of potato because of your awkward peeling.A few rounds of that and gosh darn, you'll become grateful (even joyful) to have a potato peeler in your hands again.And if you don't? Then I guess you never needed it in the first place and now your house has one less useless gadget.Some of her methods seem...questionable...especially to westerners. For example, she recommends thanking each piece of clothing that you get rid of for a job well-done.It seems silly, right? Utterly ridiculous. And yet...it works.At the end of my clothing un-haul, I was left with several shirts that I honestly didn't want...but I also didn't want to give them away. (You know the type. They hang out in the back of your wardrobe for years...and yet no matter how little you wear them...they're always still there).So, I tried the Konmarie method. I held each one in my hand - thinking, Does this bring me joy?If the answer was yes, I kept it. If the answer was no, I thanked the article of clothing for being in my life and for giving me what I needed when I first bought it. And then I let it go.And yes, I felt silly doing it - and I locked the bedroom door so that the hubby didn't know I was doing it - but at the same time, I felt closure. I was accepting that the clothes had no part in my current life and that holding onto them any longer wasn't helping them or me. It was time to set them free.The only thing I disagreed upon was books. Marie believes (strongly) that books go in and out of lives and they aren't really to be kept.
For books, timing is everything. The moment you first encounter a particular book is the right time to read it. To avoid missing that moment, I recommend that you keep your collection small.
Hmmm...does (literally) having a bookshelf in every room of the house (excluding the bathroom) count? (And note: the only reason the bathroom doesn't have its own bookcase is because I worry about the damp)My life is so intertwined with books that I honestly cannot see a time where my novels aren't the focal point of every room.Perhaps rereading the book will give me some perspective...All in all - I loved learning her secrets to a tidy life. My kitchen is wholly organized and I'm going to tackle the basement next. There's something truly wonderful about stepping back from a long tidying session and just admiring how nice the house looks!YouTube | Blog | Instagram | Twitter | Facebook | Snapchat @miranda_reads"
