,user_links,user_ratings,review_text
0,https://www.goodreads.com/user/show/71848701-miranda-reads,Rating 1 out of 5,"
Just released my Worst 2020 Books Video - now that you know this one made the list, click the link to find the rest!
The Written Review
ah. ifinally understand.it's not the wordsthat matter,but the spacesbetween.
-a slightly sarcastic review - 
I'm not normally a poetry person and this book did nothing to convince me otherwise.This whole book felt like those instagram quotes minus the inspirational photograph. Does that even count? I admit I'm no expert, but the words seemed more poetical than poem. Like the author took a really pretty sentence and then hit enter a lot.Also, maybe I'm a hypocrite here (just based on the sheer amount of books in my house) but I kind of felt bad for all the unused page space in this book. There's barely a handful of words per page and just vast amounts of white paper. It just felt a bit wasteful.Overall - it was...an experience. Not the best experience, but an experience nonetheless.
- a final poem -
the above reviewwas far moresarcastic than myearlier poem.but this oneis more vulgar.poop.YouTube | Blog | Instagram | Twitter | Facebook | Snapchat @miranda_reads"
1,https://www.goodreads.com/user/show/14457130-whitney-atkinson,Rating 2 out of 5,"2/7/2017I get likes on this review daily and for a long time i've felt like a 3-star review was too generous so I lowered it to 2 today, which is more accurate in hindsight.7/11/2016If I could sum up my thoughts about this book, it would just be, ""Oh.""Honestly, very underwhelming. I'm not sure why people go crazy about this book and say it's gorgeous and it's their favorite book, because honestly, it's very plain. Some poems are just basic sentences with random skips that have no real point, they aren't too lyrical, and it's literally just like reading a normal sentence. I expected I would love every page of this, but I only marked 4 poems. This just was nothing new. The concepts in this poem, especially when it rolled around to the feminism aspects, just didn't wow me. An entire poem just about ""you don't NEED a man you WANT a man"" was just a repeat of things I've been hearing for years. It wasn't interesting, and a lot of the poems just sounded so pretentious because it was just plain text with no punctuation and random skips in the lines being fed to the reader as art. Someone mentioned this was a little too ""Tumblr,"" and I agree. It was a quick read, but just a little bit frustrating because it was too simple, too familiar. The art was nice and a few of the poems were well-written, but for the most part, it seems like very little effort was put into this, which makes me sad because that's such a mean criticism for an artist who puts so much emotion into her work."
2,https://www.goodreads.com/user/show/114413220-sofia,Rating 1 out of 5,"*laughs awkwardly* That just happened. If I had known I could write a bestselling book of poetry by putting random thoughts on blank paper and making them look ~pretty,~ I would be a millionaire by now. i don't understandthe point of breaking sentencesup like thisfor the sakeof wasting paperand my timeThere. Was that poetry? Apparently. Milk and Honey is supposed to be inspiring and feminist. At least, that's what I read in the synopsis. I picked it up because of the memes, but whatever. It wasn't inspiring, and it wasn't meme-worthy either. _i brought you ice creambut you werelactose intolerant -sofia_I think the most intriguing part of this book was actually the art, not the poetry. But the drawings by themselves are just fine, and the poetry by itself is just okay, and together they're pretty mediocre. But still. It's food for thought, I guess. _you gave mean appleand i threw itat your face- sofia_Overall, I thought this was a really gimmicky book of poems. It was just an ""artistic way"" of scribbling that I felt was contrived instead of beautiful. _i stayed at a bed and breakfastthe room had no bedbut they stillbrought me an egg- sofia"
3,https://www.goodreads.com/user/show/19285053-jessie,Rating 1 out of 5,"I read this in a bookshop. I wanted to give it zero stars. It's not poetry. It's shamefully derivitive and doesn't employ any poetic devices except for the most cliched - and not to positive effect. Random line breaks and sentence fragments are used because it is what is expected of a poem, but the author doesn't seem to understand that in poetry, these serve a purpose and must contribute to the poem's larger meaning. The allusions and metaphors are misplaced and nonsensical. ""Milk and honey"" is a phrase that has been used for hundreds if not thousands of years: there is nothing new or interesting or creative or poetic in this book. It reads like a 13 year old's diary. This book is for people who have never read poetry outside of school, and that's too bad. I feel sorry for them because they are missing out. "
4,no user info,Rating 1 out of 5,"While Rupi Kaur seems very passionate and while I agree with her politics, content, and message, that doesn't make this writing very good. Some of the poems are excellent and will draw you in, but mainly, they are very overrated in terms of pure quality. I see why her poems are popular, but not why she's considered a 'great' or 'brilliant' writer. She's addressing universal themes, but she doesn't do so in an especially artful/skilled way. I'd say if you aren't a big fan of poetry, this book could get you interested in it, but if you're expecting just plain good old-fashioned literary talent, you won't find it here."
5,https://www.goodreads.com/user/show/8114361-jesse-jessethereader,No Rating,"lol started this forever ago & just now finished it! didn't love this one as much as i was hoping to, but i understand why so many connect to it. i respect the author for being so open and honest about things she's faced."
6,https://www.goodreads.com/user/show/43247359-gertrude-carrington,Rating 2 out of 5,your poetryis almost as terribleas your love life
7,https://www.goodreads.com/user/show/4615008-lauren,Rating 1 out of 5,"maybethese poems are justwordsrandomly separatedby hitting enteror maybeI just don't get poetrytrigger warnings: rape, abuse"
8,https://www.goodreads.com/user/show/36179502-rose,Rating 1 out of 5,poetry or basic tumblr posts?
9,https://www.goodreads.com/user/show/6536286-ariel,Rating 4 out of 5,"2016 was a year of poetry for me. I read more poetry than I ever have before, I wrote more poetry than I knew I was capable of, and I even started performing poetry. Milk and Honey was one of the catalysts for this, written by an author from a town near me, of very similar age to me, powerful and raw, I enjoyed flipping through this and connecting to the poems and illustrations. I like that she shares her poetry online, that a huge part of why they're successful is because of how sharable they are. I like that they were about abuse and healing, but also about love and self love. I see this book as a great inspiration, I see Rupi Kaur as a great inspiration, and I'm glad it was a big part of my thoughts in 2016.This was me after performing at an event in Brampton, Ontario on April 11th, 2016 with Rupi Kaur!"
10,https://www.goodreads.com/user/show/2018505-thomas,Rating 5 out of 5,"milk and honey tore through my analytical mind and burrowed deep into my ultra-sensitive soul. It slayed all my emotions, my feminist desires, and my love for vulnerable writing. I may not know a lot about poetry, but I do know a decent amount about feelings, and Rupi Kaur brought all my feelings tumbling out with this gorgeous collection of poems. She writes about love and loss, trauma, and femininity - subjects that I so happen to adore. In spare yet thorough language, she addresses what it feels like to be broken, to be loved, and to be stronger on one's own. This collection, while in many ways simple, addresses some of the darkest and most hopeful matters of the human heart. If you enjoy marinating in your feelings or if you often ponder topics like female empowerment, getting over heartbreak, or what it means to love, I would recommend you check out milk and honey asap. Now I will include three of my favorite poems, though I wish I could include them all.On calling women pretty:""i want to apologize to all the womeni have called prettybefore i've called them intelligent or bravei am sorry i made it sound as thoughsomething as simple as what you're born withis the most you have to be proud of when yourspirit has crushed mountainsfrom now on i will say things likeyou are resilient or you are extraordinarynot because i don't think you're prettybut because you are so much more than that""On co-dependency:""you are in the habitof co-dependingon people tomake up for whatyou think you lackwho tricked youinto believinganother personwas meant to complete youwhen the most they can do is complement""On what is most important:""most importantly lovelike it's the only thing you know howat the end of the day all thismeans nothingthis pagewhere you're sittingyour degreeyour jobthe moneynothing even mattersexcept love and human connectionwho you lovedand how deeply you loved themhow you touched the people around youand how much you gave them"""
11,https://www.goodreads.com/user/show/23381142-natalie,Rating 4 out of 5,"milk and honey is a collection of poetry and prose about survival. About the experience of violence, abuse, love, loss, and femininity. It is split into four chapters, and each chapter serves a different purpose. It’s difficult trying to review this because every poem is extremely personal, tender and exquisite in its own way.So I decided to feature some of my favorite ones:“you tell me to quiet down causemy opinions make me less beautifulbut i was not made with a fire in my bellyso i could be put outi was not made with a lightness on my tongueso i could be easy to swallowi was made heavyhalf blade and half silkdifficult to forget and not easyfor the mind to follow���“i struggle so deeplyto understandhow someone canpour their entire soulblood and energyinto someonewithout wantinganything inreturn- i will have to wait till i’m a mother”“when my mother says i deserve betteri snap to your defense out of habithe still loves me i shoutshe looks at me with defeated eyesthe way a parent looks at their childwhen they know this is the type of paineven they can’t fixand saysit means nothing to me if he loves youif he can’t do a single wretched thing about it”“he only whispers i love youas he slips his handsdown the waistbandof your pantsthis is where you mustunderstand the differencebetween want and needyou may want that boybut you certainlydon’t need him”“i am a museum full of artbut you had your eyes shut”“people gobut howthey leftalways stays”“what i miss most is how you loved me. but what i didn’t know was how you loved me had so much to do with the person i was. it was a reflection of everything i gave to you. coming back to me. how did i not see that. how. did i sit here soaking in the idea that no one else would love me that way. when it was i that taught you. when it was i that showed you how to fill. the way i needed to be filled. how cruel i was to myself. giving you credit for my warmth simply because you had felt it. thinking it was you who gave me strength. wit. beauty. simply because you recognized it. as if i was already not these things before i met you. as if i did not remain all these once you left.”“loneliness is a sign you are in desperate need of yourself”“you tell mei am not like most girlsand learn to kiss me with your eyes closedsomething about the phrase—something abouthow i have to be unlike the womeni call sisters in order to be wantedmakes me want to spit your tongue outlike i am supposed to be proud you picked meas if i should be relieved you thinki am better than them”“other women’s bodiesare not our battlegrounds”“you were a dragon long beforehe came around and saidyou could flyyou will remain a dragonlong after he’s left”“you look at me and cryeverything hurtsi hold you and whisperbut everything can heal”“how you love yourself ishow you teach othersto love you”“what terrifies me most is how wefoam at the mouth with envywhen others succeedbut sigh in reliefwhen they are failingour struggle tocelebrate each other iswhat’s proven most difficultin being human”(Most of my favorite quotes were from the healing section, and it was pretty though trying to narrow it down to my preferred quotes.)It also featured some pretty amazing illustrations, which I’m always up for in books:



























































Overall, this collection was exquisite and exactly what I needed right now. milk and honey is definitely going to stay on my mind for a while, and I hope to come back to it time and again.4.5 stars*Note: I'm an Amazon Affiliate. If you're interested in buying milk and honey, just click on the image below to go through my link. I'll make a small commission!*

This review and more can be found on my blog."
