,user_links,user_ratings,review_text
0,https://www.goodreads.com/user/show/48814762-james-q-golden,Rating 5 out of 5,"I'm sorry, but it seems you're looking for a review to help you decide if you Really want to read this book--if it's worth your time--or not. Wondering if somebody would be kind enough to provide you with that one review which would appeal to your tastes.I have EXACTLY what you're looking for, but why would I provide it for you? I'm thinking No. Go ahead: tell me. Why would I bother saving your time with an eloquent and thorough review that would Definitely appeal to you and surely help you decide? Go ahead: tell me.Are you done?The answer is the same: it ain't happening. It seems you're wasting your time. The answer is a big, fat No.What now?It seems you're a little stuck right now, doesn't it? My answer doesn't sound it'll change anytime soon--I mean, I'm not the kind of guy who keeps checking his reviews and keeps editing them accordingly, so now what? Looks like you could use some of the tips found in this book. Wasn't it about negotiating?Hmm. . ."
1,https://www.goodreads.com/user/show/20011606-paige-halper,Rating 1 out of 5,"**Edit as of 5/31/22: It appears I’ve gotten under some people’s skin. Welcome to the exchange of ideas, friends! I understand that your comment means you really want my attention and read what I have to say! That’s awesome. I, however, don’t give a shit about what you have to say. You’re free to comment and I’m free to ignore it. LMFAO.**Did I really just read 288 pages of a white dude describing the world and how he manipulates others to ""get the right answer"" to his questions? I feel sick. With the preface, you really believe Voss is the expert in his field (and a humble expert, which is refreshing beyond belief). But you'll also start to realize about 15 pages in that Voss' techniques only work because he lives in a world where everyone is systematically inclined to make men like him happy (either for fear of retribution or because they are men who hope Voss' success mirrors (hey, I used his favorite word!) their own). The world already accommodates him.Can't wait for Never Split the Difference 2: A Woman's Perspective. It would be about 250 pages shorter because no one takes her seriously enough to answer her questions and instead asks to speak with the man in charge."
2,https://www.goodreads.com/user/show/10547530-mark,Rating 5 out of 5,"One of the best books I've read over the last few years. In my opinion, the title does NOT do it justice. While this is applicable to negotiating, and the title DOES highlight a critical component, this book is valuable to MANY types of negotiating, even situations that we may not consider to be negotiating... things that happen every day. This borrows heavily from behavioral and neuro science areas to get at the way people work (all of us). It of necessity helps gain trust. It helps in understanding others and what their true motives are, so you can meet their needs. This can be applied whether you are negotiating for just helping someone. It's an amazing book... there are only about 4 books that I will repeat (maybe more than a 2nd time). This is DEFINITELY one of them. Thanks for an amazing lesson and reference, Chris! You're amazing."
3,https://www.goodreads.com/user/show/48650982-always-pouting,Rating 3 out of 5,"A lot of what affects how much you enjoy these books is, again, how self aware you are or how much consideration you've given to how you talk to people and the best way to get what you want from others. If you already easily have any easy time convincing people, or have thought about it and are self aware of how you behave and talk to others then I don't think any of these things are going to be surprising or helpful but if you haven't ever actually considered the way you interact with people then maybe this will be an eye opening book for you. Personally I think I've always been a little manipulative so I wasn't all that impressed. The writing was average also so the books clear and easy to read but I wasn't impressed by the writing either."
4,https://www.goodreads.com/user/show/176152654-ugvaja-maks,Rating 5 out of 5,"Voss's years of experience as a former FBI hostage negotiator shine through in this insightful book, providing practical strategies for navigating difficult conversations and achieving mutually beneficial outcomes. Narrated by Voss himself, the audiobook edition brings his expertise to life with clarity and authority. What sets in this book apart is its emphasis on empathy and active listening as key tools in negotiation. Voss's approach, rooted in human psychology and real-world negotiation scenarios, offers valuable insights for both professional and personal interactions.From the concept of ""mirroring"" to the power of ""tactical empathy,"" Voss shares actionable techniques that have the potential to transform your negotiation skills. As someone who has honed his craft over decades, I appreciate Voss's practical advice and nuanced approach to communication.With a wealth of positive reviews, it's clear that Voss's methods resonate with readers from all walks of life. Whether you're a business executive, a parent, or simply someone looking to improve your communication skills, this book is an indispensable guide to achieving success in negotiation."
5,no user info,Rating 2 out of 5,"While I enjoyed reading the book, I couldn't help realize it was mainly about how to manipulate and use people in order to get your way. No matter how Chris worded his stories, examples, and techniques it all sounded like he is teaching ""how to use others for your personal (or business's) gain. I honestly felt dirty reading it as it does teach how to be a horrible person to others while smiling and coming off as a great person. I'll say as some one with high functioning autism and learning ""to be human"" (communicate and function normally in conversation) it does help me to see just how evil people can actually be, and avoid them. I learned from this book, the signs of manipulation and deception when talking with people or negotiating. I get why top business people and those who deal with negotiating on a daily basis would read this book and learn from it. Good book for power/money hungry business people and good for those who want to learn how to avoid them."
6,https://www.goodreads.com/user/show/1216206-rita-arens,Rating 5 out of 5,I actually TOOK NOTES on this book.
7,https://www.goodreads.com/user/show/12925436-annie,Rating 4 out of 5,"The book should have been titled ""Start at No in Negotiations."" Often, a ""no"" means ""wait"" or ""I'm not comfortable with that."" Probe deeper and listen carefully to uncover key information behind the ""no"" (such as ""I want to but I don't have the money now"" or ""it is actually my spouse, not me, who doesn't agree""). This is a much more effective approach than trying to get the counterpart to say ""yes,"" which the person might say just to get rid of you.The author, who is a former FBI hostage negotiator, included too many hostage stories. These situations where lives are on the line, the negotiator would never split the difference (e.g., you take 2 hostages and I take 2 hostages) and hence, the book title. But for everyday situations (like negotiating with a family member, buying a car, or working with colleagues), the stories aren't that useful and such a perspective on negotiations isn't practical.I recommend starting with Chapter 9 to understand the types of people in negotiations:Analyst - methodical and diligent; need time to go over facts and consider the optionsAccommodator - builds rapport through a continuous free-flowing exchange of information; not necessarily focused on the desired outcomeAssertive - direct and candid; getting it done quickly is more important than spending more time on getting it done rightThen start from the beginning and practice the skills, including:Mirror - repeat the last three words (or the critical one to three words) of what someone has just said to draw out more information from the personLabel - validate someone's emotions and fears by acknowledging it (such as ""it seems like you feel you're not being appreciated"")Accusation List - list the worst things the counterpart could say about you (such as ""you probably think I don't spend enough time on this project"") and give statements to alleviate that concern (such as ""You can trust me to do my part without supervision"" and ""we all want this project to be successful"").Ask questions, collect information, and consider creative ways to get to your goals (such as non-monetary items - amenities, upgrades, positive reviews, and referrals). There is much more in the book that goes through the nuances of what to say, how to say it, and how to behave. It is a book that you need to read slowly, take notes, and practice the tips before moving on to the next chapter."
8,https://www.goodreads.com/user/show/34235533-mario-velarde,Rating 5 out of 5,"Fantastic book. While I recommend it to everyone, I almost don't want to give away a competitive edge and prefer no one reads it--it's that good!"
9,https://www.goodreads.com/user/show/2199404-andy,Rating 2 out of 5,"This does not work well as an audiobook because there's a lot of filler and hot air. I agree with the starting premise of the book, i.e. that ""Getting to Yes"" is more or less useless because people aren't robots: When everybody involved is nice and logical, no one needs help with negotiating. Having said that, I'm not sure how especially useful his advice is. Personally, I got much more out of: Talking to Crazy: How to Deal with the Irrational and Impossible People in Your Life

. I would also recommend The Introvert's Edge: How the Quiet and Shy Can Outsell Anyone

. The author there recognizes that introverts have different strengths/weaknesses vs. extroverts and tailors advice for them. Voss, on the other hand, describes himself as an asshole, and seems to think his advice applies to everyone. He doesn't appear to get that for many people a lot of what he recommends is either obvious (listening) or odious (taking maximum advantage of other people's misfortunes). Stuff like haggling for hours at the car dealer is something that gives him years of enormous pleasure, but nowadays would often just be an avoidable waste of time. Some of the advice seems harmless and potentially helpful (e.g. using ""how"" questions) and I'm willing to try that. If it helps, I'll bump up the rating."
