,user_links,user_ratings,review_text
0,https://www.goodreads.com/user/show/4687823-vinaya,Rating 5 out of 5,"The one thing that always puzzles me is people's tendency to compare Georgette Heyer to Jane Austen. As well compare Crime and Punishment to a John Grisham novel! I am not denying the literary merits of either genre; far from it, in fact. However, that doesn't change the fact that one is trying to compare chalk and cheese. Jane Austen's purpose in writing her novels was not merely to tell a story. In fact, the story was merely a vehicle to examine critically the mores and customs of the society of her times. In an era where women academicians and philosophers were all but unknown, Austen used the only avenue open to her to espouse her brand of social commentary - the novel. Georgette Heyer, on the other hand, wrote to entertain. Full stop. Her books are not, and were never intended by her to be, anything more than a pleasant way to pass time. That being said, in the context of the Regency romance, she is the unparalleled expert. Her knowledge of the ton or Regency high society, is unmatched by any novelist save those who actually lived in those times. Frivolous and flighty though her work may be, the authenticity of her voice cannot be denied. The Grand Sophy is my favourite Georgette Heyer book. I have a special place in my heart for each and every one of her novels, but in The Grand Sophy, she brings to bear all of the skills that are her forte. Sophy is charming and strong-willed, a force to be reckoned with. Unlike with most of our recent Regency romances, her heroines are never milk-and-water misses; I do not think I have met a single Heyer heroine who could not kick the ass of our current crop of romance heroines. Working within the boundaries of a rigid society, she manages to make her women intelligent, witty and charming. Sophy is a devious, meddlesome schemer, who manages to win our hearts, and the hero's, without ever submersing her personality. What draws me back to Heyer time and again is the sheer sense of fun that she manages to impart to each and every one of her novels. The plots are never standard, nor are the heroines or the heros. Take, for example, Gilly from The Foundling. He's no alpha man; he's a timid, weak aristocrat who still somehow manages to be adventurous and find himself and his path in life. Or Freddie from Cotillion, a dandy with no great physical prowess or good looks, who manages to get the girl of his dreams simply by being kind and reliable. These heroes are so real, so much more believable and lovable than the rich, dissolute alpha males of our contemporary historicals who manage to win the heroine simply through the hardness of their abs and the hugeness of their ""manhood"". Georgette Heyer's books will live on long after the Harlequin historicals fade from our memories, simply because she is superlative at what she does: making you believe in romance. Not lust, not soulmates but romance."
1,https://www.goodreads.com/user/show/8734459-tadiana-night-owl,Rating 5 out of 5,"4.5 stars. May 2021 update: Q: Why did I reread this for the third time when I have a massive backlog of books sitting on my shelf that I haven’t gotten to yet? A: It was fun and witty and (mostly) lighthearted. No regrets!If you ever wanted to see a Regency-era heroine really take charge of her life, you'll probably love The Grand Sophy. Sophia Stanton-Lacy, better known as Sophy, is dropped on her aunt's family by her globetrotting father, who asks his sister, Lady Ombersley, to watch over his poor little Sophy.Enter Sophy, 5' 9"", independent-minded and brimming with confidence. Sophy quickly figures out all of the dysfunctions in the Ombersley family, including a father with a gambling addiction, a passive mother, a daughter who throws over the perfectly nice, eligible lord she's supposed to marry in favor of a swoony, absent-minded poet, and a younger son who's managed to get himself into some deep trouble. And the older son, Charles, who has taken over control of the family and its finances to try to pull everything together, and in the process has lost his sense of humor, turned into a domestic tyrant of sorts, and managed to get himself engaged to a vindictive, overly proper woman, Eugenia Wraxton.It's a good thing Sophy is a take-charge-and-fix-it kind of person. Also luckily, Sophy is intelligent and has a great sense of humor. It's a sheer pleasure to watch her take on Charles.He said stiffly: 'Since you have brought up Miss Wraxton’s name, I shall be much obliged to you, cousin, if you will refrain from telling my sisters that she has a face like a horse!''But, Charles, no blame attaches to Miss Wraxton! She cannot help it, and that, I assure you, I have always pointed out to your sisters!''I consider Miss Wraxton’s countenance particularly well-bred!''Yes, indeed, but you have quite misunderstood the matter! I meant a particularly well-bred horse!''You meant, as I am perfectly aware, to belittle Miss Wraxton!''No, no! I am very fond of horses!' Sophy said earnestly.Jane Austen's Emma should take a clue from Sophy. Emma tries to manage everyone's lives, especially their romances, and is usually wrong. Sophy - who, in fairness, is much more cosmopolitan than Emma - pretty much always succeeds at managing everyone's lives. Luckily for everyone involved, she's also pretty much always right, with one notable exception that ends up turning out right anyway, because the universe clearly loves Sophy.I really didn't mean to swallow this book whole in one day, but once I got going I couldn't stop. And when Heyer pulls all the main characters together at the end for one of those absurd farcical scenes she does so well, it was comedy heaven.This would be a 5-star book, easy, but unfortunately there's a really problematic minor subplot, right in the middle of the book, that involves a stereotypical greasy, evil Jewish moneylender (the name Goldhanger and his ""Semitic nose"" are your textual clues). It lasts for about 5 pages, max. I've looked at different ways of rationalizing this (those were different times? it's just one character and not necessarily the author's commentary on all Jews?) but I can't get comfortable with it. Nor do I think I should - this was published in 1950, post WWII, by which time people generally and Georgette Heyer specifically should have known better. This one scene will ruin the entire book for some people. If you can rationalize it or ignore it - or skip over it, knowing that Sophy prevails in their brief encounter - this is otherwise a completely delightful book. If you can't, that's totally understandable. I understand the racial descriptions have been removed from some editions of the book, like Agatha Christie's And Then There Were None, which seems to me a happy answer to this problem.Because really, Sophy's a great character and, that one scene excluded, this is one of Heyer's best novels. I would love to hang out with Sophy - we could braid each other's hair and she could fix all my problems. Content notes: Definitely some dated stuff here: In addition to the brief anti-Semitic jabs, you have a somewhat volatile love-hate relationship where the guy jokes about how he’s going to choke the girl then kisses her. Don’t read it if that’ll offend you."
2,https://www.goodreads.com/user/show/25867535-carol-she-s-so-novel,Rating 5 out of 5,"One of Georgette's best loved Regencies it is impossible to read it any other way than as the story is told - breakneck! & the smile never left my face!While Sophy stays true to the period, in a lot of ways she is a far more modern heroine - it simply doesn't occur to her she can't be independent or that she doesn't know what is best for her cousins the Rivenhalls when she is sent to stay with them.The whole family reminds me of the Von Trapps in a Sound of Music, with Charles Rivenhall having Captain Von Trapp's autocracy & his father Lord Ombersley his distance. & there is a gaggle of adorable young children & teens. Lord Ombersley would be a good candidate for Most Irresponsible Father in a Georgette Heyer Novel. His fecklessness means that Charles has taken over the family reins & has become old before his time. To ease his load, he becomes engaged to the serious & deadly dull Eugenia, not recognising the mean spirit hidden behind the correct Society manners.Clearly Sophy can't let this sad state of affairs continue & mayhem follows, till everyone gets their happy ending!A wonderful caste of characters that I have fallen in love with. A minor quibble is that one of the younger children Theodore disappears from the book - or else is merged with another son Hubert. But Heyer had a lot of strands going in this book so that is understandable.Less forgiveable is the anti-Semitism, baffling since Heyer herself is believed to have some Jewish blood. I still prefer to read uncensored & just accept my literary idol did have feet of clay.With this edition - a typo in Chapter 8. The cover is a little insipid - no way could that girl be the sparkling Sophy! Let's say they are Cecy & Charlbury! This one (that I grew up with) is far better! 

& Outrage! there are rumours of a Grand Sophy film in the works. Before you break out the champagne - read this link! https://www.goodreads.com/topic/show/... I'm hoping this is a wind up, but not mentioning Heyer's name & calling the book a ""bodice ripper"" aren't good signs!Edit 4/8/15; I've heard from Jen Koestler & another member of the Georgette Heyer fans group has heard from scriptwriter Olivia Hetreed. The bodice ripping Jane Bond idea was discarded years ago. Hetreed writes that she is a lifelong fan of GH & will hopefully produce something true to the spirit of this book.Edit: Quite a coincidence - last read almost three years ago. Still no sign of the promised movie. Sigh.My previous review still stands - I'll just add that I have a far better opinion of Charles this time. With that father, no wonder he has become bad tempered & autocratic!

My third read since being on Goodreads (although I have read at least sixty times before that.) What can I say - I'm obsessed.After a particularly disappointing read from another author what is really great with the better GH novels is how you are launched into the story straight away. Even minor characters are clearly delineated & you don't have trouble following the story!An easy 5★"
3,https://www.goodreads.com/user/show/17438949-melissa-dog-wolf-lover-martin,Rating 5 out of 5,"Buddy Read w/ the wonderful, Candi & Phrynne.Once again, my goodreads friends and in groups have gotten me to read a book that I thought I would never like - and guess what? I loved it! Lady Ombersley's brother, Sir Horace decides to leave his daughter, Sophy with them while he is away. Sophy usually goes with him when he travels the world, but on this occasion he needs her to stay with her aunt and uncle and all of the cousins. What a joy Sophy was to a most droll household. The eldest brother, Charles was so tiresome in the beginning. He didn't seem to want to let any of the women have any kind of fun or do anything for that matter. Charles is also engaged to the horrible, Miss Wraxton, I wanted to drop kick her off the roof. They both seemed made for each other, at least in the beginning =) And then . . . SOPHY arrives. I thought she was going to give her aunt a heart attack. You see Sophy has been brought up very differently then most girls. She arrives with her beautiful horse Salamanca, Tina her little Italian Greyhound and Jacko the monkey she brought for the children that she rescued. I think she had a bird too. I just loved her. =) Sophy is a force to be reckoned with, she sets out to turn everything right for as many people as she can. She works on her cousin, Cecy, who is being stupid in her choice of men. She helps her cousin Hubert who is in a bit of a gambling situation himself. There are several things she does and she doesn't take no lip from Charles. She puts him in his place so many times I loved it so much. Sophy is such fun. She asked her aunt where bank was so she could go get her finances in order. Well this just about made the woman in the family fall over, not to mention Charles. No one ever heard of a woman going into a bank. And then Charles is taking Sophy to the back because that's how she rolls =) They got into a little arguement when Sophy was asking Charles where she could buy her own phaeton and horses and he was livid, saying women don't drive their own phaetons. Blah blah and blah. Well she showed him. After her business in the bank, where she had Charles wait in the phaeton, they stopped off on an errand for Charles. She waits in the phaeton with the groom. I knew exactly what she was going to do when she takes off one glove and lets it fly over to the ground. She talks the groom into going over to get it and this is what happens next:'Tell your master that it is too chilly to keep the horses standing!' Sophy called after him. 'I will tool the curricle round the streets for a few minutes, and come back to take him up when he is ready!'The groom, who was stooping to pick up the glove, nearly fell over, so swiftly did the spin round. He had an excellent view of Miss Stanton-Lacy (Sophy) driving at a smart pace up the street. He made a gallant but belated attempt to catch the curricle, but it swept round a corner just as the wind blew his hat off, and sent it blowing down the street.Needless to say that Charles was furious when she got back. I laughed and laughed. Since Charles wouldn't tell here where to buy a good phaeton and horses she asked another gentleman she met when she was out at the park with some of the family riding horses. Of course they had a fit because Sophy was racing Salamanca around and women just don't do that in the park. lol Sophy ended up getting some horses a man was selling that supposedly everyone wanted, but she got there first. And she ended up getting her own phaeton that was considered a sporting one and not one for a lady. This is how I picture it since it's supposed to be 5 feet high, which is my height. It's like those monster trucks, the monster phaeton. lol Once again I loved how many family members Sophy helps in this book and I loved the many times she put Charles and Miss Wraxton in their places about things. He said through shut teeth: 'I think I told you once before, cousin, that we did very well here before you came to upset all of our comfort!''Yes, you did, and what you meant, Charles, was that until I came no one dared to flout you. You should be grateful to me - or at any rate, Miss Wraxton should, for I am sure you would have made an odious husband before I came to stay with your Mama.'She even goes to see an moneylender to help out the other cousin I mentioned. And oh my goodness! She is not afraid of him or cares less for what he says. When he dares to try to threaten her she just pulls and gun and demands what she came for, says she will give him the money owed, or she can go to the cops or just shoot him. Either way . . . and she gets what she comes for =)Sophy had me laughing or smiling through most of the book. She is someone I would love to know in my real life. I loved her and I loved this book. Another little gem found in the wonderful world of books and book friends. ♥ And yes, Sophy finds love herself at the very end! ♥MY BLOG: Melissa Martin's Reading List"
4,https://www.goodreads.com/user/show/3639005-candi,Rating 4 out of 5,"""She was by far too tall; nose and mouth were both too large, and a pair of expressive gray eyes could scarcely be held to atone entirely for these defects. Only you could not forget Sophy, even though you could not recall the shape of her face, or the colour of her eyes.""I for one will not forget the unstoppable and vivacious Sophy Stanton-Lacy anytime soon! A truly entertaining Regency Romance with one of the most delightful and dynamic heroines you could ever hope to encounter from this time period, The Grand Sophy is the perfect book when you need a break from your denser and darker reads. It is fast-paced, clever and often humorous. When Sophy’s father, Sir Horace, is summoned to Brazil on business, he entrusts her care – as well as the search for an appropriate marriage match - to his sister’s family. When Sophy arrives at the Ombersley doorstep complete with dog, parrot and monkey, she instantly creates a sensation. While the Ombersleys learn that Sophy is indeed unconventional, Sophy discovers that aunt, uncle and cousins are perhaps a bit dysfunctional. From cousin Cecilia who pines for a flighty poet much to the dismay of her family, to Lady Ombersley whose vinegars and fainting couch are always close at hand, to the often absent and oblivious Lord Ombersley, to cousin Horace with his concealed gambling debts and to cousin Charles himself, the true and exacting master of the household, Sophy will have her hands full. Sophy and Charles immediately butt heads and Sophy proves herself an impressive match for this unyielding gentleman. When Sophy tries to sort out and influence the various relationships and love matches, the household is further shaken up. The insipid and meddling Eugenia Wraxton, betrothed to Charles, is an excellent counterbalance to Sophy’s high-spiritedness. Eugenia says of Sophy, ""It is a pity that men will laugh when her liveliness betrays her into saying what cannot be thought becoming. It brings her too much into notice, and that, I fancy, is the root of the evil."" In regards to Eugenia and Charles, Sophy ""felt it a pity that so promising a young man should be cast away on one who would make it her business to encourage all the more disagreeable features of his character."" Throw in some reckless riding, a showy and decidedly unfeminine – at least by the standards of the day – carriage, an elegant pistol, a variety of other colorful characters, a scheme to set everyone straight in the world of romance, and you will find that Georgette Heyer most assuredly concocted a very pleasurable and wholesome adventure! This is my third Heyer read and I have plenty more downloaded to my kindle for those days when I want something light, witty, and engaging. I highly recommend trying one of her books if any of those qualities appeal to you."
5,https://www.goodreads.com/user/show/131922-mark-monday,Rating 5 out of 5,"

The Godfather Georgette Heyer has all her little ducks in a row. She's got the period detail, check. She's got the Old World styles, check. She's got all the characters who don't know what's about to happen to them and who'll get what's coming to them, check. She's got the manipulations and the double blinds and the cards all stacked up, check. She's got the romance under wraps but about to come up on deck, check. And she's got the gun and someone who knows how to use it, check. The Big G knows what time it is and the reader's about to know too.

Kingpin Sophy brooks no disagreement. Oh she'll let you rant and rave all you want. Let the little pawns moan and groan, but in the end they'll fall right in line. Sophy knows what's best for you, just follow her lead, minion. You'll see.

Dapper Don Sophy has all the skills and she pays all the bills. She's got the street smarts she learned on the Continent. She's got all the connects to the old school players. She's got the fashion sense to turn all heads. She's got the gun that will silence your attempt at some funny business. Minor league players don't stand a chance. Best stay in line.

Boss Bitch Sophy has her eye on that mouthy guy. She likes his sass. She'll show him how she handles a horse, 'cause that's her way of flirting. And she'll show him how she handles a gun, that's how she lets off some steam. She plays a little rough but she knows he'll learn to deal with it. She don't pick no weak bitches to be her number two. He'll learn it's best sometimes to just shut up and look pretty. Sophy always gets her way, there's no stopping this juggernaut, step aside or get rolled over. Don't mess with this one."
6,https://www.goodreads.com/user/show/4213258-bradley,Rating 4 out of 5,"A Regency Romance? What? What?Ah, but this was nothing very stuffy, indeed! Sophy was the model extrovert, a clever and busy and downright machiavellian girl. Do you like characters with so much agency that they pop right off the page? Sophy is your girl.Of course, that also means that she's pretty much a terror for all the stuffed shirts around her, and between getting in the way and deciding to ""help"" her relations find marriage, while all the while being the unwitting subject of the same dastardly plot.How will this comedy turn out??? Truly, the pacing is good, the plot is pretty Shakespearian, and the stuffed shirts get stuffed.It was pretty fun! Mind you, I do love a bit of romance fluff every now and again and this was light and churlish and sometimes even devious, but it is also pure popcorn fiction.I'm glad to have read it, but it's not generally the kind of thing I read, or at least, the setting isn't. The storied plots are pretty universal, though, and there were plenty of chuckles in store for me. Here's to broadening my horizon!"
7,https://www.goodreads.com/user/show/36434323-melindam,Rating 5 out of 5,"I have not read too many Georgette Heyer books, but so far this is my favourite, despite that attrocious, racist minor subplot which I just decided to completely ignore because the rest of the book is just soo good.The characterisation and story are fantastic and while on first reading it I was disturbed by the seeming lack of chemistry between the main couple, upon re-reading this book for the third time, I absolutely appreciate their unconventional relationship. And besides: Sophie is an awesome badass! :)"
8,https://www.goodreads.com/user/show/3569327-sonja,Rating 3 out of 5,"Sophy ist mit ihren 20 Jahren eine sehr selbständige, eigensinnige, intelligente und gewitzte junge Frau, die sich nichts vorschreiben lässt und ihren ganz eigenen Kopf hat. Im Jahr 1816 durchaus ungewöhnlich. Und so eckt sie auch oft an, hat aber auch einen ganz besonderen Charme, so dass man sie einfach mögen muss. 💜Das Buch hat mir im Großen und Ganzen gut gefallen. Unterhaltsam und amüsant, stellenweise aber auch etwas langatmig. Für mich hätte es ein paar weniger Seiten haben dürfen und etwas mehr Romantik. "
9,https://www.goodreads.com/user/show/30575403-lizzy,Rating 4 out of 5,"The Grand Sophy, my first Georgette Heyer, is a very entertaining book about a complete hoyden who turns people's lives upside down. The vivacious, unconventional and head-strong Sophy is a delightful heroine. She comes to stay at her aunt when her diplomatic father has to sail away to Brazil, of all places. She soons detects many problems that the family is struggling with, and decides to intervene. For their own good, of course. The Grand Sophy is the perfect read when you need a lull from denser, darker ones. It is fast-paced, clever and funny. Perfect brain-candy. Enjoy!"
