,user_links,user_ratings,review_text
0,https://www.goodreads.com/user/show/32879029-emma,Rating 5 out of 5,"My original review of this wasn't much of anything, because I believed (and still kind of do) that everything worth saying about this book has been said.However, there are things that I believe no one should say emerging in real time, and so contributing my likely already-expressed thoughts might counterbalance them, to some degree.In my first foray at writing about this (which you can still see below), I focused on the immersion of it. I said I ""loved"" its characters, though of course I meant more that I loved them as figures, considering they are unlikable murderers. I wrote about it vaguely and glowingly, thinking everyone had sort of...gotten the point of the book, already.But then I read this review in Gawker, so I'm coming back.The Secret History follows mainly our narrator, Richard, as he looks back on his time in the classics program of a liberal arts college. Richard is unhappy, impressionable, desperate. His values are more ideas than ideals - vague and dim reflections of what love, and beauty, and wisdom, concepts he's never known, might feel or look like, rather than what they are.He arrives at his preppy and prestigious(ish) New England college to slowly become obsessed and then part of the mysterious and selective classics program, a cultlike group of trust fund babies led by an often-overstepping and charismatic professor. Coming from a poor and abusive background, where beauty is nowhere to be found, Richard wants nothing more than to immerse and lose himself in this group of wealthy and charming students. He wants to befriend them, to sleep with them, to live with them, to do everything he can to become them. Including, as they indulge in ever-spiraling hedonism, murder.And it never works.When our story ends, our group is decimated, some members dead, some irrevocably changed, all unwilling to return to the story of that fateful year - all except Richard, who is unable to leave it behind.When I hear this, I don't believe that the point of the story, or what Tartt is trying to tell us, is that a love of beauty is equivalent to an amoral life. I don't think she condemns an appreciation for the aesthetic, or even a classical scholarship. I don't think you're supposed to like these characters, or even think they're very realistic - they are, after all, portraits in hindsight written by someone in the throes of unrequited obsession.I don't think you're supposed to relate to them, or to see their story as something that might happen to you if you read too much Greek myth or like pretty things too much.To quote the article that inspired the fit of rage that has me typing away, I don't think this is ""about all the things [its writer] loved,"" while ""miss[ing] the point of them entirely."" At the age of seventeen, they continue, they ""wanted (I thought) exactly what its youthful characters wanted: a poetic life, a mythic life, a life shot through with meaning. I loved (I thought) exactly what its characters loved: nostalgic emblems of an era imagined as significant.""To that I say: huh?As I grow older, I care less for lovely or perfect or nice or even good (in the moral definition of the word) characters, and find myself only wanting to read about the unlikable, the complex, the ones who have something to say on what I shouldn't do, rather than teach me about what I should.It was clear to me that The Secret History is not the latter example, but the former.Our merry band of classics fetishists may think they are living a life of poetry and meaning, but we, the readers, know they aren't. We know that life's beauty lies not in pleasure without regard for others, in the fulfillment of selfish desires, but in case we get confused, Donna Tartt shows us that a life lived by those guidelines leads to irrevocably damaged relationships, unfading pain, and death.The Secret History is not a nihilistic book because its characters' behaviors result in no meaning. Quite the opposite - it is a book about what makes life meaningful by showing us what meaning is not.The Gawker piece quotes a Tartt essay in which she writes, “'Something in the spirit longs for meaning — longs to believe in a world order where nothing is purposeless, where character is more than chemistry, and people are something more than a random chaos of molecules,'” and in this vein concludes, ""To take Tartt the essayist seriously is to wager on that meaning. Even if that means leaving Hampden behind.""And I would agree. To find meaning, one must leave Hampden behind - for it was never intended that what happened there should be lived by as example. (I also think there's something very interesting in the class dynamics here. But I'll save that for the next time I get mad enough to write almost 1,000 words.)Bottom line: Book so nice I reviewed it twice.------------book club updatethis is the july pick for the beautiful world book club!! elle and i will be vibing amidst the dark academia and the gluttony and the classics. please join us!!------------original reviewI think this is a story about the destructive power of guilt. I think this is about Here is the problem with reviewing every book I read: Sometimes I throw around terms before I really need them, and then once I read THE book, The Story that requires and deserves that descriptor, I have nothing to give it.https://emmareadstoomuch.wordpress.co...Right now I have this problem. Because I have used the word “immersive” before, and immediately upon my completion of this book it became clear that I should have saved it for right now.I felt like I lived inside these pages. I felt like I began to think in the beautiful and sharp prose that fills them. I felt like I knew the characters, ate decadent lunches and walked the snowy campus and whispered with them. I felt an aching emptiness, a genuine longing, when I read the final words.I miss living here.This was very, very slow - to the point that about halfway through I said (inexplicably, aloud), “I don’t know what they’ll even do for the rest of the book” - and yet I was gripped by it.It’s genuinely masterful.I love Richard and I LOVE Camilla and I love Francis and I, fine, okay, at least like Charles and Henry and even Bunny and Julian.And I miss them all.This is an incredible work, but maybe the most incredible thing is how the reader is Richard. I, too, miss my bygone days at my prestigious New England college with my whip-smart group of eccentric friends, and, like him, I am too quickly forced to realize the fallacy of such a feeling.After all, it was all a fiction.Bottom line: I’m raising this to a five star rating.------------pre-reviewyou'll have to excuse me, i'd love to actually write something here but my brain is broken and i am incapable of thought.also seems absurd to try to use words when donna tartt took all the good ones.review to come / 4.5 stars------------currently-reading updatesme: *is slightly behind on my reading challenge*also me: *starts a 600-page book*"
1,https://www.goodreads.com/user/show/3030788-melanie,Rating 5 out of 5,"

“Beauty is terror. Whatever we call beautiful, we quiver before it.”

I have never read anything like this book in my entire life. I laid in bed for over an hour last night upon finishing this book, just tossing and turning and thinking about everything I just consumed. I still don’t think I can put my feelings into words, but I can honestly say this book was a cathartic experience for me, and the irony of the word “catharsis” being a Greek rooted word is not lost on me, because if this book is anything it’s a modern day Greek tragedy. The Secret History is told in a unique style, which is a man reminiscing on some significant events that took place in his college life a bit over a year ago. So, we follow a younger version of Richard, who is finally starting his life away from his abusive and poor family in California. He gets accepted into an elite college in Vermont, and moves across the county in hopes of a fresh start. Upon arriving to the college, Richard is denied entry into an Ancient Greek course, because the professor that teaches it only allows enrollment to his small, handpicked, group of students that seem almost cult-like. Needless to say, Richard becomes utterly obsessed with the five students in this group and the professor, Julian Morrow, himself. And with a turn of good luck, and by solving a Greek problem, Richard is accepted into this exclusive group.Yet, in the prologue we find out that Richard, and four others from the group, murdered one of the other students who they are supposed to have a very close friendship with. The Secret History is then told in two parts, one being the events that took place leading up to the death of their fellow classmate, and then one part being all the events that take place after he is murdered. Bunny is the poor soul that is unfortunately murdered by his peers, yet he’s a racist bigot and you’ll be kind of happy he’s dead, for the most part. Richard, as stated in all the paragraphs above, is the narrator looking back on the events that took place. Henry is my personal favorite, but perhaps the worst of the bunch. Or maybe the best, I’m not really sure, but that’s truly the beauty of this story. Twins, Charles and Camilla. Charles is a bad alcoholic and drug user, and Camilla steals most people’s heart and/or affection. And lastly, we have Francis, who owns a country home that is the stage for many events that take place in this book. Oh, and everyone but Richard has money, even though Richard tries his damnedest to keep that a secret. 

“What we did was terrible, but still I don't think any of us were bad, exactly; chalk it up to weakness on my part, hubris on Henry’s, too much Greek prose composition – whatever you like.”

All the characters are morally grey to just generally horrible people, but you completely ignore it because Donna Tartt weaves this hypnotic spell with her writing, that you feel like you are reading this book in a dream like lull. The Secret History is unlike anything I’ve ever read before, and I’m not sure I’ll ever read anything quite like it again. I also want to touch upon sexuality in this book, because a lot of the members in this group are not straight in the slightest. Like, maybe the only ones that were completely straight were Bunny and Camilla. I’m not saying that the queerness in this book is vilified, but it’s for sure not shown in the best of lights. So please use caution while going into this.And this book is so very heavy in general, so please use caution while reading. Content/Trigger warnings for slut shaming, use of the R word, homophobia, hate speech, fatphobic comments, racist comments, animal cruelty, sexual assault, incest, performing rituals, suicide, alcoholism, drug abuse, and murder.I know this review is probably not one of my best, and I know I’m being super vague about all these big themes, but this book is just on a whole other level. Maybe this book is about five new adults dealing with the consequences of murder in a very human and realistic way. Maybe it’s about how we are all just trying to fit in and find family, by whatever unhealthy means available and/or possible. Maybe this book is about birth and death and how important the time between those two points truly is. But I do believe with my whole heart that this book would best be experienced blind, and to just go in and feel all the feelings that Donna Tartt will serve you.While finishing the book, me and Paloma had a discussion about the ending and how Greek heroes’ tales normally go. We talked about how murder taints everything, and how blood is the only thing that can purify it. We talked about how wearing masks is so important, yet death is another mask that we will all eventually wear. God, I’m being so cryptic, but if you’ve read the book maybe this paragraph will mean something to you, because it means the world to me. Overall, I know I sound like a broken record, but this was one of the most unique reading experiences of my life. I honest to God just do not have the words to put in this review how this book made me feel. I will say that it very much feels like a spell is being cast upon you while reading. Like, I am almost positive that Donna Tartt cannot be a human being, because she is such an exclusive enigma. Also, I think I’ve developed a huge crush on her, so there’s that at least. I can say very confidently that I will remember this book, and the feelings it gave me while reading, for the rest of my life. 

“Beauty is rarely soft or consolatory. Quite the contrary. Genuine beauty is always quite alarming.”

Blog | Twitter | Tumblr | Instagram | Youtube | Twitch Buddy read with Paloma! ❤"
2,https://www.goodreads.com/user/show/8178894-nostalgebraist,Rating 1 out of 5,"Thank god it's over. I don't think I can surpass the review Nick wrote earlier tonight, but here goes . . . The good:--This book is well-written, at least in a certain contextless sense. There are many sentences in it (occasionally, even paragraphs) that, if taken by themselves, look like they might have been from a book worth reading.--At least two of the central characters (I'm thinking of Bunny and Henry) are vividly portrayed and interesting figures. (Unfortunately, one of them dies halfway through -- that's not a spoiler, as it's revealed in the prologue -- and the other largely fades from view in the second half.)--There's at least a 200-page stretch in which the book is an exciting page-turner. (Unfortunately, it's over 500 pages long.)The bad:--Besides the two characters mentioned above, the others are frustratingly thin. Francis has no personality traits besides being stereotypically gay; Camilla has no personality traits besides being a generic female love interest (in a completely unappealing subplot that seems to have been included on the Hollywood logic that no story is complete without the protagonist falling in love) and thus having a putatively alluring reticence and mystique; I'm not sure Charles has any discernible personality traits at all. These three characters are rarely absent -- at least one of them appears in virtually every scene -- and given that it's almost impressive how poorly developed they are. Other characters suffer for the opposite reason -- for instance, Julian, the charismatic professor who teaches Greek to the central characters, exerts a supposedly profound influence on their worldviews but barely seems to exist in the story itself.--The story's climax occurs around halfway through, and the remaining ~250 pages are devoted to an absurdly long series of tacky soap opera plotlines that appear and then disappear every 20 pages. The subject matter of these storylines -- incest, drunk driving, stealing drugs from someone's grandmother (!), smoking pot and worrying that someone's mom is going to find out (!!) -- feel so strainingly lurid and/or stereotypically teenage, and so irrelevant to the themes of the first half, that it often felt like some moral tract about Bad Teens Doing Drugs had been spliced onto the end of a totally different book.--The biggest flaw, which was what really ruined the book for me: the style of the narration does not fit the subject matter. This is a book about a group of wealthy and pompous but otherwise ordinary college students committing murder in cold blood. Surely someone looking back on such an act would be plunged into a bunch of somewhat abstract reflections on how they came to do they things they did, what led them to get involved with their co-conspirators, what this all means about them as a person and a moral actor, etc. But that isn't the kind of book Tartt wants to write. She wants to write in a contemporary litfic / creative writing style in which abstract ideas about human behavior are conveyed only implicitly, through character behaviors and well-chosen details — “show, don’t tell.”So you get all these overly mannered descriptions of the narrator noticing some shoes lying on the ground and talking about how the shoes made him feel and so forth, and you just want to say, “okay, but Richard, what does it all mean? I know you must have some big abstract thoughts about what it all means — how could you not? — and I don’t know why won’t you just tell me about them instead of telling me about how the campus looked in spring.” There are narrators for whom this kind of bland immediacy reads as characterization, but in this case it really felt like Tartt was just snapping together two incompatible building blocks -- like she sat down one day and said “I am going to write a ‘literary novel’ and it will be about ‘ordinary people committing murder’ ” and the result was this strange incongruous thing. The book feels so much like a reductio ad absurdum of the conventions of mainstream literary fiction -- the gently controlled narrative voice, the ""deftly chosen"" sensory detail, the distaste for essayistic digressions -- that at times I started to wonder if I was reading a parody of the genre.There are occasional attempts to provide a moral or conceptual gloss on the whole thing, as when, in the very first paragraph, the narrator declares that his ""tragic flaw"" is ""a morbid longing for the picturesque at all costs."" But ideas like this aren't borne out by the narrative itself -- we never get a sense of what the narrator means by ""the picturesque,"" and his bland, passive behavior doesn't seem to be characterized by a ""morbid longing"" for anything. Which brings me to my final point . . .--Lots of wasted potential. Some of the subject matter here is really interesting: say, the idea of people who try to apply an ancient Greek mindset to the modern world, or the question of how a group of initially innocuous people could be led inexorably by circumstance to kill one of their friends. But the whole thing is just so under-analyzed, so unclear about what its ideas are even as it desperately wants to be a book about big, profound ideas. References to the difference between ancient and modern mindsets, or to various interpretations of the murder, are occasionally tossed out but never grow roots; they drown in the ocean of pointless plot. An interesting idea will crop up every 50 pages of so, and Tartt will smother it in its cradle and then write 50 more pages of binge drinking and soap opera convolutions as if in penance. It's telling that Julian, the Greek professor, shows up so rarely, because the book clearly wants to be about his worldview and the effect it had on his students, and if he'd actually made more than a few appearances Tartt might have had to clear up exactly what his worldview was and present some clear, arguable ideas about what it did to these students. What would her creative writing professors make of that? Show, don't tell!"
3,https://www.goodreads.com/user/show/381149-martine,Rating 5 out of 5,"The first paragraph of The Secret History roughly sums up the mood of the book. In it, the narrator, Richard Papen, says that he thinks his fatal flaw is 'a morbid longing for the picturesque at all costs'. If you can relate to these words, chances are you'll love The Secret History. If not, you'll probably wonder what the fuss is all about. Personally, I can totally relate to these words, so I love the book. I've read it over half a dozen times, and while I do think it has its problems, I never fail to find it utterly gripping.The Secret History is both an intellectual novel of ideas and a murder mystery without the whodunnit element. The reader learns right on the first page that Richard and his friends have killed one among their midst. The rest of the book goes on to explain how they came to their gruesome deed and what happened to them afterwards. Against all odds, it makes for compelling reading, despite the fact that you know right from the start who the killers are. Such is the power of Tartt's writing that you find yourself turning page after page, waiting for answers, justifications and possibly a sign of remorse. Once these have been dealt with, the book loses a bit of its power, but until that time, it's near perfect.Donna Tartt's great gift as a writer is her magnificent talent for description. Her evocation of life at a small private university in New England with its oddball mix of ivory-tower intellectuals and ditzy cokeheads is rich in detail, both shocking and funny. If it's not entirely realistic, she makes it so. Likewise, her skill at characterisation is superb. While Richard is not entirely convincing as a male narrator (a fact I find more noticeable every time I re-read the book), he and his friends make up a fascinating cast of characters: six aloof, self-absorbed and arrogant intellectuals who are obsessed with ancient Greece and don't particularly care for modern life. They're snobs and they have major issues, but somehow that only makes them more alluring. Together, they form the ultimate inner circle, the kind of tight-knit group you know should always stay together. Which makes it almost understandable that they should be willing to kill anyone who might jeopardise that group dynamic, incomprehensible though this may seem to the average reader.I can think of many reasons why The Secret History strikes such a chord with me. For one thing, I have a thing for timeless and ethereal stories, and this is one of those. Somehow the book has a dreamlike, almost hypnotic quality, despite it being very firmly set in the rather unromantic 1980s. I love that. For another thing, I have always been drawn to the unabashedly intellectual, and this book has that in spades. It makes geekdom alluring, and I just love Tartt for that. I wish I were as geeky as Henry!Ultimately, what I think I respond to most in The Secret History is the friendship aspect. The Secret History is very much a book about friendship. It's about the very human yearning to belong and be accepted by people we admire. It's about the sacrifices we make to keep friendships intact, the insecurity we feel when we think we might not be completely accepted by our friends after all, and the paranoia we experience when it seems our friends may have betrayed us. About the feeling of invincibility we get from having great friends, and the melancholy and loneliness that follow the disintegration of a once-great friendship. The book basically reads like an elegy on a great friendship, and one doesn't necessarily have to share Richard's intellectual attitude towards life, his morality or even his morbid longing for the picturesque to be able to relate to that. It's enough to have yearned for close friendship and been insecure in friendship. And let's face it, who hasn't?I do not think The Secret History is a perfect book. As I said, I find Richard somewhat unconvincing as a male character; there is too much about him that screams 'female author' to me. Furthermore, the ending is decidedly weak, although to be fair, I have no idea how else Tartt could have finished her book. The story does seem to be inexorably heading in that particular direction. Insofar as the ending reflects the disintegration that is going on in the characters' lives, it could probably be said to be appropriate. Still, I wish Tartt could have come up with something on a par with the rest of the book. If she had, this would have been a six-star book. I don't know many of those."
4,https://www.goodreads.com/user/show/22189348-adina,Rating 2 out of 5,"DNF at 70%
“If you love one book by a certain author it does not automatically mean you will enjoy all the author’s work” (Me, while reading The Secret History)
.Before I begin my review I have to inform you that Goldfinch is one of my favorite novels. If you want, you can see my short review here. Based on that fact, there should be no doubt in anyone’s mind of how much I love Donna Tartt’s writing. I thought it was perfect in the first novel I read by her, it kept me coming back for more each day, even though the plot was not overly exciting all the time. Although many reviewers are of the opinion that Goldfinch was too long I thought that it could have had 1000 pages and I would have still savored all of them. The Secret History is a different story entirely. I will admit from the beginning that I did not find the subject too enticing when I read the blurb but, nevertheless, I was looking forward to dive into the novel because it was written by the wonderful Donna Tartt. The beautiful writing is still there, that is one of the few reasons that I made it this far. However, I have a few (read many) problems with the content and I will do my best to explain them below. Firstly, we have the insufferable, snobbish, self-absorbed characters. I am not the kind a reader that needs to like the characters but I want them to be interesting and vivid. The six students felt the same to me, even the main character did not possess any special trait. Maybe Bunny was the only one that gave me strong feelings; it almost brought me to the point where I thought it would be a good idea to be killed. The point is, I enjoy well done villains with interior conflicts but there were none to be found here. Secondly, there is the discrepancy between what I understood the book to be about and what it really was. The blurb states that .“Under the influence of their charismatic classics professor, a group of clever, eccentric misfits at an elite New England college discover a way of thinking and living that is a world away from the humdrum existence of their contemporaries"". Let’s begin with the first line, .“under the influence of their charismatic classic professor”. In all the 400 pages that I read I did not see the classic professor as a charismatic character. Actually, the professor was almost non-existent. We are sometimes told about him but when he actually appears in the picture he only has a few flat lines. Oh, and he smiles a lot. I was expecting the teacher and the intellectual conversation between him and the students to have an important presence in the novel, to challenge my thinking, but I was out of luck. I believe we are presented only one discussion from the class, which was essential for the plot, although I did not feel its importance when I read it. We are told about how great and eccentric this professor is but we never actually see it. I was expecting him to be some sort of a disguised devil if he manages to influence his students to commit murder but I do not see how their acts had anything to do with the professor. If anything, he was worried about them when they disappeared for a while and lost contact with them. Going forward, to .“a group of clever, eccentric misfits”. Same problem here, we are told and not showed how smart they were. A .“living that is a world away from the humdrum existence of their contemporaries”. basically means expensive restaurants, a mansion in the countryside and vacation in a palace in Rome. I guess it is a typical existence for people with money, not necessarily something out of ordinary that should deserve our awe. Their first act of “evil” felt underclimatic since, again, we are told about it, we do not actually experience it. It would have been a totally different experience to be there when it happened not to be told by it from a character after a month or so after the deed was done. Finally, I thought there was too much flat, useless dialogue. I wish I had an example to show but I always forget to take notes, sorry.I feel so disappointed for not liking this one but I am not losing my faith in Donna Tartt. I am sure her next book will amaze me once again. "
5,https://www.goodreads.com/user/show/285565-rebecca,Rating 1 out of 5,"This novel, like so many other first novels, is full of everything that the author wants to show off about herself. Like a freshman who annoys everyone with her overbearing sense of importance and unfathomable potential, Donna Tartt wrote this book as though the world couldn't wait to read about all of the bottled-up personal beliefs, literary references, and colorfully apt metaphors that she had been storing up since the age of 17.The most fundamentally unlikable thing about this book is that all of the characters -- each and every one of them -- are snobby, greedy, amoral, pretentious, melodramatic, and selfish. The six main characters are all students at a small and apparently somewhat undemanding college in Vermont, studying ancient Greek with a professor who's so stereotypically gay as to be a homosexual version of a black-face pantomime. In between bouts of translating Greek, the students end up murdering two people, and then devolve into incoherent, drunken, boring decay. The best thing I can equate this book to is the experience of listening to someone else's dream or listening to a very drunk friend ramble on and on and on, revealing a little too much awkward personal information in the process. The climax of The Secret History's narrative was around page 200, but the book was 500 pages long. So, essentially, this book contained 300 pages of scenes where the characters do nothing but drink alcohol, smoke cigarettes, go to the hospital for drinking so much alcohol and smoking so many cigarettes, get pulled over for drunk driving, talk about alcohol and cigarettes, do cocaine, and gossip about each other (while drinking alcohol and smoking cigarettes).Tartt's writing was sometimes genuinely good at establishing a thrilling and suspenseful mood, but other times, especially toward the end, her writing became the kind of self-conscious, contrived, empty prose that I can imagine someone writing just to fill out a page until a good idea comes to them, kind of like how joggers will jog in place while waiting for a traffic light. That kind of writing practice is fine...as long as the editor is smart enough to cut it before the final copy. The last 300 pages were the authorial equivalent of that kind of jogging while going nowhere, and it soured the whole book for me.In the book's attempt to comment on the privilege, self-interest, and academic snobbery of rich college kids in New England, the book itself comes to be just as self-absorbed and obsessive as its characters -- it turns into a constant litany of unnecessary conversations, sexual tensions that go nowhere, purple prose descriptions of the landscape, contrived plot twists that fizzle out, and forced, overblown metaphors. The confusing part was that Tartt seemed to identify with (and expect us to identify with) these students -- not to admire them for murdering people, obviously, but to respect and envy their precious contempt for everything modern and popular, as though they lived on a higher plane than normal people. The cliche of academic types being remote from the mundane world and out of touch with reality may have a grain of truth to it, but Tartt took that cliche way too far. The story is set in the early 90s, and yet some of the characters had never heard of ATMs, and they still wrote with fountain pens, drove stick shift cars, cultivated roses in their backyards, wore suits and ties to class, and said things like, ""I say, old man!"" Did I mention that this story is set in the early 90s? It got to the point where all the anachronisms came to seem ridiculous and gratuitous. Ostensibly, the point of the novel was to critique the point of view that privileged academics are somehow superior to the average person, but Tartt seemed too enamored of her own characters and the endearing way they held cigarettes between their fingers to really allow that kind of critique to be successful. Maybe Tartt's second novel managed to get away from the claustrophobic selfishness of The Secret History, but I don't feel up to reading it after this."
6,https://www.goodreads.com/user/show/1246837-maggie-stiefvater,Rating 5 out of 5,"Five Things About The Secret History. This is going to be a difficult book for me to talk about. I finished it days ago but I find myself a little verklempt, I’ll admit. It’s been a long time since a book has stuck with me so completely as this one, and I say that having had a quite remarkable year for memorable reading. So, the summary is straightforward and completely unhelpful: a Californian boy arrives at a private New England college where he falls in with a bunch of snooty but delightful Classics majors who happen to have accidentally killed someone during a Bacchian rite they just happened to be conducting in their spare time. That is a totally truthful depiction of some of the events in the book, but it is not what the book is ABOUT. I will do my best to convince you to pick it up in other ways. Without further ado, here are five things about THE SECRET HISTORY.1. This is not a new book. All of your friends have already read it. You probably already have a copy of it, actually, that you picked up at some point in the last decade, and now it molders in a box in your master bedroom closet, the one that you never unpacked last time you moved. Right next to your college alarm clock and two boxes of 9-volt batteries and that shirt you can’t throw out because it was a gift. The reason why I’m pointing out that it’s not a new book is because, since reading it, I’ve been told by several people that it is their Favorite Book Ever. It is one thing for you to read a book six months before and maintain it as a Favorite Book. It is something more remarkable when a book can elicit a passionate response from readers twenty years after its publication. 2. This book is full of terrible people. Pretty much the lot of the people that our narrator Richard meets are awful in some way. Self-centered or elitist or potheads or sociopathic or just people with really loud voices in quiet places. Even Richard is not exactly a great guy. But the magic of this novel is that, somehow, you find these terrible people deeply sympathetic. I need to go back and reread it to understand this strange enchantment. How do I find them so charming? Why do I want them to like Richard? GIVE ME YOUR SECRETS, BOOK.3. This is not a whodunit. You are told pretty much the Bad Thing That Happens in the prologue, and you can see it coming like a comet for much of the book. The effect of this, however, is to create a lovely, unbearable tension and anticipation. And when the moment comes — in a line that involves ferns — it is so deliciously awful. I actually exhaled gloriously and put the book down for a moment because I was so delighted by the actual pay off. 4. It’s long. It���s over 200,000 words long, I think, and 600 pages in my edition. It took me five days to read it. And it’s not just long, it’s dense. One of the blurbs on the inside of the jacket said that it read like a 19th century novel, and I don’t think that’s at all unearned. It takes its time developing atmosphere and character quirks and some of the days in the novel take dozens of pages to unfold. It is not a novel to speed through. It’s a novel to get stuck in. I put it down when I got too tired, when I felt like I was starting to skim. 5. WHAT ELSE CAN I SAY? I adore the characters so much. I adore the hint —the breath — of the supernatural. I adore the slow, building tension and the sense that I, as a reader, was being skillfully manipulated. Yes, that. That last one. I think that is what I love the most about this novel. I get the idea that Donna Tartt was completely in control of this novel. Everything is measured and deliberate and just perfectly done, and I trust her entirely. Fifty pages in, I knew that she was going to tell me a story I was going to enjoy, even if I had no idea what it was going to be. Man, I just am going to flail about some more. Go read it. "
7,https://www.goodreads.com/user/show/101179363-ale-semi-hiatus,Rating 1 out of 5,"
edit: lowering my rate to 1 star because let's face it: this was awful, and boring as fuck. please, shut the fuck up.
It took me 4 months to finish this book and mostly it was because I was dealing with uni and having several mental breakdowns. Also, the second part of this book was boring as fuck.My review might contain some spoilers!This was a hell of a ride. I don't even know where to begin, but let's try.I've seen a lot of hype for The Secret History everywhere. So, why not give it a try? Plus, it seems cool and the aesthetic is interesting.The first 100 pages, I must admit, were boring. It was really hard for me to get through. I blame uni and the fact that nothing interesting was going on at the moment. The fact that the climax happened around the page 200 or so and then nothing happened pissed me off. And then... That was it. Nothing. Zero. Nada, maldita sea.The only characters that I really liked died, they were Henry... and Bunny. Yes. The annoying bitch who couldn't keep his mouth shut and the only one who really reacted to a murder. Yeah, I agree that he was annoying and was a complete asshole, but was one of the only two who really had personality.The writing was mid... Until it wasn't anymore. The last 150 pages were like Tartt was writing just for the sake of it. Some things were okay, but gods, I was getting sick of those kids getting drunk, smoking like fucking chimneys and getting high. And the consecuences of it: ending up in the hospital or thinking they were going to die. I wish I had been drunk while reading this.I know I shouldn't have, but I laughed way too hard when Henry killed himself. It was so random and so funny. He tried to play the hero card and for what? Honestly, his death wasn't something memorable for me. I mean, yeah, he wasn't pretty bad and I was laughing my ass off when Richard realized that Henry had only told him what he wanted to and not the entire truth, like, how can you be so idiot, Richard? I still can't believe that Donna Tartt decided to put Richard as the mc, or even imagined him at all... This mf was boring as hell.For some reason, her characters are bland, have no personality and are really annoying. Yes, even more than that bitch of Bunny.Anyways, I'm not sorry for rating this book with 0.5 stars. If I could, I would give it 0 stars. But, yes, save yourself."
8,https://www.goodreads.com/user/show/10171516-jessica,Rating 5 out of 5,"
‘beauty is rarely soft or consolatory. quite the contrary. genuine beauty is always quite alarming.’
and oh, how alarmingly beautiful this story is, as all the best greek tragedies tend to be; full of sorrow and struggle, but often accompanied by pure loyalty and divine inspiration. gosh. i just… i cant even right now. on the surface, this book is great. but donna tartt is an absolute goddess of writing for the sheer depth of this book. its a work of absolute brilliance. i was never a classics student but, as someone who has taken an interest in the subject over the years, i cant even express my geeky joy for how multifaceted and layered this story is. by exemplifying fatal flaws, dissecting the apollonian vs. dionysian philosophical theory, personalising the mask of death, understanding the action and stagnation of life, and realising the lifelong quest for the picturesque, this story is a modern greek tragedy and a classic in its own right. wow. i will be thinking about this book for quite some time.↠ 4.5 stars"
9,https://www.goodreads.com/user/show/48727754-chan,Rating 3 out of 5,"don't ask me why but i think that if this book were turned into a movie and its name was changed to fit the subject matter it'd run into copyright issues cause... it'd be A Goofy Movie.this shit was goofy. like a legitimate laugh. no idea what the purpose of this book was beyond a really weak commentary on academia and privilege. i certainly didn't hate it but... what was the damn point.did hate the narration though. you mean to tell me that a middle aged woman from mississippi needed to lend her voice to a californian boy in new england? um. girl, let's leave it to the voice actors."
