,user_links,user_ratings,review_text
0,https://www.goodreads.com/user/show/32879029-emma,Rating 5 out of 5,"I have a debilitating rereading problem.It’s reached a concerning point -- seemingly 1 in 3 or 4 books I read is actually a reread. Previously I was way too picky about adding books to my to-read list to suffer a massive TBR issue, but now that I’m barely reading new books, the pile (which is a physical one in the corner of my room, stacked by color because a) rainbow shelves forever and b) I am out of shelf space) is looming. Concerningly.https://emmareadstoomuch.wordpress.co...If I die mysteriously, I was probably crushed by the blue stack. (I also seem to have a problem with buying blue books, specifically.)Anyway. My sole limit has always been that I must wait at least one year after my initial read before reading it again. This is my last shred of rereading-related logic and sanity.This book smashed that sh*t to pieces. Less than five months after I read it for the first time, I was rereading.I could make excuses. “My flight was delayed and I only brought one book, ” I could say, and it would be true (and a fatal mistake and a shame upon my bookworm title). “I happened to have this one because the person I lent it to gave it back.” But it was a nighttime flight, and I finished my first book on board, and I had to go out of my way to turn on that reading light that is really more of a goddamn chandelier considering how well it illuminates everything in an eight-foot radius. (Sorry, everyone around me.)Also, it was a short flight and I only got 50 or so pages into it. I easily could have put it down.This is where it’s the book’s fault.This story is not action-packed, nor particularly suspenseful. Neither is it jam full of what you’d call Exciting Events or even a traditional love story that gets you rooting for your couple in any familiar way.In spite of all that, it is absolutely unputdownable.Conversations with Friends, if you are one of the few who somehow haven’t read it yet, is about Frances and, less so, her best friend and ex-girlfriend Bobbi. Frances is thoughtful and cool (in the less-used definition of the word, according to my lexicon), Bobbi is effervescent and charming. They encounter a married couple, Melissa and Nick, and much of the novel is devoted to the changing ways in which the four interact with each other. The writing is beautiful. Sally Rooney’s style is clean and sharp and true. Each word is thoughtfully chosen. Each image feels real and complex. Her New Yorker profile (which I read in a fit of desperately needing to get my hands on everything Rooney has written, in the wake of my first encounter with this book) highlights a description of a party at Melissa’s home as “full of music and people wearing long necklaces.” Conversations is teeming with terse, evocative descriptions like that, and if you’re anything like me once you start reading writing like that you’ll never want to stop.Being forced to stop by the dearth of Sally Rooney material has been very difficult for me.Like the writing, the characterization is somehow spare and complete at once. Frances and Bobbi, Melissa and Nick, even the background actors and extras of their lives are stunningly real. I think about Frances and Nick especially all the time. I can identify statements in life as “very Bobbi” or “exactly Melissa” or “totally something Frances would say.”Above all, this book crawled inside my head and stayed there. It ever-so-slightly changed the way my brain works, but mostly it made me feel noticed and heard. It seems a way of looking at the world I hadn’t realized I ascribed to is captured in these pages. It’s surprising and kind of spooky and I’m truly grateful I encountered this book at all.Lastly, it wouldn’t be a review of mine if I didn’t confidently write about something I’m likely not qualified to. And I want to say f*ck everybody who acts like Sally Rooney is some kind of lesser writer because she’s young and a woman. There’s a difference between saying “this writer is not for me” and “I didn’t like this book, and therefore everyone who calls her brilliant or talented is actually wrong.”You don’t spew that sh*t about the bajillion dead white male writers. Your internalized misogyny and ageism is showing.Bottom line: Sally Rooney is brilliant and talented. The end. ❤️-----------reread 9 updatesstarting the year as i mean to go on: reading this book for the 9th time and buddy reading with elle-----------reread 8 updatesmy 8th time reading this book begins...now.this time i'm doing it for a book club - follow along / join the fun on instagram or discord!!!-----------reread 7 updatesit's been almost a year since i last read this, which is unthinkable. time to fix thatquasi br with elle-----------reread 6 updateshave been truly dealt a series of death blows this week from the heartless chaos of the universe, so i will once again be rereading the book that simultaneously makes me feel better and so, so much worse-----------reread 5 updateswhen you see me and lily rereading this every month in 2021, mind your business-----------reread 4 updatesreread this in its entirety on a plane to be on my main character sh*t-----------reread 3 updateswhat has to be wrong with a person for Conversations with Friends to be a comfort reread for them? asking for myself-----------reread 2 updatesjust as just as just as good-----------reread 1 updatesthere's never a wrong time to read sally rooney.even if that means a reread less than 5 months after the first time you read it.-----------pre-reviewupping this to 5 stars because i can't stop thinking about it, and also in all that thinking i can't remember a single flaw-----------currently-reading updatesi bought this book 2 days ago and have not really put it down since"
1,https://www.goodreads.com/user/show/52545435-elle-ellexamines,Rating 5 out of 5,"There’s a cliche in reviewing where you say something along these lines: “I wouldn’t like these characters in real life, but I found them compelling.” See, I don’t think that’s why this book works. I think this book works because in real life we would probably like these characters; respect their talent, find them interesting if at times flawed or condescending, look up to them on a level at which we would at times resent them and at times want to be them. It’s just that none of us would ever know these characters, because these characters do not want to be known.

“You underestimate your own power so you don't have to blame yourself for treating other people badly.”

Conversations with Friends is a book about four people: two ex-girlfriends and best friends, Frances and Bobbi, and a married couple, Nick and Melissa. Frances and Nick end up falling, over time, into a strange romance. But… it’s not about the cheating. The book refuses to make it that simple. Bobbi and Melissa have their own strange connection, as do Frances and Bobbi, as do Nick and Melissa, of course; the six connections within this circle are all given both pagetime and weight within the narrative. On some level, we’re not rooting for any one of these characters over the others; we see the complex levels on which any ending for these four would be painful. At times, I disliked all four of these characters; at times, I loved all four. But at all times, they felt real.There is a scene in this book in which Frances goes home to her father and plays nice and awkward for an afternoon, and looking into a dishwasher, feels “a sudden impulse to harm herself.” It is small and brief and a throwaway line and yet it felt so vivid, so real, that I was unable to pull out of my head the feeling of standing there waiting for the storm to come, desperately, and suddenly feeling as though the world will come apart if you do not hurt yourself physically, a sign of how your insides are being torn apart.There’s a line where Frances says she enjoys talking to Nick because he gives her unconditional empathy, while Bobbi “applies her standards” about the world to conversations about Frances. I don’t know why that hit so hard I just know that it did?There’s this quote from a New York Times oped that I think about a lot:Frances’ central conflict, as we learn over the course of this book, is that she is unable to allow others to see her vulnerability, to see that she cares for them or is hurt by them or even that she simply enjoys their company. She wishes to be cool and distant and yet still utterly lovable. 

“The acclaim also felt like part of the performance itself, the best part, and the most pure expression of what I was trying to do, which was to make myself into this kind of person: someone worthy of praise, worthy of love.”

The problem is that we need to allow ourselves to be known to be truly loved. It is this refusal to submit to intimacy that becomes the primary conflict of the book; in her relationship with Bobbi, with Nick, and even with Melissa, she constantly attempts (with increasing desperation) to refuse any breaking of her walls. It is only as the book continues that she begins to understand others do love her, and want to know her. SOME OF MY FURTHER FAVORITE MOMENTS:▷“Maybe he just likes to act passive so he doesn’t have to take the blame for anything.”▶“It was more that Nick’s sympathy seemed unconditional, whereas Bobbi had strong principles that she applied to everyone, me included.” ▷“I feel like I should thank you for making me a tolerable person to live with.”▶“I wonder if we gravitate toward Nick because he gives us a sense of control that was lacking in childhood.”▷“To him, my arm was not important. He was only concerned with making his child feel bad, making her feel ashamed.”▶“I’m a bad mother, she said, that’s what you’re saying. If that’s the conclusion you draw from the facts, that’s your business, I said. She told me I had never loved my father anyway. According to you the only way to love someone is to let them treat you like shit, I said.”▷“When you broke up with me I felt you beat me at a game we were playing together, and I wanted to come back and beat you. Now I think I just want to sleep with you, without metaphors.”▶“Is it possible we could develop an alternative model of loving each other? I’m not drunk. Please write back. I love you.” ▷“But it’s harder to work out who has the power, so instead we rely on ‘niceness’ as a kind of stand-in.”▶“But at some level I still see you as the person who broke my heart and left me unfit for normal relationships.” “You underestimate your own power so you don’t have to blame yourself for treating other people badly. You tell yourself stories about it.”

“I had the sense that something in my life had ended, my image of myself as a whole or normal person maybe.”

This is a book made up of tiny moments of humanity, of vulnerability and tenderness. We see these characters hold up their walls at almost every moment to the point that any moment of tenderness or kindness between them feels like a revelation. I cried several times, barely knowing why; I just knew I hurt for these characters. This one will stay with me for a long, long time.Blog | Goodreads | Twitter | Instagram | Spotify | Youtube"
2,https://www.goodreads.com/user/show/59357213-sam,Rating 2 out of 5,"I didn't really respond well to Conversations with Friends. The writing itself is quite good in terms of realistic dialogue and description, but I found all of the characters entirely unlikable and hard to empathize with, very few with any positive animating traits, mostly just self-absorbed, narcissistic, occasionally cruel and capricious. Either in addition to or because I didn't respond to the characters, I also didn't respond to the plot well: the stakes seemed very low, there seemed to be little personal growth from any of the characters (despite this being a story entirely focused on people rather than situations), and when more or less the entire main cast is unlikable, it can be hard to invest in an outcome. Because the craft itself was strong, I'd give this 2 stars and say ""it's ok"" overall, but I wouldn't recommend it personally.The central conceit is two twenty-something friends and former lovers, Frances and Bobbi, get pulled into the orbit of photographer Melissa and her actor husband Nick. Then France and Nick become drawn to one another, and begin an affair that leads to uncomfortable situations and confrontations with Bobbi, Melissa, and their friends and family members. It's set in Dublin, Ireland, but the way it's written and the poetry-art-acting cultural trifecta it hits, it may as well be set in California. It didn't feel particularly Irish at all, so I was a bit lost on sense of place and specificity.We see things from Frances' perspective, which might be part of the difficulty with this read for me. Frances is entirely selfish: she begins the book that way, and aside from maybe inches of character growth, she also ends the book that way. We're told how intelligent she is, but she seems to be perpetually blushing, blundering into things, acting cruelly and capriciously when it suits her, and retreating to dark corners to cut herself when she's incapable of expressing her true feelings. It didn't help that Frances is also living off an allowance through her father, not feeling pressed at all to support herself for much of the novel, content to wallow in her feelings for Nick and assert dominance and indifference to him to disguise her growing dependence and obsession with him. (They say it's love, but honestly these characters are all so selfish it's easy to think that they say it's love but it's not.) Nick meanwhile is a somewhat caddish, sad, broken and oppressed man, mildly unhappy with his life but without real power or impetus to change it. Not all characters need to be likable in order to enjoy a novel about them - I can think of plenty of anti-heroes and somewhat nasty characters that are delightful to read - but I struggled greatly trying to empathize with these characters, finding very little compelling about their personalities and their decisions, but also not being poorly behaved enough to be completely disgusted with them. That made it very difficult for me to engage and be entertained or informed while reading. Bobbi is a decent side character and has a greater, more complex personality, while Melissa never comes across as more than a controlling, dominating woman (possibly because we're in Frances' perspective, and Bobbi is her former lover and best friend, while Melissa is her rival for Nick's physical and emotional affection and attention).When the focal point is an illicit, uncertain relationship and the rest centers on other relationships spiraling and changing in reaction, you don't want the writing to put distance between you and the characters. As good as Rooney's craft is, I did feel as though I was peering into their lives and their messy actions but at arms length, and again hard to say if the writing was responsible or my disinterest in the characters. I would want to feel immersed in the action, pulled in and maybe disgusted or titillated or both, but fundamentally unable to look away (very much how I felt reading White Fur). With Conversations with Friends, I was just bored, feeling the distance and not caring that neither myself nor the author was taking pains to close the gap. And the scenes of sex and intimacy did not feel charged or challenged; they seemed pathetic and pitiable, but in the most banal way, so I had little sympathy for Frances or Nick as they embarked on their affair. There's not much more to it: again, it's a novel of relationships, and there aren't huge plot elements or set pieces or massive emotional bombs. It quietly crawls along, never fully climaxes, and resulted in a sort of ambivalent ending that made a lot of sense to me based on the selfishness of these characters. I do believe Sally Rooney has writing talent, and there are some good paragraphs and dialogue in terms of craft. But I could not connect with this book at all, and was too bored by the characters and wearied by the proceedings to hate them. Again, the writing was good enough that I think it warrants two stars, and perhaps other people will find more that speaks to them from this book. But it was absolutely not for me."
3,https://www.goodreads.com/user/show/2228181-jill,Rating 5 out of 5,"I’ve been thinking a lot about aging lately: the way our perspective changes and how our need for stability, trust and healthy relationships become so much more valued than intoxicating, crash-and-burn emotional roller-coasters of our younger years.I say this as means of introduction because while reading Conversations with Friends, it occurred to me that those readers who are not familiar with the confusing yet exhilarating times of poor choices mixed with a great deal of egotism and sense of invulnerability may not like or relate to these characters. It’s easy to miss the precision dance that Sally Rooney is performing here.But then is this book about the poor choices of youth or about one particularly fractured character who is destined to keep making those choices into adulthood? The book centers on two girls in their early 20s – our narrator Frances and Bobbi, her best friend and one-time lover. Together, they make the acquaintance of a couple a decade older: the composed and successful Melissa and her handsome husband Nick, an emotionally fragile actor whose career seems to be stalled despite an abundance of talent. Inevitably, Frances and Nick hook up, wrecking more damage on their own world and on the worlds of everyone around them.The “conversations” alluded to in the title are eloquently expressed but never get to the heart of things. Frances, who is unable to admit her love for Nick—even to herself—says, “We can sleep together if you want, but you should know I’m only doing it ironically.” Or later: “I just don’t have feelings concerning whether you fxxk your wife or not. It’s not an emotive topic for me.” Of course it is, and the constant self-harm Frances imposes on herself—picking furiously at her nails, biting her inner cheek, cutting herself—reveals the extent that her repression is harming her.As Frances whirls in place, the product of an alcoholic father, an enabler mother, and her own making, the core of Frances reveals itself: she feels like a damaged person who deserves nothing, believing that those she loves are exalted and somehow special. “Suffering wouldn’t make me special, and pretending not to suffer wouldn’t make me special,” she reflects at one point. To reveal oneself is dangerous in a world that often conspires against you. This is one of the most interesting psychological profiles I’ve read in a long time with an ending that made me gasp."
4,https://www.goodreads.com/user/show/3643764-esil,Rating 3 out of 5,"A very tepid 3 stars. Conversations with Friends is another one of those books about not particularly nice people entangled in awkward relationships. I've certainly read many books of this nature that I've found clever and quite enjoyed, but this one was just ok. Frances and Bobbi -- both young women who used to be in a relationship with each other -- become entangled with somewhat older heterosexual couple Nick and Melissa. It's all told from Frances' perspective. She doesn't seem to be able to figure out what she wants. Nor does anyone else. It gets messy and it stays pretty messy. I was attracted to this one partially because it is set in Dublin, but it could have been anywhere in North America or Europe. I'm at a low three stars because I did enjoy the the first half of Conversations with Friends, but my enjoyment started to wane in the second half. Frances' inner gaze and self-centredness started to feel suffocating. I don't have much more to say. Time to move on to something that makes me less grumpy. Thanks to Netgalley and the publisher for an opportunity to read an advance copy."
5,https://www.goodreads.com/user/show/4593541-barry-pierce,Rating 2 out of 5,"The narrator of Sally Rooney's Conversations with Friends at one point states that she never wants to work.I had no plans as to my future financial sustainability: I never wanted to earn money for doing anything. [...] I'd felt that my disinterest in wealth was ideologically healthy. I'd checked what the average yearly income would be if the gross world product were evenly divided among everyone, and according to Wikipedia it would be $16, 100. I saw no reason, political or financial, ever to make more money than that.You have to put up with this girl for 321 pages. Have fun!"
6,https://www.goodreads.com/user/show/30210742-bruno,Rating 3 out of 5,WHO EVEN WRITES SO MANY EMAILS IRL?? DON'T THEY HAVE WHATSAPP IN IRELAND?
7,https://www.goodreads.com/user/show/17128495-jenn,Rating 1 out of 5,I'd rather have a conversation with the wall
8,https://www.goodreads.com/user/show/137657144-haley-pham,Rating 4 out of 5,4.5 stars!!! My first Sally Rooney book and I really enjoyed seeing the strange inner dialogue of Frances.
9,https://www.goodreads.com/user/show/2018505-thomas,Rating 3 out of 5,"My controversial take on this book is that it could also be titled Self-absorbed White People have Feelings Too. Before I get into that take, I do think Sally Rooney accomplishes quite a lot with her debut novel Conversations with Friends. The book follows Frances and her best friend Bobbi, who become entangled with a married couple, Nick and Melissa. Frances and Nick begin an affair which gets intense, and much of these characters’ relationships with one another thicken when Bobbi and Melissa find out. Though this set up may sound like a recipe for a pretty shallow book, Rooney’s writing makes the story incredibly interesting. Her dialogue is sharp and compelling even though her characters’ lives are kinda shallow, she describes her characters’ interior lives really well, and because of these qualities I literally stayed up until 1am to finish this novel last night. Rooney also creates a complex and intriguing non-monogamous relationship set up between her four main characters which speaks to the potential of love outside of traditional heterosexual monogamy. Finally, I loved, loved, loved Bobbi as a character, perhaps in large part because she reminded me a lot of me with her self-assuredness and social justice barbs. Kudos to Rooney for creating such a cool, iconic best friend for Frances.The characters’ lack of growth limits my praise for this novel. Rooney does a great job of making pretty narcissistic characters interesting. Even beyond making them interesting, she humanizes them, especially our main character Frances. There are some moments of emotional depth and insight in Conversations with Friends, and when they hit, they’re pretty rad. Yet, I wanted so much more from Frances and from how Rooney constructed Frances’s relationship with Nick. Frances is self-effacing, rather self-centered, and cruel to people she is close to. Her relationship with Nick only heightens these attributes. Toward the end of the book, there’s some acknowledgement that Frances is this way and a few pages of some growth (e.g., apologizing to people she’s hurt), yet I wanted more from her. To be honest, I’m not sure how fair it is that I wanted more from her – like maybe it’s “okay” that she’s kind of a jerk because perhaps that’s how some people are, jerks who at some point become a little less like jerks yet still are emotionally messy. For me, though, the sophistication of the writing and the overall style of characterization obscured what could have been deeper moments of growth for Frances, as well as for Nick. Overall, a super intriguing novel. Even though I didn’t love it I respect its quality enough to the point where I am still considering reading Rooney’s second book, Normal People. In the hands of any other author, I probably would’ve despised this book and felt that it was 300 pages of people with awful interpersonal skills who lack self-awareness. And while I do feel that this book is 300 pages of people with awful interpersonal skills who lack self-awareness, Rooney’s talent makes the story and characters shine in their own self-absorbed way."
