,user_links,user_ratings,review_text
0,https://www.goodreads.com/user/show/1526851-will-byrnes,Rating 5 out of 5,"
On the highway below, the school bus rolls past without stopping. I am only 7, but I understand that it is this fact more than any other that makes my family different. We don't go to school. Dad worries that the government will force us to go, but it can't because it doesn't know about us. Four of my parents' seven children don't have birth certificates. We have no medical records because we were born at home and have never seen a doctor or nurse. We have no school records because we've never set foot in a classroom.
Educated is both a tale of hope and a record of horror. We know from the first page of her book that Tara Westover is a bright woman, a gifted writer with an impressive, poetic command of language. But her early life offered no clue that she would become a Cambridge PhD or a brilliant memoirist. She was the youngest of seven children born to Gene and Faye (not their real names) Westover, fundamentalist, survivalist Mormons, in rural Idaho. Tara Westover - image from her The Times
We had a farm which belonged to my grandfather, and we had a salvage yard full of crumpled-up cars which belonged to my father. And my mother was a - she was an herbalist and a midwife. And as children, we spent a lot of hours walking on the mountain, gathering rose hips and mullein flowers that she could stew into tinctures. So in a lot of ways, it was a very beautiful childhood. - from NPR interview The children constituted his workforce in Gene’s scrapyard. Father was the law in their household, but it was a rule informed as much by significant mental health issues as it was by his ardent religious beliefs. In a less rural, less patriarchal, less religious community, theirs could easily have been deemed an unsafe environment. The scrapyard was a particularly dangerous place.
…he just didn't have that bone in his head that said, this is dangerous; don't do this. And he had a really hard time understanding injuries even after they had happened and how severe they were. I just - I don't know what it was about the way his mind worked. He just wasn't able to do that. - from NPR interview Ruby Ridge had occurred when Tara was five, and fed her father’s paranoia. Everyone had to have head-for-the-hills bags for when the government, Deep State, Illuminati, choose your own boogeyman, would come for them. He had a profound distrust of the medical profession, believing that doctors were agents of Satan, intent on doing harm. He saw the herbalism Faye practiced as the only true, righteous treatment for one’s ills, calling her products “god’s pharmacy.” And he practiced what he preached, for himself as well as for his children, even after suffering a devastating injury. Maybe not an ideal way to make sure your kids reach adulthood in one piece.View from Buck Peak - image from Westover’s siteHome schooling was also less than idyllic, with mom’s attention spread not only over seven children but to her work as an herbalist and later, in addition, a midwife. Luke had a learning disability, frustrating mom, who really had hoped to educate them all. Dad undermined this, dragging the kids out to do chores and learn practical skills. Eventually mom gave up. Education consisted of Faye dropping them at the Carnegie Library in town, where they could read whatever they wanted. Dad rustled the boys at 7am, but Tyler, who had an affinity for math, would often remain inside, studying, until dad dragged him out.
…there was not a lot of school taking place. We had books, and occasionally we would be kind of sent to read them. But for example, I was the youngest child, and I never took an exam, or I never wrote an essay for my mother that she read or nothing like kind of getting everyone together and having anything like a lecture. So it was a lot more kind of if you wanted to read a book, you could, but you certainly weren't going to be made to do that. - from NPR interviewSuccessful schooling or not, Tara acquired a desire for and love of learning. Tyler, a black sheep, not only loved books but music, as well. This was a major tonic for Tara, who was smitten with the classical and choral music her brother would play on his boom box. Not only did she find a love for music, but she discovered that she has a gift for singing. Being a part (often the star) of the town musical productions gave her greater contact with peers outside her family than she had ever had before. It formed one pillar of her desire to go to school, to college, to study music. (I included a link in EXTRA STUFF to a music video in which she sings lead, so you can hear for yourself.)At age seventeen, Tara Westover attended her first school class, at BYU, clueless about much of what was common knowledge for everyone else, resulting in her asking a question in class about a word everyone, I mean everyone, knows. Oopsy.Her intellectual broadening and education forms one powerful thread in her story. How her natural curiosity emerged, was nurtured, discouraged, and ultimately triumphed. The other thread consists of the personal, emotional, psychological, religious, and cultural challenges she had to overcome to become her own person.The world in which Westover was raised was one in which a powerful patriarchy, fed by a fundamentalist religious beliefs, applied its considerable pressure to push her into what was considered the proper role for a young woman, namely homemaker, mother, probably following in her mother’s dual careers as herbalist and midwife. And what about what was the right course for Tara? There was some wiggle room. Once dad sees her perform on stage, he is smitten, and softens to her musical leanings. Male siblings had been allowed to go to college. But every step outside the expectations, the rules, came at a cost. Do something different and lose a piece of connection to your family. And family was extremely important, particularly for a person whose entire life had been defined by family, much more so than for pretty much anyone who might read her book. Westover as a wee Idaho spud - image from the NY PostA piece of this proscribed existence was a tolerance for aberrant behavior. Father was domineering, and was feckless about physical danger, even as it applied to his children. And distrustful of the medical establishment. His solution for infected tonsils was to have Tara stand outside with her mouth open to allow in the sun’s healing rays. Severe injuries, including Tara having her leg punctured by razor-like scrap-metal, a brother suffering severe burns on one leg, and even dad himself suffering catastrophic third-degree burns in a junkyard explosion, were to be treated by home-brew tinctures. He was also extremely moody, a characteristic that carried forward in some of the family genes. Tara’s ten-years-older brother, Shawn, was a piece of work. She felt close to him at times. He could be kind and understanding in a way that moved her. He even saved her life in a runaway horse incident. But he had a reputation as a bar brawler, as a person eager to fight. Sometimes his rages turned on his own family. And it was not just rage, sparked by trivialities, but cruelty, to the point of sadism. Tara was one of the objects of his madness. Dare oppose him and he would twist her arm to the point of spraining, drag her by her hair, force her face into unspeakable places and demand apologies for imagined offenses. Possibly even worse than this was her family’s denial about it, even when it occurred right in front of them. It is this denial that was hardest to bear. If your own parents will betray you, will not look out for you, in the face of such blatant attacks, then what is the value of the thing you hold most dear in the world?
All abuse, no matter what kind of abuse it is, foremost, an assault on the mind. Because if you’re going to abuse someone I think you have to invade their reality, in order to distort it, and you have to convince them of two things. You have to convince them that what you’re doing isn’t that bad. Which means you have to normalize it. You have to justify it, rationalize it. And the other thing you have to convince them of is that they deserve it. - from C-span interviewHer brother, aliased as “Shawn” in the book, was a master manipulator, who, for years, succeeded magnificently in persuading Tara that what she had just experienced had never really happened.One frustrating aspect of the book is Tara’s dispiriting, but also grating ability to doubt herself, to allow others in her life, bullies, to persuade her she does not think what she is thinking, that she does not feel what she is feeling that she did not see what she has seen. She was living in a gaslit world in which multiple individuals, people who supposedly loved her, were telling her that what she had seen was an illusion, and that bad things that other people did were somehow her fault. Honey, wake the hell up. How many time ya gonna let these awful people get away with this crap? That gets old well before the end. I was very much reminded of victims of domestic abuse, who convince themselves that they must have done something to cause, to deserve the violence they suffer. One can only hope that she has been able to vanquish this self-blaming propensity completely by now. Years of therapy have surely helped. Tara at Cambridge - image from Salt Lake City TribuneShe struggles with the yin and yang of her upbringing and finding her true self. Her father was extreme, but also loving. Her abusive brother had a very kind side to him. Her mother was supportive, but was also a betrayer. Her parents wanted what they truly thought was best for her, but ultimately attempted to extinguish the true Tara. The dichotomy in the book is gripping. At times it reads like How Green Was My Valley, an upbringing that was idyllic, rich with history and lore, both community and family, and featuring a strong bond to the land. Their home was at the foot of Buck Peak, which sported an almost magical feature that looked like an Indian Princess, and was the source of legends. At others, it is like a horror novel, a testament to the power of reality-bending, indoctrination, and maybe even Stockholm Syndrome. How she survived feeling like the alien she was in BYU and later Cambridge, is amazing, and a testament to her inner strength and intellectual gifts. Westover caught a few breaks over the course of her life, teachers, one at BYU, another at Cambridge, who spot the diamond in her rough, and help her in her educational quest. Reading of this support, I had the same weepy joyful feeling as when Hagrid informs a very young lad, “Yer a wizard, Harry.”When setting out to write the book, Westover had no clue how to go about it, well, this sort of a book, anyway. She had already written a doctoral thesis. But she did have stacks of journals she’d been keeping since she was ten. In figuring out how to get from wish to realization, one important resource was listening to the New Yorker fiction podcast, with its focus on short stories. And she took in plenty of books on writing. It is certainly clear that, just as she had the wherewithal to go from no-school to doctorate at Cambridge, she has shown an ability to figure out how to write a moving, compelling memoir. Educated is a triumph, a remarkable work, beautifully told, of the journey from an isolated, fundamentalist, survivalist childhood, through the trials of becoming, to adulthood as an erudite and accomplished survivor. It is a powerful look at the ties, benefits, and perils of families. Ultimately, Educated is a rewarding odyssey you do not want to miss. Review first posted – 3/23/18Published – 2/20/18November 29, 2018 - Educated is named as one of The 10 Best Books of 2018December 2019 - Educated is named winner of the 2018 Goodreads Choice Award for memoirs, beating out Michelle Obamas's blockbuster hit, Becoming. From a GR interview with Westover
Goodreads: Congratulations on your win! What does the award and all the support from Goodreads readers mean to you?Tara Westover: I’m really, really excited about it. It’s great when the highbrow powers that be, the literary giants, say, ""Oh, you wrote a good book,"" but it does mean something extra when it’s readers, when it’s people interacting with the book in a personal way, not just because they like the language or not because they think it’s doing something bold with the form, but because they had an experience with it. That means something a little bit different and a little bit extra. A readers’ award is a really exciting one. 







=============================EXTRA STUFFLinks to the author’s personal, Twitter and FB pagesAlthough the internet yielded no vids of Tara singing lead in her town’s production of Annie in the wayback, here is one of grown-up Tara singing lead vocal on The Hills of Aran with John MeedInterviews----- C-Span - interviewed by Susannah Cahalan – video – 1 hour – If you can manage only one of these, this is the one to see -----CBS This Morning - video – 6:41-----Penguin promotional video – 7:01-----Channel 4 News - 8:46-----NPR - with Dave Davies – the link includes text of the interview. There is a link on the page to the full audio interview – 38:18 - This is the source for several quotes used in the review, and is definitely worth a look and/or listen-----GoodReads interviewA sample of the audiobook, read by Julia Whelan, , on SoundcloudA brief interview with Westover and Whelan re the making of the audiobook - on Signature-----NY Times - 2/2/2022 - I Am Not Proof of the American Dream - a powerful essay by the author on the need for help to get an education - MUST READ STUFF"
1,https://www.goodreads.com/user/show/62787798-bill-gates,Rating 5 out of 5,"I’ve always prided myself on my ability to teach myself things. Whenever I don’t know a lot about something, I’ll read a textbook or watch an online course until I do.I thought I was pretty good at teaching myself—until I read Tara Westover’s memoir Educated. Her ability to learn on her own blows mine right out of the water. I was thrilled to sit down with her recently to talk about the book.Tara was raised in a Mormon survivalist home in rural Idaho. Her dad had very non-mainstream views about the government. He believed doomsday was coming, and that the family should interact with the health and education systems as little as possible. As a result, she didn’t step foot in a classroom until she was 17, and major medical crises went untreated (her mother suffered a brain injury in a car accident and never fully recovered).Because Tara and her six siblings worked at their father’s junkyard from a young age, none of them received any kind of proper homeschooling. She had to teach herself algebra and trigonometry and self-studied for the ACT, which she did well enough on to gain admission to Brigham Young University. Eventually, she earned her doctorate in intellectual history from Cambridge University. (Full disclosure: she was a Gates Scholar, which I didn’t even know until I reached that part of the book.)Educated is an amazing story, and I get why it’s spent so much time on the top of the New York Times bestseller list. It reminded me in some ways of the Netflix documentary 
Wild, Wild Country
, which I recently watched. Both explore people who remove themselves from society because they have these beliefs and knowledge that they think make them more enlightened. Their belief systems benefit from their separateness, and you’re forced to be either in or out.But unlike Wild, Wild Country—which revels in the strangeness of its subjects—Educated doesn’t feel voyeuristic. Tara is never cruel, even when she’s writing about some of her father’s most fringe beliefs. It’s clear that her whole family, including her mom and dad, is energetic and talented. Whatever their ideas are, they pursue them.Of the seven Westover siblings, three of them—including Tara—left home, and all three have earned Ph.D.s. Three doctorates in one family would be remarkable even for a more “conventional” household. I think there must’ve been something about their childhood that gave them a degree of toughness and helped them persevere. Her dad taught the kids that they could teach themselves anything, and Tara’s success is a testament to that.I found it fascinating how it took studying philosophy and history in school for Tara to trust her own perception of the world. Because she never went to school, her worldview was entirely shaped by her dad. He believed in conspiracy theories, and so she did, too. It wasn’t until she went to BYU that she realized there were other perspectives on things her dad had presented as fact. For example, she had never heard of the Holocaust until her art history professor mentioned it. She had to research the subject to form her own opinion that was separate from her dad’s.Her experience is an extreme version of something everyone goes through with their parents. At some point in your childhood, you go from thinking they know everything to seeing them as adults with limitations. I’m sad that Tara is estranged from a lot of her family because of this process, but the path she’s taken and the life she’s built for herself are truly inspiring.When you meet her, you don’t have any impression of all the turmoil she’s gone through. She’s so articulate about the traumas of her childhood, including the physical abuse she suffered at the hands of one brother. I was impressed by how she talks so candidly about how naïve she once was—most of us find it difficult to talk about our own ignorance.I was especially interested to hear her take on polarization in America. Although it’s not a political book, Educated touches on a number of the divides in our country: red states versus blue states, rural versus urban, college-educated versus not. Since she’s spent her whole life moving between these worlds, I asked Tara what she thought. She told me she was disappointed in what she called the “breaking of charity”—an idea that comes from the Salem witch trials and refers to the moment when two members of the same group break apart and become different tribes.“I worry that education is becoming a stick that some people use to beat other people into submission or becoming something that people feel arrogant about,” she said. “I think education is really just a process of self-discovery—of developing a sense of self and what you think. I think of [it] as this great mechanism of connecting and equalizing.”Tara’s process of self-discovery is beautifully captured in Educated. It’s the kind of book that I think everyone will enjoy, no matter what genre you usually pick up. She’s a talented writer, and I suspect this book isn’t the last we’ll hear from her. I can’t wait to see what she does next."
2,https://www.goodreads.com/user/show/5032725-debra,Rating 3 out of 5,"""It's strange how you give the people you love so much power over you""I am in the minority on this one, but this did not blow me away. I wanted to read this after seeing so many high ratings. I was expecting to love this book but ended up feeling meh about it. I actually wanted to hurry the book up in parts and other times found it to be a little repetitive. There were other times I wanted her to go into more detail or explain things more. One thing I had an issue with is that her family is described as survivalists who educated their children at home - many of which do not even have a birth certificate - but then they had many modern conveniences. Her father has a junkyard and a huge distrust of the government. Her Mother becomes a midwife at her husband's urging and makes tinctures and uses herbs to cure those in her family and in their community. I do realize that the family acquired the telephone due to her Mother's job as a mid-wife but then I wondered how they paid for everything. .Tara grows up free or wild. She didn’t bathe that often, didn’t wash her hands after using the restroom, and is unaware of world history, and is quite comfortable living around bad odors and smells. She is abused by an older brother and no one seems to notice, intervene, or even care. They seem to be a reckless group - example: multiple car accidents, etc. I had a hard time believing some of the information presented. Case in point the first car accident in the book, Tara's father offered to pay for the damaged tractor. Where did they get the money? Just how much does farm equipment cost? It's not cheap, I know that. Even if the farm equipment purchased is used it still must be pricey. Plus, the damage to their car would mean they would need to purchase another. Then the family has another car accident. More money, lots of injuries, possible need for another vehicle, etc. I am not saying that none of this happened, but I had a lot of questions about how things were paid forPlus, this family seemed to be very accident prone, falling from surfaces, fires, head injuries. Was this because they were raised without any rules and became reckless, or did bad things just happen to them?Tara does want a better life for herself. She does educate herself at home, so she can pass the test to get into College. College isn't cheap, nor are book, nor is housing or food. Again, I wondered how she paid for all of this. Plus, once she got to college, she didn't seem to mind that her roommates were upset with the smell in their home. Dirty dishes, not bathing, not having clean clothes. I get if this is the norm, in the home she grew up in but when faced with other's displeasure, I would think a smart girl like her would have taken the hint that being clean and living in a clean environment is the norm, not how she was raised. Plus, at home a young man even pointed out to her that her home smelled as did she.There was a part of this book that I did enjoy. Tara's thirst for knowledge and teaching herself and gaining entrance to college without a formal education. I appreciated her struggles and having to learn how to ""learn"". She went on to achieve a lot in her life and it is impressive and commendable. Tara definitely was an under dog and I did root for her. She definitely changed her life and sought for better for herself. Even without a lot of support from her family, she found strength and kept going. This is what shined for me in this book with otherwise left me with questions. Who doesn't want to root for her? I did. Having said that, there were just too many questions raised why reading this. I don't care if someone is a survivalist, I would think one would still want their children to be safe and free of harm. The turning the blind eye to abuse was despicable. The family also had a lot of modern conveniences which did not gel with my idea of what a survivalist family would own or not own. But I am no expert on survivalist families. Her father clearly had some mental health issues and they contributed to his beliefs and possibly to their way of life. Yes, she suffered abuse. Yes, she grew up in a home with an untreated mentally ill parent, yes, it is all very sad but it was still not enough to make me enjoy the book. What worked for me in this book was Tara's drive for a better life. How with very little support from her family, she went out on her own and obtained an education. I appreciated her drive and determination. Her book is well written and I realize this is her account of how she remembers things from her perspective. I just was left with questions hence the 3 star rating.Again, in the minority with this one. Most love this book. It just wasn't for me.I received a copy of this book from Random House Publishing group and NetGalley in exchange for an honest review.See more of my reviews at www.openbookpost.com"
3,https://www.goodreads.com/user/show/1277371-marialyce-back-in-the-usa,Rating 2 out of 5,"2 stars and I know, I am an outlier.I have been born with a gene called the ""doubting Thomas"" gene. It has made me very leery of trusting and believing a lot of things and unfortunately this gene kicked in big time in this story billed as a memoir.While I do believe that the things described by Tara Westover might have happened, I also have to think that this was a book of childhood memories. Sometimes, as children, we distort the truth, and sometimes grown to adulthood we only remember fragments of what happened and when confronted by others realize our memory was somewhat faulty.There are actually quite a few things I just could not wrap my hands around in this story. For one, being a former teacher and having had the pleasure of teaching many gifted and brilliant students, I just could not see what, with the quantum lapses in Tara's education, how she could possibly have made it into both a fairly prestigious college and then onto the highest level of university in England. Learning builds upon itself and being a former math teacher, I can say that if one only had the rudimentary knowledge of the four simple math functions, that going onto higher level math would be virtually impossible. Was it possible that her early education being home schooled was not as lacking as she described it to be?The next issue I had was that of the number of injuries incurred by she and her brothers and her mother just snapping her fingers, using essential oils and other agents and then recovery occurred. Granted, I am not a medical professional, but the incidents described in one or two particular cases was life threatening and yet these techniques done by the mother worked? I know I still blame it on my doubting Thomas gene. I do also have a belief in both holistic and regular medicine being a partnership in the healing process.Next up for me, was Tara's ability to obtain somehow the finances to attend college and then to travel overseas to England and back. Yes, I do know that she was awarded scholarships but what about the incidentals, travel, food not provided in school. Did she live like a hermit and never leave the confines of the school she was attending? From her writing, we know that is not true.Lastly, if indeed these things were happening, where were the people who should have noticed the abuse? Where were the friends, the church goers, the people who did business with the father? Would they have not noticed untoward things happening to the Westover children. Would not at least one of them have come forward? Why are some of them coming forward now to defend this family?So, sorry to say, I am going against the grain of many of my fellow much respected readers and reviewers, and saying that I just could not buy into what was being set forward in this book. I am not an advocate for her parents, nor do I think that things never did happen. Perhaps to me, this book just has not explained the circumstances well enough for the doubting Thomas in me to believe. Thankful to my Traveling Sisters who read this book along with me. We all seemed to share the same ideas on this one and I am glad as always to have my thoughts and feeling able to be expressed to such a wonderful group of avid readers. Also thank you to netgalley, the author and the publisher for providing me with an ARC of this book."
4,https://www.goodreads.com/user/show/4685500-angela-m,Rating 5 out of 5,"Difficult to read. Impossible to put down. A powerful, powerful book that you shouldn’t miss. I can’t just leave it at that because Tara Westover’s story deserves more than those few words. I don’t often read memoirs, but when I do I want them to be told by extraordinary people who have a meaningful story to tell and that would be faint praise for this book. It sounds odd to say how beautifully written this is because we are not spared of the ugly details of what this family was about, but yet it is beautifully written. I had to remind myself at times that I wasn’t reading a gritty novel, that Tara and her family were real as I got more than just a glimpse of a life that was hard for me to even imagine. A religious fanatic father, hoarding food and guns and bullets and keeping his family off the radar, not filing for birth certificates, not getting medical attention when they needed it, avoiding the government, the feds at all cost , keeping his children out of school, the paranoia, the preparation for the “Days of Abomination” - this is what we find in this place on a mountain in Idaho. There are horrible accidents and he won’t get medical help for his family. Her mother’s healing herbs and tinctures are used to treat the slightest scrape to the most horrible head injury or burns from gasoline to an explosion. If some thing bad happens it because that’s the will of the Lord. Her mother seems at times more sympathetic to her children, but she is complicit by her subservience to her husband. I don’t even know how to describe it other than gut wrenching to see the effects on this family of neglect in the name of religious beliefs and in reality mental illness. It isn’t just her father but the brutality by one of her brother’s which is more than awful and creates rifts between family members,  That she was bold enough and somehow found the will to rise above it all while she is torn with the sense of duty, of loyalty to her family, the ingrained beliefs, still loving her family is miraculous. Going to college was the first time she’d been in a classroom, not knowing what the Holocaust was, learning about slavery, the depression, WWII, the civil rights movement. She doesn’t just get a college education but ultimately a PhD from Cambridge, a Harvard fellowship. She struggles for years to discover who she was, who she could be - a scholar, a writer, an independent woman. This is a stunning, awe inspiring story that will haunt the reader long after the book ends. Thank you to Tara Westover for sharing yourself with us. I received an advanced copy of this book from Random House through NetGalley. Thanks to my friend Diane for bringing this book to my attention. Without her review I might have missed this."
5,https://www.goodreads.com/user/show/4622890-emily-may,Rating 3 out of 5,"Westover is clearly a decent writer, but I felt underwhelmed by this book. Some things didn't seem to add up. Such as how an uneducated mountain wildgirl clicked her heels together, magicked up thousands of dollars (yeah, yeah, scholarships don't cover everything, you know), and went on to some of the world's most prestigious higher education centres. Intelligence is not the main thing required to attend Harvard or Cambridge; being able to pass exams and perform the system's dance is. Someone without formal education should have no idea how to do that.Also-- are some people magically cured by herbs and finger-clicking here or did I miss some medical intervention along the way?But I think, overall, I was just a little disappointed because everyone seemed to find the survivalist aspect so dramatic and awful. I've read a few books about isolated communities that go off the grid and enforce their own laws and, I have to say, Westover's experience felt pretty tame. Her family were survivalists who spent months canning peaches and hunting for scrap, but is this really that odd? I heard all these promises of ""wilderness"" and ""mountain survivalists"", but they have a phone and TV. I would say this family is more ""eccentric"" than ""survivalist"".Where the book does succeed is as a portrait of physical and emotional abuse. I think this was the most important part of the book and it's been glossed over in favour of people's delight at learning about weirdos running around wild in the mountains. (I'm not judging; I came for that too.) I also found it really interesting and sad when the author suggested that her father's paranoid delusions might have been undiagnosed bipolar disorder. It's a quick read with crowd-pleasing writing, I'll give it that. But it's hard to not feel like something is amiss, and certain events were probably exaggerated. Or, alternatively, Westover's ""survivalist"" family were sitting on a few on-the-grid dollars that conveniently popped up when equipment needed repairs and people needed to go to college. It's also possible that the writing just lacked clarity.Facebook | Instagram "
6,https://www.goodreads.com/user/show/57797254-cindy,Rating 5 out of 5,"So good. So good. SO GOOD. Ok, I'll try to elaborate. Tara Westover's memoir is incredibly engrossing not just because of the rollercoaster of traumatic events that occur throughout her life, but also because of her ability to weave humanity and complicated familial relationships in her portrayal of events. While it's easy to take these events and market it like a thriller novel, it's that sense of reflection and poignancy in her carefully crafted words that is the book’s strongest asset. As awful as her family is, she tries to make them as multifaceted as possible by describing both the horrific treatment she dealt with alongside the tender moments that have made it hard for her to let go. I have always been either apathetic or critical about our education system, but I loved Westover’s insights that her education has afforded her to expand her worldview and transform her into her own individual. I would recommend this book to anyone who comes from a dysfunctional family as proof that you don’t have to be trapped in your circumstances and can seek a better life for yourself.A common critique is questioning how much of her memoir is embellished. My gut reaction is to take offense, as these dismissals have implications of not believing a victim of abuse and gaslighting her like her family did. But I know that all memoirs have degrees of embellishments, and it’s fair to have healthy skepticism. However, she peppers several footnotes throughout her memoir that point out contradictions in her memory based on different accounts of her siblings. This indicates that she is aware of how memories can be subjective, and the fact that she even clarified where her own perspectives differed and included different accounts showed that her priority was telling her story as truthfully as she can. That’s all you can really ask of someone bearing their life story. I believe the book and trauma she went through are completely valid, and her efforts in both staying true to her experiences while sharing different accounts reassure me in that validity."
7,https://www.goodreads.com/user/show/32879029-emma,Rating 4 out of 5,"To be honest, I don’t even know why I’m bothering to review this.There is no scenario in which I am a more trusted source than Obama, Oprah, the New York Times Book Review, and the Goodreads Choice Awards combined, and if they’ve all already told you to read this (which they have) then I don’t know why my recommendation would push this whole thing over the edge for you.If I am a more trusted source than all of those, then I just don’t know what to tell you. Besides the fact that I’m concerned for us both. But here we are, so. Introducing: My thoughts. My thoughts are: that this is a very good book.Truly groundbreaking stuff, I know.But really - it’s worth the hype. And this is coming from the girl who’s one-starred so many popular books she has an “unpopular opinions” shelf with hundreds of books on it.Can the New York Times Book Review say that?Maybe I should be the more trusted source.Anyway. This is not only beautifully written (and it is beautifully written), it’s stunningly recollected too. The emotional intelligence of the author is so vivid in every page. There is so much empathy here.This is already an incredible, gorgeous story, with a profound and impactful arc, but the talent of the author is what really makes it masterful.Bottom line: This is good sh*t.(You don’t get that kind of blurb from Oprah.)----------pre-reviewoprah was right.review to come / 4.5 stars----------tbr reviewall it takes to convince me to read a book is 500,000 ratings with a 4.48 average + a Goodreads award + tons of nominations + the New York Times, Barack Obama, Oprah, and every major publication naming it one of the best of the year."
8,https://www.goodreads.com/user/show/58160628-emily-books-with-emily-fox-on-youtube,Rating 4 out of 5,"I had a really tough time reading this book.The physical and emotional abuse made me want to put it down and forget about it. The manipulation, the abuse she went through left me speechless. While not unique, family issues are still so taboo. Brainwashing your own self into thinking it's your fault, that it wasn't that bad or that you imagined it will hit way too close for comfort for a lot of people.The author's writing was beautiful and her courage to get an education and stand up to her family was inspiring.Do recommend if you can stomach it."
9,https://www.goodreads.com/user/show/1151637-roxane,Rating 4 out of 5,Excellent memoir. Really well written. The story is just horrifying from beginning to end. It really makes you wonder how many people are homeschooling their kids and enabling abuse and indoctrinating kids in all kinds of racist paranoid nonsense. I kept thinking “this is so fucked up” as the story careened from one nightmarish circumstance to the next. It’s amazing what people are able to survive. It’s a shame that survival is demanded of so many. 
