,user_links,user_ratings,review_text
0,https://www.goodreads.com/user/show/29002534-valeriu-gherghel,Rating 3 out of 5,"„Eu nu sînt cîtuşi de puţin un şarlatan, un monstru moral” (Ecce homo).O biografie cumpănită (Nietzsche nu e prezentat nici ca sfînt și nici ca martir), scrisă cu acuratețe.Un lucru e sigur, Friedrich Nietzsche (1844 - 1900) n-a avut noroc. Nici în viață, nici postum. În secolul al XIX-lea, boala de care a suferit nu avea un diagnostic precis. Cît despre remediu nici n-are rost să vorbim. Medicii i-au prescris medicamente, dar majoritatea erau perfect toxice: unguente pe bază de mercur, morfină, ether, picături de bromură etc. Nietzsche a încercat să-și aline suferința cu aceste otrăvuri.În toamna lui 1870, de exemplu, în timpul războiului franco-prusac cînd a lucrat ca infirmier și a căzut bolnav, Nietzsche „a fost tratat cu azotat de argint, opiu și clisme cu acid tanic, tratamentul normal la vremea aceea, al cărui efect era că distrugea intestinele pacientului pe viață” (p.79). Diferiți psihiatri contemporani au încercat să producă un diagnostic retrospectiv, ceea ce e imposibil. Sue Prideaux arată - și cu bun temei - că diagnosticul inițial (paralizie progresivă, indusă de o infecție luetică) a fost dictat, în primul rînd, de moda timpului și mai puțin de simptomele și manifestările pacientului. Medicii l-au tratat, așadar, pe Nietzsche cu maximă neglijență profesională. Într-un sens, era inevitabil. Evoluția de după 1889 a bolnavului infirmă, totuși, paralizia progresivă. Mai mult e greu de spus. Să nu uităm însă că tatăl lui Nietzsche, Carl a murit subit, pe 30 iulie 1849, cînd fiul lui încă nu împlinise 5 ani. În opinia doctorilor, cauza morții pastorului Nietzsche a fost, probabil, o „înmuiere a creierului” (pp.23-25, 335).Neglijență sau neputință profesională? Să vedem. Profesorul Otto Binswanger, directorul Clinicii din Jena (care avea, poate, expertiza necesară pentru a invalida diagnosticul inițial), nu i-a dat prea multă atenție. S-a bizuit pe medicii care l-au examinat prima dată. Deși Nietzsche a stat în ospiciul din Jena 14 luni, Binswanger n-a pus la îndoială verdictul lor, probabil greșit (sifilis terțiar). Mai mult, „În timpul cursurilor lui Binswanger, Nietzsche era folosit, alternativ cu alți pacienți, ca material didactic pentru studenți. El nu percepea acest lucru ca umilitor” (p.288).Este exact ceea ce a făcut și sora lui Nietzsche, Elisabeth Alexandra Förster-Nietzsche, viitoarea admiratoare a lui Hitler, după ce bolnavul a fost adus acasă și a locuit în edificiul din Weimar, construit anume de ea pentru a glorifica geniul lui Nietzsche, dar mai ales propria-i persoană. Își va trata fratele ca pe un exponat prețios: „Lui Elisabeth îi plăcea să-l afișeze după cină. Adesea aranja ca el să fie întrezărit printr-o perdea fumurie, ca un strigoi la o ședință de spiritism” (p.308).Friedrich Nietzsche nu mai era coerent din dimineața zilei de 3 ianuarie 1889, după criza de la Torino. Elisabeth mistifică realitatea și pretinde că, în timpul lungii sale agonii, filosoful discuta adesea cu ea și se consolau reciproc: „Cît de des mă lăuda pentru ce făceam! Cît de des mă liniștea cînd păream tristă! Recunoștința lui era înduioșătoare: De ce plîngi, Lisbeth?, mă întreba. Doar sîntem fericiți” (p.309).Cînd citești aceste elucubrații, te cuprinde scîrba..."
1,https://www.goodreads.com/user/show/53165-warwick,Rating 4 out of 5,"Nietzsche is now preceded by his reputation to such a monstrous extent that it takes a bit of an effort to overcome all the received wisdom – which in my case was the only wisdom I had, having read only one of his books and virtually nothing else about him. Oh yeah, Nietzsche, wasn't he a bit right-wing? Tooled around with a terrific stare, declaiming things about the death of god? Women hated him, Nazis loved him? Something like that…?He comes across in this fascinating biography as a smart, unusual, and not unkindly figure, but one overmastered by the emotional demands of his family, by an imposed solitariness, and by the lifelong ill health which, he knew, appeared to be leading inexorably to madness.He tried to accustom himself to this possibility early; insanity ran in his family and his father had died young from a ‘softening of the brain’. From the beginning, in his writings, he was ‘exploring the idea of emancipatory insanity and the validity of the irrational’, in passages like this from Daybreak:Ah, give me madness, you heavenly powers! Madness, that I may only at last believe in myself! Give deliriums and convulsions, sudden lights and darkness, terrify me with frost and fire such as no mortal has ever felt, with deafening din and prowling figures, make me howl and whine and crawl like a beast: so that I may come to believe in myself!Well, he got what he wanted. He had a vital personal investment in many of his philosophical ideas, which had to do with turning ‘every “it was” into “I wanted it thus”’ – in other words, with not just accepting the things that happen to you, but forcing yourself to find joy and satisfaction in them. For him, this amor fati could be a big ask.Most of the key locations in his life, as he developed these ideas, were in Switzerland. He took a professorship in Basel at just 24; spent probably the happiest years of his life at Wagner's house on Lake Lucerne, where he wrote The Birth of Tragedy; and later had his most dramatic epiphanies at Sils up in the Engadine (where tourists can still visit the ‘Zarathustra rock’). ‘Here my muses live,’ he said; ‘this region is blood and kin to me and even more than that.’But misfortune did seem to follow him around, and there were very few friends who lasted long. Wagner had originally seen him as a worthy disciple, and the two had a close relationship, but it came apart in a miserable way. Wagner wrote to his doctor, asking whether some of Nietzsche's medical symptoms might not be ‘the effects of masturbation’; this letter somehow got into circulation, and Nietzsche found himself at a party in Bayreuth with everybody reading it surreptitiously and sniggering at him behind his back.With women he had no luck at all. His most affectionate relationship was with Lou Salomé, the Russian-born thinker, writer and itinerant femme fatale. The two shared many long walks and deep conversations which meant a great deal to Nietzsche, but she was always interested in other smart people as well. For a while the two of them resolved to live à trois with the philosopher Paul Rée, but this modern arrangement also ended pathetically: one day, while they were travelling together, Nietzsche woke up to find the other two gone. He carried on to some other destinations on their itinerary, but could not find them; in fact, Salomé and Rée had just stayed where they were and lain low until Nietzsche disappeared.One gets the impression of a seriously lonely man. There's a moment where the Goncourts' journal is published, and Nietzsche reads it and thinks wistfully how nice it must be to have these boozy, friendly dinners with guests like Zola and Turgenev. He would have flourished in that situation. But there he was, wandering around alone on an Alp, having ecstatic visions interspersed with bouts of crying.It is partly for these reasons that his later writings can be, as Sue Prideaux puts it, ‘vengefully misogynistic’. Nevertheless, she says:All his life he valued intelligent women, making close and enduring friendships with them. He only fell in love with clever women – starting with Cosima [Wagner]. He disliked ignorant and bigoted women.Which brings us to his sister, Elisabeth. Nietzsche kept up a friendly correspondence with her, but he did not share her values: she was an ardent nationalist and a vicious antisemite, whereas Nietzsche considered himself a ‘bad German’ but a ‘very good European’. (He gave up his German citizenship to work in Basel, and remained officially stateless for the rest of his life.)The rift between them became serious when Elisabeth married the nationalist activist Bernhard Förster. ‘I do not have his enthusiasm for “things German”,’ Nietzsche wrote to her, ‘and even less for keeping this “glorious” race pure. On the contrary, on the contrary—’ (Nietzsche liked to tell people he was Polish, after someone said his face looked like something from a Matejko painting.)The Försters went off to start a bizarre antisemitic colony in Paraguay, but after her husband, deep in debt, finally killed himself, Elisabeth found a new project in managing the affairs of her brother. Nietzsche by this stage had gone completely la-la. He was signing his letters ‘The Crucified’, and telling correspondents things like, ‘I have ordered a convocation of princes in Rome – I mean to have the young emperor shot.’If there was a certain élan to his early ideas about the liberating power of madness, there was none whatsoever to the reality: first confined to an asylum, and then long years shuffling around a room above his sister's parlour, scarcely able to remember his name or to speak coherently. Elisabeth took ownership of all his writings, copyrights and letters, and carefully controlled what would be released to researchers or the public.But even the sadness of Nietzsche's final years is overshadowed by what was done to his reputation after he died. Elisabeth, in Prideaux's telling, was determined to turn her brother's writings to her own ideological ends – which by now had a political correlative. Giving a speech at a festival held to commemorate fifty years since Wagner's death, she announced: ‘We are drunk with enthusiasm because at the head of our government stands such a wonderful, indeed phenomenal, personality like our magnificent Chancellor Adolf Hitler. Ein Volk, Ein Reich, Ein Führer.’The Nietzsche-Archiv, which she built and managed in Weimar, was soon stuffed with fellow believers. ‘Inside the Archive, everyone, from the doorkeeper to the head, is a Nazi,’ said one depressed disciple of Nietzsche's, who later fled into exile. ‘It is enough to make one weep…. Mysterious, incomprehensible Germany.’Despite the superficial appeal of Nietzsche's terminology – the ‘blond beasts’, the ‘master race’ – it was not easy to jam his ideas into a fascist mould. As one leading Nazi ideologue commented: ‘If not for the fact that Nietzsche was not a nationalist or a socialist, and did not believe in race discrimination, he would have made a good Nazi.’I am not up on Nietzsche scholarship so I don't know how controversial or un- this story is, but certainly here Nietzsche emerges as a figure deeply sympathetic, deeply troubled, and deeply misunderstood by posterity. It's a very sad tale, so one is grateful to Prideaux's dry, often openly comic style, which guides you through his life without any unnecessary drama, letting the facts speak for themselves.‘Deutschland, Deutschland über Alles,’ he wrote scornfully, ‘I'm afraid that was the end of German philosophy.’ Unfortunately, it was just the start for ‘Nietzschean’ philosophy, and for a lot of people it's never recovered. It all makes for a completely riveting and desperately sad read."
2,https://www.goodreads.com/user/show/5617661-jan-maat,No Rating,"Great fun. A very lively book, with some dramatic passages. Perhaps it is slightly awkward that Nietzsche was much less colourful than the people he interacted with, so the shining stars of this biography are the Wagners  both of Cosima Wagner's husbands married her apparently because she looked very much like her father, the composer Liszt , Lou Salome, Strindberg, and even Nietzsche's sister who on account of being the unpleasant kind of person that you would not want to be acquainted with in real life - is very interesting to read about.I am not sure if this is a great book for getting close to Nietzsche's thinking and ideas, but according to Prideaux, he said that all philosophy is autobiography, and the book pursues that as it's approach. Perhaps Nietzsche was not very forth coming in his correspondence, or interesting enough in person to merit insightful details recorded in other people's diaries, but I was surprised by the weight that Prideaux gave to Lou Salome's recollections twelve years later (if I remember correctly) of conversations with Nietzsche about his philosophy, particularly since Salome had strong opinions of her own - so is she really recalling Nietzsche's views or what resonated and was similar to her own thinking?Nietzsche himself was changing or developing his ideas, in some cases he may have been playful or provocative, and ultimately he did go spectacularly mad in Turin in 1888/9, so one can also assume that that some of his ideas are symptoms of his mental breakdown as Prideaux implies for example his condemnation of coffee drinking at about the same time as he was writing in his letters in praise of Turin coffee coffee is available in other cities and may or may not be of similar importance to both philosophers and non-philosophers .For Salome, Nietzsche was in search of a divine replacement for the Christian God, probably a revived Dionysus, the reason for this was that Nietzsche was too interested in having more sex and was therefore overly interested in Dionysian orgiastic rites. Salome was to become, eventually a promoter of Nietzsche's work, although in the early 1880s when they were friends and Nietzsche was planning that he and her and a mutual friend would live together, Salome and the friend hid from Nietzsche before catching a train to Berlin. Salome at that stage of her life was disinclined to sex on account of recently having been sexually assaulted by her tutor (she was only 21 when she met Nietzsche), later she married - her husband proposed by stabbing himself and threatening suicide - but she reserved sex only for an extra marital affair  her and Nietzsche's mutual friend Paul Ree was not involved in this as he was gay, all of which illustrated for me that Nietzsche was not the most interesting person this Nietzsche biography  Salome went on to be a muse to Rilke before joining Sigmund Freud and becoming an early psychoanalyst.I wondered if Nietzsche's significance was in thinking new provocative thoughts, or in articulating what his contemporaries felt but were not able to put into words. His belief in the death of God and search for some alternative and occasional longing for new culturally unifying myths (originally Wagnerian opera seemed to fulfil this role for him, but later in life he preferred Bizet's Carmen) seems to belong more to the latter than the former, perhaps because his generation shared similar experiences of losing faith, though in line with all philosophy being autobiography, it feels significant that Nietzsche's father died when his son was four years old, later in life both Richard Wagner  coincidentally a distant cousin  as I recall from a complex family tree at the Nietzsche museum in Naumburg and Jakob Burckhardt seem to have been father figures for Nietzsche (who Oedipally turned against Wagner).I found the take up and spread of Nietzsche's ideas the most interesting aspect  apart from the multi-coloured people who were not Nietzsche but this came about late in his life and isn't a focus of Prideaux's book, Strindberg was an early fan (via the Danish critic Georg Brandes  he was like several of Nietzsche's early supporters Jewish who interested Edward Munch in Nietzsche, Nietzsche asked Strindberg to translate his books into French, however the tenor of their correspondence led Strindberg to think that Nietzsche was already mad.Nietzsche himself is a curiously quiet presence in his own biography, extremely short-sighted with sensitive eyes, he was happy walking in mountain landscapes - he grew a bushy moustache to intimidate people and prevent them from talking to him which seems mostly to have been effective, he had a stellar academic career (he was offered a post as a Professor before he had graduated from university) which he grew rapidly sick of, he struggled with an early typewriter and eventually found music to have too overwhelmingly powerful an effect on him - as though he feared it would turn him into a Manchurian candidate.Brandes described Nietzsche as an Aristocratic Radical, a description which delighted him and encompasses his dislike of the politics of the German Second Empire, opposition to anti-Semitism, opposition to the Christian Church, and fairly elitist views. Still, a brilliant and colourful read.He seems in places the father of the contemporary and even the banal - he was a fan of practising gratitude for a while, his stumbling blocks in this were his mother and his sister who he struggled at times to be positive about. Much of his thinking seemed to me a response to Straus' Life of Jesus - which also had a huge affect on George Elliot, this was peculiarly significant as he was the son of a Priest and his mother hoped (prompted? urged? expected? ) that Nietzsche too would become a Priest, the death of God and the rejection of Christianity then was a statement about a personal longing for liberation as much as a philosophical or sociological statement, and as one might expect from a son of the manse and a person saturated in nineteenth century education he rather over states the impact on Christian values on European societies  but then in my view in terms of attitudes, law or social structure European societies are mostly pre-Christian in terms of Gospel teachings, there's not much evidence of turning the other cheek, or of the sinless throwing the first stone, though arguably after 1945 there has been some modest sharing of loaves and fishes. Nietzsche strikes me as an interesting contrasts to Simone Weil. Both had a similarly intense response to ancient Greek culture, but took opposite views to Christianity, Weil embraces faith ever more powerfully while at the same time being socially more radical than Nietzsche while he positioned himself in search of some other faith which he did not seem to find. "
3,https://www.goodreads.com/user/show/974210-erik-graff,Rating 5 out of 5,"When asked for recommendations by those unversed in philosophy I most commonly recommend Plato and Nietzsche. Both are enduringly popular. Both are immediately accessible. Though often misinterpreted, both also describe the antipodes of Western philosophy: the metaphysical and the anti-metaphysical, the classical religious and the modern secular ideals.As the Church has misappropriated Plato for its purposes, so much of the abuse of Friedrich Nietzsche (1844-1900) stemmed from the decades of control of his estate by his racist sister Elisabeth (1846-1935) and her increasingly Nazi entourage. This has been substantially rectified for American readers by the republication of his works, unsullied by her self-serving ministrations, by such translators and biographers as W. Kaufmann and R.J. Hollingdale. Now, with S. Prideaux's current biography, such reconstructions of this man have attained a greater completeness.While Kaufmann, the one most responsible for the reintroduction of Nietzsche to the English-reading public, produced a magisterial biography of the philosopher in 1950 (rev. 1968), his emphasis was more on the evolution of Nietzsche's writing and ideas. Prideaux's particular virtue is in having provided a very readable and more fully-fleshed portrait of the man and those closest to him. She is particularly strong in providing a lucid exposition of his intellectual development in relation to his physical condition and erotic life without thereby belittling either the man or his work.Where Prideaux is weak is in placing Nietzsche within his philosophical context, neglecting, I think his dependence, via Schopenhauer and others, on Kant. But this is the objection of a philosophically-inclined reader and hers is first and foremost a biography, a very good one, which should appeal to specialists and generalists alike."
4,https://www.goodreads.com/user/show/18503124-olethros,Rating 3 out of 5,"-Mucho de su vida y, aunque pueda parecer contradictorio, quizá no tanto de él.- Género. Biografía.Lo que nos cuenta. El libro ¡Soy dinamita! (publicación original: I am Dynamite!, 2018) es un acercamiento a la vida del filósofo Friedrich Wilhelm Nietzsche, a su obra y las personas que influyeron en ambas.¿Quiere saber más de este libro, sin spoilers? Visite:http://librosdeolethros.blogspot.com/..."
5,https://www.goodreads.com/user/show/13298726-michael-perkins,Rating 4 out of 5,"Fabulous essay by Christopher Hitchens about Nietzsche...https://archive.vanityfair.com/articl...===============The author explains the origins of Zarathustra....Why did Nietzsche choose Zarathustra? Zarathustra, also called Zoroaster, was a Persian prophet who probably lived some time between the twelfth and sixth centuries before Christ. Zarathustra presented a key to the problem of evil that could never be answered by Judaism, Christianity or Islam, whose all-powerful gods were all-good. In Zoroastrianism the god of light is in constant conflict with the god of darkness and evil. At the end of time, the god of light will score a final victory, but until then he is not in control of events. Consequently, Zoroastrianism, unlike the three great religions of the book, escapes the paradox of an all-powerful good God who is responsible for what many people take to be unnecessary evil.Zarathustra’s ten years of solitude in the mountains between the ages of thirty and forty might stand for Nietzsche’s post-Basel decade of independent thinking, which was often conducted on high mountains. Zarathustra is forty, the same age as the writer Nietzsche is, when he comes down “to be among the people.” He carries down fire, as Prometheus had carried the fire that would transform cultures and civilizations and as the Holy Ghost had carried down tongues of fire at Pentecost. Fire bestows upon the chosen ones (the enlightened ones) the gift of “speaking in tongues,” i.e. in words that are universally comprehensible. It is a synonym for wisdom and for revelation. Zarathustra’s fire has the specific ability to scorch meaning into the meaninglessness of life following upon the death of God. His mouth alone (through Nietzsche’s) will be the first to address the nihilism, despair and devaluation of moral life that was reaching its crisis within the context of nineteenth-century materialism. At the end of his book he writes:  ""Dead are all gods: now we want the Übermensch to live---Thus spoke Zarathustra.”He sent it to his publisher describing it in his cover letter as “a fifth gospel.”=========In 1888, Kaiser Wilhelm I had died at last, at the age of ninety. Seventeen years previously, he had accepted the German crown in the Hall of Mirrors in Versailles, to Nietzsche’s great distress and fear for the imbalance of Europe. In the intervening years, the Kaiser and his Iron Chancellor Bismarck had famously forged the archconservative and repressive Second Reich on industrialization, capitalism, unscrupulous expansionism, the Protestant Church, artistic conservatism and censorship. ""All this had coagulated into one massive, congested, sclerotic, nationalist, repressive and authoritarian world power— as Nietzsche had feared would happen.""As a university student in the late 1880s and early ’90s, Harry Kessler [executor Nietzsche’s literary estate] was part of “the Raskolnikov generation”: those on whom Dostoyevsky’s novel Crime and Punishment had a profound effect. Kessler served as witness at the trial of a highborn fellow student who shot and killed his working-class girlfriend, after which the murderer failed to kill himself because his shot into his own chest was not well aimed. It was a nihilist act inspired by Dostoyevsky’s book, which made an unquantifiable impression on the first post-Christian despairing generation. A rash of such murders among students overcome by “the great disgust,” the will to nothingness, became known as “the Raskolnikov effect” after the anti-hero in Dostoyevsky’s book.Three years after leaving university, Kessler felt able to write, “There is probably no twenty-to-thirty-year-old tolerably educated man in Germany today who does not owe to Nietzsche a part of his worldview, or has not been more or less influenced by him...""1893 became an important year during which Nietzsche’s work caught on with the artistic avant-garde of both Berlin and Paris to wide effect through painting, playwriting, poetry and music. Scandinavians also set the Nietzschean fire.This would have been astonishing enough to Nietzsche, who had so often expressed his horror at the idea of having disciples, but the political tenor of the Nietzsche cult would have horrified him further still. ""The approach of the First World War gave impetus to a bellicose form of Nietzscheism that took the will to power as a moral teaching sanctioning violence and ruthlessness, the Übermensch as the greatest brute, and the blond beast as an incentive toward a racial breeding program.""Newspaper articles by Nietzsche's anti-Semitic, fascist sister, Elizabeth, encouraged these twisted interpretations, enthusiastically describing her brother as a friend of war.His sister, along with her anti-Semitic husband, gathered together out of context fragments from Nietzsche's notebooks, adding their own ideas as if they were his, into a volume titled ""Triumph of the Will"" with Nietzsche identified as the author on the cover and the title page. This book was eagerly adopted by Mussolini as a justification for his fascist nationalism and thirst for war. In Germany, the Weimar period was a gestation period of this work. Hitler and the Nazis became admirers of both the book and Elizabeth. Philosopher Oswald Spengler made things worse by incorporating Social Darwinism into the alleged beliefs of Nietzsche. The misunderstood terms Übermensch and “master morality” served Spengler's purpose.Soon after philosopher Martin Heidegger joined the Nazi Party, the notorious German professor, Alfred Bäumler, who had issued a new edition of ""The Triumph of the Will,"" oversaw the first book burning in Berlin. A film, directed by Leni Riefenstah, of the 1934 Nuremberg Rally was titled ""Triumph of the Will"" as a nod to the influence of the book. Of course, Hitler never actually read any Nietzsche, including the phony ""Triumph of the Will,"" but simply saw it as useful propaganda. On her deathbed in 1935, Elizabeth had Hitler's ""Mein Kampf"" read to her aloud. Hitler attended her funeral."
6,https://www.goodreads.com/user/show/29356259-hossein,Rating 4 out of 5," 
بیش از هرچیز، او را مهربان، معمولی، شوخ‌طبع و بس انسانی یافت. فردی فوق‌العاده حساس، پرمهر و مودب بود. با هرکس که می‌دید رفتاری حسنه داشت، و با زنان پیر و جوان حتی بیشتر چنین بود. این باعث شده بود مهمانی محبوب در پانسیون دوژنو باشد، جایی که در آن او را ""پروفسورِ عزیزِ نیمه‌نابینا"" می‌خواندند....
همه این‌ها کاملا مخالف تمام تصوراتم از نیچه بود. تصویری که از او در جامعه عرضه شده و همه با شنیدن نامِ نیچه به یاد آن می‌افتیم، شباهت کمی با واقعیت و اصل ماجرا دارد. این شاید بزرگ‌ترین ثمره‌ی این کتابِ فوق‌العاده باشد. کتاب تا ریزترین جزئیات زندگی نیچه و آدم‌های دور و برش را به تصویر کشیده است، تصویری که واقعیتِ بسیاری از چیزها را نمایان می‌کند: سیر تکامل فلسفی‌اش، دوره‌های طولانی بیماری و وقفه‌های سلامتی، روابط نیچه با واگنر و همسرش، رابطه جنجال‌برانگیزش با لو سالومه و بقیه زنانِ زندگیش و به نظرم مهم‌تر از همه، نقش خوا��ر نیچه در تحریف اندیشه‌های او.بخش زیادی از این کتاب را بیرون از خانه و در طبیعت خواندم. برایم پیاده‌روی‌های طولانی نیچه در طبیعت و سکوتش برای ساعت‌های متوالی، الهام‌بخش بود. همین شد که بخش عظیمی از کتاب را در دل طبیعت خواندم. آرام آرام که پیش رفتم، حصار باورهای پیشینم فرو ریخت و یاد گرفتم نیچه را دوست بدارم و سعی کنم تصور کنم تمام رنج‌ها، به تمسخرگرفته‌شدن‌ها و دردهایش را. و چه سخت بود تماشای 12 سالِ پایانیِ جنون و عاقبت مرگ او...پ.ن.1: داستایفسکی، کیرکگور، نیچه ... تثلیث مقدس و شکوهمندم... هر سه این‌ها پر از شورند. هر سه نفرشان دیوانه‌وار نوشته‌اند واین جنون را می‌بینی در نوشته‌هاشان. برای روزهای جوانی‌اند، برای روزهای لبریز از تب و تاب و اشتیاق‌ و اضطراب ...پ.ن.2: کاملا اتفاقی، دیدم که جردن پیترسون عزیز، یک قسمت از درسگفتارهایش را به کنارهم گذاشتن این سه نفر اختصاص داده. توصیه می‌کنم حتما ببینید.پ.ن.3: کتاب بعضی جاها واقعا حوصله‌ام را سر برد. بعضی روزها، ساعت به ساعت توصیف شده که هرکس مشغول چه کاری بود... توالی اسامی طولانی و غیرقابل تلفظ آلمانیِ اشخاص که گاهی فقط یک بار در کتاب آمده بودند، کمی دیوانه‌ام کرد :)پ.ن.4: برخلاف چیزی که فکر میکردم، خواندن این کتاب حوصله و صبر و فراغت می‌خواست. اگر می‌خواهید بخوانیدش، به نظرم وقتی سراغش بروید که به اندازه کافی وقت آزاد دارید :)"
7,https://www.goodreads.com/user/show/26626256-biblio-curious,Rating 5 out of 5,"A book like this needs to be composed like music. All the elements must be gently pulled in so the main themes can shine through. Prideaux accomplishes this with such great finesse. Essentially, this book has 3 main threads that she stays true to for the entire biography: *Chronology of Nietzsche's Life, filled with colourful details.*An Intellectual History of his Philosophical Development, flooded with bookish details.*Historical Context as it Relates to Nietzsche, with the goal of setting the record straight.We can see Nietzsche develop from his early 20's. True to any young man, this section of the book is the most lively and fastest to read. The early pages are packed with books he read, what he thought of them, his keen friendship with Wagner & his musical life.Next, the biography moves into his middle years, where the intellectual development slows down but his private life certainly picks up. He's essentially come into his own for what he believes in. The rest reads like a, well, not a gossipy newspaper column. He's still a great thinker, Prideaux's writing still sings, perhaps he's simply a man who fell in love? And if this biography reads as beautifully as fiction, our villain is clearly moving onto the chessboard.This final section is where I was rendered on the floor in emotional turmoil. Again, Prideaux's writing keeps the more complex periods of history clear & easy to read. Which only emphasizes the tragedy of thoughts gone wrong. These were an emotionally crippling couple of pages with exquisitely concise summaries of Nietzsche's final self published works. She includes spoilers on these few pages, if you consider lines like Descartes' ""I Think Therefore, I Am"" to be a spoiler.The final pages include: *Aphorisms as a great tribute. *Near year by year Chronology from 1844-1935*Endnotes citing the sources, little to no commentary*A pretty fun sounding Bibliography for book nerdsI'd recommend this to fans of Nietzsche & his naysayers most of all. She reduces him back the mere man he wanted to be, removing the legend that his sister painstakingly tried to build up. As a result, perhaps Nietzsche can finally become ... * impish smile, you have to read this book & his works to find out *My 1st Impressions Video, filmed before I read this:https://youtu.be/Qug7mp7Oq7IMy final review, it gives a very brief update to the 1st Impressions & less information than this written review:https://youtu.be/Ygb1gl3vU-o"
8,https://www.goodreads.com/user/show/7271273-paltia,Rating 4 out of 5,"A mostly captivating biography of a widely misunderstood man. I am left with the impression of a solitary, lonely and confused soul wandering about, moving from place to place, in search of belonging and fleeing his oppressive mother and sister. There are brief intervals of reciprocity with Wagner and Lou Salome but in the end he is a man very much alone. Next time I pick up a book he wrote I will approach it with a deepened understanding of the origins of his ideas."
9,https://www.goodreads.com/user/show/3897817-morgan-blackledge,Rating 5 out of 5,"Modernity’s Timeline:Pre Modernity: Abrahamic religions envelop the western world in intellectual darkness. Billions die in crusades, genocides, inquisitions, witch hunts and wholy wars.1859: Darwin accidentally kills god.1867: Marx tries to figure it all out by deconstructing and rationalizing systems of material production and governance. Stalin gets ahold of it and around 20 million people end up dead. 1886: Nietzsche tries to figure it all out by deconstructing and rationalizing systems of morality. Hitler gets ahold of it and around 20 million people end up dead. 1899: Freud tries to figure it all out by deconstructing and rationalizing systems of psychology. Madison Avenue gets ahold of it and the rest of us end up dead (starting with the frogs and polar bears).Yet, somehow, we’re still better off 😐"
