,user_links,user_ratings,review_text
0,https://www.goodreads.com/user/show/124132123-lisa-of-troy,Rating 5 out of 5,"A Book That Changed My LifeA book worth reading once a year. In 2023, my goal is to consume less and create more. The stories in my heart and mind were finally going to meet paper. But I wasn’t actually writing anything. When the day started, I knew that I had to write. I wasn’t feeling very well so I would write later. Then, dinner would happen, and I was behind on my reading and didn’t feel any better than earlier in the day. Enter Atomic Habits. After reading the book, I took out my calendar and scheduled, “Writing,” from 1 pm to 1:20 pm. Now, I am actually writing.How many of us have goals: to have better relationships, to lose weight, to learn a language? We have the best of intentions, but we don’t have a plan with manageable actionable steps.Have you ever wondered how I got to be the #3 US Book Reviewer on GoodReads? Atomic Habits.Before reading Atomic Habits, I had what I now realize as wishful thinking or dreams. At times, sometimes I made it on to the top 100 book reviewers, but it was always a complete mystery to me. When I made the list, I couldn't believe my luck! I wanted to rate higher, but I had no real plan.Then, I read Atomic Habits. I sat down and had a clearly articulated goal. ""I want to rate X on the best reviewer list."" Okay. Sounds great. But what does that take? I looked at where I wanted to be on the weekly list and saw how many votes the reviewer received. I divided that number by 7 and knew that I needed to achieve that many votes per day to get to where I needed to be. Sure enough. I met my goal and started to become consistently ranked. Atomic Habits is all about shifting your dreams and wishful thinking into knowing exactly where you want to be and making a plan to get there.Also, it talks about lofty goals.Almost everybody can relate. We make lofty goals: I’m going to run a marathon! I’m going to write a book! I’m going to lose weight! After a few weeks of intense effort (if we make it that far), we give up and go back to the way things were.Did you know that I got back into reading by reading 6 books a year? That’s right. My goal was 6 books per year. The only reason that I initially picked up this book was that someone was RAVING about it, and I was extremely skeptical. I honestly thought that this book was just going to be a bunch of rah rah feel good, you can do it, pep talk. However, it had an entire list of actionable steps you can take to help you make progress on your goals. Little changes can make big differences over time. For example, when I lay out my sheet mask in the morning, I am much more likely to use it at night. This book made me want to write down goals for the year or at least start thinking of the things I wanted to make a priority. This is my second reading of Atomic Habits, and I read it as a buddy read (which I highly recommend). It is interesting to hear about other systems.During this read of Atomic Habits, I was struck by the idea of becoming 1% better.Growing up, I really enjoyed playing basketball. The game is fast-paced, and it was one game where I could actually score. However, I can’t jump very high. I was so fixated on this weak area that I convinced myself that I couldn’t be a basketball player.But you know what? I can sink three-pointers like nobody’s business. At Dave and Buster’s, I can easily achieve the high score. What if I didn’t give up? What if I spent my time trying to get better at running, aiming, teamwork, dribbling? As an overachiever, I do tend to obsess over my weak areas. I spend so much time on the weak area that I ignore some of my other talents. What would I achieve if I just accepted that I am not great in a particular area but focused my time on other areas? Would I enjoy the journey more?If you have tried losing weight or training, I would highly recommend this book. I can definitely see myself reading this once every year—it really is that good!2024 Reading Schedule	Jan	MiddlemarchFeb	The Grapes of WrathMar	Oliver TwistApr	Madame BovaryMay	A Clockwork OrangeJun	PossessionJul	The Folk of the Faraway Tree CollectionAug	Crime and PunishmentSep	Heart of DarknessOct	Moby-DickNov	Far From the Madding CrowdDec	A Tale of Two CitiesConnect With Me!Blog Twitter BookTube Facebook Insta"
1,https://www.goodreads.com/user/show/10293618-simon,Rating 3 out of 5,"This book does a great job of laying down the framework of how habits are formed, and shares insightful strategies for building good habits and breaking bad ones. Even though I was already familiar with research behind habit formation, reading through this book helped me approach habits I’m trying to adopt or break in my own life from different angles.But the book suffers from the same problems that seem to plague all self-help books. In the chapter about tracking habits, the author shares an anecdote about Benjamin Franklin’s habit of carrying a journal everywhere to track thirteen virtues. If you care to know more about that story, Franklin tried to make a habit of his thirteen virtues by turning it into a thirteen week course where he would work on a different virtue every week and track his progress. The author conveniently leaves out the fact that Franklin quickly found this method impractical and abandoned the project before getting through all thirteen virtues. There’s a lot of irony in including this anecdote in a chapter that talks about the importance of not “breaking the chain”. So while the author isn’t entirely wrong, I found it off-putting that he would retell this story in a manner that fit his narrative. This is a vice that is found all too commonly in self-help and pop science books that make you question the author’s intellectual rigour.Another criticism I have of this book is that it could have been even shorter. The last few chapters under “Advanced Tactics” that deal with the topic of mastery were the weakest in the book. While there is an obvious connection between habits and mastery, trying to tie in a topic as complex as mastery was perhaps too ambitious.The three star rating I am giving this book doesn’t reflect how important I consider habits to be. I completely agree with the author that habits are the cornerstone of your life. If you want to change your life in any meaningful way, the only dependable way I know is to build good habits. If you need convincing that habits are important, I would strongly recommend this book. If you are already convinced but struggling to adopt or break habits, racing through this book will give you some good ideas about how you can make changes stick."
2,https://www.goodreads.com/user/show/3729249-hampus-jakobsson,Rating 5 out of 5,"TLDR; - ""You do not rise to the level of your goals. You fall to the level of your systems.""- The best way of building a habit is making it part of your identity.- Make it easy to start: Habits are the entry point - not the goal. ""Read 30 books"" ⇒ ""Read before bed every night"" ⇒ ""Read one page"". Reduce a habit into a 2-minute first step.- Stick to the plan: ""Professionals stick to the schedule, amateurs let life get in the way."" Don't be a ""fair weather runner"" if you want to run a lot.- Make it hard to do the things you want to avoid.Most modern ""American self-help books for engineers or entrepreneurs"" (it is a category for me) are too repetitive and too long. Atomic Habits is not! It does have the category-required set of stories of American (mostly men) who built a great habit and got to the top - but just the right amount. ----- NOTES -----*Identity*The three levels of change - the lower the more ""fundamental"":3. Outcomes = Your goals 2. Processes = Your system1. Identity = Who you perceive yourself to beMake every action is a vote for what kind of person you want to become. Building habits is becoming the version of yourself you want to be. Habits help you to trust yourself. - Realize that ""You don't _have to_ do anything, you _get to_."" - Ask ""What would a healthy person do?"". - Ask ""What feel like fun to you, but is work to others?""*Engineer it so that:*Things you want to achieve vs Things you want to avoidObvious —————————————— InvisibleAttractive ————————————UnattractiveEasy ————————————————— HardSatisfying ————————————- SatisfyingFor example: if you want to watch less TV - keep it unplugged - only plugin if you can say out loud the name of the show you want to watch."
3,https://www.goodreads.com/user/show/31712855-acordul-fin,Rating 2 out of 5,"

“The more pride you have in a particular aspect of your identity, the more motivated you will be to maintain the habits associated with it. If you’re proud of how your hair looks, you’ll develop all sorts of habits to care for and maintain it. If you’re proud of the size of your biceps, you’ll make sure you never skip an upper-body workout. If you’re proud of the scarves you knit, you’ll be more likely to spend hours knitting each week. Once your pride gets involved, you’ll fight tooth and nail to maintain your habits.”

 What a doozy of a quote. I guess it pays to be a prideful guy. Well, it seems luck isn't on my side when it comes to personal development reads, and ""Atomic Habits"" by James Clear is no exception. Despite the hype surrounding it, I find myself once again let down by a tired, regurgitated pop psychology book that fails to deliver.The information presented feels like a rehash of what I've stumbled upon in the productivity blogosphere for the past decade. But it's not just the lack of freshness that bothers me—it's the execution. The writing feels robotic, the repetition grows tiresome, and the cherry-picked anecdotes conveniently support the author's points, often taken out of context. Even the scientific references feel shaky and questionable at times.While the core ideas explored in ""Atomic Habits"" aren't inherently bad, they've already been covered by other authors with more depth and skill. Writers like Kelly McGonigal and George Leonard come to mind, offering a richer exploration of the subject matter. Frankly, I can't help but feel that the material in this book could have easily been condensed into a blog post or article. Instead, what I encounter is a bloated book filled with unnecessary fluff, making it feel like an extended infomercial for the author's blog. It's evident that this is just another platform to boost his personal brand and generate 'passive income'.I guess the world really needed another privileged marketer with an A-type personality telling people they can become like him if they follow his 'secret formula.' It seems tailor-made for a specific group of individuals—those who aspire to be the lifestyle-hacker extraordinaire, like Tim Ferris, and his devoted followers.P.S.I should note that despite my disappointment, I've come across individuals who found value in this book, claiming it transformed their lives. However, in most of those cases, they failed to sustain the new habits they initially adopted and years later it's like they never read the book. While ""Atomic Habits"" didn't meet my personal expectations, it may still hold potential for people who are new to the subject or resonate with the author's approach. And hey, if it floats your boat and makes you feel like the captain of your own destiny, who am I to rain on your parade? Happy reading!"
4,https://www.goodreads.com/user/show/38403162-greg-swierad,Rating 5 out of 5,"The first great book about habits was the Power of Habit. That book was quite theoretical and difficult to apply. This book, Atomic Habits, has a completely different approach. James Clear focused on writing a book that goes deep into every single step of habit creation from a practical point of view. At the end of the day, who we are and what we will achieve depends so much on these small habits that we do every day. James Clear argues, that focusing only on improving those habits will lead to much bigger changes and accomplishments.My top 3 takeaways from this book are:* Forget about goals, focus on the system instead.* Change your identity to change your habits.* Motivation is overrated. Design the environment to support your habits.From this book, I distilled 21 strategies and principles on habit creation, and also I wrote a detailed book summary that you can read here: https://www.mentorist.app/books/atomi..."
5,https://www.goodreads.com/user/show/2868168-alex-duncan,Rating 5 out of 5,"This book and Emotional Intelligence Habits by Travis Bradberry are my two favorite self-improvement books. Atomic Habits teaches you how small habits (many of which you aren't even aware of) compound over time to make a huge difference in your life. When you work to form good habits they accumulate and build upon each other and you see major changes with very small actions. The book has some suggested habits, but I wish there were many more (specific recommendations for good habits to adopt). That's why I love Emotional Intelligence Habits so much. Emotional Intelligence Habits has more than 700 different habits targeting everything from happiness, confidence, likeability, relationships, leadership, productivity, dealing with toxic people, you name it. It's an incredible book and these two go great together."
6,https://www.goodreads.com/user/show/35794399-rowan,Rating 3 out of 5,"“Changes that seem small and unimportant at first will compound into remarkable results if you’re willing to stick with them for years. We all deal with setbacks but in the long run, the quality of our lives often depends on the quality of our habits.""Did not live up to the hype. There’s good material here, and easy-to-follow strategies to improve our habits, but I found it a chore to wade through. My interest ebbed and flowed and ironically, I felt it could be the book to undo my healthy reading habits and routine.Atomic Habits succeeded in bringing awareness to my daily habits and making me more 'present'. The likes of “habit stacking” and “habit tracking” are things that I have started implementing since reading this. But while it’s great to be self-aware and regularly analyse our behaviours, I found it tiresome after a while.“Daily habits are powerful because of how they compound, but worrying too much about every daily choice is like looking at yourself in the mirror from an inch away. You can see every imperfection and lose sight of the bigger picture.”Tedious.James Clear gives many examples of famous people who achieved success via their approach to habits. I enjoyed reading some of those, but far too often, content felt like it was being regurgitated from other books and work in the field of habits and human psychology. Sometimes it felt like he had simply thrown catchy new titles on pre-existing ideas and methods. Other times, it just seemed like common sense.The book is not just about developing good habits and sticking to them, but about eliminating bad ones. I was pleased to see reference to Allen Carr’s Easy Way to Stop Smoking – a book that already made a huge difference to my life! The importance of patience, the difference between 'motion'/'action' and the two-minute rule (when starting a new habit, it should take less than two minutes to do) were all takeaways that resonated with me.The chapter summaries were helpful to remember key points, but also made it clear there was substantial filler surrounding a couple of main ideas. These ideas are solid guidelines though, and no doubt helpful for building a better life - I guess time will tell.It's perhaps worth noting that my grievances with Atomic Habits are in the minority - many find this book amazing, so don't let my words prevent you reading this if you think it could be helpful. After all, I'm left wanting to eat healthier, improve my bedtime routines and embrace minimalism - so all this has to be good. “Your actions reveal how badly you want something. If you keep saying something is a priority but you never act on it, then you don’t really want it. It’s time to have an honest conversation with yourself. Your actions reveal your true motivations.”"
7,no user info,Rating 1 out of 5,"Reading this book feels like reading a homework assignment. James Clear wanted to read a lot of books and make a summary of the concepts he would implement for self-improvement. He also made a point in improve himself in the most hacky way possible. Instead of keeping the summary as personal notes, he published it. The fact that the author boasts about being a writer only makes it worse. You can actually smell the cheap tools he uses to put words into text and build chapters out of thin air. I wanted this book to get better, but it doesn't, up to the very end the author repeats the same choice pattern:* Tell them what you are going to tell them, tell them, tell them what you told them.* Simplify science to the border of being wrong. * Abuse of ""as such person said ___INSERT QUOTE HERE____""* Build each chapter out of unacknowledged (stolen/refurbished) concepts, coming from other writings that predate this book.The last point is particularly annoying and the book is plagued by them. He even uses the same graphics and plots as the originals! He includes verbatim whole poems by Lao Tse or writings by Seneca. At least these are attributed and not refurbished. If you are somewhat familiar with the literature, avoid this book.If you are thinking about reading this book, think about the books the author got the content from. Go and read those, you will get the original content without the coarse editing by James Clear. You will also get better foundations for growing a mindset instead of implementing hacks.Start with Why - Simon SinekMastery - George LeonardOutliers - Malcom GladwellThe Tipping Point - Malcom GladwellGetting Things Done - David AllenThe Element - Ken RobinsonBehave - Robert Sapolsky [Science communication written by experts in the field]Thinking Fast and Slow - Daniel Kahneman [Science communication written by experts in the field]"
8,https://www.goodreads.com/user/show/58160628-emily-books-with-emily-fox-on-youtube,Rating 5 out of 5,"I was prepared to dislike this book but I really enjoyed it!I've seen it on so many list of ""life-changing non fiction"" next to deeply misogynistic authors and it's popular with people promoting hustle culture so I didn't expect it to work for me.While I can't say that the information in it is that different from other books I've read on the topic, it's definitely the best breakdown of said info that I've seen.Super accessible, bitesize chapters... absolutely go with the audiobook if you enjoy them. I didn't want to sit while reading it because I was too busy reorganizing my space while listening to it!Worth it"
9,https://www.goodreads.com/user/show/12660152-victoria,Rating 1 out of 5,"Why do I keep doing this to myself? All I want is a productive little audiobook to listen to while I work, helpfully filled with tips to improve my life. All I get is priviledged white people recycling the same old advice over and over. This book is especially grating as it's filled with cute little platitudes like ""the same boiling water will soften a potato and harden an egg"". I already know how boiling water works, thanks, can we get to the part where you tell me something I haven't heard from seven other productivity books already?At one point Clear writes, ""I get my assistant to do this for me every week, but if you don't have an assistant..."" I love how some of these productivity authors neglect to mention all the outside help they hire. It's like that other woman who suggested hiring an au pair for when your primary nanny is taking her vacation days. He also suggests doing things like paying for grocery delivery instead of going to the store to save time. He tells the story of one guy who paid his personal trainer $500 every time he forgot to log his food for the day.The real productivity hack seems to be to hire someone to do all the little day-to-day tasks for you so you can focus on other things. This is great if you're fabulously rich, but, if you're like me and don't currently have a full time assistant, and people to do your housework and your meal prep for you, then you may have to look elsewhere for more practical advice. "
