,user_links,user_ratings,review_text
0,https://www.goodreads.com/user/show/1790086-alisha,Rating 3 out of 5,"This book hits a lot of things that are at the core of healthy relationships. It spends the first portion delving into what your own needs/boundaries/likes/dislikes are, and the next portion getting into the dynamics of friendship. I thought it had a number of good suggestions, although the tone was a bit more casual than I was expecting, and there was quite a bit of language, which will be a turn-off for some readers (me included).Not all parts of the book will be relatable for everyone, but every reader will probably find some points that resonate. I thought one of the most practical sections was on what to say and what not to say when a friend is going through a rough time or a big life change. It also makes good use of other source material, such as when it explains ""ring theory,"" the idea that if you're not the central character in a trauma, then yes, you can still complain about how it makes you feel, but only to people less affected by said event. Or the shift vs. support responses. For instance, when a friend says they're exhausted, you could shift the conversation by saying, ""Oh, I haven't been sleeping well either,"" or you can support by asking something like, ""Why do you think that is?"" The encouragement is to notice things. Notice yourself, notice your friend, and notice what subtle effect your words and actions are having within a situation. It's a point well made.It also hit on some other behaviors that often feel natural but that actually need to be toned down, such as a barrage of fact-finding questions when you're at a loss for what else to say or do during a rough time, or the temptation to gloss over something when you are, in fact, rather insulted or hurt and need to say something.Thanks to NetGalley and The Experiment for this digital review copy."
1,https://www.goodreads.com/user/show/71918445-ell,Rating 4 out of 5,"This is an excellent book for young adults. I am going to have my son read it when he reaches his teen years. The book is divided into two sections. The first section is about showing up for yourself (an often neglected line of thought). The second is about showing up for other people (an increasingly neglected line of thought). The author’s approach is simple and straight-forward, yet illuminating. I’ve covered much of the material in the book with clients and I appreciate the author’s simple, scaffolded approach. Four stars."
2,https://www.goodreads.com/user/show/5923662-courtney,Rating 5 out of 5,"I really loved this book. The vast majority of the time I pick up a self-help book, it's a form of continuing education for my psych degree, but this one really did it for me. There's research (yay continuing ed!!), other books to check out, practical advice, and laying out those soft skills that they never explicitly teach you. It's so Millennial I loved it (especially the references to AIM), but that might also make it not-for-you if the casual language of the book isn't your style (I will take the straight talking, jokes, and swearing ANYDAY though). I also really appreciated the secular nature of it too - so many of the books I've picked up have a Christian subtext which is fine, but also not what I came to the party for. I will definitely be checking out any future books she puts out. I also really appreciated the reminders about showing up for yourself (I made a whole GoogleDoc of SEL ideas for my students), and will also 100% use the sympathy Venmo idea in the future. She has some good ideas and suggestions that were new to me, and does a solid job of explaining why things might happen and how you can respond, but she's not preachy, definitely recognizes everyone is in different shoes/places, and is trying to help people make healthy, affirming decisions/choices. So, essentially, if you are a Millennial who is here to keep learning and is down with the swearing, pick this up. Thanks to NetGalley/the publisher for an ARC!"
3,https://www.goodreads.com/user/show/15758082-anne,Rating 1 out of 5,"I can't quite put my finger on why I disliked this book as much as I did (a lot). But I think it comes down to judgment. There was a such a lot of it in this book. Judgment about what constitutes a good relationship with yourself, and judgment about what constitutes a good relationship with others. It felt very censoriously-progressive-college-student to me, and I had enough of that when I was, well, a censoriously progressive college student. For a book ostensibly about kindness, this was surprisingly unkind."
4,https://www.goodreads.com/user/show/26970414-kay,Rating 5 out of 5,"I was absolutely not expecting to give this book 5 stars, nor was I expecting to put this on my ""thought-provoking"" shelf, but this is a book I feel everyone needs. The book /feels/ very written for women even though not once does this book say it's for women, or not for men, or its target audience has a specific gender. I challenge that and it just feels that way because in society we only expect women to have emotional depth, we don't give men nearly as many opportunities to express emotions and invest in their relationships in meaningful, intentional, and vulnerable ways. Honestly I want more men to read this book too. I want my kids to read this book whatever gender them come out to read this book because everyone deserves to get to know themselves better. Everyone should know how to show up for themselves and for their people. Why don't we have more books or magazines or articles about how to be a better friend? Another concept I took away from the book and really liked is the difference between hobbies and activities. There are hobbies people, and there are activities people. Hobbies are specifically things you do over time to improve and get better at (though being good at a hobby is not a requirement to have a hobby). Where as activities you go out and do it as many times as you want but there's no overarching goal to get better at it. Going to the park to picnic with your friends--Activity! Going to the park to picnic with friends equipped with the tea sandwiches you've been learning to make and improving on--Hobby! And I love this clear differentiation. As a young adult, since graduating college and having more free time on my hands, one of the questions that STILL I feel I can never answer comfortably is ""what do you like to do in your free time?"" I have hobbies, but also in fact I DO spend a lot of time just doing different and random activities with my friends. And I feel this definition has helped clear up this question for me a lot in regards to how I answer. Do I answer with hobbies or do I answer with activities? Honestly, probably depends on how I'm feeling that day and the person that's asking! But this clear distinction is helpful in knowing myself better.A friend asked me to summarize the book and honestly I gave the crappiest answer. I still struggle with how to really encapsulate it. It's about confidence, but not really? It's about knowing yourself and how to take care of yourself and your people. It about being honest with yourself about what you want and need so you can be the best version of yourself.I was also very delighted to realize that I had bought and read the other book she's written (so far she's published 2 books). So I feel like I'm on a similar wave length as her and attracted to her approach to life (which is what both her books are about)."
5,https://www.goodreads.com/user/show/63809356-gyan-yankovich,Rating 5 out of 5,"The Art of Showing Up is one of those books that I didn't realize how much I needed until I read it. (In fact, I've already referred to it twice for advice since getting my copy a couple of weeks ago.) This book includes the usual friendship advice—on making friends, on breaking up with friends, on dealing with conflict—but it also touches on situations I've never seen written about so practically: how to ask someone which pronouns they use, how to talk to a friend through infertility or miscarriage, how to comfort a friend who's loved one is incarcerated. Where so many books drop the ball, Rachel truly writes with every person and situation in mind. This is such a valuable resource and I can't imagine anyone who wouldn't benefit from reading this book."
6,https://www.goodreads.com/user/show/28642282-sam,Rating 4 out of 5,"Ok I really enjoyed this!! Especially part one because I feel like a majority of us “show up” for others, but not for ourselves. ESPECIALLY during this traumatic time! I loved the tips, affirmations, journal entries, and self reflection questions.I think this is a great read for anyone who wants to truly practice more self care so that they can be the best version of themselves, for THEM. And it pairs perfectly with Digital Minimalism!"
7,https://www.goodreads.com/user/show/45197268-bronwyn,Rating 3 out of 5,"Lots of practical advice for healthy communication of your feelings and boundaries in friendships, tips on how to show up for yourself and in your relationships with other people. This book prompted a lot of self reflection on scenarios where the author’s advice would have been VERY helpful - but glad to have read it now!"
8,https://www.goodreads.com/user/show/51467437-donna-craig,Rating 4 out of 5,"3.5 stars, rounded up. This book wasn’t what I was expecting (a book on making and maintaining friendships), but it was fascinating in an odd way. The first half of the book is sort of a self-care manual. It contains a great deal of advice on getting to know yourself and your needs. The second half focuses on friendships. It details how to interact with others in a myriad of situations. Sometimes the book got wordy or too list-like. However, just as my mind began to wander, the author would offer another valuable nugget, and I was interested again. I did feel like there was so much focus on negative situations that people needing advice would simply learn how to drive others away. On the other hand, the specific examples of words and sentences to use in a variety of common situations may be invaluable to those who often feel tongue-tied. Definitely an interesting read. "
9,https://www.goodreads.com/user/show/29584538-sara-budarz,Rating 2 out of 5,"Somewhere between the description of the book and the writing of it, something must have changed, because even though the description talks about how to show up in relationships as an adult, reading this made me understand why so many other reviewers mentioned that it would be good for a 12-16 year old. It is definitely written mostly for that level, especially if you imagine the worst of high school (read: toxic, fake friendships, backstabbing, etc.). So overall just completely not what I expected, but I did finish it and there were a few things mentioned that felt relevant for all ages. They were:Showing up for yourself (that is, feeding yourself, getting enough sleep, being kind to yourself, showering) is a prerequisite of being able to show up well for others. It is just hard to be kind and compassionate and generous if we are falling apart. Ring Theory. When something bad happens, imagine the person (say, the person who just was diagnosed with something) in the center ring. Then the next most impacted person in the next ring. And so on. The rule: comfort in, vent out. You can only vent to people in a less impacted circle than you are. Everyone in your circle and closer you can only comfort. "
