,user_links,user_ratings,review_text
0,https://www.goodreads.com/user/show/22889862-sanjida,Rating 3 out of 5,"The authors of this book want us to be aware of our positionality, so I'll tell you that I've been a scientist in the field of genetics for over 20 years, more recently as a curator and manager of delivering data to the public. I'm also a woman of color who thinks a lot about ethics and equity. Which is to say, I really try to think critically about data, scientific and otherwise. I take this book literally. I fully agree that we need to look at what biases lay behind the hypotheses and interpretations of studies. I think scientists need to be clear in what parameters and variables are actually being measured, and whether it's meaningful to use certain categories at all (for instance, in my field, US racial categories are not very meaningful, and their use often obscures conclusions from data). I think it's important to define your terms, be as precise as you can and aware of how shorthand labels may mislead. I think we should consider what blindspots we may have, especially when doing research that impacts people and societies. And that interactions on an equal standing with people with different perspectives (professional and personal backgrounds) can help point out these blindspots. I think we should interrogate why certain jobs in STEM projects (e.g. curator vs data scientist) have more or less prestige, and what that says about our society. Therefore, I largely agree with the recommendations, such as they are, of this book. But I can't take this book seriously, because it frames these concepts, which I consider simply good practice, as feminism (by feminism, they mean an intersection of a gender+racial+class justice lens). Maybe I'm too much of a consequentialist, but my kneejerk reaction to this book was to reject putting the fetishization of identity ahead of practice. I was also hoping for more insights that would help in my professional life. Disappointingly, rather than give precise scenarios of study and analysis design, the authors tend to rely on quotes from feminist scholars they think are cool, and then shout out examples of research they like (i.e. done by people who they approve of) versus stuff they don't like (done by people they don't like). I kept thinking of data scientists I work with, many of them older men who didn't grow up in the US, and how I would love to recommend a book like this to them, so that they would think deeper about responsible use of data. But this book doesn't provide an accessible entry into this subject. I know the authors workshopped this manuscript - I just wish that in addition to consulting gender and cultural scholars, they had also been more intentional about running this work past more normies, maybe some of the ones who they mention were initially hostile to their project. Critical comments from that perspective would likely have resulted in a stronger product."
1,https://www.goodreads.com/user/show/8655925-harsh,Rating 5 out of 5,"Let me begin this review by paraphrasing something the authors express early on in the book: don’t let the title dissuade you; this is a book that everyone should pick up (and the authors facilitate this by making it freely available online). A true understanding of feminism and the values that define it has become distorted by contesting voices or is resisted by the uninitiated for various subjective reasons (often due to misunderstanding). With this in mind, this book proved to be a very helpful primer for key concepts within the discourse - intersectionality, privilege hazard, positionality and so on - and it also framed and explained scary sounding things like ‘the matrix of domination’. D’Ignazio and Klein demystify these and other ideas by providing their epistemic context and then grounding them using real world examples - and plenty of them. They discuss the seven principles of data feminism in great detail through the chapters. It is admirable how they lead by example: proceeding reflexively, applying each principle to themselves, and evaluating their positions in the social structure and relative to the subject matter. For them this text is only meant to serve as a starting point to further conversation and is not an end in itself. Turning to its relevance, this book deftly deals with what is perhaps the most powerful item in the modern civilisational toolkit: data. What is it? Who collects it? For what purpose? With what consequences? Each chapter uses a particular lens to focus and understand what lies behind the curtain and explores the myriad complications involved with collecting and using data unquestioningly. At the same time, the point regarding the risks of the assumed objectivity of data is powerfully driven home. The authors highlight actionable steps to counter these and other problems at each stage. Anyone working with data - whether its collection, design, ethics, visualisation or analysis - or with its potentially transformative application in the fields of public policy, development, activism, local community work etc, must consider this book an essential reading. Lastly, to even a layperson who simply wants to better understand the way data shapes our world, to reflect on their own position within it, and to those who want to make it a little better, I cannot recommend this book enough. To my friend who perhaps thought I fit one of these categories, I’m grateful for it. (I also had her review this review to ensure that I’ve been responsible and accurate in my entry.)"
2,https://www.goodreads.com/user/show/16969330-paz,Rating 2 out of 5,"This book ignores the ideology that fuels data today. In a flawless feminist liberal approach, structural oppression is characterized like a ""privilege hazard,"" ignoring a serious analysis of the economic framework where technology is situated today to fortress those oppressions."
3,https://www.goodreads.com/user/show/22554439-yaya-et-ses-amies-achille-et-chlore,Rating 5 out of 5,"celui-là c'était vraiment pour l'écolej'ai même pas réalisé que je suis passé au travers en moins d'une semaine. c'était plaisant de le lire en buvant des cafés vanille-française d'la machine cheap du MIL pis de passer l'après-midi à coder et à ""lire"" des pages et des pages de codes incompréhensibles en buvant d'autres cafés vanille-française de la machine cheap du MIL. ça rendait la deuxième partie de la journée un peu plus digeste mettons. sans nécessairement en retirer quelque chose de théorique - ça se veut davantage pamphlétaire - ça reste que c'est un bel exemple des différentes manières d'approcher et d'écrire de manière située et féministe sur les données (numériques) pis la programmation. c'était aussi remplie de beaux exemples de data visualization."
4,https://www.goodreads.com/user/show/11217004-cl-udia,Rating 5 out of 5,"4.5* stars but rounding to 5 because this is an essential read nowadays.It was a pleasurable read. I learnt a lot along the way. And having synchronised the reading with the weekly video seminars with the authors made it a much pleasant experience than I had before with a more ""academic"" book. Having experienced data science from my studies and as a job, I could relate myself a lot in this book. I learnt what is really behind data cleaning, why more women are hired as a data analyst (like myself) instead of data scientist, and which views are usually prioritised in data collection and analysis. But now, thanks to including the Feminism perspective, I see it as a field with high hopes for the future. As with many other areas, data science can be used for capitalistic purposes, but it can also help to bring up voices which have been silent for too long, visualise some deep problems and this way reaching a vast audience. "
5,https://www.goodreads.com/user/show/38328212-rachel-nevada-wood,Rating 4 out of 5,"After being assigned bits and pieces of this text in class, I finally bit the bullet and read it start to finish (mainly via the Open Access version from MIT Press). I'll start by saying that a lot of critiques I'm seeing on Goodreads here are a bit unfounded. Many of them center around the idea that this book is wishy washy and lacks concrete steps or information that could be handed to data scientists. I think folks who are making this critique are unfamiliar with (or uninterested in) the ways in which feminism is highly dependent on context. That does not mean that this book lacks clear direct guidance. (I mean, each of the chapters is literally organized a principle for action, backed up by feminist theory with examples of that principle in data science projects?). It means that you're going to have to take a general principle, like challenge power, and apply it to your specific context. That's going to take work and research and energy. If you're expecting this book to give you easy steps that you can check off (and then treat yourself to an ally cookie), look elsewhere.I agree that perhaps  Data Feminism  could have dug a bit deeper into the ways that capitalism and data aggregation are intertwined. But to say that the book ignores these connections is also a bit far fetched, especially considering they have a whole chapter dedicated to the concept of invisible labor and how it connects to the data and tech industries. Folks who were craving more (and deeper connections) between data and capitalism ought to check out Platform Capitalism or any one of the many, many books mentioned throughout this book.I personally have found this book to be an excellent starting point for how to think about, share, and connect communities to data (especially when thinking about my role as a data intermediary). The examples are numerous, rich, and detailed (I just wish the open access version had hyperlinks embedded in images to link to those projects!)."
6,https://www.goodreads.com/user/show/6782726-nikki-sojkowski,Rating 5 out of 5,"This is a fantastic introductory text for several fields— most notably intersectional feminism, data ethics/justice, and visual cultures. D'Ignazio and Klein dive into the highly relevant dangers that unmonitored data can cause, and use concrete and timely examples to ground their theories in reality. Instead of pointing out a problem and despairing, they delineate actionable steps relevant to anyone using digital technologies, even for the average ""layperson"" who just use sites such as Facebook or Twitter. This is a crucial text to anyone interested in what goes into data creation, maintenance, and/or use. This is a crucial text for anyone curious about how data manipulation impacts your day to day life. This is a crucial text for anyone interested in data activism.D'Ignazio and Klein are in the privileged position to permit the free use of their book, and I recommend taking advantage of that! Their book is free to read online. I would especially recommend reading their Intro, Chapter 3, and Chapter 6 at the bare minimum."
7,https://www.goodreads.com/user/show/6638317-jill,Rating 4 out of 5,"This is a great read, overall -- thoughtful conceptual framework, well-used theory, a great message and a lively tone. I certainly found some beautiful lines/quotations and great new formulations for how to think & speak about these topics in my workplace -- My main question mark about it is that I'm not entirely sure who the audience is. If it's people with a background in feminist/intersectionality theory, it's fundamentally pretty basic info (although the examples used to illustrate them are certainly interesting, albeit a few have that undergrad ""I randomly picked something to use as an example in my paper and it's due tomorrow so we're just going with it ok"" vibe). If it's data scientists who don't care about intersectionality, my suspicion is that it won't convince them. But if you're somewhere in the middle, or on one side with an interest in the other, I'm sure you'll pick at least something useful up!"
8,https://www.goodreads.com/user/show/5899086-ed-summers,Rating 5 out of 5,"I used this book as a textbook in my undergraduate Introduction to Digital Curation class. Based on the discussion and written assignments I think the students found it engaging and informative. The format, illustrations and overall structure of the book make for a very compelling read. It also includes very generous citations to the research literature and relevant projects which serve as a gateway into a wider world of cirtical data studies. I think this means it would work well in a digital visualization or digital humanities class as well."
9,https://www.goodreads.com/user/show/65614892-mengyuan-zhang,Rating 4 out of 5,"4.5 Stars.This is an inspirational book. So glad that this book have introduced me to the 7 data feminism principles, as well as all the wonderful projects around the world, especially those community-driven projects! They gave me lots of ideas.And I love how the authors audit their citations, making their greatest efforts to remain reflexive."
