,user_links,user_ratings,review_text
0,https://www.goodreads.com/user/show/124132123-lisa-of-troy,Rating 2 out of 5,"Jacob Finch Bonner is a has-been. Once upon a time, he was a moderately successful author, but his spark has slowly dimmed and faded as a writer. He finds himself relegated to teaching writing courses that will allow anyone to attend. One day, he meets Evan Parker, a new student of his. Parker has a great idea for a novel, and Bonner agrees that it will be a best-selling book. Fast forward a few years, and Bonner discovers that Parker has died without ever publishing his book. It is a story that just needs to be told! Who better than this has-been author?Oh gosh. I know that people have just been raving about this book, but it just was not for me. This book was overly predictable - There was so much foreshadowing. The pacing of the book seemed off, and I felt that the story should have been more succinct. This book also seems to oversimplify writing. Writing is far, far beyond plot. Great writers are storytellers - they stir the emotions and take you on a journey. They whisper dreams of what might be. They inspire adventures and create ideas to change the world. Philip Pullman once wrote that """"Thou shall not' is soon forgotten but ""once upon a time"" lasts forever."" An author needs more than a decent plot to be a success. What about tone? Character development? Pacing? *Thanks, NetGalley, for a free copy of this book in exchange for my fair and honest opinion.2024 Reading Schedule	Jan	MiddlemarchFeb	The Grapes of WrathMar	Oliver TwistApr	Madame BovaryMay	A Clockwork OrangeJun	PossessionJul	The Folk of the Faraway Tree CollectionAug	Crime and PunishmentSep	Heart of DarknessOct	Moby-DickNov	Far From the Madding CrowdDec	A Tale of Two CitiesConnect With Me!Blog Twitter BookTube Facebook Insta"
1,https://www.goodreads.com/user/show/30181442-yun,Rating 5 out of 5,"
He'd always known a good plot when he saw one.
Jacob Finch Bonner is a has-been. His first novel was well-received, but that was years ago and he knows he hasn't come up with anything good since then. He now teaches a writing course. When one of his students boasts to having a plot that will blow the literary world away, Jacob is naturally skeptical. But when he hears the plot, even he cannot deny its power. So what happens next? Best not spoil it by revealing any more.The writing is what drew me in immediately. It's sharp and clever. It's a book about writing a book, managing along the way to poke gentle fun at writers and the publishing industry, and it's all a bit droll. The author includes details from the real world, referencing Macmillan Publishing and Oprah, and even Goodreads gets a shout-out. Those little details all help to blur the line between what's real and what's fiction, which is great fun.This has the format of a story within a story, which gets me every time. I've only read a handful of books done this way, and I've loved every single one. So please, authors, write more of them, because I honestly can't get enough.I found this to be unputdownable from the very first page. There's this urgency there, a tension that stretches so taut, it's hard to look away. I definitely inhaled this book.My only issue is that I saw the big twist pretty early on. It's my fault... sometimes I can't turn off my brain, and it'll just cheerfully supply me with a litany of unsolicited guesses about what it thinks is going on. In this case, it was right. (Shut up, stupid brain!) Also I didn't find the secret plot to be as amazing as advertised and it certainly didn't blow me away.But I read so much of this genre it's hard to surprise me with plots and twists anymore, so feel free to just ignore me on that. In every other way, this story is amazing, and I will be recommending it to pretty much everyone I know. If that isn't a strong endorsement, I don't know what is."
2,https://www.goodreads.com/user/show/34183387-regina,Rating 4 out of 5,"After finishing The Plot, it seems to me that author Jean Hanff Korelitz has the following:1. A giant set of cojones. To write an actual novel about the plot of a fictional novel that’s so good it will be a guaranteed best seller, and to include that fictional novel within your actual novel? Yeah, that’s pretty ballsy.2. Writing chops. This is a well-written *literary* thriller, where form doesn’t heed to function. Yes there’s a great plot to The Plot, but it’s framed with crafty sentences and giant walls of text. Don’t like page-long paragraphs? Too bad for you. 3. A crystal ball. This novel (and ergo the novel within it) will be a best seller. A worthy one, at that. My thanks to the (ballsy) author and Celadon Books for the advance copy to review via NetGalley. Blog: www.confettibookshelf.com"
3,https://www.goodreads.com/user/show/39749481-holly-b-short-break,Rating 5 out of 5,"
Somewhat of a slow- burn that slowly turned into a fast tumbleweed that blew me away!!
Once this story took off, I couldn't stop reading to see what was going to happen next. Though it took some time to build up (somewhere around 37%), it was worth the wait! This book was nothing like I thought it would be and I'm happy I read it without knowing much of anything about the plot (other than the title). It builds slowly and adds each layer by revealing secrets that left me intrigued and wanting more.Meet the writer, Jacob Finch Bonner, who learns about a plot for a book that could make him very famous. Problem is, it isn't his story. He writes it anyway.....Someone reads it and another plot emerges and takes over Jacob's every waking moment.Who is chasing who? Its a deadly game.Addictive, unexpected and delicious mystery!Thanks to Celedon books for sending me a review copy! OUT May 11, 2021"
4,https://www.goodreads.com/user/show/53701594-nilufer-ozmekik,Rating 4 out of 5,"Another good news about this book’s adaptation to the limited series: Two times Oscar winner Mahershala Ali will be the leading actor! 🤗🎉Wow! Such an impressive book is questioning how demanding job to be a writer and how much sacrifices you may make or how far you go to create your dream work. A thought provoking approach to be writer and be part of literature industry.I have to admit: this book’s plot so similar David Bell’s” kill your darlings”I recently finished. At that book a literature professor plagiarized his missing student’s thesis and finds himself at the police investigation because his book he’s inspired by the thesis based on real murder.  There are slight differences about “the plot”s story: Jake is struggling author and also advisor at a summer college writing program. That’s how he met Evan Parker, acting like pretentious douchebag and rejects Jake’s help because that narcissistic guy already found the way to be a bestselling author: he has a brilliant plot idea which is hundred percent guaranteed to be a blockbuster and he spills the bean about the plot line during their conversation. Jake is surely pissed off as he works too hard but nothing creative enough comes out of his mind, a lucky bastard already won the jackpot.  As Jake turns back his downward spiral of self- hatred, lack of creativity, he finds out Evan Parker never published his book he mentioned him. He passed away without leaving any book behind which gives Jack free pass to use the idea at the most creative way to write his masterpiece. If we compare the both books, this one starts like slow burn, informing us the background of Jake: tax attorney father, high school guidance counselor’s son, has mediocre-at best at PSAT score on the verbal side, raised in Long Island. Even though his math skills were better than verbal ones he insisted to be a powerful author when his father objected him because only Sidney Sheldon can make decent money from writing and he’s not close to be Mr. Sheldon.  We keep reading Jake’s struggles to live in NYC, chasing his dream, working at his side hustles which are odd jobs but he has to earn his life.  We also read great criticism about why people choose to be a writer. After the slow burn character analyzing parts later, we witness how Jake’s life has changed after he finished his book. He found the fame, success, love but also faced with fears, guilt, resentment.  He meets with his wife and it seems like finally he reaches his entire goals in his life till one day an anonymous email blames him to steal the idea which pushes him dig deeper about the dark past of Evan Parker who presumed to be death from drug overdose.  The big difference of this book’s story with “Kill your darlings “, Jake didn’t stake his claim on finished manuscript , he took the idea but he shaped the entire development and conclusion by himself. And the author could not come back from the death to sue him about copyrights. And the second big difference is this book is about telling us how painful and compelling job to be writer even though you work as hard as you can, there is a chance you never fulfill your dreams and you’re doomed to fail. Second half of the book is more exhilarating, filled with high tension, capturing your entire focus and the realistic approach of the author telling how far you go to pursue your writing dreams was remarkably told. Jake was truly easy to connect and as a writer I truly heard him, felt for him.  Overall: it’s solid, well written, interesting, well developed and satisfyingly concluded novel which earned my four stars. Special thanks to NetGalley and Celadon Books for sharing this digital reviewer copy with me in exchange my honest opinions."
5,https://www.goodreads.com/user/show/49815208-marilynw,Rating 4 out of 5,"The Plot by Jean Hanff Korelitz Jacob Finch Bonner has a well received published book behind him but has been unable to get much or any attention for his later attempts at the next great novel. Years later he's struggling, working at jobs connected to writing, becoming the cliché of ""those who can, do, those who can't, teach"". He's his own worst critic, considering himself nothing if he can't write, mired in years long writer's block and incredibly jealous of anyone with current writing success. He really has no interest in anything else but being a great writer and his low self esteem and feelings of dejection lead the first half of the book. To his utter disgust, a disrespectful student of a third-rate MFA program he teaches, shows him several pages of his work in progress, which has a plot that must be told, can't help but be a raging success, and will make anyone who writes the book an instant best selling author. Years later, when the book hasn't been written or published because the student died, Jacob takes the plot for himself, writes a best selling novel, and then basks in the glory while dreading he's going to be found out at any moment. And then it happens, he starts getting texts, emails, and more, from someone threatening to expose him for stealing the story. This is where things get good. Before, Jacob was stuck on his couch, wallowing in self pity, then, basking in the glory of his success. Now he's scared and he's not willing to be exposed,, not about to lose his high standing in the publishing world. I did guess who was sending the threats but doing so didn't diminish my enjoyment of this book in any way. We've been so caught up in Jacob's head and we know that he feels like he ""took"" that plot and we know he's determined to keep the story as his story. But he has his work cut out for him to find out who is threatening him. This is very much a psychological drama, well written, and it kept me glued to the pages to see how it was all going to end. Publication: May 11th 2021Thank you to Celadon Books for the print copy of this ARC. "
6,https://www.goodreads.com/user/show/26560207-gabby,Rating 5 out of 5,"Shit, this was everything I was hoping it would be. This was one of my most highly anticipated thrillers of the year and this book DELIVERED. I listened to this as an audiobook (huge thanks to Macmillan Audio) and I finished it in ONE SITTING. I don't think that's even happened to me before, finishing a 10 hour audiobook in one sitting has never happened but I was absolutely engaged and obsessed with this story and I had to know where it was going.This story follows a professor named Jacob who once had a really popular book published. But ever since he's been trying to write book after book with no success. While teaching his creative writing class he meets a student named Evan Parker who is the most cocky piece of shit ever, and he's convinced he has an idea for a book plot that will sell millions and be turned into a movie, etc. Jacob discovers he's actually a really great writer despite being annoying as fuck, and he thinks the plot is a really great idea. Years go by and he hasn't heard of the book being published, and he finds out that Evan died. He doesn't want the genius plot of that book got to waste, so he decides he's going to write it instead. But someone knows what he did and they are threatening him. This book was so well-written, it was so fast paced and I really enjoyed reading from Jacob's POV. I found him to be really entertaining and interesting, and I love reading books about writers. I also love that in this book we get chapters of the actual book he was writing and we get to see the plot unravel ourselves, and it's a great story within a great story.And that ending!!!!!!!! I will admit, there was one twist toward the end that I kind of saw coming throughout most of the book, but that very last epilogue chapter!!!!!!!!!! I was like bitch whaaaaaaaat. It was so good. So this still gets 5 stars, because even though I predicted one of the twists I was still 100% shocked at the ending!"
7,https://www.goodreads.com/user/show/30978160-meredith-trying-to-catch-up,Rating 4 out of 5,"Read this for the ending! The Plot  is about a struggling author who steals a masterful “plot” for his next novel.  A game of cat and mouse ensues between the author and a reader who knows too much, resulting in a dramatic and chilling conclusion. Jake, a writer down on his luck, steals a plot to a novel that brings him fame, fortune, and success, but someone knows his secret and threatens exposure. In an effort to keep his secret, Jake tries to hunt down his adversary, but will they get to him first?This book pulled me in from the beginning. Jake’s voice had me captivated, which was interesting since I found him bland and ordinary (but I think that’s the point). He is relatable, and even though he did steal the plot for his novel, I was still rooting for him. For the most part, this was unputdownable, minus the middle (it slows down a bit).I loved Hanff Korelitz’s commentary on the literary world, which reminded me a bit of A Ladder to the Sky,  but Jake is no Maurice Swift.  The plot which Jake’s steals is supposed to be the “it” plot leading to movie offers, fame, fortune, etc., but it is a bit of a letdown once revealed. However, the villain is masterful, and they made this book! The final sentences, which should have left me cringing, left me smiling. This is all one twisted and fascinating game that I had great fun reading! I received an ARC of The Plot from Macmillan in exchange for an honest review."
8,https://www.goodreads.com/user/show/1526851-will-byrnes,Rating 4 out of 5,"
…a few minutes later in the car, he found the first of the messages. It had been forwarded from the contact form on his own author website (Thanks for visiting my page! Have a question or a comment about my work? Please use the form!) just around the time as he was about to go on the air with local Seattle institution Randy Johnson, and it had already been sitting there in his own email in-box for about ninety radioactive minutes. Reading it now made every good thing of that morning, not to speak of the last year of Jake’s life, instantly fall from him and land in a horrible, reverberating crack. Its horrifying email address was TalentedTom@gmail.com, and though the message was brevity itself at a mere four words, it still managed to get its point across. You are a thief, it said.
Buckle up. Jacob Finch Bonner (Jake) had some early success as a writer. His novel, The Invention of Wonder, received critical acclaim, the New York Times including it in its list of New and Noteworthy books. But it has been a while since that critical (if not commercial) triumph. A story collection was largely ignored and then there was, well, nada. Jake teaches at Ripley University in northern Vermont. It is not writer’s block Jake suffers, it is more like Writer’s-Great-Wall-of-China. He teaches creative writing, endures the continual delights of academia politics, and lives, literally, on Poverty Lane. But then Evan Parker happens.  Jean Hanff Korelitz  - image from her site - Photo: Michael AvedonAn incoming student, Evan is convinced that he has a perfect plot for a novel. He is insufferable, arrogant, condescending, and clearly thinks that Jake cannot really teach him anything. He does not want to tell anyone the specifics of his work, just get a degree, educational cred, and some connections, figuring that is all he will need. But a time comes when he does share with Jake the arc and some detail of his novel. Turns out Evan was right. A few years later Ripley has down-sized, and Jake is working at a proprietary artist colony. 
All he had ever wanted was to tell—in the best possible words, arranged in the best possible order—the stories inside him. He had been more than willing to do the apprenticeship and the work. He had been humble with his teachers and respectful of his peers. He had acceded to the editorial notes of his agent (when he’d had one) and bowed to the red pencil of his editor (when he’d had one) without complaint. He had supported the other writers he’d known and admired (even the ones he hadn’t particularly admired) by attending their readings and actually purchasing their books (in hardcover! at independent bookstores!) and he had acquitted himself as the best teacher, mentor, cheerleader, and editor that he’d known how to be, despite the (to be frank) utter hopelessness of most of the writing he was given to work with. And where had he arrived, for all of that? He was a deck attendant on the Titanic, moving the chairs around with fifteen ungifted prose writers while somehow persuading them that additional work would help them improve.
But when Jake learns that Evan Parker has died, and that his magnum opus appears to have never been published, he makes a decision, backing it up with large volumes of excuse-making and a cyclotronic level of self-justifying spin. Three years later he is on his long-dreamed-of book tour, promoting his hugely successful novel, Crib. He still carries guilt and paranoia about being found out. The guilt he manages (Mr. Bonner, when it pops up, take two excuses in a large glass of entitlement and call me in the morning), but I guess you can’t be too paranoid. Then the message.This is where the book kicks into high gear. Who is #Talented Tom, how much does he know, what can he prove, what does he want, and what will he do? Is this blackmail? I was reminded of a classic story of guilt and crime. 
...at length, I found that the noise was not within my ears. No doubt I now grew very pale; --but I talked more fluently, and with a heightened voice. Yet the sound increased --and what could I do? It was a low, dull, quick sound –much such a sound as a watch makes when enveloped in cotton. I gasped for breath --and yet the officers heard it not. I talked more quickly --more vehemently; but the noise steadily increased. from Edgar Allen Poe’s The Tell-Tale Heart
An e-mailed threat was not the only thing he left Seattle with. Anna Williams, a fan, the producer at the Randy Johnson show at KBIK, who had arranged for Jake to do the interview, chats him up afterwards. They have a coffee, stay in touch even when he returns to New York, and their connection soon become a thing. The messages do not stop. 
but the noise steadily increased. Oh God! what could I do? I foamed --I raved --I swore!- EAP We ride along as Jake deals with his publisher, his agent, his fans, and his peers. There is a lot of support for him in the community, as most presume it is just a nutter harassing him in search of a lawyer-enhanced payday. But Jake knows this is no gold-digging faker. Yet he still feels it necessary to keep this from Anna for a long time, even after they are living together. Just how dangerous is TalentedTom?
I seem to be attracted to sociopathic male antagonists. I also appear to like college campuses. - from the Scoundrel Time interviewThe engine shifts into overdrive when Jake decides to stop playing defense and begins doing some serious research to identify his tormentor, and learns that his may not be the only theft related to Evan’s plot.
It grew louder --louder --louder! And still the men chatted pleasantly, and smiled. Was it possible they heard not? Almighty God! --no, no! They heard! --they suspected! --they knew! - EAP In addition to Poe, I was reminded of another book-stealing novel of recent vintage, A Ladder to the Sky, with a much more flagrant, and feckless thief. In this one Korelitz drives us through Jake’s excuses and makes us consider just where fair use ends and theft begins. As one might expect there is a lot in here about writing. Where do you get your ideas? an eternal question, the struggle to create. Coping with a book tour, difficult questions, redundant questions, ignorant interviewers. As this is Korelitz’s seventh published novel, and I am sure she has motored the book tour circuit a time or six, I expect this is the product of experience. As is her take on campus life, coping with students, and the horrors of faculty politics. Not to mention a writer’s inner turmoil.
The Plot may seem a little hard on writers, but that shouldn’t surprise anyone; we’re hard on ourselves. In fact, you couldn’t hope to meet a more self-flagellating bunch of creatives anywhere. At the end of the day, though, we are the lucky ones. First, because we get to work with language, and language is thrilling. Second, because we love stories and we get to frolic in them. Begged, borrowed, adapted, embroidered … perhaps even stolen: it’s all a part of a grand conversation. - from Acknowledgements The only place I had issues was with the baddie’s final explanations. I cannot really go into details as it would require significant spoilage, but the motivation for what comes at the end seems thin. A name change might have raised questions at an institution. And one might have expected a greater bit of interest on the part of the authorities after one death, particularly in tracing back a specific person’s real-world movements, and someone else’s on-line activity. That said, keep your BP meds handy. This is a tension-filled journey, page-turning wonderfulness, leaving you panting to know what happens next, and unable to turn out the light and go to sleep before you get through some serious white-knuckle twists and turns to arrive at The Plot’s destination. 
I felt that I must scream or die! and now --again! --hark! louder! louder! louder! louder! - EAPReview first posted – January 15, 2021Publication dates----------Hard cover – May 11, 2021----------Trade paperback - May 3, 2022I received an early e-look through MacMillan's Reading Insiders Club. While reluctant at first, they came around after I used a pitch written by a friend. =============================EXTRA STUFFLinks to the author’s personal, Twitter – for insulting morons, Twitter #2 – for book promo and FB pagesHer FB page is inaccessible at present. I am not sure if she has shut it down permanently, or if access is merely limited. This is Korelitz’s 7th published novelHer book You Should Have Known was adapted to the recent TV miniseries, The UndoingInterview-----Scoundrel Time -  Into that Dark Room Where the Fiction Gets Made: An Interview with Novelist Jean Hanff KorelitzItems of Interest-----The Poe Museum - The Tell-Tale Heart-----My review of John Boyne’s 2018 novel, A Ladder to the Sky-----Sidebar Saturdays -  Plots, Prose And Plagiarism In Fiction – Four Things Every Writer Should Know About Literary Theft by Matt Knight-----Catapult - Reading Group Guide"
9,https://www.goodreads.com/user/show/14233569-mary-beth,Rating 4 out of 5,"Jacob Finch Bonner was once an aspiring author. Today he is teaching in a third rate MFA program. One of his students, Evan Parker, announces that he doesn't need any of Jacob's help, and that he has a plot of a book that will be on the best seller's list. He then tells Jacob of the plot of his new book. When Jacob finds out that Evan is deceased he then steals the plot since Evan's book was never completed. The book then turns into a success. Jacob enjoys all the publicity. He is now famous and his book is now known all around the world. But then he receives an anonymous threatening email and the email says You are a thief! He then discovers more about his student and it terrifies him. He then tries to find the person that is threatening him. This book in the beginning is a slow burn. It took me awhile to get into it but once I did I couldn't put it down. The book gets better and better.I also learned more about the world of book publishing. I thought the book was written very well.Close to the ending there is a twist and another twist that I didn't see coming at the end of the book. The twists were just clever and brilliant!This was a buddy read with Jayme, DeAnn, and Dorie. I received a free ARC of The Plot by Jean Hanff Korelitz from Macmillan in exchange for an honest review. I also want to thank Celadon Books for the physical copy of the book.Available Now"
