,user_links,user_ratings,review_text
0,https://www.goodreads.com/user/show/3263980-adam-dalva,Rating 5 out of 5,"Rollicking slapstick campus novel meets Benzion Netanyahu history lecture on the Iberian Jews meets repurposed Harold Bloom anecdote - I have no idea how this book works, but it genuinely does- you learn by it and are stressed out by it in equal measure. Cohen is a brilliant, funny writer, and that shines through."
1,https://www.goodreads.com/user/show/11828431-murray,Rating 4 out of 5,"audiobook version 📕 The Netanyahus won the 2022 Pulitzer Prize for Fiction. The Pulitzer citation for the novel described it as, “A mordant, linguistically deft historical novel about the ambiguities of the Jewish-American experience, presenting ideas and disputes as volatile as its tightly-wound plot.""So, here's the thing - the story really happened and it happened to Harold Bloom, famous literary critic and Sterling Professor of Humanities at Yale, and his wife. It was they upon whom the Netanyahu family of five descended circa 1960 - mother and father and three boys named Yonatan, Benjamin (Bibi), and Iddo. And they were hell on wheels - the sort of people who are always right and indeed always righteous, who can do no wrong, and if something does go wrong, it's other people's fault and other people's kids' fault, always. Know anyone like that?Humor runs throughout the novel, but is more dominant in the first 60% to 70% of the book. The academia portions can be light or dark, depending. If Benzion Netanyahu is involved, the current Israeli PM's father, it is dark and narcissistic indeed.Believing all others fools and imbeciles, and that he is persecuted and misunderstood, Benzion is seeking a faculty position at the narrator's college. A lot of Jewish history comes into this part of the story, but in his lectures, Benzion's main thrust is less academic than political - Jewscannot assimilate, history has shown they are rejected wherever they go; in truth, they have no history, just a mythology; so the only option is to carve out and defend a homeland, namely Israel. Benzion has a polemic far more than he has a thesis. (His actual books are available on Amazon, for instance, his Founding Fathers of Zionism.)The behavior of the Netanyahus on campus, and in what we now know was Harold Bloom's home, was so over the top, the reader is stunned. It is crazy. It is laughable. It is insane. And the middle son produced from this chutzpah is now serving his fourth term as PM of a significant country in the Middle East, a country where Palestinians are still refused statehood and basically live out their lives in one large refugee camp. Which Benzion's son does nothing to alleviate. ""Bibi, melek Yisrael!” his followers chant - “Bibi, king of Israel!” This is actually lifted from a children's song about King David. It sounds a lot like a certain dynamic in another country across the sea from Israel and the West Bank.📚 Will you like it? It IS funny, it IS wild, it IS entertaining. But it also requires the reader to put a lot of thought in. I wouldn't call the novel lightweight by any means. I found the history theses and academic debates fascinating, but I'm used to it. Others may or may not find it intriguing. There’s certainly black humor and satire there, even slapstick, that the reader would not want to miss. And then there’s the fun sound effects and even funnier music (audio version of course). 🏯But what an unbelievable story."
2,https://www.goodreads.com/user/show/2386804-mj-nicholls,Rating 4 out of 5,"When Cohen published the pathologically unreadable 800-page monolith Witz in 2010 with Dalkey Archive, a flabbergasting slurry of manic logorrhoea intermittently brilliant and excruciating, there was no indication as to how Cohen might harness his astonishing stamina for further high-voltage literary wowness. The answer was Book of Numbers, a violently readable novel that shirked thickets of opaque wtf in favour of turbulent meta-antics, formal play and punnilingual wizardry, and established him as the heir apparent to David Foster Wallace.Continuing the downsizing present in his last novel Moving Kings, Cohen serves up a compellingly odd campus tale taken from an anecdotal story as relayed to the author by critic Harold Bloom. In the late 1950s, Hebrew scholar Ben-Zion Netanyahu (father of Israeli Prime Minister Benjamin) visits the college of Corbindale to hold a polemical lecture on the Iberian Inquisition. Something of an affectionate tribute to Bloom, who is recast as the mild-mannered Ruben, outgunned by a chiding wife and a rebellious daughter, the novel serves up a stylish evocation of the period. The humour is occasionally reliant on pratfalls and overly long passages of domestic repartee, though on a prose level, The Netanyahus is as sublimely written a novel as anything you’re likely to read this year."
3,https://www.goodreads.com/user/show/10490224-orsodimondo,Rating 4 out of 5,"L’ESERCITO DEL FARAONESe fosse un film, all'inizio si leggerebbe: basato su una storia vera. Perché – e ancora devo capirne la ragione - il fatto che quella che normalmente è una storia di finzione – e proprio per questa ci cattura e avvince – si rafforza se la finzione è basata su una realtà esistita o esistente. Una storia vera.In ogni caso, la storia vera che sta dietro, o alla base, di questo romanzo, è che Harold Bloom – sì, proprio lui, quell’Harold Bloom alquanto celebre – qualche anno fa ha invitato Joshua Cohen a fargli visita perché voleva conoscerlo e complimentarsi per il suo precedente Il libro dei numeri, e fra una chiacchiera e l’altra gli ha raccontato di quando insegnava a Yale – università ben più prestigiosa della Corbin della finzione letteraria – e gli toccò fare da chaperon a quel Netanyahu che è probabilmente diventato celebre solo per avere dato i natali all’orrido Benjamin detto Bibi, più volte primo ministro d’Israele (è dal 1996 che flagella quel paese, nonostante le accuse di corruzione e frode e abuso d’ufficio, e nonostante un buon numero di nefaste scelte è il più longevo capo di Stato d’Israele). Bibi nel romanzo – e nella realtà – è il figlio numero due, all’epoca decenne, di quell’oscuro professore Netanyahu.E così Harold Bloom diventa Ruben Blum, io-narrante di tutta la storia, professore ebreo al suo secondo anno alla piccola università Corbin - e quindi ancora nel periodo di prova – dove insegna storia della tassazione (😅): nella sua veste di professore in prova, che dunque non può rifiutarsi, e in qualità di ebreo, viene scelto per accompagnare il professor Netanyahu in visita: tanto tra voi ebrei vi capite, no? Visita che Netanyahu padre spera si traduca in lavoro, in una cattedra di insegnamento di storia medioevale della penisola iberica. Netanyahu padre è uno storico che si sente in missione per conto di Dio - proprio come i famigerati Blues Brothers - ma più precisamente per conto del popolo ebraico, dalle credenziali accademiche controverse, basate più sull’ideologia che su fatti o ricerche o pubblicazioni.Al di là del gustosissimo e godibilissimo aneddoto, c’è come un incontro-scontro-confronto tra modi diversi di essere ebrei: che forse si traduce anche in generazioni diverse d’ebrei.Il professore Netanyahu è l’ebraismo che a quell’epoca era forse ancora minoritario - ma in terra d’Israele destinato a diventare maggioritario, che con quello all’epoca maggioritario condivideva l’aggressività, ma non l’ossessione persecutoria - figlio del Sionismo revisionista, quello di destra, quello del Likud di cui suo figlio Bibi diventerà il faraone. Il professore Netanyahu vive in perenne stato di precarietà esistenziale, con l’incubo dell’annientamento, del pogrom, della Shoah.Blum-Bloom è della generazione di Philip Roth, di Joseph Heller, e pur avendo dieci anni di meno, la generazione presumo sia la stessa di quella di Saul Bellow e Bernard Malamud e Chaim Potok: una generazione che è entrata a fare parte della cultura americana partendo da una posizione di outsider, quando gli ebrei erano ancora un gruppo socialmente distinto, e respinto, con codici culturali e linguistici altri, un piede a New York e l’altro ancorato in uno shtetl dell’Europa orientale. E quindi si comprende lo spaesamento di Blum, accademico rispettato, ma ancora guardato dai suoi colleghi con paternalismo quando non sfacciatamente dall’alto in basso: un uomo in prova, che vive con perenne senso di precarietà sociale, con la paura di essere di nuovo rinchiuso nel ghetto.E poi c’è un terzo livello dell’essere ebreo: ebreo in America oggi, come Joshua Cohen, in contrapposizione al suo io-narrante Blum. Oggi perfettamente integrati, e addirittura in alcuni campi, come la letteratura e il cinema, a fare scuola. Mentre nel 1959-60 gli ebrei cominciavano a non essere più, o prevalentemente non più, relegati ai margini della società ma non erano ancora pienamente accettati dalla casta e neppure dall’intellighenzia:Per la mia generazione – dice Blum – un ebreo era fortunato a essere scambiato per bianco [...] per qualsiasi minoranza lo stile e anche la forma di protezione più affidabile era assimilarsi, non differenziarsi.Certo, il fatto che I Netanyahu faccia esplicito e diretto riferimento a Bibi aggiunge pepe. Spezia che aumenta perché Bibi, coi suoi dieci anni, è in scena, è uno dei tre selvaggi bambini Netanyahu, capaci delle più grossolane mancanze di educazione.Ma quello che per me ha reso il libro una lettura oltremodo piacevole è il tono adottato da Cohen: divertente, buffo, comico, esilarante, in certi momenti spinto fin quasi alla farsa, sempre deliziosa. Momenti impagabili a volontà, in pratica ogni pagina, in pratica più volte in ogni pagina. Su tutti, per me, il dialogo tra la suocera che si diletta di psicologia e l’io-narrante. Cohen cita Philip Roth, e fa bene, cita Woody Allen, e fa bene: ma si ritaglia un suo spazio netto e preciso. In pratica, come incrociare argomenti di “peso” con leggerezza di scrittura e umorismo (in questo caso, quello ebraico, il “witz”): in pratica, una commedia sofisticata. 4,5Sinagoga di Trieste, novembre 2022.Sinagoga di Trieste, ottobre 1941."
4,https://www.goodreads.com/user/show/597461-elyse-walters,Rating 4 out of 5,"Audiobook….read by Joshua Cohen …..8 hours and 31 minutes Other than feeling totally inferior in understanding the advance history, theology, politics, philosophy, the Rabbi’s, the Professors, Ruben Blum, (the Jewish historian), the exiled Israeli scholar, the academics, the sophisticated vocabulary, …. this book was often clever and hilarious….. ….in this fictionalize-real-life campus visit at Corbin College by the father of the prime minister…..the history of a famous family. In the audio-format, each chapter includes a little entertaining Jewish and secular music, Russian and folklore music ….(with realistic sounds of doors opening - slamming- etc. ) Topics include everything under the kitchen sink…the lifespan of a salamander—the IRS — canceled debts— Benjamin Netanyahu, prime Minister of Israeli jokes —religious observances and secular differences—matters of customs— lectures and Bible classes—American economic history—cuisines—wardrobe and cultural differences between American Jews, German Jews, Israeli Jews—parents—love— old world and new world—the Bronx and Manhattan—immigrants—class issues— textiles, seamstresses—stereotypes-empathy culturally—socks— underwear—analysis— decorating—fashions-art-concerts—parents—in-laws—grandparents—cousins —home—university—music—Jewish identity—Jewish holidays—Jewish foods—new friends—literary references—fascism— zionism-the immediate family— shrewd bargaining—new furniture—home—unlocked doors— delicious foods cooking— memories— anxieties—visitors—shtels—church and state joined in unholy alliance—popular lectures— medieval Jews and Gentiles— present day America—with a running theme of Jewish conflicts and America as a secular nation.  “It is not my purpose, nor my desire, to attempt a ‘reconstruction’ of Jewish music, or to base my work onmelodies more or less authentic. I am not an archaeologists….it is the Jewish soul that interests me…the freshness and then naïveté of Patriarchs; the violence of the Prophetic books; the Jewish savage love of justice”. “The Netanyahu” is the winner of the 2022 Pulitzer Prize for fiction. This was my first time reading anything by Joshua Cohen. Even though parts went over my head….not all of it did. I enjoyed the Jewish musings."
5,https://www.goodreads.com/user/show/3250759-paul-fulcher,Rating 2 out of 5,"Winner of the Pulitzer Prize for FictionFinalist for the National Book Critics Circle Award for Fiction.Joshua Cohen’s latest novel, The Nethanyahus is subtitled “An Account of A Minor and Ultimately Even Negligible Episode in the History of a Very Famous Family.”It is an odd - and to me uneasy - mixture of campus novel, non-fictional exposition and a rather odd attack on famous real-life family by creating a fictional version of them to ridicule.The author explains in the afterword it is inspired by a true story told to him by the critic Harold Bloom from his time at Cornell. In the novel, the narrator is Ruben Blum, a professor in the history of taxation at the fictitious University of Corbindale in upstate New York. Although he is keen to emphasise that Blum - who by his own admission is the ""dread-fuelled embodiment of the under-coordinated overintellectualizing self-depreciating male Jewish stereotype"" of Woody Allen and Philip Roth's work - is not intended as a portrayal of Bloom.Blum's account begins:My name is Ruben Blum and I’m an, yes, an historian. Soon enough, though, I guess I’ll be historical. By which I mean I’ll die and become history myself, in a rare type of transformation traditionally reserved for the purer scholars. Lawyers die and don’t become the law, doctors die and don’t turn into medicine, but biology and chemistry professors pass away and decompose into biology and chemistry, they mineralize into geology, they disperse into their science, just as surely as mathematicians become statistics. The same process holds true for us historians—in my experience, we’re the only ones in the humanities for whom this holds true—the only ones who become what we study; we age, we yellow, we go wrinkled and brittle along with our materials until our lives subside into the past, to become the very substance of time. Or maybe that’s just the Jew in me talking... Goys believe in the Word becoming Flesh, but Jews believe in the Flesh becoming Word, a more natural, rational incarnation…By way of further introduction, I will now quote a remark made to me by the who-shall-remain-nameless then-president of the American Historical Association, when I met him at a symposium back in my student days just after the Second World War: “Ah,” he said, limply pressing my hand, “Blum, did you say? A Jewish historian?”Though the man surely intended this remark to wound me, it merely succeeded in bringing delight, and even now I find I can smile at the description. I appreciate its accidental imprecision, and the way the double entendre can function as a type of psychological test:“‘A Jewish historian’—when you hear that, what do you think? What image springs to mind?” The point is, the epithet as applied is both correct and incorrect. I am a Jewish historian, but I am not an historian of the Jews—or I’ve never been one, professionally.This last a key point to the plot - as the University is recruiting and Blum is asked to vet one the frontrunning candidate, a specialist in the Spanish Inquisition, one Benzion Nethanyahu, largely on the grounds that they are both Jewish.And ‘Benzion Nethanyahu’, by contrast to Blum, is very much meant to be a portrayal of the real-life figure of the same name: academically author of the 1,400 page The Origins of the Inquisition in Fifteenth Century Spain (which, to simplify it to a few words, argues the Iberian Inquisition was driven not by a desire to root out heresy but rather by racial anti-Semitism, tracing a direct path to the Holocaust), politically a leading Revisionist Zionist and close ally of Ze'ev Jabotinsky, and biologically the father of the current Israeli Prime Minister Benjamin Netanyahu (who features in the book as a child).To be fair the novel allows Benzion Nethanyahu to express his views, even if one strongly suspects the author strongly disagrees with them. But it counterbalances this by making him, his wife and their three children figures of fun, Benzion something of a crackpot, his wife rude and presumptive and the children wild - Blum calls them the 'Yahus.' For example when we first meet the family, the 7 year old Iddo is still wearing a nappy, when it is removed the 10 year-old Benjamin toys with Iddo's genitals, and the 13 year old Jonathan (who in real-life was later the sole Israeli casualty of Operation Entebbe) has sex with the Blum's daughter.The novel has had rave reviews in the UK press in both the FT (https://www.ft.com/content/873e1070-d...) and The Times (https://www.thetimes.co.uk/article/49...). They describe the review as “very funny” and “laugh-out-loud funny”, whereas I can’t say I found any amusement in the pages at all.Disappointing - 1.5 stars rounded to 2."
6,https://www.goodreads.com/user/show/8051792-lisa-ny,Rating 4 out of 5,"[4+] I like this bizarre novel about the Blum family in 1959 upstate New York who host the out-of-control Netanyahus for an evening. The novel is an engaging blend of family life, humor, slapstick drama, academic politics and medieval Jewish history. Even the audiobook, which contains sound effects like running water and slamming doors, is odd. I am glad I went into the book blind because the afterword is a delightful surprise. (My son was a student of Harold Bloom and I am fascinated by him.) This book is certainly an unusual choice for the Pulitzer as it will appeal to a fairly narrow group of readers - but I am one of them!"
7,https://www.goodreads.com/user/show/5942822-alan,Rating 5 out of 5,"“Eliminate the Diaspora or the Diaspora will eliminate you.”So goes the opening quote of Joshua Cohen’s Pulitzer winner, The Netanyahus. Throughout the book, this tension remains. For me, that’s the strength of the novel - I’m in awe of how Cohen has managed to capture the weight of social expectation between minorities in an “expatriate” situation. Obviously, the American-Jewish and Israeli relations are not the same as those between, say, two Swedes abroad. There are cultural scripts. There are 1960’s norms. There are microaggressions to traverse. There are big M macroaggressions to traverse. But that’s the beauty and the heart of this novel, the main question: flourish and feed the increasingly separate life of the individual, or “feed into” and “support” diaspora relations? I have felt this before, continue to feel this, and it’s not too much of a surprise that I see this to be the main machine behind the forward momentum of the book. For others, this is not the case. A quick look around at articles and reviews for this book shows that people are chomping at the bit to compare this novel to Roth, to Bellow, to Malamud, all in a pejorative manner. That is, quite honestly, insanely lazy. That’s the best you can do? This is not to say I haven’t done it - god knows I’m lazy. But I guess when I do it, I feel shame, at the very least. Presumably these are individuals with MFAs and a variety of other literature- and writing-related degrees. You’re just comparing him to Roth and calling it a day? Nathan Goldman does it in his Jewish Currents article called “That Joke Isn’t Funny Anymore”. At first, there is his weird insistence of saying that Ruben Blum is Harold Bloom (Cohen has explicitly mentioned, countless times and across multiple interviews, that this is not the case - it may have started that way, but grew into a completely different character with time and necessary modifications). But then there are successive comments about Cohen’s work being worse than other Jewish-Americans. For instance: “The homage to the Jewish American canon dictates the novel’s entire form, turning The Netanyahus into a midcentury pastiche—a Jewish campus novel animated by Rothian hijinks and brief bursts of Bellowish lyricism.” I can’t quite disagree, as I have read 1 Bellow and 4 Roths, but I want to. This had its own peaks and they were as good, if not better, than Roth’s. It also seems as though Cohen’s not-too-polite fictionalization of the real Netanyahu family did not sit well with many. I don’t know anything about the politics, but that seems to be criticism levelled at a specific portion of the contents, as opposed to Cohen’s ability to write a novel as well as Roth or Bellow or Malamud. Later on in the very same article, Goldman says: “By subsuming the Netanyahus into the paradigmatic, phallic folly of American Jewish fiction, the novel effectively transforms them into diaspora Jews, understood as a literary production of the diasporic imagination.” If that’s the real issue, fair enough. I don’t know enough to have an opinion.But it’s not entirely as though Cohen is “unaware” of the effect that Roth has had on his writing. In other words, a pejorative comparison to Roth isn’t the insult that these critics think that it is. After the passing of Roth, Cohen wrote a dedication/obituary/tribute in The New Republic, called “The Cult of Philip Roth”. In it, he said:“Roth, to me, was the True Judge. His literature exerted that authority: What he wrote, I accepted; I swallowed. Even his most outlandish fictions, I subscribed and assented to. I felt I had no choice. His writing had the style of a verdict, an edict. His sentences, with their total and carefully claused control, came down to me from the mountain—or from the high shelves of the library of the Hebrew Academy of Atlantic County, New Jersey—like commandments cut into stone, and as the descriptions accumulated, as the arguments and counter-arguments piled up, and the appetites were embraced and disavowed with equal fervor, all I could do was submit, surrender, and give myself up completely to his power.”He also said:“Every immigrant American writer of every ethnicity, race and, yes, gender, who followed in his wake—whether they acknowledge it or not, whether they like acknowledging it or not—is in his debt. Sure, other writers had tried this transubstantiation trick before—notably Bellow, whom Roth idolized, and that other Roth, Henry—but only Philip Roth attempted it so explicitly, and yet, paradoxically, so casually, in book after book after book (almost 30 novels in all), as if by sheer effort he could drag not just the Old World into the New World, but the New World into the Global.”And let’s not forget that he wrote an entire review of Roth’s biography for Harper’s Magazine, titled “The Possessed”, as Roth.But whatever. The lazy negative reviews aside, I’ll move forward toward the end of my equally lazy positive review. I adored the humour, the effortless prose, the references that made me feel more intelligent than I am, and the digressions from traditional fiction prose style (isn’t it hilarious? A week or so ago, I said this was a negative for Graham Greene - I am just making it up as I go, it seems).I want to start slowing down by referring to the author’s Paris Review interview with Martin Riker. The interviewer says:“I think I’m also saying I did not find much darkness in this book. But maybe what I should be saying is that I find darkness around the book, inescapably, in the looming shadow of the real-life future—the political rise of Benjamin Netanyahu and all that has meant for the world—that readers of Blum’s tale can’t help but hold in mind. The book’s title suggests it is about current events, but really, current events are the book’s unspoken truth. In this particular sense I might put The Netanyahus in a lineage with Georges Perec’s W or W. G. Sebald’s novels, books with absent centers, dark jokes for which history provides the punch line.”Cohen’s response is interesting to me. It is self-serving and masturbatory for sure - no getting around that. But it does sum up what I feel about a lot of great literature that I read:“That’s extremely generous because I know how much Perec means to you. I’m a student of his, too—interested if not in the strictly Oulipian nature of some of the work then in his principle of writing through lacunae, of purposefully excluding something from a book that might ultimately provide its key. These books tend to be tests, of the reader as much as of the culture itself—tests as to whether a culture has preserved within itself enough of what Van Wyck Brooks called “a usable past,” to enable the book’s comprehension. If you had only the most superficial idea of Nazi aesthetics—if you knew nothing at all of its cult of physicality—would you be able to understand W? If you knew nothing about German writing outside of Germany—in Austria, in Austria-Hungary, at the fringes of the German-speaking world—how could you hope to get at what Sebald is trying for, the assertion of an alternative German canon in the wake of et cetera? Their novels become trials of historical consciousness—do you remember enough to understand them?—as much as of present-day consciousness—do you see and hear the world around you clearly enough to make any connections between the world and the page? Books that omit context or explanation, books that refrain from acknowledging their analogies and allegories, books that withhold from the reader not in a spirit of exclusion but as a spiritual catalyst, books that, yes, summon up the cherub to cover their intentions—these are the books that provoke the reader, or at least provoke me as a reader, into seeking out the sources that are being denied, and in the process of that seeking I find myself situated within and vital to myriad continua. Or, to put it another way, this is how tradition works. This is what it means to live in a culture. Our books should be missing something, the finding of which makes us whole.”I will end with a couple of quotes I liked from the book:“To this day, the transmogrification of ancient feuds remains the primary process by which immigrants nativize: to renew a conflict is to acculturate.”“What I’m trying to say, Ruben, is that meeting this horrible man and his horrible wife, it made me realize something. It made me realize I don’t believe in anything anymore and not just that, but I don’t care. I have no beliefs and I’m OK with it; I’m more than OK, I’m glad… I’m glad I’m getting older without convictions…”"
8,https://www.goodreads.com/user/show/57003346-matthew-ted,Rating 5 out of 5,"107th book of 2023.2nd reading. This is still one of the most wickedly smart novels I've read that's been published in the last few years, maybe decade. Every single intellectual I've thrown this at has returned to me, gleeful. The humour, which make no mistake, is on nearly every single page of the novel, operates at a sort of postmodern high - there's a rich satirical flare spliced with an almost slapstick happenings. The passages on history and Jewishness aren't far off being painfully intelligent. It's a writer's novel, the sort of thing you wish you were smart enough to write. Cohen says he hates campus novels and hates historical novels. In his research, reading campus novels, he barely finished a single one (if you were to name a retirement home for Yiddish writers, you'd call it David Lodge). Someone, incredulous, asked him, 'Stoner?' to which he replied, 'Yeah' [pause] 'It was nice.' I'm bitter about that, I'll admit. Campus novels have always done it for me. Unlike Cohen, I love campuses. Anyway. This is brilliant, a true accomplishment and an astounding league above this year's joint-winner, Demon Copperhead, which against this novel, I almost feel embarrassed for Kingsolver. ____________________________42nd book of 2021. Artist for this review is photographer Jonathan Brand.It's blowing a hooley outside tonight. Over the last few years (this is unrelated to the hooley) I've mostly avoided reading new contemporary fiction, mostly because I never think it's any good. This year I've been trying slightly harder, and with mixed results. I've read some fairly mediocre novels like Real Life, Writers & Lovers, The Vegetarian, etc. I mostly say unsavory things of new literary fiction, which never seems to be very interesting or very original. I'm probably reading the wrong things, in fact, I clearly am. Anyway, the search is over and if literary fiction steers itself into Cohen's wry waters, then I would finally accept that the novel is bucking over some promising waves. The Netanyahus is officially published tomorrow, 4th May. It is described by the blurb as ""mixing fiction with non-fiction, the campus novel with the lecture, The Netanyahus is a wildly inventive, genre-bending comedy of blending, identity, and politics."" At times, it felt almost like a Jewish Pnin to me. Ruben Blum, a Jewish historian, but as he distinguishes, not ""an historian of the Jews"", is on Corbin College's committee to review the application of an exiled Israeli scholar, Benzion Netanyahu. 1959-1960 New York, because they are both Jews, the College presumed it would be necessary, even obvious, that Blum help with deciding a fellow Jew's fate. The expected sort of lines are used, ""One of your kind"", so along such lines. Netanyahu stays distant from the semi-abstract narrative at first. Cohen breaks down Jewish life in New York. Blum, his wife and his daughter try to live comfortable lives. Judy, the daughter, despises her nose, which causes her to snore loudly and profusely drip snot. There are several attempts (one very shocking) at changing the shape, reducing it, or simply damaging it beyond repair in an act of self-destruction, to lead to reconstruction. Once Netanyahu and his family arrive however, the true narrative kicks off and the pages move faster.It is a comic novel, wildly dry and intelligent, wicked, almost. Cohen's wit drips from every line of prose and carries the novel. He's a fantastic writer, and I read that Granta named him one of America's greatest young writers of today. I think it's a fair claim. I recently read Bellow's Paris Review interview (Bellow, with Roth, being one of the writers who frequently appears in any discussion of Jewish literature) where he says, ""He [a professor of Bellow's] said the subject was much too serious for fooling. I felt that my fooling was fairly serious."" This struck me as oddly profound when I read it the other week and as I was reading Cohen's novel, it kept lingering: I felt as if Cohen's fooling here was fairly serious. There are some wonderful lectures involved in the novel about Jewish history, about religion, about Europe. At one point, in the interview itself:
""I know the Jews are the chosen people, Dr. Netanyahu, but why choose them for this? What makes them the best vehicle, as you say, for such an undertaking?""""Because of all the peoples in the world, none is less historical, or less historically minded. Which is curious, given Judaism's antiquity. As Dr. Blum can surely confirm for you, it's a common enough quip among contemporary American Jews that Jewish parents would rather their children become pediatricians or litigators than, say, the messiah. But I would submit that even messianism, even false messianism, is more Jewish a discipline than history, whose allegiance to sublunary powers such as regents and facts was traditionally regarded by the rabbis as idolatry.""
And Cohen balances the lecture, the seriousness (seriousness that still reads with this sly humour), with scenes of great comic effect. 
""Forget just in this weather, also in summer. And you only know you left when you get to Allentown. Wilkes something, like the man who shot Lincoln.""""Wilkes-Barre,"" I said.""No, that's not it.""Jonathan, sleeve-wiping cocoa beads from his sparse Puerto Rican moustache hairs, said, ""Wilkes Booth.""""Yes, Wilkes Booth.""""Wilkes-Barre,"" I said, ""near Scranton.""Jonathan said, ""The actor John Wilkes Booth shooted, shot President Avraham Lincoln, the sixteenth president of the United States who gave to the slaves their freedom in 1865 at the end of the American Civil War.""
Really, I could type out whole portions of dialogue and whole scenes of humorous events. The novel is very fairly serious in its fooling. Anyway, bravo to Cohen. This is probably the best ""new"" novel I've read in some time. I want to discuss the back pages of the book to end. The novel is dedicated, I noticed (surprised) on starting, to Harold Bloom. I wondered why. At the back of the novel is Cohen's ""Credits and Extra Credit""; I read it with great interest and for the final punchline in this wonderful and strange novel. It turns out, Cohen got to know the late Bloom in the last years of his life and would visit him. Bloom would ask Cohen about what was being published in the world and if it was any good. All the while, Cohen admitted to trying to steer the conversation onto Bloom's own views, which he wanted to hear from the horse's mouth. He got some fantastic things from Bloom: a car crash he'd [Bloom] gotten into with Paul de Man, that he had argued with Anthony Burgess about limbo and purgatory (""as a lapsed Catholic, Burgess was going to hell, whereas I am still here and going nowhere""), that Bloom played chess with Nabokov (""it astonished no one that I did not emerge the winner""), that Cormac McCarthy would call Bloom on the telephone ""while soaking like a cowboy in the bath"", and that Bloom thought W.G. Sebald was ""gentle, maybe too gentle."". I am including these purely because they are beautiful to know (I think) and want to record them. But the point eventually comes down to the fact that Bloom told Cohen of a time he was asked to coordinate the campus visit of an obscure Israeli historian named Ben-Zion Netanyahu, who showed up for a job interview and lecture with his wife and three children in tow and proceeded to make a mess. (This works as a fairly apt blurb to the novel, funnily enough.) Cohen says it was one of the last stories Bloom told him before his death in 2019; later, he went about writing it as a novel, with many inventions from his own imagination to fill in the gaps Bloom left out (quite a few, it seems). Long story short: Cohen tried to contact a certain somebody who ""features"" in the novel, to ask for their consent to being involved, though mostly ""unrecognisable"". No answer the first time so Cohen went ahead and wrote the novel anyway. He then sent the finished draft to her for one final attempt and the book ends with her reply in verbatim. Its inclusion to end the book feels like the last punchline, in a way, the last laugh at the hilarity of the world and his fairly serious fooling:
Dear Joshua Cohen,I've just finished reading your 'book', and I'm going to say it once and for all and that's it: Judaism is just another word for THE PATRIARCHY (and for PATRIARCIAL HEGEMONY). We're all one people, the Human People, with no differences between us. The planet is ruined, the machines are taking over, and none of this Jewish crap still matters. WAKE UP!!!!!! No one reads books anymore and the Jews are either on the wrong side of history or just irrelevant. IF YOU'RE HAVING AN IDENTITY CRISIS, I'm sorry, your only choice is to expand your consciousness and join the Human People in our common struggle against pollution and technology or spend the rest of your life crying for a past that let's be honest couldn't have been that great if this is where it leads. Everything you believe in never existed, including your individual self, if you ever believed you could change that. Admit it, even literacy is dying—and when the last old Jew of you is finally as dead as (((God))) this proud nonbinary dyke YES DYKE IS GOING TO DANCE NAKED AS HELL ON HIS GRAVE.
"
9,https://www.goodreads.com/user/show/4593541-barry-pierce,Rating 4 out of 5,this is so much fun 
