,user_links,user_ratings,review_text
0,https://www.goodreads.com/user/show/48328025-megs-bookrack,Rating 5 out of 5,"**4.5-stars rounded up**Casey Fletcher is a NYC-based actress, who having grown up in the industry, is used to a lot of drama.Unfortunately for Casey, after suffering a personal tragedy, she makes a mistake many people have made before her. She turns to the bottle to numb her pain. Initially, she's still able to function somewhat, but she's spiraling fast, head-first into the NYC pavement. Luckily, the paparazzi is there to capture her descent for the whole world to see. ((read with heavy sarcasm))Casey's mother, in an ill-advised effort to help her daughter, ships her off to their Vermont lake house, because we all know being secluded in the middle of nowhere on a lake will make you quit drinking.Frankly, Casey could use a break from the city anyway, so she doesn't put up much of a fight. Her mother thinks since Casey doesn't have a car there, she won't be able to get alcohol, but the friendly neighbor who is making her grocery runs keeps her fully stocked.At the lake house, Casey struggles just as much as in the city. It is the last place she was with her husband and the root of her misery.Drinking her days away, Casey is obviously not in a good head space. She struggles to concentrate on anything, or remain focused, that is until she begins to utilize the family binoculars.Across the lake is a massive modern home recently purchased by an uber-wealthy couple, Tom and Katherine Royce. Tom, a successful businessman and Katherine, a stunning former model, give Casey plenty to focus on. After a shocking encounter on the lake brings Casey and Katherine together, the two women begin a tentative friendship. The more the women chat and get to know one another, the more clear it becomes to Casey that all is not well in the Royce household.Not long after, Katherine suddenly vanishes. Casey, having witnessed some very suspicious behaviors from the couple before, thinks violence may have been involved. She doesn't believe Katherine just up and left of her own volition.Casey becomes obsessed with revealing the truth, but at what cost?Y'all know, I have been itching to get my hands on this release and it did not disappoint. With his signature-style, Riley Sager has spun another web of intrigue so delicious even Alfred Hitchcock would be giving it two thumbs up!I loved the modern-Rear Window vibes and the setting was fantastic. Having Casey being on her own, in the house that literally haunted her just by being there, it felt so claustrophobic and unsettling. It can be tough sometimes being on your own, but Casey being alone at that house was taking it to a whole new level of isolation. Sager paced out the reveals of the before perfectly, in my opinion. It kept me so interested.I also really enjoyed, not just Casey as a main character, but all her interactions and musings involving the Royces. They certainly kept her mind occupied, at least for a little while.There were additional side characters, two men in particular, that added a lot to the story as well. They were also residing on the lake at the time that Casey was there and I felt they both added in their own way to the drama unfolding. One was a solid presence, who it felt good to have around, the other, I wasn't so sure about.The ending of this is completely over-the-top and caught me by surprise. It's definitely one of his more memorable conclusions. Trust me when I say, it's a wild ride.We started in one direction and ended in another. It was jolting and f*ing enjoyable as heck!! I really had a phenomenal time reading this. I know that not every Reader is going to love Casey as a protagonist as much as I did, but I found her relatable and even charming in her own clunky way.This was my most anticipated release of the year and I'm so happy that I was given the opportunity to get to it a little early. Thank you so much to the publisher, Dutton, for providing me with a copy to read and review."
1,https://www.goodreads.com/user/show/58160628-emily-books-with-emily-fox-on-youtube,Rating 2 out of 5,"I’ve officially learned my lesson. This will be my last book by the author.Pro: The cover is pretty.Cons: Where do I even begin…This book feels like 3 different ones shoved together. Badly. It started with an overused trope. Alcoholic nosy woman spying on the neighbours. The author cannot write a convincing female character. This time she was reading into the fact that the wife leaving in the house across the lake would go swim without her wedding ring. Clearly a sign there are issues in her marriage. Did no editor tell him that plenty of people remove them to swim in a lake? Also what was up with her judging the husband for eating frozen burritos when she’s drinking bourbon all day with grilled cheese? Also even though she’s a famous actress, she’s conveniently not into social media.I hate when a big piece of information is hidden from you for most of the book. It sure wouldn’t have been the same if you knew from the start that the MC knows her husband killed 3 girls and she murdered him for it.The paranormal came out practically out of nowhere. I know the author has often played with the “is it paranormal or people” which I like but this time it wasn’t well executed. The neighbour’s wife being possessed by her dead husband was just... a completely different book.Ended with an unnecessary romance (again). I still think Boone killed his wife lol*Made it to my worst books of 2022: https://youtu.be/jOcHnWSUOEw"
2,https://www.goodreads.com/user/show/11232712-joey-r,Rating 1 out of 5,"1.5 stars— There really are no words that can adequately describe this book. The first 2/3 of the book was basically A J Finn’s “The Woman in the Window” but set at a lake house to shake things up. Much like “The Woman in the Window” and “The Girl on The Train” the woman who observes what she believes to be a crime in this book is drunk 24/7. (**Note to authors : from here on out sober witnesses only, thank you, drunks have run their course).The final 1/3 of “The House Across the Lake” is a cross between “The Exorcist” and the Meryl Streep movie “Death Becomes Her” . … This is not meant as a compliment. Needless to say I did not enjoy this book but kept reading it just to find out how the author would tie it all together for a happy ending. And amazingly enough, somehow he did. So if you are in the mood to read about a crazy, nosey murdering alcoholic helping a possessed neighbor who is in danger of being killed by her husband who is later possessed before being killed by a woman who was formerly possessed by the spirit of her ex husband who she also killed, have at it. For me, I am moving on to a better book while I recover from Covid.**Note if this review sounds like delusional ramblings, remember I have Covid and my oxygen levels might be off"
3,https://www.goodreads.com/user/show/137657144-haley-pham,Rating 5 out of 5,I AM SHOCKED THAT NOT EVERYONE IS GIVING THIS 5 STARS?!?!?! HELLO?!? DID WE READ THE SAME BOOK!?!?!? READ THIS NOW
4,https://www.goodreads.com/user/show/124132123-lisa-of-troy,Rating 1 out of 5,"Riley Sager’s The House Across the Lake is another doozy.The plotline sounds so promising, interesting. Casey Fletcher is a 35-year-old woman who is from a famous family. She is reeling from the recent death of her husband, drowning her sorrows in the warm arms of alcohol. After having a publicity nightmare, Casey��s famous mother sends Casey to their family lake house to lie low. While relaxing and drinking to the max, Casey spies her new neighbor Katherine, also a famous actress, in a swimming mishap. Casey jumps at the chance to rescue Katherine, and the two strike up a quick friendship.However, Katherine disappears. What happened to her? And who is responsible?The first 50% of the book is boring, and the last half of the book is eye-rollingly bad. At the beginning of the book, there is an information dump of Casey’s background. No subtle discoveries here. Casey also uses her binoculars to spy on her neighbors. This could have been a very promising storyline, but it wasn’t. The spying neighbor would have been better with some steam. Sager does try to write some of it as steamy but the attempt falls flat. Contributing to this miss is the narrator. Although the narrator, Bernadette Dunne, is acclaimed, she is the wrong choice for The House Across the Lake. As mentioned earlier, Casey Fletcher is 35 years old. For reference, Megan Fox is 36 years old. However, Bernadette Dunne is around 60 years old (according to my internet sleuthing). Just to be clear, Dunne is a terrific narrator, and she has credits under her belt such as Memoirs of a Geisha (which I loved). I just had an extremely difficult time matching this narrator’s voice to our main character.The storytelling is just off in this book. Recently, I was reading a book, Daemon Voices, a collection of essays about storytelling by my favorite author, Philip Pullman. In one of his essays, he set the scene as storytellers standing on corners, telling their stories. With every sentence, the author has to try to keep the people entertained, enraptured, or else the audience will get bored and go listen to another story. In this case, I feel that Sager should have worked more on his storytelling skills, because The House Across the Lake did not hold my attention.In Daemon Voices, Pullman stated that he wrote about a dozen different version of His Dark Materials. He has a commitment to quality. I would like that same commitment to quality from Riley Sager. He needs to fire his editor and get some additional beta readers. This book makes me really sad because 1) I feel a bit cheated out of my money and 2) Riley Sager is capable of so much more. He does need to get rid of the “yes” people on this team though.Overall, this book is boring and gets worse from there.2024 Reading Schedule	Jan	MiddlemarchFeb	The Grapes of WrathMar	Oliver TwistApr	Madame BovaryMay	A Clockwork OrangeJun	PossessionJul	The Folk of the Faraway Tree CollectionAug	Crime and PunishmentSep	Heart of DarknessOct	Moby-DickNov	Far From the Madding CrowdDec	A Tale of Two CitiesConnect With Me!Blog Twitter BookTube Facebook Insta"
5,https://www.goodreads.com/user/show/16912659-dorie---cats-books,Rating 3 out of 5,"3 ½ * rounded down to a 3I am a huge fan of Mr. Sager and I have been ruminating on this review for 2 days now. All of his previous books have been 4 and even a 5* for me. I’m sorry to say that this one was a disappointment. Casey Fletcher was a successful film and then theater star until her husband’s death about a year ago. This set off months of binge drinking which left her fired from her last production. Social media has been cruel and photos have appeared everywhere of her drinking and acting in all manner of inappropriate ways. Neither her best friend, her sister or mother have been able to help get her back on track.Her mother, a film star in her own right, has given Casey a choice. Enter rehab or spend time at their secluded lake house in Vermont. Casey chose the latter. Being alone however has only made her drink more and she finds herself bored and spending time on her porch staring out at the dark surface of Lake Green. When she finds her husband’s binoculars which he used for birding, she begins to spy on her neighbors across the lake. They are a famous couple, Katherine is a supermodel and her husband Tom is pioneering a tech company.One morning Casey sees a body floating on the lake. She takes action quickly and ends up saving Katherine from drowning. They become friends but Casey becomes more and more convinced that something is not right with their marriage.This sends Casey off in a myriad of ways, trying to discover what is really going on in the house across the lake.I HAD A LOT OF PROBLEMS WITH THIS BOOK!!First off, so much of the first half of the book seemed like a rehash of “The Woman In The Window”, I kept waiting for the pace to pick up but that didn’t happen until 60% into the book.The characters seemed very flat to me, so unlike Riley’s other books. I didn’t really feel engaged with any of them and Casey’s actions were just downright juvenile and reckless. The amount of alcohol she is said to drink would surely leave her beyond reasoning in any competent way.There were lots of twists, but they all came at the end, one right after the other and mostly unbelievable. That’s o.k. I still had hopes for a stellar ending!!NOPE THAT DIDN’T HAPPEN!! What I read felt like a combination of folklore, fantasy , supernatural or the feeling of “WHAT THE HECK DID I JUST READ”. I’m still giving this a 3* because I enjoy Sager’s style of writing and this could have been more engaging if the twists had been more well placed throughout instead of all left until the end!So far I am the outlier for this one so give it a try, you may love it!!l I will continue to be a fan of this author and will be on the lookout for his next novel.I received an ARC of this novel from the publisher through NetGalley."
6,https://www.goodreads.com/user/show/5948071-ghoul-von-horror,Rating 1 out of 5,"
GOODLUCK EVERYONE. BOOK IS NOW PUBLISHED
TW: Alcoholism, toxic parent relationship, drugs, death of spouse, domestic abuse, child abuse, suicide
  *****SPOILERS*****
About the book:Casey Fletcher, a recently widowed actress trying to escape a streak of bad press, has retreated to the peace and quiet of her family’s lake house in Vermont. Armed with a pair of binoculars and several bottles of liquor, she passes the time watching Tom and Katherine Royce, the glamorous couple who live in the house across the lake. They make for good viewing—a tech innovator, Tom is rich; and a former model, Katherine is gorgeous.One day on the lake, Casey saves Katherine from drowning, and the two strike up a budding friendship. But the more they get to know each other—and the longer Casey watches—it becomes clear that Katherine and Tom’s marriage is not as perfect and placid as it appears. When Katherine suddenly vanishes, Casey becomes consumed with finding out what happened to her. In the process, she uncovers eerie, darker truths that turn a tale of voyeurism and suspicion into a story of guilt, obsession and how looks can be very deceiving.Release Date: 06/21/2022Genre: ThrillerPages: 368Rating: ⭐Read: March 20th, 2022What I Liked:	• The cover	• The writing has gotten better What I Didn't Like:	• Across the lake is mentioned a ton	• The plot feels like something we've read/watched 1, 000 times before	• Troup of broke husband married to rich woman	• 183 mentions to the word water	• The ""twist"" ending	• The ending	• Another female leadOverall Thoughts:This is the first time I've ever received a disclaimer (**Please note: this book has some major surprises and we encourage you to keep reviews SPOILER-FREE to preserve the reading experience for everyone**) for a book before. Does it make me want to listen? No. There was a study done that when people are told NOT to do something it makes them want to. It feels weird to be told to review a book honestly but not talk about spoilers. So no one ever should write a review that talks about it? That's not me so here's my SPOILER review. If you're like me you don't expect much from Riley Sager, so when I was sent this book for review I was eager to jump right in. In typical Sager fashion, we have a woman as our main character who is alone. For me, the conversations between the characters always feel so cheap and fake. Like there is something off about it.Why is there always some kind of actor in his books? The last one was a girl who dreamed of movies and now this one is an actress. His books always remind me of when you fall asleep to one movie but wake up to another movie. He always mixes one movie with another movie. In this case, it's Rear Window. The descriptions to the window and how they travel seamlessly through each room that's Hitchcock's Rear Window aká  It Had to Be Murder for which Hitchcock based Rear Window. The author even mentions how what she is doing is like Rear Window. Riley Sager has this way of writing situations with women that on a normal day would make them feel uncomfortable, yet he acts like it's normal. Maybe because he's a man he can't get what it's like for a female. There's a part where Casey is watching the neighbors across the lake with binoculars and a man she doesn't know asks her if she's enjoying the view. Does Casey act so startled that she acts in a normal way? No, she is calm and jokes back with him. Like no no no! A woman alone in the middle of the woods would NOT just act all happy and think this stranger is cute. She would think this strange man just showed up out of nowhere at my house while I am alone and he could hurt me. That's where he always loses me. The women don't react to normal dangers.Yay..... Another HOT handyman 🥴Now you know you're in a Riley Sager book How is she seeing this much going on with the binoculars at nighttime in the dark? She can see him smiling while he is on the water. She mentions that last night was foggy. How did she see across the lake? How did she see so clearly everything that Boone was doing? So did her husband really use these binoculars to look at birds or to stalk women? I love that in this book the abuse that Katherine did to Tom (punching him in his face) is his fault because he grabbed her first. Imagine if roles were reversed... If Tom hit Katherine because she grabbed his arm. Our dear binocular-watching stalker would have been on the phone with the police. Agh. The women in these books are always so ridiculous. There is so outlandish and jump to conclusions so fast it's insane. I love how she's had like three conversations with this Katherine lady and suddenly she knows that she's been murdered by her husband because she's not returning her phone call. How did she not hear Boone open the door when he said he heard the scream? Earlier she had mentioned that she was able to hear the screen door squeak when it was open I doubt very much he was being quiet when he opened the screen door and stepped out this time since he heard a scream. Wouldn't he have checked on the neighbor to see if she was okay? I love how calm she is when Boone is in her house. She remembers him showing up in her house when all the doors were locked. She wakes up the next morning and has breakfast with him because he made her food. The other thing that's annoying is when a man tells her to do something and she obeys and then finds out that he's right. Boone tells her to eat food and she'll feel better - she does - and now she is shoveling the food down.Why does every Riley Sager book have to have some stupid man whose quote sexy show up in this girl's life and always have to save her in some way?Every drink Ellie has seems to give her superpowers. She has like 8 or 12 drinks and she's able to tow across a lake during a storm that's turned the water choppy. Being that wasted I would assume she couldn't do much other than pass out. It's mentioned before she's had 6 drinks and passed out on the porch chair all night, but here she is being a superhero. Was Riley Sager drunk when he came up with that weird plot twist of Katherine being possessed by Len's body 🤔Was easy to guess Len was the killer as the murders stopped almost exactly up to the point he died. Plus hasn't it been the boyfriend a few times in his books? If he knew he had the licenses in the tackle box why oh why would he be cool with her getting the lighter? You're going to tell me he forgot about them in there. Then she's gone long enough that she can call two hotels to find out about if he stayed there and he briefly questions her being gone so long to get a lighter.... Also how RIDICULOUS is it that she finds out he is a killer and decided at that moment that she is just going to kill him, comes up with a plan in 10 minutes, and is he is dead in a few hours. Not sure how no one on this quiet lake that had people in the house on a summer night heard anything. How Riley sager assumes people are reading his book  and how I'm reading it  when I got to the twist.I've watched a lot of interviews with killers and so I think it's odd how much Len is saying he did all of this because of his messed-up childhood. Most times killers just talk about how it's a feeling that they get I can't really recall many of them blaming their childhoods. I'm sure there are a few but he just sounds the opposite of a killer. Killers love taking the blame for their murders and he seems like he's making an excuse to dissociate from them.Nowhere in this book up this point did it even hint at a supernatural element. It's out of the blue that now there's a possession. What a dumb ending. So no one swam in the lake for 18 months that he could have possessed? At first, I thought it had to be someone that had died but he was able to possess Casey so anyone swimming could have been possessed. Riley sager treats alcoholism as though it's something you can switch on and off. She just manages to forget she hasn't had a drink in hours or days when before she was getting shaky not having it. She then purges the house of all the alcohol like it's nothing. It's never explained why Katherine was on the laptop and turned around startled when Tom caught her. Or why she wasn't allowed on the phone with Boone when she rushed off the phone when Tom caught her. Boone's wife killed herself by throwing herself down the stairs??? What? Who kills themselves in such a weird way? Seriously someone give me one person who has killed themself in this way. Not sure why Casey is suddenly now worried about where the bodies are at when before she didn't care at all before. They come up with a plan to tell the police that Katherine was just found coming out of the woods lost. What about the rope burns on her wrists? There's no evidence that she was out in the elements for days. Oh, then we find out Tom is trying to kill her for real. He shows up at Casey's house doing this  but with a wine bottle because what couldn't be a whiter thing to do. I kept laughing picturing him getting in a boat with a wine bottle to look so threatening. How did he know right at that moment that she was going to remember the drug residue on the glass that broke when she never mentioned it to him before? It doesn't make any sense for Len to talk to Tom about what Casey did because he was still in love with her. It's so stupid that he still wants to go through with killing his wife when not 2 days ago they all were suspecting him! Oh and he wants to kill Casey too because she knows the truth. Dude, everyone is going to notice she's missing after all this weird shit went down. Casey manages to kill him with the wine bottle. What a weird and desperate twist the author tried to insert here. It was so cheesy and misplaced. How did Tom get to the other side of the lake that she never noticed and no one saw him?PS - the storm turns out to be nothing than a small rain storm 🤷🏻‍♀️. This whole time it's talked about and it goes flat. Final Thoughts: The whole time I wanted it to be Katherine and Boone having an affair and trying to bump off Tom because she didn't want to share her money with him anymore. Oh, Eli was working with Len and they murdered those girls. Sad that the ending he gave was the best he had going for him.This book was odd. It feels like he's running out of ideas. I'd tell the author to take some time off and come back with a book that's not rushed. 
IG
|
Blog
Thanks to Netgalley and the publishers for this advanced copy of the book. All thoughts and opinions are my own.Previous review: I hope this one is about a girl who makes stupid mistakes, constantly puts herself into danger, and falls in love with the killer but doesn't know it despite all the warning signs being there."
7,https://www.goodreads.com/user/show/138801181-ali-goodwin,Rating 4 out of 5,THE ENDING WAS WILD and I never saw it coming. My first Riley Sager book and I will definitely be reading more!!
8,https://www.goodreads.com/user/show/53701594-nilufer-ozmekik,Rating 4 out of 5,"Wow! I have so many complex feelings about this book! Some parts made me scream “come on! It’s too far fetched and ridiculous!” when some out of nowhere elements hit you in the face out of nowhere! But some parts are truly entertaining, surprising which made me awe the author’s dark sense of humor! I don’t think this will be my favorite book of Riley Sager but I have to admit : it’s absolutely unusual, creative, twisty, mind spinning!At the beginning main character Casey Fletcher made me so irritated! I got it she’s grieving from a big trauma! She lost her husband but I didn’t understand the main reason of self hatred and choice to drink herself to death!  The book started slow burn. Casey kept numbing her pain with more booze, self sabotaging, spying on neighbors, getting more dislikable person at each chapter! And mostly she stuck in the same cycle till she thinks something happened to her neighbor! But when got reach the last third I felt that sudden sucker punch on my face! Yes, so many unexpected things start occurring that destroying your last remaining marbles! You keep signing “ I got voices in my head and they won���t go! The spirits in my head and they won’t go” for a tribute to the Strumbellas! The shit totally hits the fan! It is a combination of Hitchcock’s masterpiece “ Rear Window” with Woman in the window ( it’s also inspired by Hitchcock’s work), Girl on the train and Colho’s Layla!Main characters are not so much likable but at the end eventually you learn to tolerate with them! Maybe you dislike them because they are way too much privileged types; Casey Fletcher: a daughter of Broadway star mother, mostly trying too hard not to live under her stardom’s shadow, getting involved into tabloid scandal after she’s been sacked from her Broadway play for consuming too much alcohol!  Now she’s at the lake house where her husband was drowned. She recently saves the life of Katherine Royce who was also about to get drowned in the lake just like her husband. Katherine is ex supermodel, new philanthropist, married to Thomas, founder of social media company called “ Mixer”, such an intense, pretentious, absolutely another irritating character! Casey inherited her husband’s binoculars and using them to spy on her neighbors instead of scrolling through several trashy formats on Netflix which is totally understandable. When Katherine is AWOL, she thinks her husband might be involved in her disappearance. Didn’t Katherine tell her she kept paying everything for her husband’s social media app and he wouldn’t let her go without a fight. ( he can go far to kill her! ) But when Casey digs deeper she realizes there’s also a serial killer targeting young girls in town. Could Tom be also responsible from those incidents?  Overall: I was planning to give three stars after that unexpected, out of nowhere twist but last third was way too much gripping, fast pacing and entertaining for me! So I decided to round up 3.5 stars to 4 girl power, haunting lake stars! For the record: I wouldn’t be so generous if I wasn’t a big fan of the author!"
9,https://www.goodreads.com/user/show/11345366-jayme,Rating 3 out of 5,"One, two, three, one two three, drinkOne, two, three, one, two three drinkOne, two, three, one, two three, drinkThrow’em back till I lose count.(lyrics of Chandelier by Sia) I couldn’t help but think of this song as disgraced former actress, Casey Fletcher spends her days and nights, in a “bourbon haze” drinking to forget all that happened over the past year. 🥃She has retreated to her family’s lake house in Vermont, located on Lake Greene, and armed with binoculars she watches Tom and Katherine Royce, who live in the house across the lake. Floor to ceiling windows make their modern structure resemble a doll house from the back, each room clearly illuminated against the murky lake and pitch black night. Serious “The Woman In The Window” (A.J. Finn) vibes for the first 50%.Fortunately, her voyeurism pays off when she is able to rescue Katherine Royce from drowning. She appeared to be dead but sputtered back to life, and the two hit it off. Instantly.But, will she be able to save her friend, a second time, when she disappears? Fortunately, Boone, a “hot former cop” is staying in the lake house next door-so the two can team up. (How convenient) I was really struggling at this point, despite our leading lady’s witty sense of humor, and a few clever references to places from earlier books, such as the “ The Bartholomew” and being a Nightingale Girl. The story just lacked the atmosphere and complexity of past work. The book is told from the alternating timelines of BEFORE and NOW, with an eerie photograph of the lake before each NOW chapter. Look carefully and you might see a reflection in it. Centuries ago, it was a common belief that reflective surfaces could trap the souls of the dead. Alcohol, however, can trap the souls of the living, and I grew weary of Casey’s reliance on the bottle.There are a couple of twists that I didn’t see coming. The first, I never suspected and really liked. The second, I didn’t guess either, but I really disliked it.  A lot.Should have ended it with the first! I have read each of Riley Sager’s books and all have earned 4 or 5 stars from me, until now. I just wanted this one to end, and if it hadn’t been for twist #1-my rating may have even been lower. 😬A buddy read with Mary Beth-be sure to read her amazing review for another opinion! Thank You to my local Public library for the loan!"
