,user_links,user_ratings,review_text
0,https://www.goodreads.com/user/show/2190064-nenia-i-yeet-my-books-back-and-forth-campbell,Rating 4 out of 5,"

Instagram || Twitter || Facebook || Amazon || PinterestSo in my pre-review of this book, where I lamented about not being able to find a copy anywhere because of all the HYPE (seriously, I could not find a copy of this anywhere and the library had, like, a five-hundred year wait-- thank GOD for my sister sending me a copy as payment for watching her kitten), I said that the people giving this author shit about her choice of title were dickheads. Some people got mad at me about that, but I stand by what I said. Even more so after reading this memoir. I am seriously side-eyeing the people defending the mother, actually, because based on the accounts in this memoir, she was verbally, emotionally, physically, and sexually abusive. Not only that, but she coached her daughter into an eating disorder at age eleven and then managed her to ensure that she continued to starve herself. That's not to mention the stage-parenting, the freak-outs (especially while driving), and the fact that she wiped Jennette when she went to the bathroom well into, like, her preteens (imagine not even trusting your eleven-year-old daughter to wipe her own ass) and showered her into her late teens (sometimes with her older brother and also while giving her breast and vaginal exams, ostensibly to search for cancer, I guess).What the FUCK.Here's a hard truth. Some people are shitty people. Some of those shitty people are shitty parents. Being a parent does not give you a free-pass from all wrongs. Especially if you're just doing the whole parenting thing for a little human-sized accessory that you can live all of your failed dreams through. By the end of this book, I was kind of glad Jennette's mother died, too. After living under that kind of suffocating parenting, with gaslighting and serious emotional trauma, not to mention abuse, I would be fucking done. I don't blame Jennette for her feelings. And I love my mother. I'm lucky enough to have a pretty good relationship with her. And a few years ago, my mother got breast cancer, just like the author's mom, and I was so devastated that I felt like I was working in a total fog. I stepped back from social media and it was all I could do to focus on my day job because I was so upset. But I know that other people's experiences aren't like that, and we don't get to dictate how other people mourn (or choose not to). My mother ended up okay, but I would have been really sad if the worst happened, and that's because she was a good mom and she still works hard at being a good person. People who don't try to be good people are owed nothing. Why enshrine the dead if they leave behind a legacy of trash? The title is shocking but only because we tend to airbrush the pasts of the departed.I'M GLAD MY MOM DIED rejects this premise. In this memoir, Jennette McCurdy lays out her upbringing in painfully explicit detail, starting from her mother's hoarding and growing up in poverty in a house that sounded like it should have been condemned, to the way her mother forced her into acting and she ended up being the golden goose that kept her family afloat after years of living hand to mouth. She talks about the way her mother emotionally manipulated her, and her guilt. She talks about how she started to get body dysmorphia because she felt like the only way she could continue to be successful was to look like a child forever, and when she expressed this fear to her mom, her mom taught her how to starve herself, starting an eating disorder that would basically rule her emotional breaks and her relationship with food for over a decade. She talks about her hatred of acting, what it was like working under the man she calls ""The Creator"" at Nickelodeon (we know who), her friendship with Miranda, and her jealousy and resentment of Ariana. And then she writes about her utterly conflicting feelings when her mother began to die of another bout of cancer, still manipulating her emotions.This book stressed me out so much. I think it would be very triggering for people with eating disorders and people with abusive parents, as it is SO descriptive when it comes to these passages. It's also a brand new look into celebrity, because most celebrity memoirs are written by people who are still in the business, but this is kind of a fuck-you memoir written by someone who doesn't care if their bridges are burned, so she really unhauls all the dirt in a way that someone who probably wanted to keep working in this field wouldn't. It's really well-written but the writing can, at times, feel a bit amateurish. McCurdy has a lot of raw talent but the people hyping her up as brilliant are exaggerating a little.ALSO, who the fuck is calling this book a ""hilarious"" memoir? Are these the same people who were talking about how ""funny"" CRYING IN H MART was? Is this where we open up the floor to a conversation about how women's emotional pain and fraught relationships are often mined for comedic value? Why do people find it so amusing when women hate their mothers? My review is already getting longer than I intended it to, but this is definitely a trend I've noticed lately where I'll pick up a memoir that's supposed to be funny and instead it's just an emotionally wrenching book about a woman dealing with her trauma. Ha-ha, I guess. Fuck that. Do read this book, if you are in a healthy mental space, but gird yourself against the hype. It is not Jesus's Second Coming. It is just a very brave story about a woman trying to come clean with herself and the past.4 stars"
1,https://www.goodreads.com/user/show/11626803-val-shameless-handmaiden,Rating 5 out of 5,"I'm Glad Her Mom Died Too""Why do we romanticize the dead...?Indeed. Why do we?Before this book came out, my knowledge of Jennette McCurdy only extended to random gifs featuring her iCarly character, Sam Puckett. I didn't actually know who she was and what they were from, I just knew they were funny and fit my ""book review"" purposes. Here's an example:When this book dropped, however, I was drawn to the title, the gloriously vintage macabre book cover, and the fact that it was getting rave reviews. I was excited to read this and loved the cover so much that I purchased the hardcover drop instead of waiting for my library hold. I initially started this in early September, but for personal reasons I won't get into, I had to set it down for a bit. I have almost no triggers and can read pretty much anything without being all that affected, but - again - for personal reasons I won't get into, I found the details of Jennette's mother's behavior, narcissism, and emotional manipulation to be extremely triggering. And don't even get me started on the eating disorder triggers. I was also amidst a fairly stressful period in my work life, so I decided to wait until that was over before picking this back up. Fast forward a little over a month and my library audiobook hold was by then available, so I decided to jump back in with that format. Let me just say that I can't recommend the audiobook version of this highly enough. It is obviously read by Jennette McCurdy herself and I think she does a great job of it. I think the dichotomies of Jennette's life and story are very interesting and well explained. She is able to get across very nuanced and contradictory sentiments without sounding like a complete whiner. And that's a really hard thing to accomplish in practice. For example, she is able to outline how, despite understanding how privileged and ""lucky"" she was to be famous and on TV, she loathed acting, a lot of the fans, and the experiences that came with it all. ^See how assholey that's sounds just me saying it? Well, she nails it in the book, I promise you. I also felt very connected to Jennette and had a lot of empathy for her. I grew up in LA County and am VERY familiar with almost every location she references in the LA/Orange County area. I literally drive by the Westminster Mall (which she references being that she grew up in Garden Grove, and which is basically a nonexistent ghost mall now) every day on the freeway on my way to work. Also, I know I said I didn't want to get too woo-woo personal, but I will just say this: I deeply connected to Jennette in terms of understanding the longstanding effects (as a child who doesn't know any better) of being made to feel like you are responsible for the state of mind and emotions of another person - an ADULT person. For years. It steals your childhood, stunts you emotionally, and really takes a long time to work through. Some people should just NOT have children, folks. It's just that simple. I mean, what they say really is true: a lot of people spend their adulthood just trying to get over their childhoods. And that's even true for ""GOOD"" parents. But I digress. I liked how self-aware Jennette is. Or, at least, how self-aware she appeared to be in this book. That said, I also feel like this memoir came a little soon in terms of Jennette's recovery. She's very, very new to being on ""the other side"" of things. Although perhaps this book is a part of that, and so I can't fault her for that. And who am I to judge or criticize. Overall, this book was a great account of a very unique human experience. I will definitely check out any future books or content Jennette puts out in the future. And I'm rooting for her, her recovery, and her happiness."
2,https://www.goodreads.com/user/show/41736472-mariana,Rating 4 out of 5,"praying that Jennette makes more from this book than Nickelodeon could’ve ever offered with their hush moneyA truly incredible and hard-hitting memoir. Whether you watched Jennette’s shows growing up (like me) or you don’t know her at all, I think this book is a must read. I don’t want to go into too many details, so I’ll just share some of my thoughts:• The writing is easy to read but still poignant. I think Jennette did a great job recounting the events of her life. I especially appreciate how she recounted her childhood; she really nailed writing from the perspective of a naïve child who doesn’t realize how awful her mother is.• I love how truthful Jennette was about her own fuck-ups. She admitted she was very aware of how bitter and rude she had become, and how ungrateful she seemed (obviously, I think she was justified). • I particularly loved the section about Jennette’s time on “Sam & Cat”. It showed how much her addiction, mental illnesses and eating disorders affected her work; how much Nickelodeon mistreated her, especially when compared to Ariana Grande; and how resentful she had grown over the years.• The exploitation of children in the entertainment industry is something that really needs to be discussed. Seeing a child star expose the abuse she suffered in the industry is truly heartbreaking, but extremely important, especially in this day and age, where even more parents are pressuring their children and forcing them to put themselves out there for fame. I wonder if in 10 years we’ll see similar testimonies from kids of family channels who grew up making money for their parents in an even more disgusting way: by having they entire lives documented and posted online for all to see. • Jennette’s friendship with Miranda was so wholesome <3• A bit of a critique: I feel like certain events were skipped and only mentioned later in the timeline (for example: we never see her audition for iCarly, or how filming the 1st episode was, suddenly it was already 3 years into the filming of the show, out of nowhere we find out that she’d been to multiple events and red carpets, she randomly mentions she knows she has OCD and EDs – I guess she learned and came to terms with it off-page…). Obviously, this is a memoir, so the author knows better than me what was important to document, but still, some of these things seemed kind of crucial in my opinion (especially her learning about her disorders).• The main reasons I’m giving it 4 stars is because memoirs are not really my thing, so I ended up not enjoying this as much as the other books I give 5 stars to; and because, as I mentioned, I think some things could’ve been a bit better. But, again, I still loved this book and highly recommend it to everyone!(review written on 24/08/2022)---this title is BRUTAL 💀 i'm so happy for her 😌 can't wait to read it!!(06/04/2022)"
3,https://www.goodreads.com/user/show/120806268-zoe,Rating 4 out of 5,"this is a very candid account on the abuse jennette mccurdy suffered at the hands of her narcissistic mother, and how that merged with her experience as a child actress. i don’t think you need to be familiar with her show, or even know/care about her as a person to glean lots from this book, and i think it's an important text that could even be considered historical, due to her nature as a public figure and the way her story is likely representative of a much larger population of child actors.for those hoping to get a “tea sesh” about the abuse rampant at nickelodeon, you won’t be getting that here, despite it being what the major media outlets are currently fixating on. jennette doesn’t shy away from talking about her experience with sam & cat (she hated it) and her experience with dan schnieder (terrible person, obviously, whom she never refers to by name), and even dedicates a short chapter to ariana grande, but this novel isn’t centered around that in the slightest, and to come into this book only for that would be a disservice to jennette's story.reading about the abuse jennette experienced firsthand is completely heartbreaking. she writes about having an eating disorder, given to her by her mother, and feeling beholden to her mother at all times. from calling her ten times a day to insisting on showering her even as a teenager, this book is full of triggering content, and i would urge those who have experiences abuse to proceed with caution. i think especially with gen z, we haven’t had a ton of actors from disney and nickelodeon speak out specifically about their experiences on set (the $300,000 offer from Nickelodeon jennette turned down may explain that) and how child acting impacted their lives, and it’s a very necessary perspective to hear as the consumers of that media. hearing some of the things jennette said about her stardom were jarring, in that as children we don’t really know what’s going on behind the scenes and mindlessly consume without regard to the actors lives. i also thought it was super interesting to get the perspective of a very self aware child star that didn’t become super successful on screen after their breakout role, and the narrative she builds around /why/ that was.this book was super impactful, and i have no doubt will reach a large audience. mccurdy's writing style is succinct yet impactful, well organized, balanced with seriousness and humor, told in a very blunt tone. i would definitely recommend listening to the book via audiobook which is narrated by her because it adds a whole new layer of tone. this was a tough reading experience, but i really loved the book and would highly recommend to everyone.Thank you to libro.fm/simon & schuster for the free arc!"
4,https://www.goodreads.com/user/show/124132123-lisa-of-troy,Rating 5 out of 5,"Shall we light it up? A bridge. It’s time.When I was in middle school, my mother told me that my glasses were ugly, that the children would call me Four-Eyes. Interesting Fact: No one has ever called me this but my mother. She taught me a cabbage soup diet and how to put on trash bags and go running to lose weight. At the end of a long day, my mom swung by a fast-food restaurant. She demanded that I go up and see what the operating hours were. Being super introverted, I hesitated. She started screaming, letting off a stream of obscenities.While I was in college in my early 20’s, I stopped by my mother’s apartment for a visit. She walked right by me in the parking lot. She said that I was so fat that I looked pregnant, and she didn’t recognize me.When I was making $6.70 per hour, working part-time at Sears, my mother asked that I purchase a $200 set of pajamas for her. When I explained that I didn’t even have $200 to my name, was she sympathetic? No way. She laid into a guilt trip. Did I love her? Didn’t she do so much for me? What has that to do with I’m Glad My Mom Died? I know firsthand what it is like to live with someone who has Borderline Personality Disorder, and Jennette’s mom has the classic symptoms. This book really resonated with me.I’m Glad My Mom Died is an important work. It lets other people know that they aren’t alone, especially if their parents aren’t top 10% parents. Some parents are bottom 10% parents. It has been a long time since I have felt seen. The last book that I felt really conveyed the complexity of a dysfunctional parent-child relationship is The Glass Castle by Jeannette Walls. Did I spend years trying to win my mother’s love? Yes. But do I want to be the person that she would love? No. Because I value honesty and intellect. Because I don’t define my self-worth by beauty or popularity.  Having a mother with borderline personality disorder has a profound impact on a child’s development. Here is one study by the National Library of Medicine: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3268672/ It’s time we end the silence.Connect With Me!Blog Twitter BookTube Facebook Insta"
5,https://www.goodreads.com/user/show/4622890-emily-may,Rating 5 out of 5,"
I’ve known for so long that my relationship with acting is a complicated one. Not dissimilar to my relationship with food and my body.Both of them feel like constant pulling, yearning, begging, fighting. I’m trying desperately to get their approval, their affection, and I never quite seem to. I’m never quite good enough.
I cannot give this less than five stars, but it was horrible to read.This memoir wasn't initially on my radar because I wouldn't know McCurdy if she showed up at my front door. However, in the hours since I've finished this, I've felt compelled to familiarise myself with clips on Youtube. It gives me a chill to think that this bright talented young girl was concealing so much pain.The title is arresting, as it's supposed to be, but it's far more than just clickbait. McCurdy as an adult wrestles with her perception of her childhood and the pedestal she put her mother on. The mother who aggressively pushed her into acting, despite her protestations, then encouraged her anorexia and lied to doctors about it.It is hard, harder perhaps than I can even imagine, to revisit your past and understand that a person you have loved, admired and tried so long to impress has been a toxic presence in your life. 
People seem to assign thin with “good,” heavy with “bad,” and too thin also with “bad.” There’s such a small window of “good.”
As well as this, it's a portrait of the ugly side of child acting. Reading this, I found myself feeling that surely no child can give informed consent to becoming an actor. They are pushed and pulled between adults who fixate on their appearance, who criticise them, build them up and reject them. No wonder former child actors have such a high rate of substance abuse and mental illness.McCurdy's experiences at home and within the industry left her with an unhealthy relationship with food, her body and being a woman, a relationship that she is finally beginning to reckon with after both her mother's death and her own decision to quit acting. Though I did not know her before starting this memoir, this book invited me deep inside her experiences. I now feel an overwhelming desperation for McCurdy to overcome the trauma of her past and find peace."
6,https://www.goodreads.com/user/show/57797254-cindy,Rating 5 out of 5,"As someone who’s never watched Nickelodeon or anything with this author, I was still highly engrossed in Jennette's story. You can tell she’s more passionate about writing than acting because her writing is of a higher caliber than other celebrity memoirs that were likely ghost-written. She describes events chronologically in such a detailed and engaging way, picking specific memories to demonstrate the dysfunction of her childhood. I appreciated her honesty, dry humor, and even her bitterness and negativity. Her train of thought is very similar to my own mentality (irritability, cynicism, being extremely critical of ourselves, etc) and having that mirrored back from another deeply wounded person was eye-opening. It makes me feel better knowing I'm not the only one who processes life this way... Can we do group therapy together, Jennette?!While I appreciate the level of detail in recalling these events (no easy feat for those dealing with trauma), I would’ve loved to see more reflections of the themes across the book, like her present-day thoughts on her family, Hollywood, child stardom, body image, etc. As well as her learnings from therapy that she’s incorporating moving forward, just to give the rest of us more hope! Regardless, I look forward to seeing her future work and wish her nothing but happiness."
7,https://www.goodreads.com/user/show/89100122-ayman,Rating 5 out of 5,"Jennette McCurdy is extremely talented in her writing and i hope she writes more in the future (whatever genre idc, i’ll read anything) because this book alone was a literary masterpiece.it’s very fast pace. i appreciated how Jennette didn’t go into a ton of detail regarding certain subjects. it was just “yup this is was it is, this is how it is, and this is what i’m doing about it” it was very raw and real in my opinion. no flowery language one thing i’ve seen a lot of people say about this book is “wow she’s so funny, her humor is great, ect.” which i don’t entirely understand since everything Jennette went through and described in this book was devastating. from the multiple forms of abuse, eating disorders, and having to grow up too fast….um where is the humor in that?! i did listen to the audiobook with this (which jennette also narrated) and there’s points in which you hear her actually crying.nonetheless, i’m glad to see Jennette thriving in her writing career which she always wanted. i wish her nothing but the best for her."
8,https://www.goodreads.com/user/show/16219087-chelsea-chelseadolling-reads,No Rating,"I feel weird giving someone's personal experience a rating so I'm leaving this un-rated, but please know that this was really something incredible. I absolutely recommend checking this one out if you're at all familiar with Jennette, but please do tread with caution if you're sensitive to discussions of eating disorders as this revolves pretty heavily around her struggles with disordered eating and bulimia. CW: child abuse, narcissistic parents, disordered eating, fatphobia, terminal illness (breast cancer), hoarding, use of r-slur, depictions of ocd, depictions of bulimia/purging, gaslighting, emotional manipulation"
9,https://www.goodreads.com/user/show/32879029-emma,Rating 4 out of 5,"the hype is right.this is what everyone says it is: an excellent debut, a memoir that doesn't pull punches, honest, clear-eyed, and well-written.am i glad i read it? no. this is a grueling read that i picked up based on just how often i heard it spoken of, a level of public discussion i have to assume had to do with the guilty thrill of finding out horrible secrets about people whose faces we see every day. but that's what celebrity memoir is all about. secrets sell and it certainly isn't the author's fault that that's started rubbing me the wrong way.bottom line: an excellent example of a genre i'm going to try to steer clear of. "
