,user_links,user_ratings,review_text
0,https://www.goodreads.com/user/show/47207032-chelsea-humphrey,Rating 5 out of 5,"I'm sure anyone who has either read this book or heard anything about it by now realizes this is a huge departure for Backman from his usual tale. About a month ago I was recording a podcast with the lovely Anne Bogel and one of the recommendations she gave me was to read Beartown. While we all know Backman for his uplifting fiction that is both touching and emotional, this was described to me as ""a serious, heavy read that lacked his whimsical trademark"". There are few things I love more than reading a book that is wholly different than what an author is known for, so I knew I had to pick this one up quickly and see what all the fuss was about. When Sam from Clues and Reviews suggested a buddy read I knew that time had come (SPOILER ALERT-SHE LOVED IT TOO). I'm so glad that I picked this up when I did; I'm currently in major book hangover mode and can't seem to settle in with another story until I work through my feelings on this one. Bare with me as this review will be long winded.
""It's only a game. It only resolves tiny, insignificant things. Such as who gets validation. Who gets listened to. It allocates power and draws boundaries and turns some people into stars and others into spectators. That's all.""
Hockey has never been my thing. I grew up in the deep south where football is praised more highly than any other sport, but baseball was where my friends and I found ourselves watching games in high school. Most of my guy friends were on the team, and I remember the awe inspiring excitement we felt at every win and the crushing agony of each loss. I attended a small private school that wasn't known for it's ability to crush it's opponents in sports, but during my high school years we had an exceptionally good baseball team (2 of our players ended up playing professionally years later). It was difficult for our school to get behind the idea of team spirit and to fan the flame of hope when we were crushed in each game season after season, but I remember the anticipation that began to grow amongst the student body those years. This experience is what allowed me to fully succumb to the excitement of the hockey scenes in this story. Hockey is a large piece of this book and I'd go as far as suggesting that hockey is it's own character in the novel, but it wasn't from an overly technical point of view. I found that the overall plot and the hockey scenes awoke that same feeling I used to have while watching high school baseball and it brought to life a sport I never dreamed I could become entranced by. I think Backman said it best when he wrote ""Hockey is like faith. Religion is something between you and other people; it's full of interpretations and theories and opinions. But faith... that's just between you and God. It's what you feel in your chest when the referee glides out to the center circle between two players, when you hear the sticks strike each other and see the black disk fall between them. Then it's just between you and hockey. Because cherry trees always smell of cherry trees, whereas money smells of nothing.""
""A great deal is expected of anyone who's been given a lot.""
 This seems to be the central theme surrounding the book. There are a great deal of characters in this novel; the ever-changing and growing cast seems to add multidimensional aspects to the story that cause it to leap off the page and bury deep into your mind. There were certain characters and views that I was naturally more drawn to (i.e. Amat, Benji, and Kira), yet I found each tongue necessary in the overall narrative to give the clearest picture; this also caused myself to question my knee-jerk reactions and judgements I dropped along the way. In an attempt to not spoil anything for future readers, I'll just state that the content is heavy and much darker than a traditional Backman story, but it still holds that magical quality where you seem to be watching the exchanges and thoughts happening from just outside the realm of reason. There is nothing in this tale that hasn't been written before, but the way in which it is told was especially unique and the subject matter is timely and necessary.
""If you are honest, people may deceive you. Be honest anyway.If you are kind, people may accuse you of selfishness. Be kind anyway.All the good you do today will be forgotten by others tomorrow.Do good anyway.""
The above is just a fraction of the wisdom handed down from Amat's mother, and I highly recommend picking up a copy just to read the rest, but my purpose for posting above is to clarify how this sums up the moral of the story. Even with all the injustice surrounding the evil act committed in this novel, there are consistently small glimmers of hope. Please do not misunderstand; this is not a happy go lucky book. There are no feel good finishing pages, although there is still that seed of sunlight planted. What I found separated this from being just another depressing story was the shining examples of forgiveness. There are many examples of diversity on all ends of the spectrum included in this story as well, and the author has woven them through in such a way where it doesn't feel forced or awkward; there is nothing screaming ""Look at me! Look at how diverse my characters are! Please pat me on the back for simply including them!"" No, these characters were infused with a subtle realism that caused me to take a step back after turning the final page and bask in the awe I felt from what Backman created with this book. While I could ramble on for days, I'd rather stop here and highly suggest that you pick up your own copy and experience first hand the sheer brilliance of Beartown. This book wrecked me; it pulverized my soul and made me realize how easy it would be for this story to come to life. Highly, HIGHLY recommended for anyone willing to give this novel a fair shot. I'm not sure this story, nor these characters, will ever fully leave my consciousness, and I simply cannot wait to experience whatever Backman choses to craft next.************************************Oh my lord. If you need me, I'll be wallowing in a giant puddle of all my feelings and emotions. Someone hold me.  I was planning on just doing a mini review on this one but I feel a long winded breakdown coming on this weekend. This will likely be one of my top reads of the year. 💔💔💔💔💔"
1,https://www.goodreads.com/user/show/35794399-rowan,Rating 4 out of 5,"My first Fredrik Backman read – and now I understand the hype! Never have I read a book with such well-developed characters and strong sense of place. Backman made me feel like a resident of Beartown, the cold small town surrounded by forest, whose very existence depends on hockey. I came to know these people and deeply care for them. This book will occupy my mind for days to come.I enjoyed his writing style and ability to elicit a wide range of emotions – one minute he could make my eyes well-up, heat-rate increase; the next have me laughing out loud, or pausing to reflect on a meaningful passage. After a somewhat slow, yet steady start, it quickly demands your attention and is hard to put down.“Sometimes it feels as if the people of Beartown love the fact that the climate is so inhospitable, because not everyone can handle it: that reminds them of their own strength and resilience.”This story is about much more than hockey. It depicts toxic masculinity, peer-pressure, rape culture and silence, homophobia, small town issues, and much more. It’s impossible not to reflect on your values and integrity as such issues are explored. Some parts reflected my own experiences playing sport as a teenager – reminding me why I replaced sport altogether by sixteen.Many fellow Australians haven’t seen snow or played a hockey game – yet Beartown can be easily transplanted here. It’s universal. Beartown itself is one of the most well-written characters. Perhaps the book’s greatest strength is that you’re made to feel passionately about each person. You might love them (Amat, Fatima, Benji, Ramona) or loathe them (Kevin and family, Maggan Lyt). Each individual has their battles and secrets, and I felt very invested in the likes of Amat and his hardworking mother, Fatima.“It takes her thirty seconds to realize what she’s looking at. Then she claps her hands to her face and weeps. A boy training with the junior team, a head shorter than all the others. Her boy. Her back has never been straighter. She could run a thousand miles.”We come to know these characters on such an intimate level, you can’t help but feel they’re real. Aspects are inevitably going to resonate. While I also admired Ramona, owner of the Bearskin, I particularly loved the character of Benji too. “His eyes always let you know that he could leave you any moment if he felt like it, without so much as a backward glance. He isn’t tied to anything, he just doesn’t care.”Beartown managed to motivate and inspire, while other times anger and frustrate – but I was always engrossed and engaged. The impending sense of doom was palpable and culminated in a powerful ending. This book is full of heart and well-deserving of the accolades. I’m already looking forward to reading more of the series. Books stay with us for various reasons and in the case of Beartown - there are plenty.“This place has a way of grabbing hold of your insides that’s hard to explain.” Thank you to my dear friend, Tracy, who gifted me this book – all the way from Canada! I appreciate you and our friendship as much as Beartown appreciates the sound of a puck hitting the back of the net."
2,https://www.goodreads.com/user/show/16384209-candace,Rating 5 out of 5,"Wow!--Just, wow! Every once in a while you stumble upon a book that takes you by surprise, becoming far more meaningful than you ever anticipated. 'Beartown' is precisely that type of book. Bravo, Mr. Backman! When 'Beartown' first started showing up on so many of my friends' feeds, I was mildly curious. Not being a sports fan, by any stretch of the imagination, I filed it away in the back of my mind in the ""maybe one day"" category. Knowing only that it centered on a junior hockey team in a small town, I had envisioned something akin to 'The Mighty Ducks' played out on paper.However, as the 5-star reviews kept rolling in, I grew increasingly interested. I had to see what all the buzz was about. After all, there's no way that 'The Mighty Ducks' would stir up that type of a response. So, I downloaded the Audible version and bumped it to the top of my audiobook TBR list. It proved to be the best decision I could have made. This book was phenomenal!'Beartown' started a little slow for me. With so many characters, it was hard to keep everyone straight at first. Yet, it crept up on me slowly. Before I knew it, I was completely engrossed in the lives of these characters and the small town dynamics. I couldn't pull myself away from it. 'Beartown' is the type of book that tempts you to play sick and call-in to work so that you can keep reading/listening. I became completely engrossed in this story as it unfolded.Beartown is like many small towns across the globe. The decline of industry and tourism has wreaked havoc on this small town's economy. Only in Beartown, the hopes and dreams of an entire community are pinned on the success of a junior hockey team. These teen boys are treated like celebrities and the weight of the world is on their shoulders. Parents, business sponsors, booster club members and a variety of other individuals all contribute to this high-pressure environment. Morality and justice take a back seat to winning. Nothing is more important than hockey. With a robust cast of characters, the viewpoints offered in 'Beartown' are diverse. The relationships are rich and enlightening. Everything weaves together to make a complex web, with hockey at the center. Events are inter-connected and this book explores the ripple-effect of actions.More than anything else, 'Beartown' forces readers to evaluate their values and take a look in the mirror. It tackles some very difficult content and serves as a reminder of the hazards of blind idolization. From peer pressure, to homophobia, to rape culture, to personal integrity, this book forces readers to take a candid look at problems that plague all societies. This book was an emotional rollercoaster. At times, I felt inspired. Other times I was absolutely outraged. It made me feel joyful and also sad. You name it and I felt it at some point while listening to 'Beartown'. It was the type of book that moves you.Without a doubt, I would recommend 'Beartown' to everyone. It is definitely one that has made it's mark on me, like only the best books do. The narration was also extremely well done and really made for a pleasurable listening experience.Check out more of my reviews at www.bookaddicthaven.com"
3,https://www.goodreads.com/user/show/2947323-dianne,Rating 3 out of 5,"I'm the outlier again, I guess. I DID like this but didn't love it as many readers clearly did. Backman certainly has a gift for developing characters that feel real and for creating atmosphere, but I didn't love the narrative structure he uses here. He has a large cast of rotating characters and each character has a brief mini story arc that often (too often for me) concludes with the equivalent of a Jack Handey ""Deep Thought"" or a grave pronouncement that is contrived to make you nod knowingly at the author's wisdom. Honestly, I don't do well with ""folksy"" books and this is one of those varmints.I did like very much the ice hockey setting and the Swedish forest where Beartown is set. I liked the plot and the characters, I just didn't care for how it was packaged and delivered. A little too close to cheesy for my cold, dead, cynical heart."
4,https://www.goodreads.com/user/show/10171516-jessica,Rating 5 out of 5,"i still have yet to read a book that so beautifully and realistically captures what it means to be human better than this story. and i will forever have love for the boy with sad eyes and a wild heart. <3_________________________now THIS is how you tell a story. the writing is definitely the strength of this book and it makes me wish i was fluent in swedish, because i know it would be an even more remarkable story in its native/original language (if thats even possible). reading this book feels as if fredrik backman has invited me into his home, made me a cup of tea, and sat next to me as he tells me a story that comes straight from his heart. you can tell so much love went into writing this, because only someone who loves people could write about them this beautifully and this honestly. my heart is so full.↠ 5 stars"
5,https://www.goodreads.com/user/show/4514828-susanne,Rating 5 out of 5,"Update Sept 2021: Again: Bang bang bang bang bang bang.Why? Because sometimes your favorite characters of all time, soothe the soul and in case it's not obvious, I love the Bears from Beartown. Benji. Update Re-Read: Nov 2020 - Because sometimes, your favorite characters give you everything you need and in case it's not obvious, I bleed Bear. Benji: You have my heart.Update FIVE STAR Feb 2019 Review (re-read): Because it’s LOVE, plain and simple. Have you ever had a book stay with you? Has it ever just lived inside of you every single day, day in day out, since the moment you first read it? You take a breath and a character comes to mind and you feel what he feels? For me, “Beartown” is that book and the character of Benji Ovich is that guy. He rips my heart wide open and I don’t think I’ve ever loved a character more. Fredrik Backman, you’ve wrecked me!! “Beartown” and “Us Against You” have turn me into a complete sobbing mess.. For that, I thank you. I love your characters and the way you intertwine the storylines and make everyone equally important. Benji, Amat, Bobo and Ramona and oh so many others, you have my heart. This re-read was shared with my book-buddy Kaceey. It was such an honor to read this with you Kaceey - I was so scared to read this with you, afraid that you wouldn’t love the characters as much as I do, but I am so grateful that you loved them too!Original review: 5 Resounding Stars!Fredrik Backman: You’ve left me drained, almost completely bereft of words. This is a novel, unlike any of your others, yet it’s so full of heart and emotion that we the readers know emphatically that it is yours. And after the last words have sunk into my soul, I can emphatically say, thank you! This one is to be treasured.Now, what can I possibly say about this story, without giving it away?Beartown is a town that eats, sleeps and goes to bed thinking about one thing: Hockey. Hockey is what makes this town tick. Vibrate. Come Alive. Beartown, and its residents wouldn’t be a community without it. Every person, every family pins their hearts on the Junior Boy’s Hockey team and its inhabitants have nothing left. It’s a huge cross for these kids to bear (no pun intended) and sometimes, well, something or someone has to break. Sadly, strength and resilience give way to anger and pain, leaving no stone unturned, yet that little bear inside those who've been dealt the most blows, refuses to give up.Whether or not you like Hockey, I can almost assure you that it will grow on you after reading this. And if you know someone who plays? Well, you will understand the drive and the desire better than a lot of us. But the raw human emotion that is dripping from each and every page of this novel? You will all feel that. Fredrik Backman evokes it from each and every reader and here, he does so in a way that he has never done before.  And I am truly honored and extremely grateful to have experienced it. A huge thank you to NetGalley, Atria Books and the amazing Fredrik Backman for giving me this ARC in exchange for an honest review. It has been a privilege.Published on NetGalley and Goodreads on 2/16/17.**Will be published on Amazon on 4/25/17."
6,https://www.goodreads.com/user/show/32879029-emma,Rating 2 out of 5,"nothing could have convinced me i would like this book. then my friend mentioned liking it 1 time and suddenly i believed i would fall in love with it.sorry to my friend but i should've stuck with the first thing.i have absolutely no idea what this book was trying to say.this is kind of insane even on the surface, because this book is 432 pages long and has a pretty simple subject: Bad Thing Happens In Hockey Town.it's even more insane when you consider that conservatively 50% of this book is made up of truisms. ""Because that's what friendship is"" to finish a chapter. ""You never stop being a parent"" in the middle of a paragraph. ""Every day can mark a minute or a lifetime depending on who you spend it with"" as a dramatic start to a scene that is all of 2 pages long and in truth has nothing more original or significant in it than that.for a book with so much to say about friendship and violence and love and community and family and hockey, i came away feeling like it'd said very little at all. bottom line: this is a book of mugs."
7,https://www.goodreads.com/user/show/110612670-zuza-zaksiazkowane,Rating 4 out of 5,4.5 Chyba serce w tej książce zgubiłam How are you doing this 
8,https://www.goodreads.com/user/show/597461-elyse-walters,Rating 5 out of 5,"""For people who have never lived where darkness and cold are the norm, where else is the exception, it is hard to understand that it is possible to find someone who has frozen to death with their jacket open, or even naked. But when you get really cold your blood-vessels contract and your heart does all it can to stop blood reaching the frozen parts of your body and then coming back to your heart cold. Not unlike a hockey team suffering a penalty and playing at a numerical disadvantage:prioritize resources, play defensively, defend the heart, lungs and brain. What happens when the defense finally collapses, when you get cold enough, is that your box play falls apart, your goalie does something stupid, your backs stop communicating with each other, and the body parts that were previously shut off from circulation are suddenly switched back on again. And then, when warm blood from your heart flows back to your frozen feet and hands, you experience an intense rush of heat. That's why you suddenly imagine that you're overheating and start to take your clothes off. Then the chilled blood goes back to your heart and it's all over. Every couple of years or so, someone in Beartown goes home drunk after a party and takes a shortcut across the ice, or gets lost in the forest, or sits down to rest for a moment, and is found lifeless in a snowdrift the following morning"". Hockey is more than just a game in the 'Beartown'....it's the focus of the community's small town universe. Everyone is affected.....The game itself requires sacrifice -- long training sessions for the kids - Dedication from coaches, ( old school and new school thoughts of best way to train young kids) , wives, children, and friends of the team are aware they live in HOCKEY TOWN. -- The General manager works long hours --- even when he is home. Hockey distraction pulls him away from the family. The President of the club pulls weight and adds pressure. The Board of directors and sponsors try to pull power ranks in hiring and firing.Fanatical parents can get nasty, and competitive with other parents. Teachers have a hard time demanding respect in their classroom from their students who are star athletes. Educators are influenced by wealthy community members. Store and bar owners contribute to the town at large.Friends and family in the community are aware of the type of town they live in. It's very clear! Hockey is a family member in and of itself!! There are personal & team struggles - on and off the ice: Parties - alcohol- drugs- sex - rape - lies - cool kids - fat kids- lonely kids - rich and poor kids - kids trying to fit in - love - loss - lies - betrayal - secrets - death - financial strains- forgiveness, marriage and family issues - loneliness- friendships - jealousy - anger - loyalty - admiration- inspiring relationships- and not so inspiring. There is the challenge of the economy of the town itself and the expectation- hopes and dreams that a junior hockey team might have to boast the towns economy. Factory workers who have lost jobs may get re-hired. Tourism may increase. Beartown would be held in higher regard. ......For a player like Benji -- whose father committed suicide when he was little - hockey gave him a context, a structure, rules, and it rewarded him with the best sides of himself: his boundless heart and unshakeable loyalty. It provided a focus for his energy, channeling it into something constructive. All through his childhood he would sleep with his hockey stick beside him. ......Having buried a father and son within a year period, being the General Manager of the junior Hockey team gave Peter Andersson the feeling of keeping something alive. His wife Kira, a lawyer, who commuted to work just outside of Beartown, thought less of the over zealous hockey obsessive hockey community. She loved her husband but never really understood why the game made grown men a bag of nerves. Their daughter Maya, 15 years old, enjoyed playing her guitar. We will embrace her pain and feel her anger as her story develops. Her best friend Ana spent the night at her house almost every night. This friendship puzzled me for awhile as to why she never slept at her own house - but made sense as the story continued. Leo, 12 years old, the son of the Andersson family shares his dad's passion for Hockey like most of the town. Easy going kid. .......Star hockey player Kevin Erdahl, good grades, from a prominent family, had guys scrambling for best friend position- ( which was usually Benji), and girls throwing themselves at him. The only people that weren't 'pudding-at-his-feet' were his parents. Kevin's parents were the wealthy family in town - they financially sponsored the hockey team - high achievers- result oriented- but emotionally distant. Kevin may have had the most natural talent on the team - but he had other handicaps. David and Sune - both hockey coaches argued about whether a 17-year-old could be ready to play in the A-team. Sune-- the older coach lived by the traditional team motto for years...since the beginning of the club: .....""Culture, Values, Community"". The worn old banner hung in the locker room. David, the younger coach knew he could never really properly explain, that the true drive for a star player like Kevin had nothing to do with values - culture or community....but...... ""his absolute desire to win. Not that he hates losing, but that he can't even begin to conceive of trying to accept not winning. He's merciless. You can't teach that.""  David believed ""hockey has always been that the world outside the rink mustn't encroach upon the world inside it. They need to be separate universes. Outside, real life is complicated and frightening and hard, but inside the rink it is straightforward and comprehensible. If David hadn't kept the world so clearly divided, these guys, with all the shit they've had to deal with out in the real world, would've been broken even as little kids. But the rink was a refuge. Their one happy place"". Amat, the youngest player - the fastest, who played with heart, stepped up a level, lived with his single mother. He's the guy who would naturally gather up pucks and cones after practice. Not because anyone told him to because it gave him a chance to avoid others. When it came to talking about girls, parties, or boasting about snorts-of-coke or blowjobs, Amat was reluctant to join in the laughter..... yet that overwhelming feeling of being allowed to belong was something he wanted too. The warm feeling to 'belong' was a strong attraction. As you can see - many themes get covered. Each of the characters are so well developed- I feel like I know them - as people. I know this town. The strengths - weakness - the sadness - the sport! For many years my next door neighbor played for The San Jose Sharks. His wife and and 5 kids too. Ice Hockey is a popular sport in San Jose because of the Sharks. Our younger daughter was a huge fan -knowing every team members name - and many team members. - so from the basic beauty of the sport - including the tunnel vision quest for competitive excellence, scores, statistics, and victories....I enjoyed the subject- vehicle - in which Fredrik Backman told this story. I felt that Backman brought a remarkable voice to the world of 'training-dedication'. . be it Hockey, dance, music, or martial arts.......competitor or simply an enthusiast. This book is compulsively intimate providing different perspectives - different stories illuminating the benefits of any skill training - the challenges- for all those who are involved.... ""Bear Town"" in this case! THE BEST PART: Deeply EMOTIONALLY FELT!!! 'DEEPLY'!!! You can read a thousand reviews- NONE OF THEM WILL BE SPOILERS- ( enjoy them all), because this novel is an 'experience-on-steroids'. MUST BE EXPERIENCED yourself! -- gorgeous insightful prose!! Thank You Netgalley, Atria Books, and Fredrik Backman"
9,https://www.goodreads.com/user/show/16254355-matthew,Rating 5 out of 5,"""People round here don't always know the difference between right and wrong. But we know the difference between good and evil.""Fredrik Backman is quickly becoming one of my favorite authors. His characters and storytelling are practically perfect. I can easily recommend this book to anyone.There are so many different facets to this book. Questions of morality and loyalty, passion over logic, and right vs wrong. No path through the story is easy and no solution obvious. The background story of every character is perfectly developed and important in the fine tapestry the Backman weaves. You may be surprised to discover that a story about a little hockey town far away can make you think about how you approach life in general. One final bit of awesomeness about this book. With some books you may reach the end having found one or two really great quotes. Well, when you read this, be prepared with a highlighter, page flags, etc. as almost every page has a fantastic quote that is worth remembering after the story is done. Honestly, truthfully, literally . . . Backman is good, REALLY good!"
