,user_links,user_ratings,review_text
0,https://www.goodreads.com/user/show/416390-paul-bryant,Rating 5 out of 5,"This is one of the essential books of Holocaust literature. When I read it, some years ago now, it changed me. It's about a Reserve Police Battalion in Poland. This was a bunch of middle-aged German guys who were unfit for military service, so they were given an easier job, which was to shoot Jewish people and bury them in woods (okay, the last bit could be hard, but generally you could get the Jewish people to do all the digging before you shot them).This was the pre-industrial phase of the Holocaust, before the purpose-built death camps at Treblinka, Sobibor and Belzec were opened for business. Who rounded up these Jewish families from their little villages and marched them into the forests and gunned them down and then came back the next day and drove to a new village and did it all over again, week after week? As I say it wasn't the steely-eyed fanatical SS psychos barking ""schnell! schnell!"" with the big Alsation dogs at all, it was these middle-aged police reserve guys, your local baker, pharmacist or gardener, just your regular guys. Now some of them found it - well, frankly, a little too disturbing, shooting men women and children in cold blood week after week. So Browning points out that they could ask to be transferred to other duties and that was okay, they'd be transferred, no hard feelings. No problem.Now Browning was influenced by the famous Stanley Milgram electric-shock experiment. But I was thinking that maybe the conclusions Milgram and later experimenters have come to aren't quite right. I'm not a psychologist so I'm probably wrong, but here goes. Milgram et al have said that the presence of an authority who normalises certain actions which in other contexts would be considered sadistic and criminal explains the actions of the randomly-selected people who applied the fake fatal electric shocks. But considering the grim evidence presented in this book, not to mention many examples from elsewhere (Srebrenitsa, Rwanda, Cambodia, the witch craze of the middle ages), maybe its this : that there are a large number of people in every society who just don't have a moral sense at all. They go along with convention, so you don't notice them, they're not psychopaths, they don't crave power, but if you ask them to shoot a family of seven on a beautiful summer day and bury the bodies in the woods they'll just say okay, but I got to get back by five, my wife will be expecting me."
1,https://www.goodreads.com/user/show/4674014-marquise,Rating 5 out of 5,"On a reread, the same points struck me as in the first time round, but none sticks out more glaringly this time than the matter of choice.➼ These men from the Ordnungspolizei were given a choice to participate or abstain when they were ordered to carry out their first massacre of 1,500 Jews at Józefów, and only one man took his commander up on the offer. One man. And he was screamed at for being the first one with a conscience. After him, only eleven more chose to do the same. A dozen men in a battalion of 500. Thus: Befehl ist befehl had its limitations, and there were loopholes the size of Goering's paunch to slip through. And they could escape punishment, too, in fact all of them who refused escaped reprisals.➼ These men weren't indoctrinated fanatics, they were the most ordinary of ordinary men: middle and working class, craftsmen and tradesmen, blue collar workers if you will. Many weren't even Nazi Party members, many had no bad feelings towards Jews, many were married men with children, respectable citizens, some were even religiously observant persons.Thus: The image of all Holocaust perpetrators as fanatical monsters isn't correct. Of course there were those as well (Dirlewanger Brigade, anyone?), but for the ""average"" perpetrator there was a medley of reasons that compelled them to participate that had nothing to do with racial hate or Nazi doctrine, things like peer pressure, what your brothers-in-arms will think of you, fear of looking cowardly and failing at your job, etc., etc., even simple desensitisation in the classic psychological model.➼ The way the desensitisation process worked with the men of Reserve Police Battalion 101 would've had psychologist experts Zimbardo and Milgram busy for ages; it worked shockingly smoothly in my opinion (though I have to consider the wartime psychological context). After Józefów, the men were angry and bitter and drunk themselves into a stupor to ""wash out"" the memories of the massacre, but by the time of their second massacre they were already desensitised enough that their commander, who had cried like a baby and offered them a way out of participating, in the end didn't have any scruples with adding 180 Jews to the tally just to fill his quota when ordered to do an Oradour-style reprisal massacre of the Poles at a town for the death of a German policeman. Thus: Through desensitisation and routinisation, by the end all these men were so brutalised that even those who had initially refused to shoot did, in the end, shoot. There were refusals and disobeying orders till the very end, though, indicating that some did manage to keep their conscience as much as they could manage.➼ Post-war, they were full of the usual excuses, all about the people and none about ethics and morality of the actions. Browning says that perhaps the fact that these men weren't highly educated is why they don't give particularly sophisticated explanations as to their motives, which sounds plausible enough.Thus: Whilst they aren't lying as to why they themselves participated or refused, you won't find anything very deep from their motivations, which is left to Browning (and ultimately the reader) to find and expose. You will, however, see signs of cognitive dissonance in some of the policemen's explanations, like the one who managed to tell himself he was doing Jewish children a favour by shooting them because their parents had already died and thus ""they'd die anyway.""It's not an easy book, it shows what a ""descent into madness"" situation truly looks like, and it isn't like in the films. There's no simple cause and effect, no simple linear progression, no simple motives."
2,https://www.goodreads.com/user/show/10490224-orsodimondo,Rating 5 out of 5,"I VOLENTEROSI CARNEFICI DI HITLER Che cosa spinse i tedeschi comuni a diventare esecutori dell’Olocausto? Non solo “assassini da tavolino”, ma esecutori materiali, gente che dovette letteralmente immergersi nel sangue delle vittime uccise a bruciapelo.Il battaglione di polizia 101.Browning analizza i verbali degli interrogatori postbellici di 210 uomini che avevano fatto parte del Battaglione 101: 500 poliziotti riservisti (uomini comuni per l’appunto, come dice il titolo della sua ricerca storica), che fra il 13 luglio 1942 e il 5 novembre 1943 assassinarono una per una circa 38.000 persone in Europa orientale, e parteciparono al rastrellamento e alla deportazione a Treblinka di altri 45.000 Ebrei. Poliziotti, operai, commercianti, impiegati, artigiani, 'ordinary people', tutti ‘riservisti’, furono chiamati a partecipare, a dare il loro contributo diretto al massacro. Qualcuno si sentì male, qualcuno si rifiutò la prima volta, qualcuno ebbe scrupoli: ma tutti sostanzialmente svolsero il loro compito, e sin dal primo giorno di Polonia, il battaglione 101, protagonista di questo studio, aveva radunato casa per casa e trucidato oltre 1500 ebrei. Browning indaga, presenta fonti e materiali, introduce ipotesi e interpretazioni diverse, critica e polemizza, sempre lontanissimo dalla retorica, sempre a ciglio asciutto. Arrivo di ebrei deportati ad Auschwitz-Birkenau nel maggio 1944.Browning si domanda: che cosa pensavano, mentre partecipavano alla ‘soluzione finale’? Come giustificavano il proprio comportamento? Perché obbedirono così efficientemente e prontamente agli ordini? La sua risposta è che un uomo comune può diventare uno spietato macellaio dei propri simili per puro spirito di emulazione e desiderio di carriera. I sentimenti più banali e più apparentemente innocui possono essere i motori della più estrema inumanità, in circostanza adatte. E pochissimi sono coloro che scelgono con coscienza, e rifiutano di obbedire.  La ricchezza del III Reich, bottino delle SS, oro e dipinti del museo di Berlino, scoperti dalla 90ª Divisione dell'esercito statunitense, seppelliti in una miniera di sale a Merkers, nella Turingia.Il libro di Browning è anche un’accurata ricostruzione documentaria degli eccidi di massa e delle deportazioni avvenute in Europa dell’Est in quel periodo, a opera non soltanto del Battaglione 101, ma anche di altri reparti militari tedeschi. Documenti agghiaccianti - e purtroppo veri. PSNessuno di quelli che si rifiutarono subì pesanti punizioni.La ""Sala dei Nomi"" dello Yad Vashem a Gerusalemme."
3,https://www.goodreads.com/user/show/31384949-ian,Rating 4 out of 5,"RPB101 consisted of 500 men, almost all from Hamburg, who were conscripted into the German military at the beginning of WWII. A large majority were working-class, and more than half were aged between 37 and 42. Being above the age group considered suitable for the frontline, they were deployed in implementing the “Final Solution”. The soldiers deported Jews to Treblinka, and also carried out mass shootings. The author estimates that this single battalion transported 45,000 Jews to death camps and directly murdered at least another 38,000. In the 1960s, 210 surviving members were interrogated about Holocaust crimes, and the testimony they provided forms the basis of this book. The author acknowledges that the evidence given should be treated with caution. The men clearly wanted to avoid incriminating themselves. That said, he argues the interviews were carried out by skilful attorneys, who drew out some gruesome testimony.The age of the men meant they had been well into adulthood by the time the Nazis took power. They had not spent their formative years under the “inverted morality” of Nazism. Moreover prior to 1933 support for the Nazis had been weak in Hamburg. Most working-class people in the city had supported either the Communists or the Social Democrats. It’s reasonable to conclude that most of the Battalion’s troops were not committed Nazis. So what led these ordinary German family men to commit such horrendous crimes?Browning suggests that the Battalion divided into three groups. Some were sadists who went out of their way to torture, beat and humiliate Jews before murdering them. Another group, the largest, simply followed orders. A third group, between 10% and 20%, asked to be excused from shooting Jews or otherwise evaded doing so. No punishment was inflicted upon this group. This surprised me as I had always considered the Nazis as intolerant of any challenge to authority. None of the soldiers objected to serving on the Treblinka transports. They knew that the Jews would be killed but their role ended when the victims were delivered to the camp – “out of sight, out of mind”. It was less easy to evade moral responsibility when directly murdering defenceless civilians.The author concludes that the relentless and pervasive denigration of Jews in Nazi Germany did affect the attitudes of the men of RPB101, but he also argues that deference to authority and pressure of conformity were uppermost in explaining their participation in mass murder. Those soldiers who did not participate in the shootings were derided by the others as weak or cowardly. They were also viewed as shirkers who relied on their comrades to do “dirty work”.Browning’s conclusions were strongly criticised by Daniel Goldhagen, author of “Hitler’s Willing Executioners”, a book I haven’t read. This edition contains an afterword in which he responds to those criticisms. There is also an interesting aside about 14 Luxembourgers who were assigned to the Battalion, and whether they behaved any differently from the Germans. Browning doesn’t think they did.This is a thoughtful piece of work in which the author rehearses a variety of potential psychological explanations for the actions of RPB101, and the extent to which the capacity for violence lies within all of us. "
4,https://www.goodreads.com/user/show/76203549-nika,Rating 4 out of 5,"
""Explaining is not excusing; understanding is not forgiving.""
Leo Tolstoy once said that “to understand everything is to forgive everything.” However, this is not always the case, and this book shows it.C.R. Browning studies one of the Nazi Police Battalions (Reserve Police Battalion 101) deployed in Poland during the Second World War. Not surprisingly, Ordinary Men is a difficult read. Talking about books that describe world tragedies is never easy. Nevertheless, I will try to summarize the impressions the book left on me.The men from the Battalion in question were part of those who directly perpetrated crimes of the Holocaust. Their task was to execute the orders, no matter how inhumane and gruesome.The author traces the moral degradation of those men and demonstrates how quickly they ceased to feel remorse about what they were to do.The records, even though often little more than a confusing array of perspectives and memories, testify that, when first faced with the commands to kill defenseless people, the members of the Police Battalion seemed to hesitate. Many were reluctant to proceed with the orders to shoot Jewish people, among whom were children.Some were reported to have experienced distress and anxiety. Thus, having finished their gruesome ‘job’ during the first massacre (The Józefów Massacre), many of them got drunk to forget what had just happened. However, committing such crimes repeatedly made their internal resistance, whatever it might be, come to a vanishing point. They quickly became accustomed to ghetto clearing, deportation, and mass shootings.Before WWII most of them, as the title of the book implies, were just ordinary men. Most of them had families and ordinary occupations.All the evidence points out that they were average citizens without a specific propensity for violence. It took only several months for these men to turn into mass murderers who considered exterminating thousands of people a routine.The combination of the peculiar circumstances embedded in the Nazi regime paved the way for such moral distortion. A climate of political violence and frenetic hatred cultivated towards those regarded as ‘racially inferior’ could not fail to take its toll on these men. They had been living in a society where violence and repression were common currency long enough to imbibe the ‘values’ characteristic of the Third Reich.The policemen could step out and refuse to comply with the orders to kill their victims. They could apply for reassignment to some other task.The Battalion members had opportunities, it seems, of not doing at least some of the things they committed. Escaping direct participation in the massacres was possible. Often, at least at the beginning, their refusal would not have to entail any dire consequences.But most did not do that.One of the motives behind their behavior might be a fear to look like a coward in the eyes of their comrades. They were probably afraid of “losing face” in public.Few refused to participate in mass killings, whereas the majority showed conformism and accepted without demur the ‘rules’, sometimes even trying to show themselves “more royalist than the king.”The corollary that one can draw from this micro-historic research is quite scary. Almost any person might under certain circumstances turn into a monster. Peer pressure and natural conformism could negatively influence an individual's personality.Most people seek social approval. They could do this by trying to ingratiate themselves with their fellow citizens, colleagues, or those on whom they depend. When societal norms resemble those prevalent under the Nazi, it is little wonder that the men from the Battalion did what they did.The concept of the “banality of evil” formulated by Hannah Arendt may come to mind. The most evil things are often carried out by ordinary people."
5,https://www.goodreads.com/user/show/58774673-jon-nakapalau,Rating 5 out of 5,"What makes seemingly normal people commit unforgiveable acts of evil? The men of RPB 101 were just middle-aged German men who participated in mass shootings as well as rounding up Jews for deportation to Nazi death camps in Poland in 1942. Even more horrifying is that they were not fanatical Nazis - so how did they come to gaze so deeply into the abyss? Christopher R. Browning presents us with an explanation that is informed, original and disturbing."
6,https://www.goodreads.com/user/show/2006699-tariq-mahmood,Rating 5 out of 5,"'I reasoned with myself that after all without its mother the child could not live any longer. It was supposed to be, so to speak, soothing to my conscience to release children unable to live.'They went through their formative period in a pre-Nazi era, came from Hamburg one of the least Nazified cities in Germany, they belonged to social class that had been anti-Nazi, just how could these non-conforming end up killing innocent women, childern and men with little compulasion? The answer lies with the ideology of the German volk, which faced a constant struggle for survival ordained by nature, according to whose laws “all weak and inferior are destroyed” and “only the strong and powerful continue to propagate.” To win this struggle, the Volk needed to do two things: conquer living space to provide for further population growth and preserve the purity of the German race over all other types of ideologies propgating equality of mankind like Christianity, Liberlaism and Marxism.Jews were deemed responsbile for Liberalism and Marxism. The vast majority of unit 101 choose to conform y breaking ranks, nonshooters were leaving the “dirty work” to their comrades. Since the battalion had to shoot even if individuals did not, refusing to shoot constituted refusing one’s share of an unpleasant collective obligation. It was in effect an asocial act vis-à-vis one’s comrades. Those who did not shoot risked isolation, rejection, and ostracism—a very uncomfortable prospect within the framework of a tight-knit unit stationed abroad among a hostile population, so that the individual had virtually nowhere else to turn for support and social contact.Much more work needs to be undertaken not to repeat such bevauoirs in future culture, all the dangerous signs have to be listed and graded with clear red lines so that all future ideologies can be vetted for any repeat of murder of such scale."
7,https://www.goodreads.com/user/show/5862503-sweetwilliam,Rating 4 out of 5,"This is not an easy read. First, it reads like a scholarly thesis paper that someone wrote for a doctoral thesis. Second, the subject matter is awful and there are no heroes. Having said this, Christopher Browning’s Ordinary Men is an integral read for those of us trying to make sense of the Holocaust. I decided to read Browning’s book because I wanted more insight into the psyche of the monsters that were ordered to carry out Hitler’s final solution. According to Browning, for the most part, the men of Battalion 101 were just ordinary men. I read the title of the book prior to buying it so I guess I shouldn’t be surprised. Browning’s analysis is clear: These men were not SS troopers and they had not been subjected to intense indoctrination or any type of brainwashing. There were very few party members. I can only remember Browning mentioning one officer that was a former member of the Hitler youth. I believe that only a few were ever in the SS prior to deployment in Poland. They were certainly not front line troops suffering from any type of combat fatigue. In fact, they hadn’t heard a shot fired in anger and there wasn’t anything frontline about them. Browning argued that they were the dregs of the Wehrmacht and they were deemed not fit for frontline duty. Most importantly, these men didn’t even seem to harbor a grudge against the Jews. With scarce exception, they hardly seemed to enjoy their task. So why did they do it? According to Browning’s interpretation of events, they did it because they were ordered to. They knew this was wrong. The Battalion Commander, Major Trapp, was a decorated combat veteran from WWI. Trapp told the enlisted men that they could be excused if they could not take part in the firing squads and then he went to an office and bawled like a baby. I took some solace that about 14 men and one officer refused to take part in the massacre and that several men refused to continue after taking part in the initial firing squad but at the end of the day, somehow the deed was done. Future actions were easier to handle in part because the killing grew more routine. Also, the policemen found ways to farm out the killing to others. They recruited Hiwis (foreigners) to do the dirty work. This included Russian prisoners (Trawnikis) who would have starved had they not been given the option to serve the Nazis. Also, the Policemen didn’t mind loading the Jews on railcars so that they could be shipped off to a death camp where others could execute them. This was much more preferable than rounding up families and personally killing them. The worst thing was to have to kill innocent people face-to-face. The author compares and contrasts the massacres committed by the Policemen to other war crimes committed during that period By US units in the Pacific and even later in Vietnam. Browning mentions that some US units in the Pacific had boasted of taking no prisoners and that there were units that collected ears etc. However, Browning makes the point that at the time these men were under duress due to combat fatigue and they had reacted to it. These policemen, on the other hand, hadn’t heard a shot fired in anger so the policemen could certainly not use this as a mitigating factor. I also personally believe that the massacres of the Polish Jews are very different than the massacres of the Chinese citizens of Nanking. Correct me if I’m wrong, but the Japanese perpetrated massacres weren’t sanctioned by high command or the Imperial Government. I remember reading Ira Chang’s Rape of Nanking and reading one of the commanding General’s correspondence that imperial soldiers were acting like Genghis Khan. Iwane Matsui, the commanding General of IJA in China, gave strict orders not to harm Chinese citizens or loot. Ironically, Matsui was a great admirer of China and chastised his officers for what happened in Nanking but ultimately, this did not save him from the hangman’s noose. The implementation of the Final Solution in Poland was the exact opposite. The ordinary men of the reserve police battalion were ordered by Himmler at Hitler’s wishes to kill all men, women, and children and to shoot infants and the infirm on sight. These policemen certainly would not have carried out these massacres without orders to do so. However, they still did it and this bothers me. With a minimum of psychobabble, Browning tries to compare the actions of the Policemen with some University studies where students acting as prisoners were given fake shocks. I’m sorry, but some of this was lost on me. I believe it had little relevance to a reserve policemen being asked to blow a hole at point blank range through a defenseless child’s neck and getting spattered with their brains at times. To me it was a vain attempt to extrapolate data from a few college snowflakes and apply it to something like the Holocaust. The use of this data almost trivialized the Holocaust to some degree. I believe that these Jews would have preferred to have been shocked a few times or even shipped off to Abu Ghraib to live out the war forming naked pyramids. Early on in the book there is a letter from a German official trying to run the local economy in the east complaining about the implementation of what later became known as the Final Solution. The official claimed that his skilled workers at several factories either had fled or were shot or were transported to a concentration camp and how none of the remaining workers (including the White Russians) could concentrate on their jobs because family members were carted off. The implementation of the final solution made the local economy collapse at a time when Germany could least afford it. It makes one take a step back for a moment and wonder what could have been accomplished if the Germans would have used their precious resources (rolling stock, manpower etc.) trying to defeat the Russians? The Jews could have been left alone and even recruited to join the war effort. I wonder if we would all be eating sauerkraut and sausage three times a day.At the end of the day I am still not quite sure why these men went through with carrying out these orders? There were no reprisals if you didn’t take part other than peer pressure. Let us not underestimate the power of peer pressure. Would men today do the same thing if ordered? Would I have done what they did if I had been in their shoes? Would I have grabbed a machine gun and started shooting my fellow officers while yelling to the Jews in my best yiddish ""run for the hills while I hold them off?"" Probably not. I'm no Joan of Arc. I would more likely have done what Papa Trapp did. At best, I would of had the foresight to resign. As Major Trapp said during the first Jewish action “If this Jewish business is ever avenged on earth then have mercy on us Germans.” Trapp was later hanged after the war for carrying out revenge killings of Polish gentiles after a partisan action. Even this Trapp tried to mitigate. I believe the hangman’s noose may have been good medicine for a man that most likely had lived out a tortured existence knowing what he was ultimately responsible for. In my review of ""Our Crime was Being Jewish"" I said that the men and women who perpetrated the Holocaust should be hunted down and tried for these crimes until they take their last breath on earth. Christopher Browning’s research indicates all events are not that black and white. You would have to hang several ordinary men that you are probably no better than. Thank God every day that we Americans currently live under a different set of circumstances. Judging others is never that easy."
8,https://www.goodreads.com/user/show/647547-mariel,Rating 5 out of 5,"Jessica Mitford claimed in her book A Fine Old Conflict that the racism in her new home Oakland, California was from people who moved there from the Southern states (I guess we kept moving there for those acts of racially led police brutality over the years). No one else would be capable of that. Bitch, please! (Of course, I don't have a photo selection of myself with black people I got on well with as she does. So I MUST be a racist, coming from the American South as I do.) I can't help but think of Mitford, that poster child for hypocrisy, for calling something other than what it is for whatever self serving agenda she felt like preaching. Christopher R. Browning's book Ordinary Men Reserve Police Battalion 101 and the Final Solution in Poland is a hell of a book and interesting to me for more reasons than one of my messy goodreads reviews (did I mention that is my 600th?) could cover. Paul Bryant's review says that it changed his life. It also changed mine for those reasons of putting into context human nature aspects I can only suspect and never pin down (it's much, much too big). I want to call something for what it is, pretty much. It changes me again when I have to ask myself if I believe in the will of human nature.You may have heard of author Daniel Goldhagen's Hitler's Willing Executioners. I have, although I've never read one of his pulp(it) tomes. They took the same source information, those interviews for 1960s investigations of war crimes, the same historical texts and came to some important differences. Well, I'd say (without reading Goldhagen's book) that he was looking for an all Germans are anti-Semitic bent to fit everything into. It happened because they were looking for a reason to murder Jews. Hitler just gave them the means. It couldn't have happened to anyone else, anywhere else. Bitch, please! If you want to ignore centuries of history and the present... When someone makes a grab for power like that someone is going to get royally fucked, history says.Browning's work looks at how ""Ordinary Men"", middle aged Germans who were not professional killers, who did not roam about the countryside shooting civilians by birth for mirth, became well oiled killing machines for the Nazis. Were they just following orders? Not always, at least not in any immediate way. They weren't held at gun point. I found it interesting that only a dozen opted out when given the choice not to kill. Some followed after, some after killing twenty jews. The breaking point, if there was one, was not the same. Definitely not all. One man who went out of his way to prevent himself and his men from killing the Jews they were transporting would later force twenty old men to undress and then instructed his men to grab bats to beat to death the crawling men. What is in one man, their Captain Trapp, to deliver their orders through his tears to continue to do so? Browning says because one group did so did not mean that another would kill if in their place. It doesn't mean that another wouldn't.In the back of my mind while reading 'Ordinary Men' I had the thought that these German men felt about the Jews the way that many elsewhere in the world would feel for prison inmates. Their punishment is abstract. They could say to themselves, ""Well, they deserved what they got."" That's if they thought about them at all. The execution takes place far away. The possibility of innocence, of falling through the cracks for making a mistake (one of the most depressing things, to me, is how many are in prison because they could not afford the court costs. A fucking evil scam! I am overwhelmed with hatred of society when I think about things like that. Complacency and heartless? distraction takes many forms). They hate us for our freedom. Maybe we shouldn't have freedom, then. Maybe someone else is looking out for things for us. It's okay to drop a devastating bomb far away. Sleeeeeep sheeeeep. The only racists are in the American south. It's not bigotry to hate gays, if you're black. I've heard that one a lot. Pretending something isn't what it is by calling something else in huge bold letters. Evil! Nazis! Just them.I have no doubt that they were thinking about themselves first of all. The way that they rewrote history in their own minds is important. It also cannot be discounted that the interviews were for legal proceedings and no way were they going to even mention direct culpability or anti-Semitism. As Browning points out, that would make it intent and the intent makes it homicide. How much of a looming threat did the Nazi higher ups have that a different mind set some couple of decades later would change their side stepping of the larger implications (they massacred so many people)? I have an idea in the back of my mind that it is complacency out of selfishness. They killed because they didn't want to think about it. That the men didn't ask to leave when the option was no longer presented to them says a lot to me about going to sleep. The killings were routine and it was all something to get used to. Would they have moved for themselves? I don't even know that. (Ten officers to 8,000 Jews and they didn't revolt? We're just being resettled.)Would I call them Ordinary Men? It doesn't take an extraordinary man to do what they did. Yet, so many have done what they have, not just in Nazi territory, that I don't know what else to call them. I'd say talking about it to call it anything is better than not talking about it. The ordinary men didn't talk about it, not even when they were talking about it.Five fucking stars. It is not an ordinary man who will look into the lowest of humankind and not pretend. There was much more I wanted to write here and now my mind is too numb with statistics (600 reviews) that I can't even say anything nice now. People sure can suck. What do I call it, again? (Fascism?)And I realize I didn't break any new ground here but that's really why I love this so much. It's tangible proof of this darkness. I held it in my hand. Not just numbers."
9,https://www.goodreads.com/user/show/5833984-jd,Rating 4 out of 5,"This was a very difficult book to read and is not for the faint of heart. It focuses on the really ordinary men who made up this unit and partook in the killing of thousands of Jewish women, children and the old and sickly by firing squad. It is very graphic in the description of the executions in it's brutality and one cannot fathom how the majority of these men carried out such heinous crimes. Writing this review brings a lot of emotions out of me as a father of a child and to think that these men murdered children with such ease is sickening. And while it is easy to judge what they did in those times and under the circumstances that they did it, to kill a child, not to mention a human being, in the way they did it, is unforgivable."
