,user_links,user_ratings,review_text
0,https://www.goodreads.com/user/show/103544-sammy,Rating 5 out of 5,"There are many who have read The Bell Jar and absolutely loved it. I am gladly considering myself one of them. I was a little caught of guard when I read a few reviews of The Bell Jar comparing it to The Catcher in the Rye stating how it's the female version of it. I liked Catcher but I know there are many people who didn't and upon hearing that may be similar to Catcher not have the desire to read it. I assure you, The Bell Jar is a book all on it's own and should not be compared to any other book... even as a compliment.When I first started reading the book I was a little put off, feeling it was an extremely pretensious novel. Her descriptions were crisp and precise, often using words that one rarely hears spoken or even read. I went into the novel knowing that Plath was a poet and felt that at first the book was just another form of her poetry and her showing off her writing abilities. But that only remained within the first two pages, because after that I became absorbed. The writing that I was a little sketchy about at first helped me visualize the setting and get to know the characters. And though Plath never really described many characters as to their personality, I began to feel I knew them all intimately.Strangely enough, if you remember in my last review, what bothered me most about The Good Earth did not bother me in The Bell Jar. Because the Esther, the character we are following, is slowly descending into madness, time no longer matters. There are a few times I was confused about the timeline, but it did not upset me. The book really spoke to me because of my own personal experiences with depression and suicide. It spoke to me as a woman and my views on sex and the confusion I'm sure most other girls out there face. It's amazing that this book was written and published over 30 years ago, really, when a new woman was coming out into the world. I have a feeling that this book helped women realize that they're not alone, and brought things to light that most people have commonly shoved aside; women and men. But what else is amazing is how relevant these topics still are today. Specifically with suicide, and specifically about the virtue and pureness of women compared to men.So I guess that is why The Bell Jar is often compared to The Catcher in the Rye, with it's discussions and writings of often controversial titles. Setting off a new generation of writers, styles, and people. Another book also came to mind as I was reading, and that was The Perks of Being a Wallflower. There are moments when I could make a few direct comparisons between the two. With Esther slowly seperating herself from socialization and sinking deeper into her own thoughts and depression. Analyzing things that go on around her and her surroundings. Very reminscent of Perks.If you feel you're suffering from depression, madness, confusion about topics pertaining to society and sex, or just looking for a good read, The Bell Jar is definetly the book for you. I also advise, if you're seriously suffering from depression, to get help for yourself. There is no shame in it, and getting help is better than ending your life. Even if you need to go on medication, DO NOT feel ashamed, especially if it's going to help you even more. "
1,https://www.goodreads.com/user/show/32879029-emma,Rating 2 out of 5,"i did not know that if you're mentally ill you're allowed to be mean and annoying. i wish i had done things differently.i do get why this is a classic. some reasons it is, in order of niceness to not niceness: -it is very beautifully written-that fig paragraph is probably one of the best passages on what it is to be a mentally ill young woman ever brought into this world-it is, in many ways, ahead of its time-sylvia plath has the kind of compelling story that would have sealed her canonical fate whether she was talented or not.-and:this is often, as it was in my case, assigned reading for teenage girls, the people most likely to be willing to undergo the kind of self-centering it would take to think most of what's depicted in this book is an okay or acceptable way to be.when i first read this, i liked it. i was 18, it should be noted, and a senior in high school fresh off the then-worst year of my life. (it has since been soundly defeated.) anyway, i didn't know classic fiction could be like this: written by a woman, fresh and relatable, about someone like me.that wasn't my experience upon reread.in the intervening years, i've read some of plath's poetry in other classes, and found it a little gaudy and self-indulgent for my taste. (you can yell at me if you want to but i don't think either of those are untrue. or even really insults.) so i always wondered if the bell jar would hold up if i read it again.the answer: no, but not for any reason i expected!this is racist and homophobic as f*ck. it's genuinely disturbing. this was written in the second half of the 20th century, in the midst of the civil rights movement. the march on washington took place in the same year as this book's publication. among legitimate intellectual and/or progressive circles of the time, this manner of thinking is grotesquely out of line. it seems especially absurd in the face of plath's dogged dedication to the Rights Of Women. feminism is important, of course, but reading about how the greatest social issue in plath's eyes (or the eyes of plath's self-insert protagonist) was women being able to be writers and editors with as much ease as they could be secretaries (as opposed to the several editors and writers there were) is kind of insane. obviously employment access is crucial, but the lack of self-awareness is apparent, no?this also has two of my least favorite clichéd traits of mental health depiction:1) a protagonist that blames everyone else for their mental illness, and2) Grand Gestures Of Depression.baby, i wish my mental illness included me doing things like whimsically throwing shirts at the city of new york while my hair blew in the wind. it's usually a lot more of me laying in bed and watching tiktoks.i guess that doesn't fit the seminal work criteria.in short: i love unlikable protagonists. it's just that i hated this one.bottom line: we all have an unpopular opinion, right? a beloved book we hate? let me have this one in peace.--------------------currently-reading updatesrereading this on the beach so i can be the edgiest girl there"
2,https://www.goodreads.com/user/show/1198255-madeleine,Rating 4 out of 5,"I feel like I owe Sylvia Plath an apology. This is a book I actively avoided for years because so many people (namely female classmates who wanted to be perceived as painfully different or terminally misunderstood or on the verge of absolutely losing their teenage shit) lauded the virtues of this book and how it, like, so totally spoke to them in places they didn't even know they had ears. My own overly judgmental high-school self could not accept even the remote possibility of actual merit lurking between the covers of something that such bland, faux-distraught ninnies clung to like a life raft.I should probably also apologize for referring to every pair of oven mitts I've ever owned as a pair of Sylvias but I think the lady scribe in question was too mired in real problems to care all that much about my sick amusement's crass reduction.""The Bell Jar,"" packed as it was with bleak truths, difficult topics and wryly dark humor, was not at all what I was expecting. Old biases die hard: I couldn't help but brace myself for a trivial tribute to mental imbalances, White Girl Problems and petty complaints disguised as life-ruining moments. What I got was an utter lack of histrionics and a sincere, to-the-point road map of one talented young lady's fight against her inner demons. Sylvia's alter ego Esther Greenwood (let's all take a second to appreciate the sly cleverness of trading ""Sylvia"" for the fictional surname ""Greenwood"") is so straightforward in addressing her despair that I couldn't help but extend more sympathy than I thought I could muster to her understated suffering. If nothing else, this book taught me that my own bouts of the blues are simply me being human and could be so much more debilitating: For that clarity of self-awareness alone, I am grateful.Reading this as I neared the ""Infinite Jest"" finish line offered necessary perspective that helped me get a better idea of what it must have been like inside such a messy head. The relative ease with which IJ's depressed cast could self-medicate in secret or seek refuge where at least someone was trying to understand the extent of such gaping psychological wounds offered a jarring contrast to the way Sylvia/Esther seemed truly isolated from those who couldn't see how awful it was to live inside herself. While she encountered precious little understanding in both her personal life (Mrs. Greenwood's inability to see her daughter's problem as her daughter's problem instead of wondering what she did wrong just rubbed my modern sensibilities the wrong way) and from the medical professionals who were tasked with helping her rise above the sinking despair she couldn't escape, I finished this fictionalized semi-autobiography 50 years after its publication with a keener understanding of what Sylvia Plath endured than I'm comfortable with. "
3,https://www.goodreads.com/user/show/3839903-scarlet,Rating 4 out of 5,"There is this scene in Chapter 10 of The Bell Jar where Esther Greenwood decides to write a novel.
""My heroine would be myself, only in disguise. She would be called Elaine. Elaine. I counted the letters on my fingers. There were six letters in Esther, too. It seemed a lucky thing.""
I cannot help wondering, is that what Sylvia Plath thought when she wrote The Bell Jar? Did she, like Esther, sit on a breezeway in an old nightgown waiting for something to happen? Is that why she chose the name Esther? 6 letters - just like in Sylvia. For luck?It's impossible to read The Bell Jar and not be affected, knowing what happened to Plath. I mean, it's everywhere. She is everywhere. All of Esther's musings are Plath's own. It's eerie. There's hardly any comfort even when Esther is freed from the bell jar; on the contrary, it's a brutal reminder that this book is ultimately, part fiction.Plath's poetic prowess shows through her writing - especially the descriptions. They are so simple yet so fitting. There is one in particular I loved, where Esther compares her life to a fig tree (See the first status update). Here's another:
""I saw the years of my life spaced along a road in the form of telephone poles, threaded together by wires. I counted one, two, three...nineteen telephone poles, and then the wires dangled into space, and try as I would, I couldn’t see a single pole beyond the nineteenth.""
 The writing is remarkably unemotional and I don't mean that as a bad thing. Esther's (or Plath's?) commentary dwells entirely on thoughts and perceptions, never feelings. Depression is so often mistaken as a form of sadness. This woman, however, is not sad. She is empty. She is a shell. She contemplates killing herself with a kind of ease that's unnerving.The Bell Jar did not make me cry but I wish it did. What I'm left with now is a deep sense of unhappiness that I don't think tears can fix.Why is it that the most talented always fall prey to the bell jar? It's such a waste."
4,https://www.goodreads.com/user/show/6536286-ariel,Rating 5 out of 5,"“I saw my life branching out before me like the green fig tree in the story. From the tip of every branch, like a fat purple fig, a wonderful future beckoned and winked. One fig was a husband and a happy home and children, and another fig was a famous poet and another fig was a brilliant professor, and another fig was Ee Gee, the amazing editor, and another fig was Europe and Africa and South America, and another fig was Constantin and Socrates and Attila and a pack of other lovers with queer names and offbeat professions, and another fig was an Olympic lady crew champion, and beyond and above these figs were many more figs I couldn't quite make out. I saw myself sitting in the crotch of this fig tree, starving to death, just because I couldn't make up my mind which of the figs I would choose. I wanted each and every one of them, but choosing one meant losing all the rest, and, as I sat there, unable to decide, the figs began to wrinkle and go black, and, one by one, they plopped to the ground at my feet.”Phenomenal. Please read it. It's impeccable. Note: it definitely shows it's age with some racist descriptions of things which was a bummer and reminded me how lucky we are to live in 2020"
5,https://www.goodreads.com/user/show/45618-karen,Rating 3 out of 5,"there once was a girl from the bay statewho tried to read finnegan's wake.it made her so ill,she took loads of pills.james joyce has that knack to frustrate.come to my blog!"
6,no user info,Rating 1 out of 5,"I've never shied away from depressing material, but there's a difference between the tone serving the story, and a relentlessly depressing work that goes entirely nowhere. I know it can be viewed as a glimpse into Plath's mind, but I would rather do a lot of things, some quite painful, than read this again. It hurt to get through it, and I think it's self-indulgent and serves no real artistic purpose. Which is truly a shame, as I love a lot of Plath's poetry. "
7,https://www.goodreads.com/user/show/1237196-petra-on-hiatus-but-getting-better-happy-new-2024,Rating 3 out of 5,"Review Are those with depression and cultural icons to be excused moral standards? I had a PM slagging me off completely about this review. Essentially it came down to how dare I criticise a feminist cultural icon who suffered from mental illness and accuse her of racism, anti-Semitism and homophobia. And if she really was why has no one else pointed it out? That I am biased as fuck etc. Actually others have pointed it out. That was the point of my review, separating the artist from their work. But now it is also, why are differing views not allowed? I realise that we are living in the times where belief and feelings are considered much more important than science and facts, where democratic voting is wrong and illegal if the 'wrong party' (US) or Brexit or Scottish Independence (UK) don't go the way that people want. And that any dissension results in deplatforming, cancelling or immense campaigns of hatred against academic and public figures. Is this the right way to go? No dissension, no debate, facts are wrong if they don't fit feelings, and cultural icons for one movement or another can do no wrong?__________How do we separate the artist from their art if we blithely don't notice it and then excuse them with saying it was a product of their times? It often wasn't. Dickens is excused his anti-Semitism but Disraeli was a two-time Prime Minister and was born Jewish. Oscar Wilde despite his poem in Reading Jail angry at being castigated for being a homosexual, still threw himself behind the anti-Dreyfusards who blamed Drefus for a murder he didn't commit but was blamed because he was Jewish. He was in the minority in the UK and lost his best friend over this. And then you have Roald Dahl, Agatha Christie, Ernest Hemingway, Jack London - the White supremacist who advocated genocide of the 'lesser races' but is a school favourite - and all the other racist, anti-Semitic often misogynist authors whose art is praised and characters white-washed ('white' washed indeed!)  With Plath, whose book The Bell Jar I read in my teens, when I read this article today, July 6th, 2022, it absolutely shocked me The Oxford Blue How could I not have noticed or forgotten? Am I so inured and hardened to White supremacist thinking - everyone else is 'other', and when I read I am reading as if was/am just white not 'other' Jews can be white or can be other, depends on the views of the writer, not me, that when reading a much-lauded 'great' author my eyes are blinded? *""[W]e cannot discuss Sylvia Plath without approaching the subject of her blatant racism and disrespect for Black people and Jewish people."" *""Her poems crassly compare her suffering to that of the Holocaust and beyond her fiction, Plath’s diaries dating back to her high school years show a history of hateful and disrespectful white supremacist thinking."" *""The viciousness of her comments about Jewish and Black people and the insensitive comparisons of her own struggles to those of the victims of the Holocaust show her to be completely out of touch with the era of progressive and civil rights activism"" in which she lived and obviously didn't agree with.As another article says, you cannot understand Plath if you don't understand her very Germanic upbringing by the German father she loved and whose death she was never able to get over. In her diary, in 1958, she wrote of her father, ""He … heiled Hitler in the privacy of his home.""Or maybe I didn't notice because I only read The Bell Jar and not Plath's poetry, I certainly would have picked it up from It stuck in a barb wire snare.ich, ich, ich, ich,I could hardly speakI thought every German was you. And the language obscene.An Engine, an engineChuffing me off like a jew.A jew to Dachau, Auschwitz, BelsenI began to talk like a jewI think I may well be a jew. I don't say I wouldn't read these authors or even enjoy their works - I love Oscar Wilde and certain Roald Dahl books - but I think knowing who an author was, the kind of views they held obviously informs their works, and that is important even if I decide to separate art from the artist."
8,https://www.goodreads.com/user/show/117399210-lu-s,Rating 5 out of 5,"Extremely beautiful and powerfully poignant. The Bell Jar is the autobiographical story of a young girl with Esther's future (but shouldn't we say Sylvia?). The young winner of a literary talent competition discovers New York, its parties, demands, and futility.But at the same time, Esther becomes aware of her cruel maladjustment. Her personality cracks through twists and turns and lets us glimpse the drama on her return home. She is carried away by a furious melancholy, and her character crumbles. Unable to get up, she catches herself in the frightening whirlwind of the psychiatric world.A tour de force that this novel and one feels well behind Sylvia Plath's poetic soul renders with great accuracy the runaway of her thoughts, their confusions, and the loss of her momentum. It's very well written but accurate, and it is impressive how the language conveys Esther's mood and progression into madness. There are no big flights, no wrong notes; it's both testimony and almost a farewell letter."
9,https://www.goodreads.com/user/show/3675162-j-l-sutton,Rating 5 out of 5,"“To the person in the bell jar, blank and stopped as a dead baby, the world itself is a bad dream.”It had been a number of years since I last read Sylvia Plath’s The Bell Jar. What I’d remembered most was how well Plath had established the mood for this story by weaving the electrocutions of Julius and Ethel Rosenberg with the mental breakdown of her heroine, Esther Greenwood. But the story is definitely about Esther, her ambition, and her own feelings of inadequacy, even though (viewed from the outside) Esther would be seen as a success. What is amazing about this writing is its immersive quality; you feel Esther’s restrictive choices and alienation from her world because you ultimately realize the world she has been striving for was never in her grasp. The repeated questions (after she is being treated for her depression) about who will marry her now only reinforce the notion that for the intelligent and talented Esther Greenwood, there had never been a good way to extricate herself from a trap that she had always seen coming. Very compelling narrative!"
