,user_links,user_ratings,review_text
0,https://www.goodreads.com/user/show/789575-tee,Rating 3 out of 5,"Currently reading this one and all I can think of is a passage from a writing-fiction manual that I read. The guy who wrote the article said that he once wrote a whole book and his publisher told him that it was good back-story, it was good for the AUTHOR to get to know his characters so when he wrote about them - they'd be 3D and real but it wasn't necessary for the readers to know most of the stuff that was written. You can remove a lot of the bulk from that first draft and keep it to yourself in your notes. Things such as the character's births, clothing preferences, favourite foods and colours, hates, loves and so on.Tartt's work reminds me of that ... so many of the pages that are unnecessary, there's so much that could have been cut out but the thing is, I enjoy it. I really do. I wouldn't like it if every book that I read was as verbose and wandering as Tartt's, but I do so enjoy reading something like this on occasion. It reminds me of how much I enjoy language and the craft of beautiful sentence-structure, description ... how much I've always enjoyed story-telling about people and their surroundings. --------------I finished this book last night and when I read the final sentence, my mouth dropped open slightly, the book dropped from my hand onto the floor and I rolled over, squeezing my eyes shut in hopes that I would go immediately to sleep and not come on Goodreads and spew forth wtf's.This woman knows how to write. She's great at it. But she goes frickin' NOWHERE with ANY of it. It's unbelievable! So unbelievable that I spent the entire book literally saying out loud, Oh.My.God, in reference to her superb ability to spew forth wonderfully crafted sentences and paragraphs about nothing. NOTHING! Anyone that can write an entire book about nothing is some type of wonderbeast. Don't get me wrong, I'm not attacking her for this - I'm really just astounded at her mad skills at weaving elaborate, wandering tales.I even thought, dude, this has to building up to some climatic ending and holy shit, if you ever get that far you will probably have the same astounded expression on your face as I did. There were so many times in this book while I was reading that I said to myself in my head: This.Lady.Is.Unfuckingbelievable. Four, five, TEN pages could pass without anything happening. YOU COULD SCRAP THESE PAGES and not know any better. Get someone to do that, get someone to rip every other ten pages out and you will never know what you have missed, plot-wise at least.There were sooo many moments where I'd be like, dude, how is this even relevant or necessary? WHY CAN'T I STOP READING?! The entire book; waffle. Amazingly crafted prose that goes nowhere. I felt like I was having to force myself through some of it, even though I was interested. I just wanted things to regularly happen and when they didn't, I got restless. I'd measure how much I had left to go and groan. Sometimes I'd pick my book up and realise that I was holding it upside down yet I'd been staring at the page for a minute or two. Sometimes I realised I'd written a to-do list in my head, planned dinner, said the alphabet backwards and counted to 100 in French whilst having turned four or five pages. I slept, ate and drank whilst holding this book open and staring at the page through my eyelids. But at the same time, I felt this inner battle, this conflict because I was bored BUT I WAS JUST SO GOD DAMN INTERESTED. It is a massive pile of words. Tasty, heavy, Southern-saturated wordy goodness.This entire review; waffle. Poorly constructed sentences that are trying to make a point. Something to do with too much sleep, not enough caffeine on rising. I won't be forgiven, but Tartt will.-------------------Besides from ranting about Tartt's waffle - which another reviewer describes as this book being a 'reading experience'; a nifty way of describing it, this book really is good. You really do experience this novel. it's really nothing like any other book that I have read. The characters are the most dimensional, REAL people that I have encountered in a long time. I felt like I was there, I felt the heat, I heard the snakes, I almost felt like I could touch every part of Harriet's house. I loved the relationships between the people and the descriptions of everything. Basically, I loved everything about this book except for the fact that nothing happened, and there's basically no resolution to any of the issues raised in the book but because of how well crafted it all is, I forgive her. "
1,https://www.goodreads.com/user/show/4593541-barry-pierce,Rating 1 out of 5,The only thing keeping this novel together is the binding.
2,https://www.goodreads.com/user/show/115525-leslie,Rating 2 out of 5,"This book, quite honestly, infuriated me. The opening chapter is stellar and haunting -- so much so that I slogged through 500+ pages on its promise alone. Anyone beginning this novel will (rightly so) expect a Southern Gothic murder mystery. The premise (at least the one outlined on the dust jacket) has so much potential -- set in a sleepy backwater Mississippi town, it follows the ""adventures"" of an overly precocious girl from a fallen plantation family (think Scout Finch meets Nancy Drew) who has vowed to find and punish her brother's killer. However, the novel's momentum is quickly stalled by chapters and chapters of *Abject Naturalism* -- scene after scene of lush, dramatic, heady descriptions, microscopically attentive odes to Southern hallmarks like kudzu, honeysuckle, bickering maiden aunts, decrepit railroad tracks, sassy black maids, biscuits with maple syrup, poor white boys who look like they could have stepped out of a Confederate tintype, etc. At first, I patiently waded through these indulgent and often silly window-dressings, encouraged ever so slightly by Tartt's prose style. However, Tartt takes unforgivable advantage of her linguistic flair, so much so that the suspense totally evaporates, and the true engine of the novel (the mystery and romance of the murdered brother) essentially gets lost among innumerable, inconsequential, floridly written digressions, all of which do nothing to advance the narrative. I carried 500 pages of information around in my head, determined to sniff out clues and sleuth alongside our protagonist - only to find, in the end, that it was a futile venture."
3,https://www.goodreads.com/user/show/220136-tina,Rating 4 out of 5,"I sort of want to scream when I read lukewarm reviews of this book. Admittedly, people may get the wrong idea when they read the back jacket, or the first few pages, and anticipate some sort of murder mystery thrill.The death of Harriet's brother is merely background for her character. The skill with which Tartt explores the inner workings and thought processes of a virtually abandoned 12 year old girl whose older brother's murder has never been solved cannot be praised highly enough. Tartt seems to have magically leaped over that crevasse that seperates us from our youth, and from understanding the mysterious social workings of 12 year olds.I found this book, though lengthy, to be absolutely riveting."
4,https://www.goodreads.com/user/show/32879029-emma,Rating 3 out of 5,"A lot of things happened in this book, but at the same time...And in a much more real way...Nothing did.I tend to like Donna Tartt's writing enough that she could cook up a book with no plot, just vibes, and I'd be pleased, but I also tend to find Tartt's writing atmospheric and consuming, borderline eerie. I don't typically like her characters, but I'm usually unendingly interested in them. And while her books aren't dictated by storylines, there's always some uniting thread, a fascinating subplot or question or object that brings the plot (such as it is) and the reader with it.This, for me, did not have any of that.While our protagonist, a ""precocious"" kid whose brother's death haunts her family and life, was enough to help me in my dumb and unnecessary (and, I'll have you know, successful) attempt to finish this six hundred and fifty page book in a day, everyone else was a snooze.The villains weren't villains, which was the point, but nor were they all that fun to read about.I don't read Donna Tartt to learn lessons, necessarily, and what felt like an emphasis on silly and mundane themes on this was enough to take me and this novel to the damn breaking point.I don't have anything nice to say about this, and yet I can't make myself lower the rating.Bottom line: Humans are inexplicable. If that observation seems wise to you, you'll like this book.--------------currently-reading updatesdonna tartt could write a 900-pager about southwestern agricultural trends in the first half of the nineteenth century and i'd be like...sign me upclear ur sh*t book 34quest 16: read an intimidating book"
5,https://www.goodreads.com/user/show/73200741-pedro,Rating 5 out of 5,"This is not The Secret History and definitely not The Goldfinch but that doesn’t justify the low rating and negative reviews on here. Well, actually, just by thinking that a novel like The Goldfinch doesn’t even have a 4 star rating on average says a lot, not about the novel itself but about its readers, and this takes me to one of the biggest problems about sites like Goodreads: the hype and the fact that it seems like a lot of people have no idea which books and authors might or might not work for them. As I grow more and more familiar to this site and the reading habits of its users, I have started to perceive some really annoying and even frustrating “things” that happen too much for my liking. Books are being picked up (by mistake, obviously) by the wrong readers! Another thing happening a lot on here (especially when a book or author is surrounded by too much hype) is that a certain kind of readers end up giving it a bad rating; not because they didn’t like it but simply because they don’t want to admit they ended up loving it as much as or even more than other people! Last, but not least important is the fact that when there’s too much hype surrounding a book a lot of readers avoid it like a pandemic (sorry!) and so the ‘right book’ remains unread by the ‘right readers’ only because it had been read by the wrong ones! Figure that out!So, there’s the thing about this book, if you really liked Tartt’s writing and storytelling skills in the past and still haven’t read this one; the chances are you’re also going to like this one. I believe it to be Tartt’s most personal book to date and as always she gives a lot of detail (light, weather, furniture, colours, feelings...) which might be a problem for some readers but not for me! I loved it all even more this time; the descriptions, the characters, the writing, the slowness of the plot (when compared to her other two books). Most of all I loved something which most readers find the most frustrating thing of all when reading a novel: the lack of answers. If you still haven’t read Tartt, but like good literary fiction, I honestly don’t know what you are waiting for? She started her career at the top of her game and I don’t believe she will ever “drop the ball”. At this point of my review I think it’s clear how much I love and admire Donna Tartt’s work. Her novels are the novels I wish I could have written and this one is no exception. Haunting and unforgettable.Compelling and mysterious. Beautiful and mesmerising."
6,https://www.goodreads.com/user/show/111921-madeline,Rating 1 out of 5,"""Bestselling author Donna Tartt returns with a grandly ambitious and utterly riveting novel of childhood, innocence and evil.The setting is Alexandria, Mississippi, where one Mother’s Day a little boy named Robin Cleve Dufresnes was found hanging from a tree in his parents’ yard. Twelve years later Robin’s murder is still unsolved and his family remains devastated. So it is that Robin’s sister Harriet - unnervingly bright, insufferably determined, and unduly influenced by the fiction of Kipling and Robert Louis Stevenson--sets out to unmask his killer. Aided only by her worshipful friend Hely, Harriet crosses her town’s rigid lines of race and caste and burrows deep into her family’s history of loss.""Having read Tartt's previous book, The Secret History, and loved it so much I did everything except start a cult based on the characters, I expected to feel the same way about this. But I didn't. Know why this book gets only one star? YOU NEVER FIND OUT WHO KILLS ROBIN. Let me just reiterate that: the mystery of who/what could have possibly been able to appear in someone's backyard, while the entire family is within hearing range and two kids are sitting on the back porch, and grab a nine year old boy and hang him in a tree, leaving no trace, motive, or evidence, IS NEVER SOLVED. Excuse me while I bash my head against the wall for a minute. ...Okay, I'm back. Disregarding that highly irritating nitpick that is guaranteed to keep me awake at night, The Little Friend is actually a very good story. Fascinating, terrifying, complex (at times a little too complex, I must admit - the extensive cast of characters was hard to keep track of at times), morbidly engrossing, and with an ending that refuses to tell you anything.Ahem. I'm fine, really. But seriously Donna: come on. I want to know who killed Robin. Know how badly? I'm tempted to start stalking you and showing up at your door in the middle of the night, demanding answers because I KNOW YOU HAVE THEM. Here's the thing: since Donna Tartt is basically a genius (see The Secret History, a more wrapped-up and concentrated story, and my favorite of the two Tartt novels), I've convinced myself that she has, in fact, figured out who the killer is. Not only that, I think she reveals who the killer is through a hundred little clues and details hidden throughout the book, and we as the readers are supposed to prove our worth by locating these clues, putting them all together, and solving the mystery. I'm sorry, Donna. I failed your test. How about this: if I come to your house and kowtow repeatedly while shrieking ""I'm not worthy! I'm not worthy!"" will you please, please throw a thickheaded reader a bone and tell me who killed Robin? How about if I bring you chocolate?"
7,https://www.goodreads.com/user/show/1166369-annet,Rating 4 out of 5,"Part one: while reading it... This is what you call a 'slow read'. It is impossible to race thru these pages. That is why I had two prior unsuccessful attempts to read this book. An impatient mood is not a good mindset to read this one. But I loved The Secret History and I just know that Donna Tartt is a good writer. You just have to have quiet time on your hands to read this one. So I'm taking my time with this one and it's rewarding. The descriptions Donna Tartt uses are long and sometimes it takes pages and nothing really happens. But, as another reviewer said, boy, does Donna Tartt know how to write, eventhough nothing much really happens. How she describes persons, surroundings, history, landscape. It's something you have to take in slowly, taking in all the words in slowly. So I read this book when the weather is good, outside in the garden, like this weekend. It doesn't really work to read this book before going to sleep, I just don't take in the words as I should. I have come to accept that the storyline is slow. I love sitting down and reading pages & pages about the brothers Ratliff, about the aunts of Harriet, about the brokendown parts of the town.... it's beautiful writing. I'm around page 257 today, halfway thru, so I expect it will take some more time to finish this one.Part two: after having read it: December: I finished The Little Friend! Summer has gone and winter is here... and I did take time. Part of the reason being that I got this one as a very heavy hardcover, so while travelling, I just don't take it with me. And while travelling, I read the most. And at some point, I just concluded I needed this book besides my bed, to read a couple of pages every day, slow and taking in all the detail. I can imagine that some people feel betrayed becauwe of the beginning intriguing plot and then how this book progresses, but I have to say... I really don't care. I loved this book, the style, the characters, the story, the southern atmosphere. All of it. Sure I would have secretely liked to see a clear ending and a solution to the mystery, but at some point I saw it coming that this one was gonna be different. When I finally got through the first say one fourth one third of the book I started immensely enjoying this book. Donna Tartt is a great, talented writer. How great is it to get into the mind of a child growing up fast and describe it in such amazing detail! Four stars. I gave Secret History five, because I think that story on the whole was just a bit better than this one. Already looking forward to the next book of Donna Tartt. And I really have to reread the Secret History. Take your time with this one and enjoy it!"
8,https://www.goodreads.com/user/show/10171516-jessica,Rating 4 out of 5,"i love DTs writing with every fibre of my being, but i have to be honest - the low average rating/poor reviews for this book had pushed me away from reading it for the longest time - i didnt want to ruin my high opinion of DT. fortunately, i didnt hate this like i thought i would!this is not without its faults, however, and i would consider this to be a minor sophomore slump of a novel. i agree that the length is much too long for this particular story, with slow pacing and unnecessary details leading to reader fatigue. but there are some particularly bright spots in what is otherwise a very dark novel. there is evocative imagery, consistent themes, and endearing characterisation (hely and harriet are amazing together). i do also appreciate the apparent love DT has for the south and how her own childhood experiences are translated into her writing. although i would consider this to be DTs weakest novel, it in no way has lessened my opinion of her capabilities as an author. i just wish she didnt take 10 years to write a book because i want more of her stories!↠ 3.5 stars"
9,https://www.goodreads.com/user/show/36555254-robin,Rating 5 out of 5,"A Southern tale set in small town Mississippi shows the wreckage left behind after a beloved son, grandson, and brother, Robin, is murdered in his own front yard. Evoking a little of Scout Finch, and a little of Flavia de Luce (child sleuth from Alan Bradley's books), Harriet Cleve Dufresnes decides to solve her big brother's unresolved death. Despite her innocence and youth, Harriet is deadly serious and doesn't mess around. This isn't a 'cute' story despite its childish heroine.There's so much I adore about this book. The setting: circa 1970's when kids didn't know what screens were for the most part, Southern U.S. with dilapidated old plantation houses with names such as ""Tribulation"". The people: a collection of doting, aging great-aunties, a pre-teen boy who will do anything to impress his girl pal, and a gruff housekeeper who smells like love.Like her other two books, this one is lengthy, but is blessed with the same incredible storytelling I've come to expect from Tartt. She delves into the mindset of a twelve year old girl so well, illuminating lingering racial and class prejudices, and the brokenness of her family. Harriet's life reaches a turning point; she is forced to grow up during this pivotal summer.Despite the length, I flew through it. I couldn't help myself!! I was all in. The characters are fascinating and rich. The mystery is spellbinding. And, of course, the snakes. They were far scarier than the white trash meth heads. I was gasping aloud during many scenes. Eeeeeeeeeeeeek. Hisssssssssss. How do people in Mississippi walk around? I think I'd need to be sedated in order to go out of doors. A few things were more than a little odd - the cover with the creepy old doll head - WHY? I noted the reference to one of the auntie's dolls, but it was such a minuscule detail, it doesn't make sense to adorn the cover of such a fantastically rich novel with that. The other thing: the title. Again, I saw the reference, made by Dixon Dufresnes at the very end, but it just seemed off. I wonder if Ms. Tartt had any say in either of these decisions.The only thing I'm unhappy with at the end of this engrossing coming-of-age story, is that I've run out of books to read by Donna Tartt. And I don't want to wait until 2024 for the next one!"
