,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Sirpa's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Carnegie's Maid,"Benedict, Marie*",,,B071W7C2CG,342        pp,3.98,"74,271","Jan 16, 2018","Jan 16, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 11, 2024","Apr 11, 2024",,Kindle Edition,view,/book/show/35478041-carnegie-s-maid
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"An Approach to the Book of Mormon        (The Collected Works of Hugh Nibley, Volume 06)","Nibley, Hugh",0875791387,9780875791388,0875791387,541        pp,4.22,425,1957,"Jan 01, 1988",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 28, 2024",not set,"Mar 28, 2024",,Hardcover,view,/book/show/399214.An_Approach_to_the_Book_of_Mormon
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Luminaries,"Catton, Eleanor",0316074314,9780316074315,0316074314,848        pp,3.74,"80,395","Aug 24, 2013","Oct 15, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 28, 2024",not set,"Mar 28, 2024",,Hardcover,view,/book/show/17333230-the-luminaries
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Skylark's Secret,"Valpy, Fiona*",1542005167,9781542005166,B07X3NMHXJ,315        pp,4.31,"27,468","Sep 29, 2020","Sep 29, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 21, 2024",not set,"Mar 21, 2024",,Kindle Edition,view,/book/show/50175987-the-skylark-s-secret
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Last of the Moon Girls,"Davis, Barbara*",1542006481,9781542006484,B07XZ8DTGH,397        pp,4.21,"65,125","Aug 01, 2020","Aug 01, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 08, 2024","Mar 14, 2024","Mar 08, 2024",,Kindle Edition,view,/book/show/49343950-the-last-of-the-moon-girls
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Amelia's Shadow,"Benedict, Marie*",1662519966,9781662519963,B0CNYGJ43L,35        pp,3.65,"1,651","Feb 22, 2024","Feb 22, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 07, 2024",not set,"Mar 07, 2024",,Kindle Edition,view,/book/show/205897115-amelia-s-shadow
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Genius of Birds,"Ackerman, Jennifer",1594205213,9781594205217,1594205213,352        pp,4.04,"11,580","Apr 12, 2016","Apr 12, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 29, 2024",not set,"Feb 29, 2024",,Hardcover,view,/book/show/25938481-the-genius-of-birds
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Keeper of Happy Endings,"Davis, Barbara*",1542021480,9781542021487,B08X48G5VL,415        pp,4.48,"91,948","Oct 01, 2021","Oct 01, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 27, 2024","Mar 05, 2024","Feb 27, 2024",,Kindle Edition,view,/book/show/57429914-the-keeper-of-happy-endings
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Covenant of Water,"Verghese, Abraham*",0802162177,9780802162175,0802162177,724        pp,4.47,"150,513","May 02, 2023",Jun 2023,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Gorgeous.,Notes are private!,0,0,1,"Feb 19, 2024","Mar 28, 2024","Feb 19, 2024",,Hardcover,view (with text),/book/show/180357146-the-covenant-of-water
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Jane Austen Collection,"Austen, Jane",1509853472,9781509853472,1509853472,0        pp,4.60,"2,411","Oct 21, 1982","Jan 17, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,"Feb 19, 2024not set",not setnot set,"Feb 19, 2024",,Hardcover,view,/book/show/33719823-the-jane-austen-collection
