,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Suanne's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Philip and Alexander: Kings and Conquerors,"Goldsworthy, Adrian",1784978701,9781784978709,1784978701,620        pp,4.36,"1,382","Sep 03, 2020","Sep 03, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 10, 2024",not set,"Apr 10, 2024",,Hardcover,view,/book/show/52780817-philip-and-alexander
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Titanic Survivors' Book Club,"Schaffert, Timothy*",,,,304        pp,3.53,74,"Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Kindle Edition,view,/book/show/110976598-the-titanic-survivors-book-club
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Warm Hands of Ghosts,"Arden, Katherine*",0593128257,9780593128251,0593128257,325        pp,4.09,"6,154","Feb 13, 2024","Feb 13, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 05, 2024",,Hardcover,view,/book/show/154462576-the-warm-hands-of-ghosts
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dynasty: The Rise and Fall of the House of Caesar,"Holland, Tom",,,B00SPVPXXA,496        pp,4.15,"5,053","Sep 03, 2015","Oct 20, 2015",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Outstanding. The Roman Republic and Empire are huge gaps in my knowledge matrix, but I really learned a lot. I love Tom Holland’s writing and humor. IOutstanding. The Roman Republic and Empire are huge gaps in my knowledge matrix, but I really learned a lot. I love Tom Holland’s writing and humor. If he were my social studies teacher, I’d never miss a class. And the parallels to a certain modern-day malignant narcissist megalomaniac were rather astonishing....more",Notes are private!,0,5,1,not set,not set,"Apr 02, 2024",,Kindle Edition,view (with text),/book/show/40605640-dynasty
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Rubicon: The Last Years of the Roman Republic,"Holland, Tom",1400078970,9781400078974,1400078970,408        pp,4.21,"21,024","Jan 01, 2003","Mar 08, 2005",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.5 stars. Not because it wasn’t well written but because I’m so unfamiliar with the subject and it is DENSE. A lot to take in, but it gave me an exce3.5 stars. Not because it wasn’t well written but because I’m so unfamiliar with the subject and it is DENSE. A lot to take in, but it gave me an excellent foundation for reading “Dynasty.”...more",Notes are private!,0,1,1,not set,not set,"Mar 30, 2024",,Paperback,view (with text),/book/show/91017.Rubicon
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Rest is History: The Official Book from the Makers of the Hit Podcast,"Holland, Tom",1526667703,9781526667700,B0C55P6SG6,506        pp,3.92,429,unknown,"Oct 26, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Good information but it just tried too hard to be cute.,Notes are private!,0,5,1,not set,not set,"Mar 23, 2024",,Kindle Edition,view (with text),/book/show/154008491-the-rest-is-history
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Black Crescent,"Johnson, Jane",1668017504,9781668017500,1668017504,400        pp,4.04,163,unknown,"Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 19, 2024",,Paperback,view,/book/show/176442895-the-black-crescent
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Damnation Island: Poor, Sick, Mad, and Criminal in 19th-Century New York","Horn, Stacy*",,,B075G4VWLC,319        pp,3.63,"2,635","May 15, 2018","May 15, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Ughghghghhh, absolutely brutal reading, but necessary reading.",Notes are private!,0,3,1,"Mar 17, 2024","Mar 23, 2024","Mar 17, 2024",,Kindle Edition,view (with text),/book/show/55383564-damnation-island
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Late City,"Butler, Robert Olen*",,,B08YS1W4XT,304        pp,4.05,631,"Sep 07, 2021","Sep 07, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Holy moly, this was fantastic. Read it in one sitting on a flight from St. Lucia to NY and loved every word.",Notes are private!,0,5,1,"Mar 15, 2024","Mar 16, 2024","Mar 15, 2024",,Kindle Edition,view (with text),/book/show/58264938-late-city
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Nutmeg Trail: A Culinary Journey Along the Ancient Spice Route,"Ford, Eleanor*",1922351539,9781922351531,1922351539,256        pp,4.27,98,unknown,"Apr 28, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 14, 2024",,Hardcover,view,/book/show/60237897-the-nutmeg-trail
