,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Violet's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kafka on the Shore,"Murakami, Haruki",1400079276,9781400079278,1400079276,467        pp,4.13,"468,857",Sep 2002,"Jan 03, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 18, 2024",not set,"Mar 26, 2024",,Paperback,view,/book/show/4929.Kafka_on_the_Shore
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Complete Poems,"Sexton, Anne",0395957761,9780395957769,0395957761,622        pp,4.28,"16,081","Sep 30, 1981","Apr 28, 1999",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"okay i technically didn't read the entire collection of poems but I am counting this because of how many hours I spent reading it. I read / skimmed mookay i technically didn't read the entire collection of poems but I am counting this because of how many hours I spent reading it. I read / skimmed most of the poems. Here are my notes:- Most of my favorite poems are in her first book,  To Bedlam and Part Way Back  (1960). not saying she peaked on her first book, buuuut those ones resonated with me the most (""You, Doctor Martin,"" ""Elizabeth Gone,"" and ""The Double Image"")- Favorite poems from  All my Pretty Ones  (1962) are ""Old,"" and ""From the Garden""- My favorite poem from her third book,  Live or Die  (1966), which she also won the Pulitzer Prize for (in 1967), is ""Imitations of Drowning""- The poems from  Love Poems  (1969) are all pretty sexual so I didn't analyze any of them (Ms. Abair would NOT appreciate that<3)- The poems from  Transformations  (1971) have a fairy tale theme and are generally quite long (most of the poems span 3-5 pages)-  The Book of Folly  (1972) has a whole thread of Jesus poems at the end and I may or may not have skipped over those . . . favorite poem from this book is ""The Ambition Bird"" (“I am drinking cocoa, / that warm brown mama”)- I didn't really like  The Death Notebooks  (1974), sorry- I liked ""The Dead Heart"" from  The Awful Rowing Toward God  (1975)I enjoyed reading Sexton’s poems in order of when they were written (in terms of when each of her books were published), because I could see a clear line of progression from each of her works. In her later years she definitely became more confident in her writing, branching out to different themes and experimenting with length and structure. I also liked that she devoted her poems in some of her books to one main theme. Sexton wrote much about mental health, postpartum depression, and thoughts of suicide. She herself struggled with all of these, and writing was a way for her to come to terms with these struggles. In terms of things recurring throughout her poems, there was a lot of mention of bells, moccasins, Spring, and even her daughters Joyce and Linda. Oh, and of course, God....more",Notes are private!,4,5,1,"Feb 24, 2024","Mar 03, 2024","Mar 03, 2024",,Paperback,view (with text),/book/show/47730.The_Complete_Poems
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,To the Lighthouse,"Woolf, Virginia",,,140679239X,209        pp,3.80,"183,344","May 05, 1927","Dec 27, 1989",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 03, 2024",,Paperback,view,/book/show/59716.To_the_Lighthouse
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Devil's Own Work,"Judd, Alan",0679747451,9780679747451,0679747451,115        pp,3.45,306,1991,"Jun 24, 1995",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"vintage edition!!! 1995 babyI was really scared this book was going to be bad but it actually wasn't! I feel like I learned a lot about the writing prvintage edition!!! 1995 babyI was really scared this book was going to be bad but it actually wasn't! I feel like I learned a lot about the writing process that authors go through, so that was really cool. the narrator was an interesting fellow i must say. (view spoiler)[ I liked the fictive realism (??) part to the novel, especially since Edward wrote fictive realism himself. it made me feel more connected to the characters for some reason. also Eudoxie?? what the heck. who even is she bro  (hide spoiler)]...more",Notes are private!,2,3,1,"Feb 24, 2024","Mar 02, 2024","Mar 03, 2024",,Paperback,view (with text),/book/show/1126169.The_Devil_s_Own_Work
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Anxious People,"Backman, Fredrik*",1982121602,9781982121600,1982121602,336        pp,4.18,"633,760","Apr 25, 2019","Sep 08, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 28, 2024",,Paperback,view,/book/show/53799686-anxious-people
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Russka,"Rutherfurd, Edward*",0345479351,9780345479358,0345479351,960        pp,4.03,"14,181",1991,"Mar 01, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 28, 2024",,Paperback,view,/book/show/92162.Russka
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Foundryside        (The Founders Trilogy, #1)","Bennett, Robert Jackson*",1524760374,,B077RG422Z,501        pp,4.19,"41,371","Aug 21, 2018","Aug 21, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 26, 2024",,Kindle Edition,view,/book/show/37173847-foundryside
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Philosopher's Flight        (The Philosophers Series, #1)","Miller, Tom",1476778159,9781476778150,1476778159,422        pp,3.89,"5,245","Feb 13, 2018","Feb 13, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 18, 2024",,Hardcover,view,/book/show/32620364-the-philosopher-s-flight
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Fairy Bargains of Prospect Hill,"Miller, Rowenna",0316378577,,B0B8YWPGHN,400        pp,3.64,"2,732","Mar 28, 2023","Mar 28, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 18, 2024",,Kindle Edition,view,/book/show/77286260-the-fairy-bargains-of-prospect-hill
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pandora's Lunchbox: How Processed Food Took Over the American Meal,"Warner, Melanie",1451666756,9781451666755,1451666756,288        pp,3.89,"2,344","Feb 26, 2013","Feb 26, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 18, 2024",,Kindle Edition,view,/book/show/16058189-pandora-s-lunchbox
