,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Reshmita's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"To Gaze Upon Wicked Gods        (To Gaze Upon Wicked Gods, #1)","Chang, Molly X.*",0593722248,9780593722244,0593722248,368        pp,3.56,"1,008","Apr 16, 2024","Apr 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 11, 2024",,Hardcover,view,/book/show/186872482-to-gaze-upon-wicked-gods
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Den of Blades and Briars        (The Broken Kingdoms, #7)","Andrews, L.J.",,,B0BHXQG7FQ,430        pp,4.45,"3,648",unknown,"Feb 21, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 11, 2024",not set,"Apr 11, 2024",,Kindle Edition,view,/book/show/63110758-den-of-blades-and-briars
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Dance of Kings and Thieves        (The Broken Kingdoms, #6)","Andrews, L.J.",,,B0B4X5KQGJ,434        pp,4.37,"4,734","Oct 20, 2022","Oct 20, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,rtc,Notes are private!,0,0,1,"Apr 02, 2024","Apr 08, 2024","Apr 11, 2024",,Kindle Edition,view (with text),/book/show/61381328-dance-of-kings-and-thieves
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Game of Hate and Lies        (The Broken Kingdoms, #5)","Andrews, L.J.",,,B09XVMMX96,380        pp,4.41,"5,825","Jun 30, 2022","Jun 30, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,rtc,Notes are private!,0,0,1,"Mar 05, 2024","Mar 08, 2024","Apr 11, 2024",,Kindle Edition,view (with text),/book/show/60846569-game-of-hate-and-lies
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Night of Masks and Knives        (The Broken Kingdoms, #4)","Andrews, L.J.",,,B09PZLQ48K,370        pp,4.30,"6,747","Apr 26, 2022","Apr 26, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,rtc,Notes are private!,0,0,1,"Mar 04, 2024","Mar 11, 2024","Apr 11, 2024",,Kindle Edition,view (with text),/book/show/60098612-night-of-masks-and-knives
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Crown of Blood and Ruin        (The Broken Kingdoms, #3)","Andrews, L.J.",,,B09KW9PDXJ,396        pp,4.27,"13,209","Jan 31, 2022","Jan 31, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,rtc,Notes are private!,0,0,1,Mar 2024,Mar 2024,"Apr 11, 2024",,Kindle Edition,view (with text),/book/show/59772259-crown-of-blood-and-ruin
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Court of Ice and Ash        (The Broken Kingdoms, #2)","Andrews, L.J.",,,B09FX79J6D,324        pp,4.18,"17,807",Nov 2021,"Nov 22, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,reshmita the caterpillar!,Notes are private!,0,0,1,"Mar 08, 2024","Mar 11, 2024","Apr 11, 2024",,Kindle Edition,view (with text),/book/show/59122600-court-of-ice-and-ash
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mrs. Dalloway,"Woolf, Virginia",0151009988,9780151009985,0151009988,194        pp,3.79,"306,475","May 14, 1925","Oct 28, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 27, 2024",not set,"Mar 27, 2024",,Hardcover,view,/book/show/14942.Mrs_Dalloway
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,When Among Crows,"Roth, Veronica*",1250855489,9781250855480,1250855489,176        pp,4.08,298,"May 14, 2024","May 14, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 19, 2024",,Hardcover,view,/book/show/195790597-when-among-crows
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,And Still I Rise,"Angelou, Maya",0860687570,9780860687573,,112        pp,4.41,"9,287",1978,2009,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,poetry journal!,Notes are private!,1,6,1,"Mar 17, 2024","Mar 17, 2024","Mar 17, 2024",,Paperback,view (with text),/book/show/1294681.And_Still_I_Rise
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Curse of Shadows and Thorns        (The Broken Kingdoms, #1)","Andrews, L.J.",0578970171,9780578970172,0578970171,348        pp,4.02,"25,343","Sep 07, 2021","Sep 24, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,reshmita the caterpillar. 3.5,Notes are private!,0,0,1,"Mar 17, 2024","Mar 17, 2024","Mar 17, 2024",,Paperback,view (with text),/book/show/58988311-curse-of-shadows-and-thorns
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Ever Queen        (The Ever Seas, #2)","Andrews, L.J.",,,B0C5S62MTG,452        pp,4.19,"10,469",unknown,"Jan 26, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,yippee!,Notes are private!,0,0,1,"Mar 17, 2024","Mar 17, 2024","Mar 17, 2024",,Kindle Edition,view (with text),/book/show/157596797-the-ever-queen
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Eumenides        (Oresteia, #3)",Aeschylus,0521240840,9780521240840,0521240840,320        pp,3.85,"4,335",-458,"Nov 24, 1989",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I still hate plays,Notes are private!,8,1,1,"Mar 12, 2024","Mar 12, 2024","Mar 12, 2024",,cloth,view (with text),/book/show/3332967-eumenides
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Love Elixir of Augusta Stern,"Loigman, Lynda Cohen*",1250278104,9781250278104,1250278104,320        pp,4.56,82,unknown,"Oct 08, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 12, 2024",,Hardcover,view,/book/show/203579107-the-love-elixir-of-augusta-stern
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dead Poets Society,"Kleinbaum, N.H.",0553282980,9780553282986,0553282980,166        pp,4.18,"111,412",1988,"Aug 01, 1989",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 06, 2024",,Paperback,view,/book/show/67238.Dead_Poets_Society
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Dew Breaker,"Danticat, Edwidge",1400034299,9781400034291,1400034299,256        pp,3.81,"7,923","Mar 01, 2004","Mar 08, 2005",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,oh I did finish this. I really enjoyed this! reshmita the caterpillar.,Notes are private!,1,6,1,"Mar 05, 2024","Mar 17, 2024","Mar 05, 2024",,Paperback,view (with text),/book/show/31116.The_Dew_Breaker
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The BFG,"Dahl, Roald",0141311371,9780141311371,0141311371,199        pp,4.23,"482,118","Nov 01, 1982",2001,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Mar 05, 2024",,Paperback,view,/book/show/6319.The_BFG
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Ever King        (The Ever Seas, #1)","Andrews, L.J.",,,B0BP8DW2VN,408        pp,4.21,"23,866","Jul 19, 2023","Sep 16, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I did read this!,Notes are private!,0,2,1,"Mar 05, 2024","Mar 10, 2024","Mar 05, 2024",,Kindle Edition,view (with text),/book/show/75384035-the-ever-king
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Zoya        (Zoya #1),"Pugachevsky, Alexandra",,9798987997710,B0C6N45RB1,400        pp,3.96,24,unknown,"Jun 06, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I did read this. reshmita the caterpillar.,Notes are private!,0,0,1,"Feb 29, 2024","Mar 05, 2024","Feb 29, 2024",,Kindle Edition,view (with text),/book/show/168423289-zoya
