,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Pamela's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Vanishing at Castle Moreau,"Wright, Jaime Jo*",0764238345,9780764238345,0764238345,352        pp,4.22,"1,306","Apr 04, 2023","Apr 04, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 09, 2024",,Paperback,view,/book/show/61140615-the-vanishing-at-castle-moreau
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Night Falls on Predicament Avenue,"Wright, Jaime Jo*",0764241451,9780764241451,0764241451,368        pp,4.45,117,"Apr 09, 2024","Apr 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 09, 2024",,Paperback,view,/book/show/182094493-night-falls-on-predicament-avenue
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Dark Star: Confessions of a Rock Idol        (Rock Star Chronicles, Book #1)","Mapes, Creston*",,,,unknown,4.46,527,unknown,Aug 2020,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 09, 2024",,Kindle Edition,view,/book/show/54847425-dark-star
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"How to Solve Your Own Murder        (Castle Knoll Files, #1)","Perrin, Kristen*",0593474015,9780593474013,0593474015,368        pp,3.91,"4,691","Mar 26, 2024","Mar 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Hardcover,view,/book/show/181350367-how-to-solve-your-own-murder
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Unintended Target        (Unintended #1),"Wood, D.L.*",,,B0163BAWK2,341        pp,4.46,"1,023","Oct 01, 2015","Oct 01, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 08, 2024",not set,"Apr 08, 2024",,Kindle Edition,view,/book/show/26858348-unintended-target
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Between Shades of Gray,"Sepetys, Ruta*",0399254129,9780399254123,0399254129,344        pp,4.37,"242,713","Mar 22, 2011","Mar 22, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Interesting and often heartbreaking story of a family deported from Lithuania to Siberia during WWII. Something I had realized happened, probably becaInteresting and often heartbreaking story of a family deported from Lithuania to Siberia during WWII. Something I had realized happened, probably because the Soviets covered it up, and kept their cruelty hidden from the Americans. Although often hard to read the book ends with hope, and the whole thing is a positive comment on the human spirit. ...more",Notes are private!,0,2,1,"Apr 05, 2024","Apr 07, 2024","Apr 05, 2024",,Hardcover,view (with text),/book/show/7824322-between-shades-of-gray
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sunset Years of Agnes Sharp,"Swann, Leonie",1641294337,9781641294331,1641294337,360        pp,3.52,"2,913","May 25, 2020","Aug 29, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Good story, fun characters, especially the tortoise who was a POV character, but the writing style was annoying. After looking at several other Good story, fun characters, especially the tortoise who was a POV character, but the writing style was annoying. After looking at several other s, I realized it was translated from German. Also, the s written in German seemed to be more positive. Maybe it was a translation issue....more",Notes are private!,0,0,1,Apr 2024,"Apr 05, 2024","Apr 01, 2024",,Hardcover,view (with text),/book/show/123284932-the-sunset-years-of-agnes-sharp
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"One Dead, Two to Go","Hartwell, Elena*",1504089367,9781504089364,B0CGMRQF99,258        pp,4.25,117,"Apr 15, 2016","Sep 05, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Kindle Edition,view,/book/show/197891144-one-dead-two-to-go
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Braving Strange Waters        (Time Sailors Book 1),"Hanks, Sarah*",,,B0CWHJHSK9,348        pp,4.83,12,unknown,"Apr 15, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Three college friends set out on a cruise vacation to celebrate Stella’s upcoming marriage. Stella time-travels to a steamboat in 1856 and has to compThree college friends set out on a cruise vacation to celebrate Stella’s upcoming marriage. Stella time-travels to a steamboat in 1856 and has to complete a mission in order to return. Her friends face their fears and their other issues while communicating with her by sending letters through an antique mailbox. All three women learn more about themselves and learn to trust Jesus more. All three find or continue a romance. This was a fun read with a good message. Lots of chuckles, but some sobering thoughts. None of us is perfect and we need to extend grace to ourselves and others. Highly recommend! ...more",Notes are private!,0,1,1,"Mar 29, 2024",Apr 2024,"Mar 29, 2024",,Kindle Edition,view (with text),/book/show/209176309-braving-strange-waters
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All My Secrets,"Austin, Lynn*",1496437446,9781496437440,1496437446,400        pp,4.53,977,"Feb 06, 2024","Feb 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 23, 2024",,Hardcover,view,/book/show/178836133-all-my-secrets
