,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Sammy's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Funny Story,"Henry, Emily*",0593441222,9780593441282,B0CCNBRNRQ,395        pp,4.52,"3,526","Apr 23, 2024","Apr 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Hardcover,view,/book/show/194802722-funny-story
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Anita de Monte Laughs Last,"Gonzalez, Xochitl*",1250786215,9781250786210,1250786215,342        pp,3.92,"7,258","Mar 05, 2024","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Hardcover,view,/book/show/127306192-anita-de-monte-laughs-last
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Kind Worth Killing,"Swanson, Peter*",,,B00JOFW596,419        pp,4.00,"187,778","Feb 03, 2015",Jan 2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Kindle Edition,view,/book/show/89575951-the-kind-worth-killing
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How to End a Love Story,"Kuang, Yulin*",0063310686,9780063310681,0063310686,384        pp,4.16,"1,255","Apr 09, 2024","Apr 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Paperback,view,/book/show/63247365-how-to-end-a-love-story
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Cheerfully Refuse,"Enger, Leif",0802162932,9780802162939,0802162932,336        pp,4.18,320,"Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Hardcover,view,/book/show/198276006-i-cheerfully-refuse
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Reboot,"Taylor, Justin",0553387626,9780553387629,0553387626,304        pp,3.76,21,unknown,"Apr 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Hardcover,view,/book/show/194803857-reboot
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Trouble,"Croucher, Lex*",1250323967,9781250323965,1250323967,336        pp,3.92,"1,715","Mar 05, 2023","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 07, 2024",not set,"Apr 02, 2024",,Paperback,view,/book/show/127281043-trouble
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Short Walk Through a Wide World,"Westerbeke, Douglas",1668026066,9781668026069,1668026066,400        pp,3.80,756,"Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Hardcover,view,/book/show/176443045-a-short-walk-through-a-wide-world
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Duke and I        (Bridgertons, #1)","Quinn, Julia*",0380800829,9780380800827,0380800829,384        pp,3.81,"500,517","Jan 05, 2000","Jun 27, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Mass Market Paperback,view,/book/show/110391.The_Duke_and_I
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Mango Tree: A Memoir of Fruit, Florida, and Felony","Tometich, Annabelle*",0316540323,9780316540322,0316540323,320        pp,4.44,82,"Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Hardcover,view,/book/show/195820710-the-mango-tree
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Just for the Summer,"Jimenez, Abby*",1538704439,9781538704431,1538704439,432        pp,4.55,"23,264","Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Paperback,view,/book/show/195820807-just-for-the-summer
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sociopath,"Gagne, Patric",166800318X,9781668003183,166800318X,368        pp,4.15,850,"Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Hardcover,view,/book/show/176443093-sociopath
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Last Call at the Local        (Love, Lists & Fancy Ships, #3)","Ruiz, Sarah Grunder*",0593549066,9780593549063,0593549066,368        pp,3.93,"4,053","Jan 02, 2024","Jan 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Paperback,view,/book/show/63139958-last-call-at-the-local
