,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Fabian's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Misadventures of Awkward Black Girl,"Rae, Issa*",1476749051,9781476749051,1476749051,224        pp,3.77,"25,206","Jan 06, 2015","Feb 10, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 07, 2024",not set,"Feb 07, 2024",,Hardcover,view,/book/show/21412229-the-misadventures-of-awkward-black-girl
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Biloxi Blues,"Simon, Neil",0573690405,9780573690402,0573690405,100        pp,3.86,"1,329",1985,"Aug 20, 2010",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Why Simon is so beloved and a true artist of his time (mainly the 60s) is found in this extraordinary charactger study before the growing-up that AmerWhy Simon is so beloved and a true artist of his time (mainly the 60s) is found in this extraordinary charactger study before the growing-up that America and Americans had to do in WWII. Before the battlefield, we get soldiers off to war, at boot camp, attending functions, having adult fun and kid dilemmas. All eight or so characters are Charming (capital C) to say the least. The script is infused with funny dialogue--you can envision the beats caused by such cute, innocent, but tremendously clever lines. The animals going to the slaughter--grade A gallows humor. I see the playwrights strength in genuine comedy, true charactarization, and a perfect arena for these singular creations to do their best. Classic status, at this point....more",Notes are private!,0,8,1,"Feb 07, 2024","Feb 07, 2024","Feb 07, 2024",,Paperback,view (with text),/book/show/228632.Biloxi_Blues
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Beyond the Pixie Dust: Becoming an Apprentice of the Kingdom,"Avery, Josh",1683903056,9781683903055,1683903056,150        pp,4.18,11,unknown,"Apr 29, 2021",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Basically reads like an undergraduate attempt at a Master's thesis. Liking something popular (Disneyland and world) to something else thats popular (cBasically reads like an undergraduate attempt at a Master's thesis. Liking something popular (Disneyland and world) to something else thats popular (christianity) is pretty much a safe bet. And the pastor puts things together, does convey a few surprises, less than three, about Disneyworld and Walt DIsney factoids. That the park conveys heaven, our version of it certainly, is his thesis. But the abundancy of Bible verses versus the small amount of Disney-related bric-a-brac/detrius is very student-like. Like, I bet he got an A! There are dumb quotes too--from at least 4 Christian bands. Obviously this dude's version of white heaven is Christian but also capitalistic and facile. Yes, he is pretty lucky to frequent Disney parks and stuff--but buddy, this is saying NOTHING.Also, lets not forget that Star Wars was not Disney only a few years back. If so, why does he make an argument for the Star Wars bible-like stories, if not an original part of Walt's master design? True story, I found this book in a New Orleans bookstore for free. I don't even want to leave it where it was, just to save the next reader from this glorified doodad. A souvenir....more",Notes are private!,0,5,1,"Feb 07, 2024","Feb 07, 2024","Feb 07, 2024",,Paperback,view (with text),/book/show/57927222-beyond-the-pixie-dust
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Exit West,"Hamid, Mohsin",0735212171,9780735212176,0735212171,231        pp,3.75,"138,444","Mar 07, 2017","Mar 07, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Brilliant in its telling--a simplicity that is shared through various modern lives of migrants--it tells a basic yet important story of displaced peopBrilliant in its telling--a simplicity that is shared through various modern lives of migrants--it tells a basic yet important story of displaced people who go place to place, always in the fringes of those city societies. Because its modern, you would imagine less violence and unfairness. Of death and loss that feels inhuman and unnecessary. Why did I feel the novel on the same shelf as Steinbeck's novella The Pearl? It is short, and tells of a partnership that endures ordeals and succeeds only through acting as a unit, together....more",Notes are private!,0,16,1,"Feb 04, 2024","Feb 05, 2024","Feb 07, 2024",,Hardcover,view (with text),/book/show/30688435-exit-west
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Rhinocéros,"Ionesco, Eugène",2070368165,,,246        pp,3.83,"16,589",1959,"Aug 03, 1992",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Would be a spectacle to see live!The outrageousness of the premise--everyone turning into these animal beasts to trump around the city--is a sight to Would be a spectacle to see live!The outrageousness of the premise--everyone turning into these animal beasts to trump around the city--is a sight to behold. Strange and surreal enough to be both entertaining and enlightening. A treat....more,Notes are private!,0,8,1,"Jan 11, 2024","Jan 26, 2024","Jan 11, 2024",,Paperback,view (with text),/book/show/27736.Rhinoc_ros
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Prophets,"Jones Jr., Robert*",,,,400        pp,3.92,"20,331","Jan 05, 2021","Jan 05, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Compelling! Two gay slaves are found out....The brutality is made lyrical--the love story shines through. It's a love of humanity.Compelling! Two gay slaves are found out....The brutality is made lyrical--the love story shines through. It's a love of humanity....more,Notes are private!,0,13,1,"Jan 11, 2024","Jan 11, 2024","Dec 22, 2023",,Hardcover,view (with text),/book/show/52576333-the-prophets
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Year of Rest and Relaxation,"Moshfegh, Ottessa",0525522131,9780525522133,0525522131,289        pp,3.64,"394,757","Jul 10, 2018","Jun 25, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"""Boldest and most celebrated"" new voices in literature--alright! She is unique, her story--about a woman trying to press the reset button to enjoy lif""Boldest and most celebrated"" new voices in literature--alright! She is unique, her story--about a woman trying to press the reset button to enjoy life better, to clear away the spiderwebs of waking life--is a true treat. Is she mad? Yep. Does she take us there? Yes, again! Details of a modern life are properly exalted. ...more",Notes are private!,0,14,1,"Dec 21, 2023","Dec 21, 2023","Dec 21, 2023",,Paperback,view (with text),/book/show/44279110-my-year-of-rest-and-relaxation
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Big Sleep        (Philip Marlowe, #1)","Chandler, Raymond",0394758285,9780394758282,0394758285,231        pp,3.95,"155,376","Feb 06, 1939","Jul 12, 1988",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Exemplary. The main character is a firecracker! A professional, a drinker, a sleuth.As strong of a detective debut as Ian Fleming's ""Casino Royale.""Exemplary. The main character is a firecracker! A professional, a drinker, a sleuth.As strong of a detective debut as Ian Fleming's ""Casino Royale.""...more",Notes are private!,1,12,1,"Dec 21, 2023","Dec 21, 2023","Dec 21, 2023",,Paperback,view (with text),/book/show/2052.The_Big_Sleep
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Beggar's Pawn: A Novel,"L'Heureux, John",0143135236,9780143135234,0143135236,272        pp,3.32,96,unknown,"Aug 04, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Intriguing and real. However, that the protagonists are so well off--this distances a common reader like myself. (Poor.) The ending is good--wish therIntriguing and real. However, that the protagonists are so well off--this distances a common reader like myself. (Poor.) The ending is good--wish there were more scenes to really make the tragedy really tragic....more",Notes are private!,0,8,1,"Dec 21, 2023","Dec 21, 2023","Dec 21, 2023",,Paperback,view (with text),/book/show/49344749-the-beggar-s-pawn
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Scrappy Little Nobody,"Kendrick, Anna",1501117203,9781501117206,1501117203,275        pp,3.86,"96,810","Nov 15, 2016","Nov 15, 2016",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Quite a comedic and talented young actress--this autobio is GREAT. From child prodigy to ""little nobody"" (nominated for both an Oscar and Tony--beforeQuite a comedic and talented young actress--this autobio is GREAT. From child prodigy to ""little nobody"" (nominated for both an Oscar and Tony--before turning 12 and 25!)--seriously good stuff. Insidery, judgey, FUNNY....more",Notes are private!,0,8,1,"Dec 21, 2023","Dec 21, 2023","Dec 21, 2023",,Hardcover,view (with text),/book/show/29868610-scrappy-little-nobody
