,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Michael's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Glass Hotel,"Mandel, Emily St. John*",0525521143,9780525521143,0525521143,307        pp,3.69,"172,183","Mar 24, 2020","Mar 24, 2020",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Interesting to see the split love-it-or hate it reactions to the book. I'm in the camp of ""loved Station 11 but this was a major letdown."" Yet i read Interesting to see the split love-it-or hate it reactions to the book. I'm in the camp of ""loved Station 11 but this was a major letdown."" Yet i read the entire book hungrily. Thanks to the scattered structure and hollow characterizations, it is an empty page-turner. So a one-star  elevates to two since I actually kept reading. ...more",Notes are private!,0,0,1,not set,"Jul 25, 2021","Jul 26, 2021",,Hardcover,view (with text),/book/show/45754981-the-glass-hotel
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The River,"Heller, Peter",0525521879,9780525521877,0525521879,253        pp,3.85,"40,056","Mar 05, 2019","Mar 05, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is probably the most gripping and suspenseful of Heller's books, and something of a comeback from the dreadful Celine. He manages to pack three nThis is probably the most gripping and suspenseful of Heller's books, and something of a comeback from the dreadful Celine. He manages to pack three nailbiting stories--the run from a huge forest fire, attempted-murder mystery, and escape from Really Bad Guys--into a single narrative that alternates terror with lyrical descriptions of landscape, nature, and of course fishing. Those awaiting a female character of depth and consequence -- keep waiting. The main women character is mostly comatose. ...more",Notes are private!,0,0,2,not setMay 2019,not setnot set,"Aug 05, 2019",,Hardcover,view (with text),/book/show/40216324-the-river
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Home for Erring and Outcast Girls,"Kibler, Julie*",0451499336,9780451499332,0451499336,400        pp,3.67,"5,611","Jul 23, 2019","Jul 23, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Aug 05, 2019",,Hardcover,view,/book/show/36723112-home-for-erring-and-outcast-girls
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Rising Tide: the Great Missisippi Flood of 1927 and How it Changed America,"Barry, John M.",0684840022,9780684840024,B007CKZ3WG,524        pp,4.22,"5,489","Apr 09, 1997","Jan 01, 1997",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"You know you could be in trouble when a book weighs more than a week's groceries and starts in about 1812 even though ""1927"" is in the title. ObviouslYou know you could be in trouble when a book weighs more than a week's groceries and starts in about 1812 even though ""1927"" is in the title. Obviously many readers enjoyed being stuck in the mud of Mississippi River history, hydrology, and engineering, including 50-page mini-bios of 19th-century engineers you probably haven't heard of. Me, I skimmed to the good stuff, the actual death and destruction of the Great Flood, which, remarkably, actually started in 1926 with pounding rains continuing through the next spring, when the levees broke and all hellwaters broke loose. Barry's flood of words make you feel every raindrop, surge and swell, which might make you wish for escape as did the victims in its path. (But you can't and wind up feeling waterlogged at best.) The challenge of books like this is finding the sweep of narrative instead of chronologically listing and expounding upon a series of people, places and events. Even David McCullough struggles with this in worthy efforts like ""the Path Between the Seas"" and ""The Great Bridge."" ...more",Notes are private!,0,0,1,"Jan 19, 2019",not set,"Jan 19, 2019",,Paperback,view (with text),/book/show/49376.Rising_Tide
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,French Exit,"deWitt, Patrick",0062846949,9780062846945,,256        pp,3.55,"26,076","Aug 28, 2018","Aug 28, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A kind of farce-tragedy, the story is slight; the humor dry but a bit twee; the characters not very likeable; but DeWitt is such a good writer, especiA kind of farce-tragedy, the story is slight; the humor dry but a bit twee; the characters not very likeable; but DeWitt is such a good writer, especially strong at quick sketches: ""Soon came Dr. Touche, a sleepy-eye and swarthy man with the hands of a female adolescent."" ""Tom's foremost characteristic was his handsomeness; his second was his normality; his third was his absolute lack of humor; his fourth, his inability to be embarrassed."" ...more",Notes are private!,0,0,2,not setJan 2019,not setnot set,"Jan 19, 2019",,ebook,view (with text),/book/show/36300687-french-exit
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Celine,"Heller, Peter",1524751065,9781524751067,1524751065,12        pp,3.78,"13,881","Mar 07, 2017","Mar 07, 2017",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"There's about 100 pages of decent mystery story in these 311 pages. For some reason the author became obsessed with family history/backstory, which isThere's about 100 pages of decent mystery story in these 311 pages. For some reason the author became obsessed with family history/backstory, which is of almost no interest. Imagine you're at a wedding and get stuck at a table with a bunch of stuffy patricians, who begin recounting dull tales of Buffy and Mitsy and that time at Nantucket that would put you in a coma even if you happened to know Buffy and Mitsy. That's what reading most of this is like. Furthermore, Heller invents a rather original heroine, the New York society lady turned gun-toting P.I., and then hands all the juicy parts over to her husband, a bad caricature of a swamp Yankee. Dog Stars was pretty good but you can skip this one. I was trapped it is was the only audio file I brought on a long driving trip. ...more",Notes are private!,0,2,2,"Mar 22, 2018not set","Mar 24, 2018not set","Apr 12, 2018",,Audio CD,view (with text),/book/show/30687236-celine
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Manhattan Beach,"Egan, Jennifer*",1476716730,9781476716732,1476716730,438        pp,3.62,"87,024","Oct 03, 2017","Oct 03, 2017",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 12, 2018",,Hardcover,view,/book/show/34467031-manhattan-beach
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Circle        (The Circle, #1)","Eggers, Dave",,,0385351399,493        pp,3.43,"217,687","Oct 08, 2013","Oct 08, 2013",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I am terrified of the digital near-future described in this book. The future of ""All that Happens is Known"" is probably already here with our every moI am terrified of the digital near-future described in this book. The future of ""All that Happens is Known"" is probably already here with our every move and taste digitally monitored. This is especially pertinent as I live in a region wooing Amazonia II and its 50,000 highly paid, highly educated, but possibly brainwashed, and likely obnoxious workforce. Having read and enjoyed Eggers before, I am surprised that the writing is so baggy. It suffers from a surfeit of asides and subplots. Who cares about Mae's mini-kayaking adventures or her dad pooping in his pants? (Those hardly qualify as spoilers.) Also the author sledgehammers his main points with scenes that go on longer than an annoying e-mail chain or Facebook thread. Interestingly (to me), I am half-reading, half-listening to the book, picking up paper where the audio leaves off, and vice versa. The book drags more as a read than a listen. (Maybe that's because driving is so boring.) And yet... there's lots of sharp (if easy) satire here, and some well-drawn characters. Three stars, yes, but must-read, also yes. Eggers has written an Orwellian 1984 for our times....more",Notes are private!,0,0,3,"not setOct 03, 2017Oct 03, 2017",not setnot setnot set,"Oct 03, 2017",,Hardcover,view (with text),/book/show/18302455-the-circle
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Siracusa,"Ephron, Delia*",0399165215,9780399165214,0399165215,304        pp,3.39,"13,065","Jul 12, 2016","Jul 12, 2016",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This was a bit like reading a recent Woody Allen movie--self-absorbed, over-privileged characters playing out their infidelities and neurosis in a graThis was a bit like reading a recent Woody Allen movie--self-absorbed, over-privileged characters playing out their infidelities and neurosis in a grand European setting--in this case Siracusa (Syracuse), Sicily, the ancient capital of the Ionian Sea. This is a reasonably brainy beach read, that for a time veers into quartet sex farce, before a plodding ending (which I will not spoil). Let's say it would be more in place in a tale of Detective Montalbano. (Safe to say none of the Ephrons have forgiven Carl Bernstein.) If a little more high-spirited (in addition to its caustic satitre), this might be a minor class. The tale is told by four narrators, Rashomon-style, and this works well. I was attracted to read this after visiting Siracusa (home base for my Sicilian mom's family) last year. None of the characters cared much for this ancient port, but I loved it. I won't say why because this is not a travel blog. ...more",Notes are private!,0,0,1,not set,"Oct 03, 2017","Oct 03, 2017",,Hardcover,view (with text),/book/show/27246115-siracusa
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Iron Curtain: The Crushing of Eastern Europe 1944-1956,"Applebaum, Anne",0385515693,9780385515696,0385515693,566        pp,4.08,"6,540","Oct 30, 2012","Oct 30, 2012",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,"Oct 03, 2017Jul 08, 2017","Oct 03, 2017Oct 03, 2017","Jul 08, 2017",,Hardcover,view,/book/show/13531848-iron-curtain
