,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Sara Nelson's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Woman on Fire,"Barr, Lisa*",0063040883,9780063040885,0063040883,416        pp,4.00,"28,936","Mar 01, 2022","Mar 01, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 19, 2024",,Paperback,view,/book/show/58275730-woman-on-fire
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Goddess of Warsaw,"Barr, Lisa*",0063296608,9780063296602,0063296608,368        pp,4.78,82,"May 21, 2024","May 28, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 19, 2024",,Paperback,view,/book/show/197448682-the-goddess-of-warsaw
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Taking of Jemima Boone: Colonial Settlers, Tribal Nations, and the Kidnap That Shaped America","Pearl, Matthew*",0062937782,9780062937780,0062937782,288        pp,3.64,"2,299","Oct 05, 2021","Oct 05, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 29, 2021",,Hardcover,view,/book/show/56554585-the-taking-of-jemima-boone
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Queen of Tuesday,"Strauss, Darin",0812992768,9780812992762,0812992768,336        pp,2.96,710,"Aug 18, 2020","Aug 18, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Excellent!,Notes are private!,0,6,1,not set,not set,"Dec 30, 2020",,Hardcover,view (with text),/book/show/50488488-the-queen-of-tuesday
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Witches of St. Petersburg        (Russian Witches, #1)","Edwards-Jones, Imogen",0062848518,9780062848512,0062848518,440        pp,3.32,"3,785",Sep 2018,"Jan 22, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,16,1,not set,not set,"Jan 22, 2019",,Paperback,view,/book/show/39813133-the-witches-of-st-petersburg
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"To Siri With Love: A Mother, Her Autistic Son, and the Kindness of a Machine","Newman, Judith",1784298301,9781784298302,B01C37272G,240        pp,3.23,"1,972","Aug 24, 2017","Aug 24, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"You don't have to have an autistic child, be a mother, or have even heard of Siri, the electronic personal assistant (as if *that* were possible) to lYou don't have to have an autistic child, be a mother, or have even heard of Siri, the electronic personal assistant (as if *that* were possible) to love To Siri with Love. YOu need only be a person. Newman is always an observant funny writer -- you might know her from articles in the New York Times, O the Oprah Magazine, and others -- but what struck me here was how her tone moves from the emotional (but never sappy) to the matter-of-fact, personal to reportorial, frustrated to extravagantly loving. Chronicling a year in the life of her on-the-spectrum son, Gus and their slightly off-kilter family, Newman touches and teaches, but wears her experience lightly and never didactically. Gus is the star of the show, obviously, and the ways he finds to engage with the world are fascinating and important. But to me, it's Newman's voice -- generous and funny -- that carries the day. ...more",Notes are private!,0,20,1,not set,not set,"Aug 22, 2017",,Kindle Edition,view (with text),/book/show/30177646-to-siri-with-love
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"To Siri with Love: A Mother, Her Autistic Son, and the Kindness of Machines","Newman, Judith",0062413627,9780062413628,0062413627,256        pp,3.23,"1,972","Aug 24, 2017","Aug 22, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,9,1,not set,not set,"Aug 22, 2017",,Hardcover,view,/book/show/30653909-to-siri-with-love
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lottery and Other Stories,"Jackson, Shirley",,,B0056IAXW6,324        pp,4.03,"77,566",1949,"Mar 16, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 30, 2017",not set,"Jul 30, 2017",,Kindle Edition,view,/book/show/11781322-the-lottery-and-other-stories
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Behold the Dreamers,"Mbue, Imbolo*",0812998480,9780812998481,0812998480,385        pp,3.95,"80,399","Mar 15, 2016","Aug 23, 2016",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Wow, I really loved this book. I read it on hiatus between jobs, which means it was about 10 books ago. And there are scenes that I still think about.Wow, I really loved this book. I read it on hiatus between jobs, which means it was about 10 books ago. And there are scenes that I still think about. It's the story of a west African man and his wife who've come to the United States on the eve of the great recession; the man gets a job as a driver to a rich, white master of the universe (albeit one who is about to fall along with Lehman Brothers) It's a simple set up and while some of the results of this marriage-of-opposites are somewhat expected -- who is the truly smart man, the one who knows what matters: the rich businessman or his chauffeur? -- the tone of this book is so buoyant and joyful, the plot is almost beside the point. That said, there are details and minor characters here that are exactly the right kind of charming, and twists that I didn't see coming -- e. g. when the chauffeur's wife turns the tables on her unhappy and addled employer. And I was not sure, up until the very end, whether the couple would stay or go, post crash. In some ways this debut (the author is from the same town in Cameroon as her characters) is almost a fairy tale, but it's a grown up one with some plenty down-to-earth twists and turns. ...more",Notes are private!,0,20,1,not set,not set,"Aug 24, 2016",,Hardcover,view (with text),/book/show/26025588-behold-the-dreamers
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mercury,"Livesey, Margot*",0062437534,9780062437532,,352        pp,3.35,"1,433","Sep 01, 2016","Sep 27, 2016",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"If I said this book was about ""middle aged passion,"" you might expect the heroine to fall in love with a younger man, or even an age appropriate one. If I said this book was about ""middle aged passion,"" you might expect the heroine to fall in love with a younger man, or even an age appropriate one. But the heroine of Margot Livesey's latest finds her midlife passion for . . .a horse. Hers is not a romantic liaison, of course, but it is a truly all consuming, drive-you-mad relationship that causes our heroine to make ill considered decisions, risk other valued relationships and even break with some of her most dearly held political beliefs. I've long been a fan of Margot Livesey for her quiet, wise observances of contemporary life, and Mercury doesn't disappoint. It reminds us that even the most intelligent and careful among us can need to feel connected and committed to the feelings -- and creatures -- that make us feel most alive. ...more",Notes are private!,0,25,1,not set,not set,"Aug 22, 2016",,ebook,view (with text),/book/show/28446368-mercury
