,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,theduckthief's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Doomsday Book        (Oxford Time Travel, #1)","Willis, Connie",0553562738,9780553562736,0553562738,578        pp,4.03,"59,946","Jun 05, 1992",Jul 1992,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 07, 2024",,Mass Market Paperback,view,/book/show/24983.Doomsday_Book
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Between Two Fires,"Buehlman, Christopher*",1937007863,9781937007867,1937007863,432        pp,4.27,"19,661","Oct 02, 2012","Oct 02, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 07, 2024",,Hardcover,view,/book/show/13543121-between-two-fires
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Emperor's Blades        (Chronicle of the Unhewn Throne, #1)","Staveley, Brian*",0765336405,9780765336408,0765336405,480        pp,4.09,"39,866","Jan 14, 2014","Jan 14, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 07, 2024",,Hardcover,view,/book/show/17910124-the-emperor-s-blades
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The King in Yellow,"Chambers, Robert W.",153905344X,9781539053446,153905344X,224        pp,3.55,"19,421",1895,"Sep 24, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 07, 2024",,Paperback,view,/book/show/32277642-the-king-in-yellow
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,At the Mountains of Madness,"Lovecraft, H.P.",0812974417,9780812974416,0812974417,194        pp,3.81,"53,621",1931,"Jun 14, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 07, 2024",,Paperback,view,/book/show/32767.At_the_Mountains_of_Madness
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"My Man Jeeves        (Jeeves, #1)","Wodehouse, P.G.",1585678759,9781585678754,1585678759,256        pp,4.06,"43,184","May 01, 1919","May 10, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 07, 2024",,Hardcover,view,/book/show/200572.My_Man_Jeeves
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Mythago Wood        (Mythago Wood, #1)","Holdstock, Robert",0765307294,9780765307293,0765307294,332        pp,3.78,"10,199",1984,"Sep 01, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 07, 2024",,Paperback,view,/book/show/126192.Mythago_Wood
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Parable of the Sower        (Earthseed, #1)","Butler, Octavia E.",0446675504,9780446675505,0446675504,345        pp,4.21,"167,798",Oct 1993,"Jan 01, 2000",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 07, 2024",,Paperback,view,/book/show/52397.Parable_of_the_Sower
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Shadow of What Was Lost        (The Licanius Trilogy, #1)","Islington, James*",099258020X,9780992580209,099258020X,602        pp,4.14,"53,925","Aug 03, 2014","Aug 04, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 07, 2024",,Paperback,view,/book/show/22878967-the-shadow-of-what-was-lost
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Historian,"Kostova, Elizabeth",,,B000FCK6EI,704        pp,3.80,"265,520","Jun 14, 2005",May 2016,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 07, 2024",,Kindle Edition,view,/book/show/30236962-the-historian
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Wager: A Tale of Shipwreck, Mutiny and Murder","Grann, David*",0385534264,9780385534260,0385534264,354        pp,4.21,"96,390","Apr 18, 2023","Apr 18, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 07, 2024",,Hardcover,view,/book/show/61714633-the-wager
