,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Kevidently's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Leeteg: Babes, Bars, Beaches, and Black Velvet Art","Cook, CJ*",0998422428,9780998422428,0998422428,256        pp,4.83,6,unknown,"Jun 15, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"It’s weird to read a book about an artist whose work you admire but whose personality you kind of abhor. There’s a lot of good-natured descriptions ofIt’s weird to read a book about an artist whose work you admire but whose personality you kind of abhor. There’s a lot of good-natured descriptions of Edgar Leeteg, painter of black velvet masterpieces, as a boozer, a brawler, and an all-time lothario. These aspects add to his myth, and I love that sort of myth-making. I’ve read a lot of histories about talented white straight dudes from the early-to-mid twentieth century and there’s always a bit of legend that comes with the reality. Less easy to incorporate into the fun-loving concept is Leeteg’s misogyny, xenophobia, homophobia, and racism. The authors are clear on all these fronts but tend to shrug them off. I don’t think a wide-eyed biography (bordering a little on hagiography) has to necessarily decry its subject matter on moralities not consistent with 21st century values, but it’s something that took a little of the shine off of Leeteg’s legend for me.As for the art? It’s amazing. I’ve read a lot about lowbrow art (a designation Leeteg himself would probably approve of for his work), and I think it’s time to start recognizing it as legitimate art. I’m not one of those people who think we should canonize every formerly “bad” thing because it now has a cult following (yes, even Grease 2, which I love). But Leeteg’s art - despite the medium, despite the fact that he painted from photographic inspiration - evokes such a time, a place, and an attitude that I believe it deserves recognition as art, full stop. ...more",Notes are private!,0,1,1,"Mar 08, 2024","Mar 31, 2024","Mar 31, 2024",,Hardcover,view (with text),/book/show/55889485-leeteg
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Carrie,"King, Stephen*",1416524304,9781416524304,1416524304,272        pp,3.99,"721,546",1974,"Jan 01, 2005",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Mar 25, 2024","Mar 28, 2024","Mar 28, 2024",,Mass Market Paperback,view,/book/show/10592.Carrie
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,World's Fair,"Doctorow, E.L.",0452275725,9780452275720,0452275725,304        pp,3.84,"4,676","Oct 12, 1985","May 01, 1996",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Mar 06, 2024","Mar 26, 2024","Mar 26, 2024",,Paperback,view,/book/show/24910.World_s_Fair
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Perfect Little World,"Wilson, Kevin*",,,B01F1WX5R6,352        pp,3.66,"13,685","Jan 24, 2017","Jan 24, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Mar 02, 2024","Mar 10, 2024","Mar 11, 2024",,Kindle Edition,view,/book/show/29229956-perfect-little-world
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hollywood Signs: Glittering Graphics and Glowing Neon in Mid-Century Tinseltown,"Kikkert, Kathy",162640125X,9781626401259,162640125X,176        pp,3.80,5,unknown,"Aug 15, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Feb 10, 2024","Feb 21, 2024","Feb 21, 2024",,Hardcover,view,/book/show/123266818-hollywood-signs
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Where the Body Was,"Brubaker, Ed",1534398260,9781534398269,1534398260,144        pp,4.19,"1,332","Jan 16, 2024","Jan 16, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 04, 2024","Feb 05, 2024","Feb 04, 2024",,Hardcover,view,/book/show/168386479-where-the-body-was
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lincoln in the Bardo,"Saunders, George",0812995341,9780812995343,0812995341,368        pp,3.75,"155,261",2017,"Feb 14, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,One of the weirdest and best books I’ve ever read.,Notes are private!,0,4,1,"Jan 29, 2024","Feb 02, 2024","Feb 02, 2024",,Hardcover,view (with text),/book/show/29906980-lincoln-in-the-bardo
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Alice's Adventures in Wonderland        (Alice's Adventures in Wonderland, #1)","Carroll, Lewis",0688110878,9780688110871,0688110878,196        pp,4.00,"384,923",Nov 1865,"May 19, 1992",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Jan 27, 2024","Jan 29, 2024","Jan 29, 2024",,Hardcover,view,/book/show/83345.Alice_s_Adventures_in_Wonderland
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Leisure Architecture of Wayne McAllister,"Nichols, Chris",1586856995,9781586856991,1586856995,160        pp,4.00,32,"Mar 09, 2007","Mar 09, 2007",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jan 13, 2024","Jan 28, 2024","Jan 28, 2024",,Perfect Paperback,view,/book/show/614687.The_Leisure_Architecture_of_Wayne_McAllister
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Before the Birds Sang Words,"Bruce, Ken",,9798218241063,B0CMSFQL9H,396        pp,4.62,8,unknown,2023,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"For such a quaint attraction, the Enchanted Tiki Room was a groundbreaking blockbuster in its day. When it first opened, no one had ever seen anythingFor such a quaint attraction, the Enchanted Tiki Room was a groundbreaking blockbuster in its day. When it first opened, no one had ever seen anything like it. Birds were singing calypso! Flowers were singing in Hawaiian! The very walls were coming to life! The attraction, a favorite of Disneyland parkgoers for half a century, came to its current form after years of painstaking trial and error, sponsorships coming and going, assistance from a government missile system, and more. The creative talents of designers, actors, singers, artists, and technicians came together to bring Walt Disney's astounding (and ever-shifting) vision to life, and Ken Bruce's book delves into every aspect of that vision. From deep dives into Disney histories, making tech advancements accessible and exciting, and maintaining a reverence for tradition while also understanding the limitations and preconceptions of the time period, Bruce delivers an exhaustive and thrilling book on one of the best theme park experiences of all time....more",Notes are private!,0,1,1,"Jan 10, 2024","Jan 24, 2024","Jan 24, 2024",,Hardcover,view (with text),/book/show/201741977-before-the-birds-sang-words
