,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Ed's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The GOOD DETECTIVE: THE GOOD DETECTIVE,"Holt, Patricia",067188672X,9780671886721,067188672X,336        pp,3.25,4,1994,"Nov 01, 1994",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Paperback,view,/book/show/491544.The_GOOD_DETECTIVE
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Jay J. Armes, Investigator: The World's Most Successful Private Eye","Armes, Jay J.; Nolan",0025032003,9780025032002,0025032003,unknown,3.80,35,"Jan 01, 1976","Jan 01, 1976",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Hardcover,view,/book/show/1140951.Jay_J_Armes_Investigator
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Gumshoe: Reflections in a Private Eye,"Thompson, Josiah",0449217698,9780449217696,0449217698,320        pp,3.68,40,1988,"Sep 30, 1989",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Paperback,view,/book/show/491570.Gumshoe
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tryst,"Lynskey, Ed*",,9798868351976,B0D1147BMD,118        pp,0.00,0,unknown,"Apr 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 11, 2024",not set,"Apr 06, 2024",,Paperback,view,/book/show/210947189-tryst
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Unmasked: My Life Solving America's Cold Cases,"Holes, Paul*",1250622794,9781250622792,1250622794,288        pp,4.10,"24,289","Apr 26, 2022","Apr 26, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 06, 2024",not set,"Apr 06, 2024",,Hardcover,view,/book/show/57693618-unmasked
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tryst        (P.I. Frank Johnson Mystery Book 25),"Lynskey, Ed*",,,B0CZY9X4T7,157        pp,0.00,0,unknown,"Apr 04, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 05, 2024",not set,"Apr 05, 2024",,Kindle Edition,view,/book/show/210907051-tryst
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Blacktop Wasteland,"Cosby, S.A.*",,,,285        pp,4.08,"39,791","Jul 14, 2020","Jul 14, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Violent and visceral crime noir has memorable characters and a slambang pace.,Notes are private!,0,7,1,not set,not set,"Apr 05, 2024",,Hardcover,view (with text),/book/show/51182571-blacktop-wasteland
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Professor and the Madman: A Tale of Murder, Insanity and the Making of the Oxford English Dictionary","Winchester, Simon",0060839783,9780060839789,0060839783,242        pp,3.84,"116,911","Sep 28, 1998",2005,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Did you ever wonder how a dictionary is written? This nonfiction title answers that question with a bizarre story. Very enjoyable and interesting.,Notes are private!,0,10,1,"Mar 23, 2024","Mar 29, 2024","Mar 23, 2024",,Paperback,view (with text),/book/show/25019.The_Professor_and_the_Madman
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ozark Dogs,"Cranor, Eli*",1641294531,9781641294539,1641294531,312        pp,3.73,"2,026","Apr 04, 2023","Apr 04, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,8,1,"Mar 14, 2024","Mar 22, 2024","Mar 14, 2024",,Hardcover,view,/book/show/61409932-ozark-dogs
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Framed        (P.I. Frank Johnson Mystery Book 24),"Lynskey, Ed*",,,B0CW1GQKS1,152        pp,0.00,0,unknown,"Mar 08, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 10, 2024","Mar 20, 2024","Mar 10, 2024",,Kindle Edition,view,/book/show/209681342-framed
