,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Maria's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cruciada copiilor,"Ilis, Florina",9732318732,,,488        pp,3.95,225,2005,2005,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 06, 2024",not set,"Apr 06, 2024",,Paperback,view,/book/show/6177354-cruciada-copiilor
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Doamna Hayat,"Altan, Ahmet",6069786807,9786069786802,6069786807,288        pp,4.08,"1,132",2021,"Nov 20, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,1,"Mar 29, 2024","Mar 31, 2024","Mar 29, 2024",,Paperback,view,/book/show/203689181-doamna-hayat
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Eșafodul,"Aitmatov, Chingiz",,,,320        pp,4.28,"1,991",1986,1991,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Mar 19, 2024","Mar 28, 2024","Mar 19, 2024",,Paperback,view,/book/show/24728962-e-afodul
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Batranii ticalosi,"Amis, Kingsley",,,,unknown,3.33,"3,746",1986,2018,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Mar 04, 2024","Mar 12, 2024","Mar 04, 2024",,Paperback,view,/book/show/40663661-batranii-ticalosi
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Gâtul girafei,"Schalansky, Judith",,,,unknown,3.19,"2,160","Sep 12, 2011","Nov 01, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 29, 2024","Mar 04, 2024","Feb 29, 2024",,Paperback,view,/book/show/32847328-g-tul-girafei
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fărâme de viaţă,"Shalev, Zeruya",,,,480        pp,3.79,536,2011,Sep 2012,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,10,1,"Feb 22, 2024","Feb 28, 2024","Feb 22, 2024",,Paperback,view,/book/show/16006098-f-r-me-de-via
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Monștri fabuloși Dracula, Alice, Superman și alți prieteni literari","Manguel, Alberto*",,9786064316707,,unknown,3.78,451,"Sep 24, 2019","Oct 06, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 18, 2024","Feb 20, 2024","Feb 18, 2024",,Paperback,view,/book/show/199294516-mon-tri-fabulo-i-dracula-alice-superman-i-al-i-prieteni-literari
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mai puţin decât dragostea,"Crețu, Bogdan",,9789734696888,,456        pp,4.43,46,unknown,2023,it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Mi-a venit destul de greu să termin această carte, mai ales în ultimele pagini senzația de sufocare devenind preponderentă.De la început, la sfârșit, Mi-a venit destul de greu să termin această carte, mai ales în ultimele pagini senzația de sufocare devenind preponderentă.De la început, la sfârșit, tonul romanului mi s-a părut unul fals, intriga plină de poncife, iar caracterele greu credibile. Nu mai iau în discuție planurile pe care se desfășoară narațiunea.Am ezitat mult înainte să cumpăr cartea, iar acum, după ce-am citit-o, îmi pare rău că nu mi-am urmat intuiția....more",Notes are private!,0,6,1,"Feb 16, 2024","Feb 18, 2024","Feb 16, 2024",,Paperback,view (with text),/book/show/203641628-mai-pu-in-dec-t-dragostea
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Călătorie într-o fotografie,"Radu, Dia",6064316756,9786064316752,6064316756,272        pp,4.59,17,unknown,unknown,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Când m-am apucat în după-amiaza asta de cartea de interviuri a Diei Radu, nu mi-am închipuit că ea va fi atât de fascinantă, încât o voi sorbi în doarCând m-am apucat în după-amiaza asta de cartea de interviuri a Diei Radu, nu mi-am închipuit că ea va fi atât de fascinantă, încât o voi sorbi în doar câteva ore. Acum, la momentul terminării ei, nu pot hotărî care dintre interviuri mi-a plăcut mai mult, fiecare în parte fiind foarte bun. Dia Radu știe cum să întrebe și ce să întrebe pentru a prinde perfect în cuvinte sufletul persoanei intervievate și pentru a-l revela muritorului de rând care eștu tu, cititorul. Dacă sunteți cititori ai genului ""interviu"", cartea aceasta vă va bucura, cu siguranță....more",Notes are private!,0,1,1,"Feb 16, 2024","Feb 16, 2024","Feb 16, 2024",,Paperback,view (with text),/book/show/200982956-c-l-torie-ntr-o-fotografie
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Între vii,"Popa, Iulian*",,9789735082222,,272        pp,4.73,15,unknown,"Dec 22, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Pornind de la mărturisirea autorului de pe coperta a treia despre ce și-a propus, și constatarea proprie despre ce i-a reușit, nu pot să nu apreciez cPornind de la mărturisirea autorului de pe coperta a treia despre ce și-a propus, și constatarea proprie despre ce i-a reușit, nu pot să nu apreciez că ""Între vii"" este un roman scris cu talent, onest și plin de promisiuni privind viitorul lui Iulian Popa în literatura contemporană.Bref: mi-a plăcut!...more",Notes are private!,0,2,1,"Feb 15, 2024","Feb 16, 2024","Feb 15, 2024",,Paperback,view (with text),/book/show/203117367-ntre-vii
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Instabil,"Burcescu, Ruxandra*",9735074915,9789735074913,,232        pp,4.30,142,May 2022,May 2022,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Feb 07, 2024","Feb 12, 2024","Feb 07, 2024",,Paperback,view,/book/show/61085906-instabil
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Așa ceva nu ți s-ar putea întâmpla niciodată,"McGregor, Jon",973724673X,9789737246738,973724673X,224        pp,3.60,"1,160","Feb 01, 2012",May 2016,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,5,1,"Feb 06, 2024","Feb 14, 2024","Feb 06, 2024",,Paperback,view,/book/show/31816801-a-a-ceva-nu-i-s-ar-putea-nt-mpla-niciodat
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,În creștere,"Mateiu, Mihai",,9786064019356,,160        pp,3.87,83,unknown,May 2023,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Mi-a plăcut volumul de proză scurtă ""În creștere"" al lui Mihai Mateiu, apărut în 2023 la editura Trei, ba chiar mi-am reamintit cu plăcere cum îi remaMi-a plăcut volumul de proză scurtă ""În creștere"" al lui Mihai Mateiu, apărut în 2023 la editura Trei, ba chiar mi-am reamintit cu plăcere cum îi remarcasem autorului prima proză din volum care i-a apărut inițial în antologia Humanitas din 2018 ""16 prozatori de azi"".O frazare impecabilă, capacitatea de a te imersa în proza lui rotundă, perfectă, și, nu în ultimul rând, faptul că ți-aduce aminte de tine tânăr....more",Notes are private!,0,2,1,"Feb 05, 2024","Feb 06, 2024","Feb 05, 2024",,Paperback,view (with text),/book/show/170205975-n-cre-tere
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Meridianul sângelui,"McCarthy, Cormac",973461861X,9789734618613,973461861X,408        pp,4.16,"164,503","Apr 28, 1985",2011,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,5,1,"Feb 02, 2024","Feb 22, 2024","Feb 02, 2024",,Paperback,view,/book/show/10620542-meridianul-s-ngelui
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hamnet,"O'Farrell, Maggie*",1472223799,9781472223791,1472223799,372        pp,4.20,"255,739","Mar 31, 2020","Mar 31, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Jan 31, 2024","Feb 05, 2024","Jan 31, 2024",,Hardcover,view,/book/show/43890641-hamnet
