,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Amber's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Rumours of a Better Country: Searching for trust and community in a time of moral outrage,"Moyle, Marsh",1789744679,9781789744675,1789744679,272        pp,4.29,7,unknown,"Oct 19, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 09, 2024",,Hardcover,view,/book/show/125396880-rumours-of-a-better-country
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Paper Towns,"Green, John*",014241493X,9780142414934,B003F76HBG,305        pp,3.71,"1,357,456","Oct 16, 2008","Sep 22, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Jan 2012,Jan 2012,"Apr 06, 2024",,Paperback,view,/book/show/6442769-paper-towns
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The End of Alzheimer's Program: The First Protocol to Enhance Cognition and Reverse Decline at Any Age,"Bredesen, Dale E.",052553850X,9780525538509,B081Y3QF4C,351        pp,4.17,396,unknown,"Aug 18, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 04, 2024",,Kindle Edition,view,/book/show/51158469-the-end-of-alzheimer-s-program
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A to Z Mysteries Super Edition #14: Leopard on the Loose,"Roy, Ron",,,B097ZDV1KJ,143        pp,4.33,86,unknown,"Mar 15, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 03, 2024",not set,"Apr 03, 2024",,Kindle Edition,view,/book/show/58746667-a-to-z-mysteries-super-edition-14
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"An Easy Start in Arithmetic, Grades K-3","Beechick, Ruth",0940319012,9780940319011,0940319012,27        pp,4.27,62,Jun 1986,"Sep 01, 1986",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is more a pamphlet than a book, but highly useful for anyone planning math curriculum for the K-3 range, especially if they want to avoid instillThis is more a pamphlet than a book, but highly useful for anyone planning math curriculum for the K-3 range, especially if they want to avoid instilling the student with “math anxiety.”...more",Notes are private!,0,0,1,Apr 2024,"Apr 10, 2024","Apr 01, 2024",,Paperback,view (with text),/book/show/1753784.An_Easy_Start_in_Arithmetic_Grades_K_3
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Colossal Fossil        (A to Z Mysteries Super Edition #10),"Roy, Ron",0399552006,9780399552007,B072SSKH92,142        pp,4.27,259,2018,"Feb 27, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 26, 2024","Apr 02, 2024","Mar 26, 2024",,Kindle Edition,view,/book/show/35482119-colossal-fossil
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Poison at the Pump        (The Imagination Station, #25)","Brack, Chris",1589979745,9781589979741,1589979745,144        pp,4.31,35,unknown,"Apr 07, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 15, 2024","Mar 25, 2024","Mar 15, 2024",,Hardcover,view,/book/show/49891252-poison-at-the-pump
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Forgiveness Garden,"Thompson, Lauren*",0312625995,9780312625993,0312625995,32        pp,3.89,223,"Oct 30, 2012","Oct 30, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 10, 2024",,Hardcover,view,/book/show/13538696-the-forgiveness-garden
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Hundred Dresses,"Estes, Eleanor",0152052607,9780152052607,0152052607,80        pp,4.10,"39,696",1944,"Sep 01, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 10, 2024",,Paperback,view,/book/show/42369.The_Hundred_Dresses
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Jake and Lily,"Spinelli, Jerry",0060281359,9780060281359,0060281359,352        pp,3.97,"5,594","May 08, 2012","May 08, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 10, 2024",,Hardcover,view,/book/show/12924291-jake-and-lily
