,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,britt_brooke's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Operation Shylock: A Confession,"Roth, Philip",,,,400        pp,3.77,"4,564",1993,"Jun 16, 1994",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 11, 2024",,Paperback,view,/book/show/12881.Operation_Shylock
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Age of Magical Overthinking: Notes on Modern Irrationality,"Montell, Amanda*",1668007975,9781668007976,1668007975,272        pp,4.08,464,"Apr 09, 2024","Apr 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 09, 2024",not set,"Apr 09, 2024",,Hardcover,view,/book/show/176443264-the-age-of-magical-overthinking
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Butcher & Blackbird        (The Ruinous Love Trilogy, #1)","Weaver, Brynne*",,9798857497074,B0CFD4KLW9,360        pp,4.17,"137,138","Aug 15, 2023","Aug 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 08, 2024",not set,"Apr 08, 2024",,Paperback,view,/book/show/196864520-butcher-blackbird
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Doppelganger: A Trip into the Mirror World,"Klein, Naomi",0374610320,9780374610326,0374610320,416        pp,4.26,"10,452","Sep 12, 2023","Sep 12, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 08, 2024",not set,"Apr 08, 2024",,Hardcover,view,/book/show/138505710-doppelganger
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Christa Comes Out of Her Shell,"Waxman, Abbi*",0593198794,9780593198797,B0CC1FPWC4,400        pp,3.93,109,"Apr 16, 2024","Apr 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 05, 2024",,Kindle Edition,view,/book/show/191728113-christa-comes-out-of-her-shell
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Headshot,"Bullwinkel, Rita",0593654102,9780593654101,0593654102,224        pp,4.02,342,"Mar 12, 2024","Mar 12, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 04, 2024",not set,"Apr 04, 2024",,Hardcover,view,/book/show/174156218-headshot
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Saga, Volume 11","Vaughan, Brian K.*",1534345930,9781534345935,1534345930,153        pp,4.26,"4,804","Nov 29, 2023","Nov 29, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 04, 2024",,ebook,view,/book/show/29237226-saga-volume-11
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Baby Thief: The Untold Story of Georgia Tann, the Baby Seller Who Corrupted Adoption","Raymond, Barbara Bisantz",0786719443,9780786719440,0786719443,320        pp,3.58,"2,691","Jan 01, 2009","Apr 12, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 03, 2024",not set,"Apr 03, 2024",,Hardcover,view,/book/show/588336.The_Baby_Thief
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Everything She Ever Wanted: A True Story of Obsessive Love, Murder, and Betrayal by Ann Rule",Unknown,,,B004IYEXY8,0        pp,4.00,5,unknown,unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 15, 2024",not set,"Apr 03, 2024",,Unknown Binding,view,/book/show/147369808-everything-she-ever-wanted
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Shattered Silence: The Untold Story of a Serial Killer's Daughter,"Moore, Melissa G.*",1599552388,9781599552385,1599552388,256        pp,3.52,"2,186","Sep 07, 2009","Sep 08, 2009",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,2,not setnot set,not setnot set,"Apr 03, 2024",,Paperback,view,/book/show/6649824-shattered-silence
