,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Trin's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Howl's Moving Castle        (Howl's Moving Castle, #1)","Jones, Diana Wynne",,,,329        pp,4.29,"356,514",Apr 1986,2004,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Reread, just 'cause.Like everyone else, I can't help but compare this to the film. The Miyazaki is a capital-R Romance; this is a rom-com. Both are woReread, just 'cause.Like everyone else, I can't help but compare this to the film. The Miyazaki is a capital-R Romance; this is a rom-com. Both are wonderful....more",Notes are private!,0,4,1,"Apr 03, 2024","Apr 10, 2024","Apr 10, 2024",,Mass Market Paperback,view (with text),/book/show/31680137-howl-s-moving-castle
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Farrell Covington and the Limits of Style,"Rudnick, Paul",1668004739,9781668004739,1668004739,368        pp,4.08,"1,428","Jun 06, 2023","Apr 30, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Paperback,view,/book/show/176443148-farrell-covington-and-the-limits-of-style
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Finna        (LitenVerse, #1)","Cipri, Nino*",1250245737,9781250245731,1250245737,136        pp,3.67,"10,032","Feb 25, 2020","Feb 25, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 09, 2024","Apr 09, 2024","Apr 09, 2024",,Paperback,view,/book/show/53110298-finna
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mina's Matchbox,"Ogawa, Yōko",0593316088,9780593316085,0593316088,288        pp,3.82,654,Apr 2006,"Aug 13, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 05, 2024","Apr 07, 2024","Apr 09, 2024",,Hardcover,view,/book/show/202102049-mina-s-matchbox
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,James,"Everett, Percival",0385550367,9780385550369,0385550367,303        pp,4.63,"6,337","Mar 19, 2024","Mar 19, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Apr 04, 2024","Apr 05, 2024","Apr 05, 2024",,Hardcover,view,/book/show/173754979-james
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Ranger Confidential: Living, Working, And Dying In The National Parks","Lankford, Andrea*",0762752637,9780762752638,0762752637,246        pp,4.01,"5,150","Jan 01, 2010","Apr 02, 2010",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Mar 27, 2024","Apr 04, 2024","Apr 04, 2024",,Paperback,view,/book/show/7872176-ranger-confidential
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Angelika Frankenstein Makes Her Match,"Thorne, Sally*",0062912836,9780062912831,0062912836,384        pp,3.33,"11,880","Sep 06, 2022","Sep 06, 2022",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Mar 25, 2024","Apr 03, 2024","Apr 04, 2024",,Paperback,view,/book/show/59816803-angelika-frankenstein-makes-her-match
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Melting Point: Family, Memory and the Search for a Promised Land: A groundbreaking family history for fans of Edmund de Waal and Philippe Sands","Cockerell, Rachel",1035408910,9781035408917,1035408910,416        pp,4.43,7,unknown,"Feb 29, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 02, 2024","Apr 03, 2024","Apr 04, 2024",,Hardcover,view,/book/show/210423514-melting-point
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Please Don't Kill My Black Son Please,"Wabuke, Hope*",1474620981,9781474620987,B0B8X4PDSD,0        pp,0.00,0,unknown,"Jul 11, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 03, 2024","Apr 03, 2024","Apr 04, 2024",,Kindle Edition,view,/book/show/83867281-please-don-t-kill-my-black-son-please
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,House of Salt and Sorrows,"Craig, Erin A.*",198483195X,9781984831958,198483195X,416        pp,3.91,"90,425","Aug 06, 2019","Aug 04, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 28, 2024","Mar 31, 2024","Mar 31, 2024",,Paperback,view,/book/show/48854702-house-of-salt-and-sorrows
