,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Shauna's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Witness,"Roberts, Nora*",,,0399159371,757        pp,4.24,"83,952","Apr 17, 2012","Apr 17, 2012",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jun 25, 2013",,Paperback,view,/book/show/12716613-the-witness
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,We Learn Nothing,"Kreider, Tim",1439198705,9781439198704,1439198705,240        pp,4.16,"4,918","Jun 12, 2012","Jun 12, 2012",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jun 25, 2013",,Hardcover,view,/book/show/13259887-we-learn-nothing
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Texas Destiny        (Texas Trilogy, #1)","Heath, Lorraine",0451407520,9780451407528,0451407520,384        pp,3.99,"7,666","Jun 01, 1997","Jun 01, 1997",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jun 25, 2013",,Mass Market Paperback,view,/book/show/1814627.Texas_Destiny
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Soul Stripper        (Soul Stripper, #1)","Collins, Katana*",075829011X,9780758290113,075829011X,352        pp,3.66,412,"May 28, 2013","May 25, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 24, 2013",,Paperback,view,/book/show/16171313-soul-stripper
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,One Hundred Years of Solitude,"García Márquez, Gabriel",,,,417        pp,4.11,"971,224",1967,"Jun 24, 2003",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"May 20, 2013",,Mass Market Paperback,view,/book/show/320.One_Hundred_Years_of_Solitude
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,NOS4R2,"Hill, Joe*",0575133902,9780575133907,0575133902,692        pp,4.08,"128,933","Apr 30, 2013","Oct 31, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"May 20, 2013",not set,"May 20, 2013",,Paperback,view,/book/show/17202851-nos4r2
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fifty Shames of Earl Grey,"Merkin, Fanny",,,B0080K3N42,224        pp,3.29,"4,102",Jul 2012,"Jul 10, 2012",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"May 20, 2013",,Kindle Edition,view,/book/show/14060248-fifty-shames-of-earl-grey
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Summer Prince,"Johnson, Alaya Dawn*",0545417791,9780545417792,0545417791,289        pp,3.57,"4,718","Mar 01, 2013","Mar 01, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"May 20, 2013",,Hardcover,view,/book/show/13453104-the-summer-prince
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Lover Awakened        (Black Dagger Brotherhood, #3)","Ward, J.R.*",0451219368,9780451219367,0451219368,434        pp,4.43,"180,433","Sep 05, 2006","Sep 05, 2006",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"May 20, 2013",,Mass Market Paperback,view,/book/show/42900.Lover_Awakened
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Lover Eternal        (Black Dagger Brotherhood, #2)","Ward, J.R.*",,,0451218043,441        pp,4.33,"192,933","Mar 07, 2006","Mar 07, 2006",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"May 20, 2013",,Mass Market Paperback,view,/book/show/35729.Lover_Eternal
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Dark Lover        (Black Dagger Brotherhood, #1)","Ward, J.R.*",0451216954,9780451216953,0451216954,393        pp,4.16,"336,336","Feb 19, 2005","Sep 06, 2005",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"May 20, 2013",,Mass Market Paperback,view,/book/show/42899.Dark_Lover
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Enterprise of Death,"Bullington, Jesse*",0316087343,9780316087346,0316087343,465        pp,3.80,"1,122","Mar 03, 2011","Mar 24, 2011",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"May 20, 2013",,Paperback,view,/book/show/8876413-enterprise-of-death
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Head Over Heels        (Lucky Harbor, #3)","Shalvis, Jill*",1442085037,,B004RCNGQW,328        pp,4.13,"21,150","Dec 01, 2011","Dec 01, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"May 08, 2013",,Kindle Edition,view,/book/show/10599302-head-over-heels
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Tethered        (Iron Seas, #2.5)","Brook, Meljean",,,,187        pp,4.21,"1,546","Apr 02, 2013","Apr 02, 2013",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"May 08, 2013",,Mass Market Paperback,view,/book/show/14896828-tethered
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Duino Elegies,"Rilke, Rainer Maria",0393328848,9780393328844,0393328848,204        pp,4.40,"9,042",1922,"Jun 17, 2006",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"May 08, 2013",,Paperback,view,/book/show/53111.Duino_Elegies
