,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,gam s's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Shubeik Lubeik,"Mohamed, Deena",1524748420,9781524748425,1524748420,528        pp,4.51,"2,638","Oct 01, 2022","Oct 01, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 11, 2024",,ebook,view,/book/show/60465407-shubeik-lubeik
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Guns and Almond Milk,"Marwan, Mustafa*",1623711053,9781623711054,1623711053,234        pp,4.78,45,unknown,"Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 11, 2024",,Paperback,view,/book/show/195791704-guns-and-almond-milk
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Little Friend,"Tartt, Donna",1400031699,9781400031696,1400031699,624        pp,3.47,"69,748","Oct 22, 2002","Oct 28, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 11, 2024",,Paperback,view,/book/show/775346.The_Little_Friend
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tenth of December,"Saunders, George",0812993802,9780812993806,0812993802,251        pp,3.98,"74,488","Jan 03, 2013","Jan 08, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 11, 2024",,Hardcover,view,/book/show/13641208-tenth-of-december
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Madness: Race and Insanity in a Jim Crow Asylum,"Hylton, Antonia A.*",1538723697,9781538723692,1538723697,368        pp,4.36,"1,197","Jan 23, 2024","Jan 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 11, 2024",,Hardcover,view,/book/show/145624993-madness
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Here After,"Lin, Amy*",195850632X,9781958506325,195850632X,272        pp,4.29,"2,687","Mar 05, 2024","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 11, 2024",,Hardcover,view,/book/show/182095845-here-after
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Troubled: A Memoir of Foster Care, Family, and Social Class","Henderson, Rob",1982168536,9781982168537,1982168536,336        pp,4.42,"1,295","Feb 20, 2024","Feb 20, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 11, 2024",,Hardcover,view,/book/show/176444107-troubled
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sociopath,"Gagne, Patric",166800318X,9781668003183,166800318X,368        pp,4.14,881,"Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 11, 2024",,Hardcover,view,/book/show/176443093-sociopath
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Dark Interval: Letters on Loss, Grief, and Transformation","Rilke, Rainer Maria",0525509844,9780525509844,0525509844,128        pp,4.17,"1,351","Aug 14, 2018","Aug 14, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Hardcover,view,/book/show/36959638-the-dark-interval
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Simone Weil: An Anthology,"Weil, Simone",0141188197,9780141188195,0141188197,320        pp,4.33,509,Sep 1986,"Nov 29, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Paperback,view,/book/show/707719.Simone_Weil
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Unwomanly Face of War,"Alexievich, Svetlana",,9780141983530,0141983531,384        pp,4.51,"32,906",1983,"Jan 01, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Paperback,view,/book/show/38470185-the-unwomanly-face-of-war
