,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Arbuz Dumbledore's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Carmilla,"Le Fanu, J. Sheridan",8383195494,9788383195490,8383195494,176        pp,3.86,"113,826",1872,"Apr 10, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Hardcover,view,/book/show/209588017-carmilla
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Bakemonogatari. Opowieść o potworach - Edycja specjalna. Tom 3        (Bakemonogatari. Opowieść o potworach, #3)","Great, Oh!",,9788380015241,,212        pp,4.11,257,"Nov 16, 2018","Mar 12, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 07, 2024",not set,"Apr 07, 2024",,Paperback,view,/book/show/52329412-bakemonogatari-opowie-o-potworach---edycja-specjalna-tom-3
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Bakemonogatari. Opowieść o potworach - Edycja specjalna. Tom 2        (Bakemonogatari. Opowieść o potworach, #2)","Great, Oh!",,9788380014718,,192        pp,3.91,352,"Aug 17, 2018","Sep 16, 2019",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Ten tom jest tak obrzydliwy, że nie jestem w stanie ocenić go inaczej",Notes are private!,0,3,1,"Apr 07, 2024","Apr 07, 2024","Apr 07, 2024",,Paperback,view (with text),/book/show/51806589-bakemonogatari-opowie-o-potworach---edycja-specjalna-tom-2
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Bakemonogatari. Opowieść o potworach - Edycja specjalna. Tom 1        (Bakemonogatari. Opowieść o potworach, #1)","Great, Oh!",,9788380014381,,192        pp,3.70,699,"Jun 15, 2018","May 09, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Miałam ogromną ochotę na reread Bakemonogatari, historię kraba akurat świetnie pamiętałam, jestem ciekawa, jak będzie z resztą ❤️",Notes are private!,0,5,1,"Apr 07, 2024","Apr 07, 2024","Apr 07, 2024",,Paperback,view (with text),/book/show/45701406-bakemonogatari-opowie-o-potworach---edycja-specjalna-tom-1
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Słuchacz,"McCammon, Robert",8377314150,9788377314159,8377314150,372        pp,4.05,"2,531","Feb 27, 2018",Oct 2022,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 05, 2024",not set,"Apr 05, 2024",,Hardcover,view,/book/show/61761160-s-uchacz
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Wisteria        (Belladonna, #3)","Grace, Adalyn*",0316569380,9780316569385,0316569380,432        pp,4.54,68,"Aug 20, 2024","Aug 20, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 30, 2024",,Hardcover,view,/book/show/195820745-wisteria
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Gdzie słychać szepty        (Bittersweet in the Hollow, #1)","Pearsall, Kate*",8382995357,9788382995350,8382995357,432        pp,4.07,"1,638","Oct 10, 2023","Mar 14, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 30, 2024",,Paperback,view,/book/show/207903066-gdzie-s-ycha-szepty
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Iron Flame. Żelazny płomień        (Empireum, #2)","Yarros, Rebecca*",8383573057,9788383573052,8383573057,704        pp,4.35,"919,590","Nov 07, 2023","Mar 13, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 28, 2024",,Hardcover,view,/book/show/205331828-iron-flame-elazny-p-omie
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ten głód,"Summers, Chelsea G.*",8383218230,9788383218236,8383218230,376        pp,3.79,"38,654","Oct 31, 2019","Mar 13, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 28, 2024",,Hardcover,view,/book/show/205579668-ten-g-d
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Nieśmiertelność. Love story        (The Anatomy Duology, #2)","Schwartz, Dana*",8383218060,9788383218069,8383218060,440        pp,3.94,"21,016","Feb 28, 2023","Feb 28, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Znacznie gorsza niż 1 tom, który mnie porwał, jednak i tę czytałam z zainteresowaniem. Mniej więcej do 3/4 byłam pewna, że dam 4 gwiazdki, jednak odrzZnacznie gorsza niż 1 tom, który mnie porwał, jednak i tę czytałam z zainteresowaniem. Mniej więcej do 3/4 byłam pewna, że dam 4 gwiazdki, jednak odrzuciły mnie od niej dwie kwestie:1. Absolutnie fatalne i całkowicie rozczarowujące mnie rozwiązanie wątku miłosnego.2. Koszmarne zakończenie rodem ze Zmierzchu skrzyżowanego z Zorro.Niesmak, zwłaszcza po tym drugim, nie pozwolił mi ocenić książki lepiej. Wciąż lubię tę dylogię, ale jestem zwyczajnie zawiedziona....more",Notes are private!,0,6,1,"Mar 18, 2024","Mar 28, 2024","Mar 18, 2024",,Paperback,view (with text),/book/show/205139338-nie-miertelno-love-story
