,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Josh's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Harrow County: Omnibus Volume 1,"Bunn, Cullen*",1506719910,9781506719917,1506719910,408        pp,4.25,962,unknown,"Jan 26, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jun 22, 2023",,Paperback,view,/book/show/50673083-harrow-county
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Underland: A Deep Time Journey,"Macfarlane, Robert*",0393358097,9780393358094,0393358097,496        pp,4.23,"17,626","May 02, 2019","Aug 18, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,not set,"Jun 05, 2023",,Paperback,view,/book/show/53121631-underland
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Doctor Strange: The Oath,"Vaughan, Brian K.*",0785122117,9780785122111,0785122117,120        pp,3.97,"5,251","Jun 06, 2007","Jan 01, 2007",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 19, 2023",,Paperback,view,/book/show/207585.Doctor_Strange
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mega,"Sanz, Salvador",,9789877246315,,104        pp,3.79,111,May 2020,"Sep 04, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Pretty cool. The monster looked pretty rad. Kinda a Godzilla knock-off, but that’s fine. I hope there is more to come.",Notes are private!,0,1,1,not set,not set,"Feb 04, 2023",,Paperback,view (with text),/book/show/40791204-mega
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Sword Daughter, Vol. 3: Elsbeth of the Island","Wood, Brian*",150670784X,9781506707846,150670784X,96        pp,3.57,125,"Apr 21, 2020","Apr 21, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,The thrilling conclusion,Notes are private!,0,0,1,not set,not set,"Jan 23, 2023",,Hardcover,view (with text),/book/show/44601774-sword-daughter-vol-3
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Low, Low Woods","Machado, Carmen Maria*",1779504527,9781779504524,1779504527,168        pp,3.95,"5,041","Sep 29, 2020","Sep 29, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I’ve often find myself thinking about Centralia, Pennsylvania, the real life town sitting above a perpetually burning coal mine. So after reading the I’ve often find myself thinking about Centralia, Pennsylvania, the real life town sitting above a perpetually burning coal mine. So after reading the opening issue of The Low, Low Woods I was totally excited to get an interpretation of the town with some eerie supernatural elements. Sadly, however, the story didn’t live up to its potential. I mean, it was good enough. Weird enough. But just didn’t quite do it for me. ...more",Notes are private!,0,1,1,not set,not set,"Jan 16, 2023",,Hardcover,view (with text),/book/show/51116307-the-low-low-woods
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Sword Daughter, Vol. 2: Folded Metal","Wood, Brian*",1506707831,9781506707839,1506707831,96        pp,3.52,177,"May 14, 2019","May 21, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Things are starting to come together,Notes are private!,0,0,1,not set,not set,"Jan 15, 2023",,Hardcover,view (with text),/book/show/41758028-sword-daughter-vol-2
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Sword Daughter, Vol. 1: She Brightly Burns","Wood, Brian*",1506707823,9781506707822,1506707823,96        pp,3.44,353,"Nov 28, 2018","Dec 11, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,An intriguing start,Notes are private!,0,0,1,not set,not set,"Jan 09, 2023",,Hardcover,view (with text),/book/show/39740840-sword-daughter-vol-1
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Department of Truth, Vol. 4: The Ministry of Lies","Tynion, James IV",1534323414,9781534323414,1534323414,152        pp,4.23,835,"Dec 20, 2022","Dec 20, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,This one has a twist…!,Notes are private!,0,0,1,not set,not set,"Jan 09, 2023",,Paperback,view (with text),/book/show/61226319-the-department-of-truth-vol-4
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cyberpunk 2077 - Big City Dreams,"Sztybor, Bartosz",,,,53        pp,3.31,526,"Feb 08, 2022","Dec 10, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I’m not really sure what happened. But it was a quick read and the art was lovely.,Notes are private!,0,3,1,not set,not set,"Jan 03, 2023",,ebook,view (with text),/book/show/56254950-cyberpunk-2077---big-city-dreams
