,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Jeanette's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,This Might Hurt,"Wrobel, Stephanie*",0593100085,9780593100080,0593100085,336        pp,3.23,"9,394","Feb 22, 2022","Feb 22, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 11, 2024",,Hardcover,view,/book/show/58214310-this-might-hurt
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,What Lies in the Woods,"Marshall, Kate Alice*",1250859883,9781250859884,1250859883,322        pp,3.97,"115,247","Jan 17, 2023","Jan 17, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 11, 2024",,Hardcover,view,/book/show/60784373-what-lies-in-the-woods
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lace Widow        (An Eliza Hamilton Mystery #1),"Cox, Mollie Ann",163910528X,9781639105281,163910528X,320        pp,3.71,235,"Dec 12, 2023","Dec 12, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 11, 2024",not set,"Apr 11, 2024",,Hardcover,view,/book/show/123352280-the-lace-widow
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Watford Forever: How Graham Taylor and Elton John Saved a Football Club, a Town and Each Other","Preston, John",1324095474,9781324095477,1324095474,352        pp,4.40,151,unknown,"Aug 27, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 11, 2024",,Hardcover,view,/book/show/205478770-watford-forever
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fools Crow,"Welch, James",0140089373,9780140089370,0140089373,400        pp,4.03,"4,841",1986,"Nov 03, 1987",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Paperback,view,/book/show/57458.Fools_Crow
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Twelve Days of Murder,"Cordani, Andreina",1639366180,9781639366187,1639366180,384        pp,3.69,"2,811","Nov 07, 2023","Nov 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 10, 2024",not set,"Apr 10, 2024",,Hardcover,view,/book/show/176443182-the-twelve-days-of-murder
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mother-Daughter Murder Night,"Simon, Nina*",0063315041,9780063315044,0063315041,357        pp,3.59,"53,286","Sep 05, 2023","Sep 05, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Boring and bickering. Locale was 3 star. Jack was 3 star. The rest was barely 2.No more from this author for me. Cozy coupled with social justice warrBoring and bickering. Locale was 3 star. Jack was 3 star. The rest was barely 2.No more from this author for me. Cozy coupled with social justice warrior superficiality or overlong cozy mundane minutia. Not a fan of saying everything the longest and never reaching depth. Not for me the stagnant prose flow. Not a good read....more,Notes are private!,4,9,1,"Apr 09, 2024","Apr 10, 2024","Apr 09, 2024",,Hardcover,view (with text),/book/show/65646968-mother-daughter-murder-night
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tonight You’re Dead        (Sandhamn Murders #4),"Sten, Viveca",154209853X,9781542098533,B0711MVMK2,411        pp,4.12,"7,184","Apr 10, 2011","Nov 14, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 10, 2024",not set,"Apr 07, 2024",,Kindle Edition,view,/book/show/35148560-tonight-you-re-dead
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Guiltless        (Sandhamn Murders, #3)","Sten, Viveca",1477821503,9781477821503,B01M9K74XW,370        pp,4.15,"7,889",2010,"May 23, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Kindle Edition,view,/book/show/32995725-guiltless
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Closed Circles        (Sandhamn Murders #2),"Sten, Viveca",150398866X,9781503988668,B0142BVMGS,464        pp,4.00,"9,188","Apr 01, 2009","Mar 29, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Kindle Edition,view,/book/show/26401247-closed-circles
