,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,cypt's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ædnan,"Axelsson, Linnea",0593535456,9780593535455,0593535456,448        pp,4.25,"1,819","Feb 27, 2018","Jan 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Hardcover,view,/book/show/127500586-dnan
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ką veikia Japonija,"Kleiva, Andrius",,9786094667251,,384        pp,4.52,495,unknown,2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 28, 2024",not set,"Mar 28, 2024",,Paperback,view,/book/show/98222095-k-veikia-japonija
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Your Love is Not Good,"Hedva, Johanna",1913505669,9781913505660,1913505669,320        pp,3.62,392,"May 23, 2023","May 23, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 27, 2024",,Hardcover,view,/book/show/91290204-your-love-is-not-good
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Zazie in the Metro,"Queneau, Raymond",0142180041,9780142180044,0142180041,157        pp,3.67,"8,536","Jan 23, 1959","Nov 01, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Paperback,view,/book/show/28369.Zazie_in_the_Metro
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Kelionės ant sofos: šalys, į kurias savaitgaliui nenuskrisi, – nuo egzotiškosios Etiopijos iki atokių genčių Vakarų Papua","Morkūnas, Algirdas",,9786090148587,,392        pp,4.45,65,unknown,2021,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,0,not set,not set,"Mar 24, 2024",,,view,/book/show/60035776-kelion-s-ant-sofos
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Alchemy Fire Murder: a Mary Wandwalker Mystery,"Rowland, Susan*",1685031293,9781685031299,1685031293,352        pp,4.30,"8,353",unknown,"Feb 15, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 24, 2024",,Paperback,view,/book/show/94399604-the-alchemy-fire-murder
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Mamos, nemokančios mylėti: patarimų knyga, padėsianti dukterims užgydyti sielos žaizdas","Forward, Susan",,9785415025824,,320        pp,4.22,"3,595","Oct 01, 2014",2020,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Pasiėmiau pasiskaityti selfhelp einama tema - tamsioji motinystė, probleminiai vaikų santykiai su tėvais. Iš principo labai smagu, kad tėvystės ir motPasiėmiau pasiskaityti selfhelp einama tema - tamsioji motinystė, probleminiai vaikų santykiai su tėvais. Iš principo labai smagu, kad tėvystės ir motinystės stabas yra nuvainikuojamas, kad ima veikti samprata, jog pagarbos turi nusipelnyti visur ir visada ir ji tau nepriklauso automatiškai vien už aplinkybių nulemtus dalykus (pvz kad pagimdei vaiką). Šitoj knygos psichologė-psichoterapeutė aiškina konkrečiai apie motinų santykį su dukterimis ir įvairias neigiamas šito santykio variacijas.Apie tas variacijas nesiplėsiu, kaip ir visam selfhelpe: jei patirtis sutampa - skaityti įdomu, jei ne - gali būti įdomu tai, kaip dirba pati psichologė, kokias užduotis duoda, kaip aiškina ir interpretuoja. Man labai patiko, kad ji visai neniekina, nevertina, neironizuoja, bet ir negraudina, jos balsas yra dalykinis, bet sykiu draugiškas. Tiesiog malonu skaityt.Atskirai patiko, kaip ji kalba apie feik-pozityvų santykį, kai ypač domimasi viena kita (vaiku), perdėtai daug komplimentų, pagyrimų ir žavėjimosi - kad tai gali būti išvirkščias negatyvas ir ne mažiau slėgti, vaikui ant pečių užkrauti žiauriai didelę naštą, kad jei jie/s vienintelis/ė toks/tokia - tai ir paskui gyvenime ji/s nemoka dirbti su kitais, nesugeba prisipažinti, kad kažko negali ar kažkas tiesiog nesiseka.Ir dar skaitydama vis iš naujo stebėjausi, kaip yra, kad jei kas nors psichologiškai atitinka, tai atitinka 100 % kaip kokia save išpildanti pranašystė. Juk mes tipo esame InDIvIdAi, visi ir visos unikalios, juk kontekstas, aplinkybės, asmenibė ir tt?? Tai kaip gali būti, kad patirtys ir atsakas į jas - toks identiškas? Paskui, taip stebėdamasi, pagalvojau, kad jei nebūtų identiškos patirtys, nepriklausomai nuo visokių ten aplinkybių, tai juk ir medicina negalėtų veikti. Žiauriai įdomu - kad mūsų kūnai panašūs, tai ok, bet va vidinio pasaulio ir psichologijos panašumai ir schemos jau verčia iš koto. Galbūt selfhelpo knygos iš tiesų jau yra peržengusios visokius individualizmus ir panašius dalykus, gal jos vienintelės visoj literatūroj yra savotiškai posthumanistinės - ta prasme, kad Žmogus joms nebėra Tai, ką reikia vis Atrasti iš naujo?? Tik toks eilinis mechanizmas, kurį galima sutvarkyti pačiam, jei yra toks poreikis.Kita vertus, ir šita knyga neišvengia tokio utopinio užmojo (gal tai privalomas selfhelpo bruožas?): visos istorijos turi pabaigas, visos klientės išsprendžia savo atvejus, susitaikymai su mamomis arba jų nebuvimu įvyksta, analogiškai ir skaitytojoms duodami pamokymai, numanoma, turi padėti pasiekti kažkokį galutinį tikslą. Nors autorė vis pamini, kad jums gali taip nepasisekti, viskas gali vykti kitaip, bet vis dėlto tai toks šiuolaikinis knygos ilgumo pratybų sąsiuvinis, skatinantis įvaldyti kokį nors skillą, užbaigti kursą, įvykdyti užduotį. Labai įdomu, kai taip žiūrima į santykius; nesakau, kad blogai - gal gerai? Bet įdomu. Aišku, aš daugiausia skaitau romanus ir kitą grožinę literatūrą, kurios esmė ir kartais net tikslas - neišbaigtumas, negalutinumas, atvirumas. Bet gal čia susiję su šių knygų ir automatiškai jose aprašomo žmogaus kaip instrumento traktuote. Jo/s galimybės yra abcd, galimų problemų yra efgh, jų sprendimo būdai yra ijkl. Gali būti visaip, gali būti nukrypimų nuo normos, bet, suprask, nebus.Faina save pamatyti kaip tokią vat mašinėlę.Nebuvo nunešanti stogą, tai ir taip nebūčiau davusi 5*, bet perskaičiau labai smagiai, sužinojau visokių bendravimo fintų. Tiesa, yra vienas pavyzdys, kaip, norėdama sunaikint neigiamus jausmus, turi nusipirkt helio balioną, pririšti sąrašiuką ir paleisti. Tai NE, gal nereikia šiukšlinti, tiesiogine ir perkeltine prasme. -1 žvaigždutė....more",Notes are private!,2,15,1,not set,Jan 2024,"Mar 22, 2024",,Hardcover,view (with text),/book/show/54364677-mamos-nemokan-ios-myl-ti
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mėlynas kraujas,"Gudas, Eimantas",,9786090153987,,512        pp,4.34,143,unknown,2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 22, 2024",,Hardcover,view,/book/show/123028543-m-lynas-kraujas
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nedetektyvai,"Petronis, Augminas",,9786094803918,,112        pp,3.94,18,Oct 2023,Oct 2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 22, 2024",not set,"Mar 22, 2024",,Paperback,view,/book/show/199329019-nedetektyvai
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Susigrąžinto laiko blyksniai,"Tapinienė, Violeta",,9786094667961,,371        pp,4.60,30,unknown,"Feb 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 21, 2024",,Hardcover,view,/book/show/208083015-susigr-into-laiko-blyksniai
