,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Maggie's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Blind Assassin,"Atwood, Margaret*",,,,637        pp,3.96,"155,479",Sep 2000,"Sep 03, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,not setnot set,"Apr 06, 2024not set","Apr 06, 2024",,Paperback,view,/book/show/78433.The_Blind_Assassin
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Here,"McGuire, Richard",0241145961,9780241145968,0241145961,304        pp,4.20,"13,134","Dec 04, 2014","Dec 04, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 05, 2024",,Hardcover,view,/book/show/20587888-here
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Superforecasting: The Art and Science of Prediction,"Tetlock, Philip E.",0804136696,9780804136693,0804136696,352        pp,4.08,"20,060","Sep 29, 2015","Sep 29, 2015",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"It took me several years to unearth this book from my TBR but it was a good, thought-provoking read that hammered the importance of intellectual humilIt took me several years to unearth this book from my TBR but it was a good, thought-provoking read that hammered the importance of intellectual humility and challenging our own beliefs again and again....more",Notes are private!,0,87,2,not setnot set,"Apr 04, 2024Apr 04, 2024","Apr 04, 2024",,Hardcover,view (with text),/book/show/23995360-superforecasting
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Hummingbird,"Veronesi, Sandro",1474617484,9781474617482,1474617484,304        pp,3.85,"12,662","Oct 24, 2019","Mar 03, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Ah, I thought this book was great—it made me feel the way I did after reading SOMEDAY THIS PAIN WILL BE USEFUL TO YOU by Peter Cameron. I read it in 1Ah, I thought this book was great—it made me feel the way I did after reading SOMEDAY THIS PAIN WILL BE USEFUL TO YOU by Peter Cameron. I read it in 1.5 sittings, which is the way to do it, I think; I would have been happier with a single sitting, but my plane ride was 25 minutes too short. Like SOMEDAY THIS PAIN WILL BE USEFUL TO YOU, this book is largely about nothing. No, let me back up and 'splain. HUMMINGBIRD dives so deeply into the details of a Marco Carrera's life that it forms a naturalistic snapshot rather than a plotty page turner. Letters from a childhood friend/ possible flame offer some delicate structure, but the real propulsive pleasure is in meeting Marco and getting to know him better and better and better, through Veronesi's careful observation. Marco's a kindly, durable soul, and we want the best for him. Unfortunately, he doesn't always get the best. That's pretty much the only point of the novel. For me, that was enough.I offer this recommendation in much the same way I offer recommendations for THE NEW POPE (another piece of media that is both full of Italians and often about nothing), knowing it's not for everyone, but also knowing it was only a recommendation that made me pick it up in the first place. Don't judge it by book jacket copy; try the first few pages. Nothingness might be just what you're after....more",Notes are private!,0,101,1,"Mar 05, 2024","Mar 07, 2024","Mar 06, 2024",,Paperback,view (with text),/book/show/60616148-the-hummingbird
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,State of Wonder,"Patchett, Ann",0062049801,9780062049803,0062049801,353        pp,3.89,"188,459","May 03, 2011","Jun 07, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Mar 2024,"Mar 03, 2024","Mar 06, 2024",,Hardcover,view,/book/show/9118135-state-of-wonder
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Children of Men,"James, P.D.",0307279901,9780307279903,0307279901,241        pp,3.67,"47,993",1992,"Dec 05, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 17, 2024",,Paperback,view,/book/show/41913.The_Children_of_Men
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Lawrence in Arabia: War, Deceit, Imperial Folly, and the Making of the Modern Middle East","Anderson, Scott",038553292X,9780385532921,038553292X,577        pp,4.07,"15,810","Aug 06, 2013","Aug 06, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Jan 2024,"Jan 15, 2024","Jan 15, 2024",,Hardcover,view,/book/show/17262206-lawrence-in-arabia
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"All the Devils Are Here        (Chief Inspector Armand Gamache, #16)","Penny, Louise*",1250145236,9781250145239,1250145236,439        pp,4.43,"69,680","Sep 01, 2020","Sep 01, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,1,1,1,"Jan 10, 2024","Jan 13, 2024","Jan 13, 2024",,Hardcover,view,/book/show/49127539-all-the-devils-are-here
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fool Me Once,"Coben, Harlan*",0525955097,9780525955092,0525955097,387        pp,3.97,"113,913","Mar 22, 2016","Mar 22, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 08, 2024","Jan 13, 2024","Jan 13, 2024",,Hardcover,view,/book/show/26109394-fool-me-once
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Happy Couple,"Dolan, Naoise",,,,240        pp,3.41,"8,856","May 25, 2023","May 25, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 09, 2024",,Hardcover,view,/book/show/63834978-the-happy-couple
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Birnam Wood,"Catton, Eleanor",0374110336,9780374110338,0374110336,432        pp,3.83,"30,694","Mar 02, 2023","Mar 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 29, 2023","Dec 31, 2023","Jan 03, 2024",,Hardcover,view,/book/show/60784757-birnam-wood
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Circle        (The Circle, #1)","Eggers, Dave",,,0385351399,493        pp,3.43,"217,668","Oct 08, 2013","Oct 08, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Dec 27, 2023",,Hardcover,view,/book/show/18302455-the-circle
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,An Honest Man,"Koryta, Michael*",031653594X,9780316535946,031653594X,373        pp,4.16,"2,990","Jul 25, 2023","Jul 25, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 24, 2023","Dec 26, 2023","Dec 21, 2023",,Hardcover,view,/book/show/61425815-an-honest-man
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Dutch House,"Patchett, Ann",0062963678,9780062963673,0062963678,337        pp,4.10,"446,574","Sep 24, 2019","Sep 24, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,1,0,1,not set,Dec 2023,"Dec 14, 2023",,Hardcover,view,/book/show/44318414-the-dutch-house
