,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Erika's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Younger Wife,"Hepworth, Sally*",1250229618,9781250229618,1250229618,346        pp,3.80,"90,857","Oct 26, 2021","Apr 05, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 11, 2024",not set,"Apr 11, 2024",,Hardcover,view,/book/show/57693338-the-younger-wife
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Just for the Summer,"Jimenez, Abby*",1538704439,9781538704431,1538704439,432        pp,4.54,"24,384","Apr 02, 2024","Apr 02, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Ooookay. It’s unfair how good Abby J is at writing love stories about flawed characters you can’t help but root for. This was as wonderful as all the Ooookay. It’s unfair how good Abby J is at writing love stories about flawed characters you can’t help but root for. This was as wonderful as all the rest of hers. I love seeing the overlapping worlds and characters cross paths- it makes me want to reread the earlier books to remember them better!! If you like Abby’s other books, you’ll love this one too. ...more",Notes are private!,0,1,1,"Apr 10, 2024","Apr 11, 2024","Apr 10, 2024",,Paperback,view (with text),/book/show/195820807-just-for-the-summer
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Strangers to Ourselves: Unsettled Minds and the Stories That Make Us,"Aviv, Rachel",0374600848,9780374600846,0374600848,288        pp,4.13,"10,109","Sep 13, 2022","Sep 13, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Hardcover,view,/book/show/59808605-strangers-to-ourselves
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Other Valley,"Howard, Scott Alexander*",1668015471,9781668015476,1668015471,304        pp,3.93,"2,440","Feb 27, 2024","Feb 27, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Hardcover,view,/book/show/176450755-the-other-valley
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Grownup,"Flynn, Gillian*",0804188971,9780804188975,0804188971,64        pp,3.56,"135,194","Jun 17, 2014","Nov 03, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Oh wow, this was…a short story.",Notes are private!,0,1,1,"Apr 03, 2024","Apr 03, 2024","Apr 03, 2024",,Hardcover,view (with text),/book/show/26025580-the-grownup
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All My Knotted-Up Life: A Memoir,"Moore, Beth",1496472675,9781496472670,1496472675,304        pp,4.48,"34,183","Feb 21, 2023","Feb 21, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Oh wow. I expected this to be good, but it truly blew me away. I’ve always appreciated Sister Beth, but this took her to a new echelon for me. She wriOh wow. I expected this to be good, but it truly blew me away. I’ve always appreciated Sister Beth, but this took her to a new echelon for me. She writes with such vulnerability, humor, honesty, and tenderness- and hearing her narrate the audiobook was just *chef’s kiss*. What an absolute gem of a human. We are lucky to have her. ...more",Notes are private!,0,2,1,Apr 2024,"Apr 10, 2024","Apr 01, 2024",,Hardcover,view (with text),/book/show/61357133-all-my-knotted-up-life
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tom Lake,"Patchett, Ann",006332752X,9780063327528,006332752X,309        pp,4.04,"241,619","Aug 01, 2023","Aug 01, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Ann Patchett…how does she DO IT?! I adored this. I couldn’t put it down. Every sentence was poetry and the characters broke my heart with their utter Ann Patchett…how does she DO IT?! I adored this. I couldn’t put it down. Every sentence was poetry and the characters broke my heart with their utter relatability. Lara’s complicated relationship with her eldest daughter both in the past and present was particularly poignant and relatable to me. I loved the peaceful setting and family relationships in the midst of a complicated time. It was just absolutely perfect. Not enough stars in the universe for this one. (My one quibble: naming your daughter Nell Nelson?? I get that you named all three girls after important women in your life and I LOVED that. But this is fiction. You coulda given them a different last name. ...more,Notes are private!,0,3,1,"Mar 28, 2024","Mar 31, 2024","Mar 28, 2024",,Hardcover,view (with text),/book/show/63241104-tom-lake
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Moon of the Turning Leaves        (Moon, #2)","Rice, Waubgeshig*",0358673259,9780358673255,0358673259,320        pp,4.32,"3,351","Oct 10, 2023","Feb 27, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 27, 2024",,Hardcover,view,/book/show/167067538-moon-of-the-turning-leaves
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Moon of the Crusted Snow        (Moon, #1)","Rice, Waubgeshig*",1770414002,9781770414006,1770414002,213        pp,3.86,"26,692","Oct 02, 2018","Oct 02, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Gosh this was EXCELLENT. The writing, the setting, the characters, the plot- all of it absolutely top notch. Though it was essentially a ""life as we kGosh this was EXCELLENT. The writing, the setting, the characters, the plot- all of it absolutely top notch. Though it was essentially a ""life as we know it has ended, now what"" type story, it was somehow exceptionally beautiful and the First Nations reservation setting added SO much to the story, as the characters wrestled with (and often thrived because of) their not-so-distant collective past, their strong sense of community, and their willingness to adapt. I listened to the audiobook and the Native narrator was EXCELLENT and I think it added so much to the experience being able to hear words and names pronounced correctly. I've already put the second book on hold- I can't wait to read more from Waubgeshig Rice!...more",Notes are private!,0,1,1,"Mar 24, 2024","Mar 28, 2024","Mar 24, 2024",,Paperback,view (with text),/book/show/39082248-moon-of-the-crusted-snow
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Color of Water: A Black Man's Tribute to His White Mother,"McBride, James*",1573225789,9781573225786,1573225789,291        pp,4.13,"123,670",1995,"Feb 01, 1997",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 23, 2024",,Paperback,view,/book/show/29209.The_Color_of_Water
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mrs. Harris Goes To Paris,"Gallico, Paul",,,B007IOYRKU,157        pp,3.93,"4,584",1958,"Jan 01, 1958",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 23, 2024",,Hardcover,view,/book/show/139476328-mrs-harris-goes-to-paris
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Violence Inside Us: A Brief History of an Ongoing American Tragedy,"Murphy, Chris",1984854577,9781984854575,1984854577,384        pp,4.39,508,"Jun 23, 2020","Jun 23, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 14, 2024",not set,"Mar 14, 2024",,Hardcover,view,/book/show/52140807-the-violence-inside-us
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,You Could Make This Place Beautiful,"Smith, Maggie*",1982185856,9781982185855,1982185856,320        pp,4.11,"23,011","Apr 11, 2023","Apr 11, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 04, 2024",,Hardcover,view,/book/show/61273812-you-could-make-this-place-beautiful
