,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Glee's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A City on Mars: Can We Settle Space, Should We Settle Space, and Have We Really Thought This Through?","Weinersmith, Kelly*",1984881736,9781984881731,B0BWH5YYTR,448        pp,4.12,"2,287","Nov 07, 2023","Nov 07, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I probably shouldn't have rated this, since at best, I skimmed the book. In the 1950's, I KNEW I would be an astronaut. I was wrong. But the dream dieI probably shouldn't have rated this, since at best, I skimmed the book. In the 1950's, I KNEW I would be an astronaut. I was wrong. But the dream died hard. I didn't really think about settling down somewhere out there, more like a Star Trek existence. Exploring where no ONE had gone before. That dream had kind of died down, but then we went to the moon!! Over 50 years ago and we haven't been back.... as time went on, I forgot my dream. And really good science fiction, e.g. The Expanse had enough detail that it seemed like a lot of questions and problems had been addressed (or would have been in 200-400 years into the future) which helped sort of keep the dream alive. Not that I would be going - I aged out of the possibility long ago - but I still enjoyed thinking about it. But that's not the same as trying to work it out realistically. Enter the Weinersmiths. Popped that balloon hard. I had actually come to the same conclusions that they do, but I didn't have to face it head on. This book does that and I'm sad. Not surprised, just sad.But I couldn't dig in and finish it because it was too sad to keep smashing my childhood dreams.It seems to be very thorough. So depressing.I guess I never really wanted to have an answer, especially if the answer is no..... ...more",Notes are private!,0,2,1,not set,Mar 2024,"Mar 02, 2024",,Hardcover,view (with text),/book/show/125084292-a-city-on-mars
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Erasure,"Everett, Percival",0786888156,9780786888153,0786888156,280        pp,4.20,"11,360",2001,"Oct 02, 2002",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"OK, I get it. It is parody. But it was awful to listen to. I'm looking forward to seeing the movie, American Fiction.OK, I get it. It is parody. But it was awful to listen to. I'm looking forward to seeing the movie, American Fiction....more",Notes are private!,0,0,1,not set,"Feb 18, 2024","Feb 18, 2024",,Paperback,view (with text),/book/show/355862.Erasure
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Fourth Wing        (The Empyrean, #1)","Yarros, Rebecca*",1649374046,9781649374042,1649374046,498        pp,4.59,"1,501,872","May 02, 2023","May 02, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"OK, I went into it knowing it was YA. And it was fine for a long time, until it wasn't. Young, exploratory explosive sex wears thin. I don't mind it uOK, I went into it knowing it was YA. And it was fine for a long time, until it wasn't. Young, exploratory explosive sex wears thin. I don't mind it until it goes on for pages - I get the picture. But the world building was pretty good, and the setup for the future plots was very good and slightly surprising. But not enough for me to keep reading them....more",Notes are private!,0,0,1,not set,"Jan 25, 2024","Jan 26, 2024",,Hardcover,view (with text),/book/show/61431922-fourth-wing
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Levee,"Krueger, William Kent*",1797153528,9781797153520,,319        pp,3.52,"2,932",unknown,"Feb 28, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Not up to his usual standard. Not bad, but he sets a high bar and this one didn't quite meet it.Not up to his usual standard. Not bad, but he sets a high bar and this one didn't quite meet it....more",Notes are private!,0,0,1,not set,"Jan 13, 2024","Jan 13, 2024",,Audio CD,view (with text),/book/show/62919542-the-levee
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Oath and Honor: A Memoir and a Warning,"Cheney, Liz",031657208X,9780316572088,B0C2PKJVMF,381        pp,4.63,"16,053","Dec 05, 2023","Dec 05, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Didn't learn much that was new, but it is a very impressive book because it is so thoroughly and thoughtfully presented. Liz Cheney was THERE. Her couDidn't learn much that was new, but it is a very impressive book because it is so thoroughly and thoughtfully presented. Liz Cheney was THERE. Her courage, dedication and focus is stunning, especially in the face of a crumbling Republican party and a man who has none of those characteristics and truly believes the rules don't apply to him. ...more",Notes are private!,0,0,1,not set,"Jan 03, 2024","Jan 04, 2024",,Kindle Edition,view (with text),/book/show/134156069-oath-and-honor
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Girlfriend on Mars,"Willis, Deborah",039328591X,9780393285918,039328591X,368        pp,3.44,"2,113","Jun 13, 2023","Jun 13, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"OK, I'm not sure what to say about this. It has wonderful elements and some dreadful elements. However, if you are in the market for ""playful, yet horOK, I'm not sure what to say about this. It has wonderful elements and some dreadful elements. However, if you are in the market for ""playful, yet horrific"", this might be for you. I did enjoy it, but I winced a lot. I'd guess the target audience is younger than I am.... that is a bit of an understatement. I think what was hardest for me to take was the casualness of both watching Earth succumb to climate change and at the same time being part of a trip to Mars. I find being part of the first trip to Mars thrilling; watching the Earth burn, not so much. The author really mined it for humor, and sometimes was very scientific and sometimes was describing a cartoon trip to Mars.Lots of points for inventiveness, and overall I enjoyed it, but sometimes... ...more",Notes are private!,0,1,2,not setnot set,Jan 2024not set,"Jan 01, 2024",,Hardcover,view (with text),/book/show/62585953-girlfriend-on-mars
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Beauty: A Retelling of the Story of Beauty and the Beast,"McKinley, Robin",0064404773,9780064404778,0064404773,256        pp,4.05,"79,887","Oct 25, 1978","Jun 30, 1993",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I felt like I was reading the script for Disney's Beauty and the Beast. I love the movie, but was expecting some differences.....I felt like I was reading the script for Disney's Beauty and the Beast. I love the movie, but was expecting some differences........more",Notes are private!,0,0,1,not set,"Dec 19, 2023","Dec 20, 2023",,Paperback,view (with text),/book/show/41424.Beauty
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Kaiju Preservation Society,"Scalzi, John*",0765389126,9780765389121,0765389126,264        pp,4.00,"52,667","Mar 15, 2022","Mar 15, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,DNF. I should have known better.,Notes are private!,0,0,1,not set,"Oct 14, 2023","Oct 14, 2023",,Hardcover,view (with text),/book/show/57693406-the-kaiju-preservation-society
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Longmire Defense        (Walt Longmire, #19)","Johnson, Craig",0593297326,9780593297322,B0BQ9ZG7Z3,336        pp,4.58,"7,199","Sep 05, 2023","Sep 05, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I can't even pretend to be objective. I just like spending time in Walt's head.I can't even pretend to be objective. I just like spending time in Walt's head....more,Notes are private!,1,3,1,not set,"Oct 10, 2023","Oct 10, 2023",,Kindle Edition,view (with text),/book/show/75257626-the-longmire-defense
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Demon Copperhead,"Kingsolver, Barbara",,,,560        pp,4.51,"397,990","Oct 18, 2022","Oct 18, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Wow. Just wow. It isn't a perfect book, but the first third of it is, and the balance is only wonderful, not perfect. Very eye-opening. Things I thougWow. Just wow. It isn't a perfect book, but the first third of it is, and the balance is only wonderful, not perfect. Very eye-opening. Things I thought I knew about, but found out my knowledge was fairly superficial.This is a modern classic....more",Notes are private!,1,1,1,not set,"Sep 03, 2023","Sep 17, 2023",,Hardcover,view (with text),/book/show/60194162-demon-copperhead
