,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Ewa (humanizmowo)'s rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Arkadia,"Groff, Lauren*",8324045406,9788324045402,8324045406,352        pp,3.72,"24,671","Mar 13, 2012","Apr 09, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 11, 2024",,Paperback,view,/book/show/34179041-arkadia
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Collection Adoux. L’Atelier de Marie-Claire,"Adoux, Marguerite",,9798729363735,B0915RP5R1,132        pp,0.00,0,unknown,"Mar 27, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 11, 2024",,Paperback,view,/book/show/92856472-collection-adoux-l-atelier-de-marie-claire
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Carmilla,"Le Fanu, J. Sheridan",8383195494,9788383195490,8383195494,176        pp,3.86,"113,833",1872,"Apr 10, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Hardcover,view,/book/show/209588017-carmilla
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tajemnica domu Uklejów,"Jadowska, Aneta",8383305435,9788383305431,8383305435,400        pp,4.28,376,"Mar 27, 2024","Mar 27, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Paperback,view,/book/show/204957246-tajemnica-domu-uklej-w
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Szczegóły,"Genberg, Ia",8396888876,9788396888877,8396888876,144        pp,3.90,"10,007","Jan 07, 2022","Feb 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Paperback,view,/book/show/206130197-szczeg-y
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Troje        (Troje, #1)","Lotz, Sarah*",8377587017,9788377587010,8377587017,480        pp,3.31,"14,163","May 01, 2014","May 22, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 05, 2024",,Paperback,view,/book/show/22041416-troje
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Młyn nad Flossą,"Eliot, George",,9788324709748,8324709746,640        pp,3.82,"55,324","Apr 04, 1860",2008,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Hardcover,view,/book/show/25525063-m-yn-nad-floss
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Szara Dama,"Gaskell, Elizabeth",,9788379041954,,110        pp,3.63,"1,015",1861,2013,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,ebook,view,/book/show/30306969-szara-dama
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Obcy,"Camus, Albert",8381964318,9788381964319,8381964318,168        pp,4.02,"1,094,236","May 19, 1942","May 10, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Paperback,view,/book/show/60713695-obcy
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Do latarni morskiej,"Woolf, Virginia",8307030234,,,232        pp,3.80,"183,333","May 05, 1927",2005,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Mass Market Paperback,view,/book/show/7462301-do-latarni-morskiej
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Niebezpieczne związki,"Laclos, Pierre Choderlos de",8392132211,9788392132219,8392132211,271        pp,4.06,"53,310",1782,2004,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Paperback,view,/book/show/5710421-niebezpieczne-zwi-zki
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Jak spać, żeby się wyspać?","Łukowska, Daria",,9788324076611,,256        pp,3.86,35,"Sep 05, 2022","Sep 05, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Paperback,view,/book/show/61668279-jak-spa-eby-si-wyspa
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tajemnice zamku Udolpho. Romans strofami poezji przetykany,"Radcliffe, Ann",,,,720        pp,3.41,"15,577",1794,1977,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Hardcover,view,/book/show/7738858-tajemnice-zamku-udolpho-romans-strofami-poezji-przetykany
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Shirley,"Brontë, Charlotte",0141439866,9780141439860,0141439866,624        pp,3.75,"34,675",1849,"Sep 26, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Paperback,view,/book/show/31168.Shirley
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Magia sprzątania. Japońska sztuka porządkowania i organizacji,"Kondo, Marie*",,9788377589830,,222        pp,3.87,"365,487","Dec 27, 2010","Apr 08, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2024",,ebook,view,/book/show/25498005-magia-sprz-tania-japo-ska-sztuka-porz-dkowania-i-organizacji
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dzień zero,"Ware, Ruth*",8367974670,9788367974677,8367974670,390        pp,3.66,"75,131","Jun 20, 2023","Feb 28, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2024",,Paperback,view,/book/show/206320692-dzie-zero
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ciałko. Hiszpania kradnie swoje dzieci,"Kobylarczyk, Katarzyna",8381917727,9788381917728,,208        pp,4.26,489,"Oct 04, 2023","Oct 04, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 14, 2024",,Hardcover,view,/book/show/195782854-cia-ko-hiszpania-kradnie-swoje-dzieci
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"O kobietach, o których myślę nocami","Kankimäki, Mia",,,,unknown,3.80,"5,074",2018,2024,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 13, 2024",,,view,/book/show/203648447-o-kobietach-o-kt-rych-my-l-nocami
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Niegodni,"Jacobsen, Roy",8368045592,9788368045598,8368045592,368        pp,3.76,534,"Oct 03, 2022","Apr 10, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 13, 2024",,Hardcover,view,/book/show/203648392-niegodni
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Wracam do domu        (Jana Kippo, #3)","Smirnoff, Karin",836797428X,9788367974288,836797428X,376        pp,4.08,"6,838",Apr 2020,"Jan 24, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 13, 2024",,Hardcover,view,/book/show/203536490-wracam-do-domu
