,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Sally's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Happy Ever After Playlist        (The Friend Zone, #2)","Jimenez, Abby*",1538715635,,B07W54QG2X,400        pp,4.17,"128,433","Apr 14, 2020","Apr 14, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,2.5 stars. This was happy but fell short for me. The plot and main conflict was frustrating and carried on too long. Made me never want to fall in lov2.5 stars. This was happy but fell short for me. The plot and main conflict was frustrating and carried on too long. Made me never want to fall in love with someone famous! Glad I don’t have to worry about that! ...more,Notes are private!,0,0,1,"Mar 31, 2024","Mar 31, 2024","Mar 31, 2024",,Kindle Edition,view (with text),/book/show/51065116-the-happy-ever-after-playlist
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tom Lake,"Patchett, Ann",006332752X,9780063327528,006332752X,309        pp,4.04,"241,825","Aug 01, 2023","Aug 01, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I loved this one. Specifically the last 60%. It made me nostalgic for a life I’ve not yet lived. Patchett’s writing is beautiful and empathetic and inI loved this one. Specifically the last 60%. It made me nostalgic for a life I’ve not yet lived. Patchett’s writing is beautiful and empathetic and incredibly immersive. She has an ability to move the story forward while still adding these little bits of detail that aren’t exactly necessary but they are so appreciated by me. ...more,Notes are private!,0,1,1,"Mar 24, 2024","Mar 24, 2024","Mar 24, 2024",,Hardcover,view (with text),/book/show/63241104-tom-lake
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Would You Rather,"Ashley, Allison*",077838649X,9780778386490,077838649X,320        pp,3.72,"13,506","Aug 23, 2022","Aug 23, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,This was so happy and sappy and cute I read it in one sitting kicking my feet like a little girl because they love each other so much !!!!!!!!! Rom coThis was so happy and sappy and cute I read it in one sitting kicking my feet like a little girl because they love each other so much !!!!!!!!! Rom coms forever! ...more,Notes are private!,0,1,1,"Mar 15, 2024","Mar 15, 2024","Mar 15, 2024",,Paperback,view (with text),/book/show/59040907-would-you-rather
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Way of the Heart: The Spirituality of the Desert Fathers and Mothers,"Nouwen, Henri J.M.",0060663308,9780060663308,0060663308,96        pp,4.28,"7,909",1981,"Sep 22, 2009",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"So formational in my understanding of spiritual practices, specifically that of prayer. God does not need a long prayer explaining my needs but a simpSo formational in my understanding of spiritual practices, specifically that of prayer. God does not need a long prayer explaining my needs but a simple word of “Lord, help me!” He knows all of my needs! ...more",Notes are private!,1,3,1,"Mar 10, 2024","Mar 24, 2024","Mar 10, 2024",,Paperback,view (with text),/book/show/210929.The_Way_of_the_Heart
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,One Day,"Nicholls, David",0340896965,9780340896969,0340896965,435        pp,3.83,"341,317","Jun 11, 2009","Jan 01, 2009",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I finished this a few days ago and every time I catch myself thinking about it real tears fall from my eyes. I’ll always love a friends to lovers willI finished this a few days ago and every time I catch myself thinking about it real tears fall from my eyes. I’ll always love a friends to lovers will they won’t they and this one takes the cake in terms of its depth and character development. Wonderfully creative. I hate it and I love it! ...more,Notes are private!,0,0,1,"Mar 10, 2024","Mar 10, 2024","Mar 10, 2024",,Paperback,view (with text),/book/show/6280118-one-day
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Women,"Hannah, Kristin*",1250178630,9781250178633,,480        pp,4.69,"226,169","Feb 06, 2024","Feb 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 26, 2024",,Hardcover,view,/book/show/127305853-the-women
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bodyguard,"Center, Katherine*",1250219396,9781250219398,1250219396,309        pp,3.99,"233,813","Jul 19, 2022","Jul 19, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Good! Made me feel happy and I loved the Texas ranch setting. The main female protagonist drove me a little crazy at times but overall this was a fun Good! Made me feel happy and I loved the Texas ranch setting. The main female protagonist drove me a little crazy at times but overall this was a fun and lighthearted read. Added bonus that she gives an in-depth epilogue so I feel some peace about the years following the story <3 ...more,Notes are private!,0,0,1,"Feb 23, 2024","Feb 25, 2024","Feb 25, 2024",,Hardcover,view (with text),/book/show/58724801-the-bodyguard
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Georgie, All Along","Clayborn, Kate*",1496737296,9781496737298,1496737296,340        pp,3.81,"51,398","Jan 24, 2023","Jan 24, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I didn’t really enjoy this one. Most of the book felt like reading the character’s thoughts rather than their actions. Normally this wouldn’t bother mI didn’t really enjoy this one. Most of the book felt like reading the character’s thoughts rather than their actions. Normally this wouldn’t bother me but their thoughts felt repetitive and not super enlightening. ...more,Notes are private!,0,0,1,"Feb 08, 2024","Feb 11, 2024","Feb 08, 2024",,Paperback,view (with text),/book/show/60604190-georgie-all-along
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Telling a Better Story: How to Talk About God in a Skeptical Age,"Chatraw, Joshua D.",0310108632,9780310108634,0310108632,240        pp,4.23,333,unknown,"Jun 30, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 08, 2024",,Paperback,view,/book/show/48855846-telling-a-better-story
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sinners in the Hands of a Loving God: The Scandalous Truth of the Very Good News,"Zahnd, Brian",1601429517,9781601429513,1601429517,209        pp,4.42,"2,167",unknown,"Aug 15, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Paperback,view,/book/show/33163181-sinners-in-the-hands-of-a-loving-god
