,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Edward's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Flowers for Algernon,"Keyes, Daniel",015603008X,9780156030083,015603008X,311        pp,4.21,"671,377",Apr 1966,"Jun 14, 2004",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Everyone is insecure. We all worry that we are not as smart as others. To make ourselves feel better we belittle others, and we build walls around ourEveryone is insecure. We all worry that we are not as smart as others. To make ourselves feel better we belittle others, and we build walls around ourselves so that our own self-worth is not threatened. But each of us is simply trying make sense of the world and live as best we can.Through his story, Charlie shows us the reality of this facade. His demise makes us feel sad for what is lost. But this is not just Charlie's story - it is the tragedy we all share. We all begin as simple creatures, slowly building upon our ignorance and growing steadily stronger and wiser. But eventually, in death or slow decay we too will lose everything we have gained and worked for. So what did we learn from Charlie? What gives us happiness? What fulfills us and makes us complete? Is it the need for self-improvement and achievement, or do we gain from a simple life, lived with kindness and respect for others? Is it better to have had and lost, or does the losing destroy the value of ever having once had? Is ignorance, in fact, bliss? There are no answers here, just very good questions. Ask them often of yourself....more",Notes are private!,0,0,2,"Sep 20, 2015not set","Sep 25, 2015not set","Aug 18, 2023",,Mass Market Paperback,view (with text),/book/show/54872718-flowers-for-algernon
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How to Read Poetry Like a Professor: A Quippy and Sonorous Guide to Verse,"Foster, Thomas C.",006211378X,9780062113788,006211378X,224        pp,3.72,796,"Mar 27, 2018","Mar 27, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 22, 2023",,Paperback,view,/book/show/35604396-how-to-read-poetry-like-a-professor
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Almost Sincerely,"Lodge, Zoe Norton",1922146854,9781922146854,1922146854,208        pp,3.55,158,"Jun 01, 2015","Jun 01, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 22, 2023",,Paperback,view,/book/show/25562601-almost-sincerely
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The History of Danish Dreams,"Høeg, Peter",186046260X,9781860462603,186046260X,332        pp,3.52,"1,329",1988,"Jan 01, 1997",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 19, 2023",,Paperback,view,/book/show/129157.The_History_of_Danish_Dreams
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Losing Nelson,"Unsworth, Barry",0393321177,9780393321173,0393321177,344        pp,3.60,513,1999,"Oct 17, 2000",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 19, 2023",,Paperback,view,/book/show/239590.Losing_Nelson
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lady Chatterley's Lover / A Propos of Lady Chatterley's Lover,"Lawrence, D.H.",0141183675,9780141183671,0141183675,364        pp,3.50,"125,611",1928,2000,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 19, 2023",,Paperback,view,/book/show/2035669.Lady_Chatterley_s_Lover_A_Propos_of_Lady_Chatterley_s_Lover
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Animalinside,"Krasznahorkai, László",081121916X,9780811219167,081121916X,48        pp,4.16,395,"Jan 01, 2010","Jun 16, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 07, 2023",,Paperback,view,/book/show/9376941-animalinside
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,After Dark,"Murakami, Haruki",,,,244        pp,3.74,"162,912",2004,Nov 2015,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 07, 2023",,Paperback,view,/book/show/28355463-after-dark
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Passenger        (The Passenger, #1)","McCarthy, Cormac",033045742X,9780330457422,033045742X,400        pp,3.59,"28,951","Oct 25, 2022","Oct 25, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"May 07, 2023",not set,"May 07, 2023",,Hardcover,view,/book/show/21045459-the-passenger
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Piranesi,"Clarke, Susanna",1526622432,9781526622433,1526622432,245        pp,4.23,"280,748","Sep 15, 2020","Sep 02, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"We discuss Piranesi in great detail on the latest episode of the Not Quite Write Podcast.I really enjoyed this fun little novel. It's truly originWe discuss Piranesi in great detail on the latest episode of the Not Quite Write Podcast.I really enjoyed this fun little novel. It's truly original, and there is so much to set your mind buzzing....more",Notes are private!,0,10,1,"Apr 20, 2023","Apr 26, 2023","Mar 21, 2023",,Paperback,view (with text),/book/show/57507862-piranesi
