,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Sonya's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hagstone,"Gleeson, Sinéad",0008626669,9780008626662,B0CGT54LRH,307        pp,3.96,51,unknown,"Apr 11, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 09, 2024",,Kindle Edition,view,/book/show/198133381-hagstone
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Long Island Compromise,"Brodesser-Akner, Taffy",0593133498,9780593133491,0593133498,464        pp,4.36,28,"Jul 09, 2024","Jul 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Hardcover,view,/book/show/55777544-long-island-compromise
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Eventide        (Plainsong, #2)","Haruf, Kent",0375725768,9780375725760,0375725768,300        pp,4.22,"24,246","May 04, 2004","May 03, 2005",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,1,"Apr 02, 2024","Apr 07, 2024","Apr 02, 2024",,Paperback,view,/book/show/89884.Eventide
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Book of Evidence        (The Freddie Montgomery Trilogy #1),"Banville, John",0375725237,9780375725234,0375725237,220        pp,3.70,"5,432",1989,"Jun 12, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Paperback,view,/book/show/3659.The_Book_of_Evidence
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Soldier Sailor,"Kilroy, Claire",0571381146,9780571381142,0571381146,233        pp,4.18,"2,290","May 02, 2023","Jan 01, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 28, 2024",,Hardcover,view,/book/show/61852521-soldier-sailor
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Reason to See You Again,"Attenberg, Jami*",0063039842,9780063039841,0063039842,240        pp,4.58,12,unknown,"Sep 24, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 28, 2024",,Hardcover,view,/book/show/199531902-a-reason-to-see-you-again
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,This Strange Eventful History,"Messud, Claire",039363504X,9780393635041,039363504X,448        pp,3.92,37,unknown,"May 14, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 27, 2024",,Hardcover,view,/book/show/201187765-this-strange-eventful-history
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Offshore,"Fitzgerald, Penelope",0006542565,9780006542568,0006542565,140        pp,3.59,"6,811",1979,"Sep 01, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 22, 2024",,Paperback,view,/book/show/108615.Offshore
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Confederates,"Keneally, Thomas",0060122994,9780060122997,0060122994,427        pp,4.07,"1,152",1979,"Jan 01, 1980",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 22, 2024",,Hardcover,view,/book/show/2435104.Confederates
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Going There,"Couric, Katie",0316593311,9780316593311,0316593311,736        pp,4.04,"23,805","Oct 26, 2021","Oct 26, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Mar 22, 2024","Mar 26, 2024","Mar 22, 2024",,Hardcover,view,/book/show/57007708-going-there
