,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Jeff's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Hitchhiker’s Guide to the Galaxy        (Hitchhiker's Guide to the Galaxy, #1)","Adams, Douglas",,,,216        pp,4.23,"1,840,970","Oct 12, 1979",2005,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Funny and clever universal romp about coincidence and the silliness of existence.,Notes are private!,0,1,1,not set,not set,"Mar 23, 2024",,Mass Market Paperback,view (with text),/book/show/11.The_Hitchhiker_s_Guide_to_the_Galaxy
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Winterdance: The Fine Madness of Running the Iditarod,"Paulsen, Gary",0156001454,9780156001458,0156001454,272        pp,4.29,"7,795","Mar 01, 1994","Feb 17, 1995",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Solid adventure narrative replete with self-deprecating humor and a profound (if not somewhat performative) love of dogs and nature.I couldn't help buSolid adventure narrative replete with self-deprecating humor and a profound (if not somewhat performative) love of dogs and nature.I couldn't help but think some on Paulsen's selfishness: he had a few kids at this point and, not only are they not really mentioned in the book, he seems to champion a life of the wild over his domestic responsibilities. Still, a nice ride....more",Notes are private!,0,0,1,not set,not set,"Mar 14, 2024",,Paperback,view (with text),/book/show/2923.Winterdance
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Interior Chinatown,"Yu, Charles*",,,0307907198,288        pp,3.97,"58,323","Jan 28, 2020","Jan 28, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Brilliant novel depicting the anonymity of Asian Americans in the United States through clever, script-like film roles. The novel's social power advocBrilliant novel depicting the anonymity of Asian Americans in the United States through clever, script-like film roles. The novel's social power advocates for the full, complex identities of people of Asian descent as individuals and not ""types"" or adjacent to other marginalized groups.The monological courtroom scenes delivering the more academic thesis toward the end are reminiscent of previous novels that have used the same trope.In all, a wise and important book....more",Notes are private!,0,0,1,not set,not set,"Feb 17, 2024",,Hardcover,view (with text),/book/show/44436221-interior-chinatown
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Phantom Tollbooth,"Juster, Norton",0394820371,9780394820378,0394820371,248        pp,4.20,"286,760",1961,1996,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Very punny. The punniest.,Notes are private!,0,0,1,not set,not set,"Feb 11, 2024",,Paperback,view (with text),/book/show/378.The_Phantom_Tollbooth
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Passenger        (The Passenger #1),"McCarthy, Cormac",0593535227,,B09T9D8QY7,385        pp,3.59,"28,968","Oct 25, 2022","Oct 25, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is nowhere near McCarthy's best work, but it remains a work of radical genius. There aren't many novels in the world where such a sentence can beThis is nowhere near McCarthy's best work, but it remains a work of radical genius. There aren't many novels in the world where such a sentence can be uttered.An existential novel with nearly no plot, endless conversations in bars, ghosts, schizophrenic apparitions, low-core incest, an abandoned plot point (maybe), and math. There is NO ONE like McCarthy when it comes to dialogue and the discourse on existence as pertains to the unknowableness of the Human Condition is enough to log this book in the pantheon of WFT and OMG and thank god it exists (I'm hoping some get the joke there at the end).I kept finding myself wanting to reread the entire novel with a pad and pen to take notes...before I was even finished.My only gripe was that all characters had the same voice: stoic, smart, witty. Regardless of status or position. Still, a flawed McCarthy novel that still ranks better than most novels. It is unsettling and brilliant and deep and as curious as life itself.Merged :This is nowhere near McCarthy's best work, but it remains a work of radical genius. There aren't many novels in the world where such a sentence can be uttered.An existential novel with nearly no plot, endless conversations in bars, ghosts, schizophrenic apparitions, low-core incest, an abandoned plot point (maybe), and math. There is NO ONE like McCarthy when it comes to dialogue and the discourse on existence as pertains to the unknowableness of the Human Condition is enough to log this book in the pantheon of WFT and OMG and thank god it exists (I'm hoping some get the joke there at the end).I kept finding myself wanting to reread the entire novel with a pad and pen to take notes...before I was even finished.My only gripe was that all characters had the same voice: stoic, smart, witty. Regardless of status or position. Still, a flawed McCarthy novel that still ranks better than most novels. It is unsettling and brilliant and deep and as curious as life itself.Merged :This is nowhere near McCarthy's best work, but it remains a work of radical genius. There aren't many novels in the world where such a sentence can be uttered.An existential novel with nearly no plot, endless conversations in bars, ghosts, schizophrenic apparitions, low-core incest, an abandoned plot point (maybe), and math. There is NO ONE like McCarthy when it comes to dialogue and the discourse on existence as pertains to the unknowableness of the Human Condition is enough to log this book in the pantheon of WFT and OMG and thank god it exists (I'm hoping some get the joke there at the end).I kept finding myself wanting to reread the entire novel with a pad and pen to take notes...before I was even finished.My only gripe was that all characters had the same voice: stoic, smart, witty. Regardless of status or position. Still, a flawed McCarthy novel that still ranks better than most novels. It is unsettling and brilliant and deep and as curious as life itself....more",Notes are private!,0,3,2,not setnot set,not setnot set,"Feb 09, 2024",,Kindle Edition,view (with text),/book/show/60581087-the-passenger
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Unaccustomed Earth,"Lahiri, Jhumpa",0676979343,9780676979343,0676979343,352        pp,4.13,"92,773",2008,2008,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I felt that a few of these stories had decent emotional pull and a certain commentary on cross cultural relationships, which I appreciated.I just keptI felt that a few of these stories had decent emotional pull and a certain commentary on cross cultural relationships, which I appreciated.I just kept finding myself frustrated at the quality of the prose. Trust, I understand that most readers don't want flowery language and that many writers prefer plot over poetry because of this; but, to me, literary arts need a little art, you know? I just didn't find anything near remarkable about the artistry of the language here. It was very declarative sentence after declarative sentence. No ornamentation.But again, that's a lot of people's jam....more",Notes are private!,0,0,1,not set,not set,"Feb 04, 2024",,Hardcover,view (with text),/book/show/85301.Unaccustomed_Earth
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Antlers        (Seven Kitchens Press Editor's Series, #5.04)","McQuain, Kelly",,9781949333824,,31        pp,5.00,2,unknown,"Jan 29, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 30, 2024",,hand-tied chapbook,view,/book/show/60234332-antlers
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Antkind,"Kaufman, Charlie",,,,720        pp,3.71,"5,289","Jul 07, 2020","Feb 06, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Remarkable for its complexity and commentary, I suspect there will be a very polarized grouping of responses to this novel. It follows in the post-modRemarkable for its complexity and commentary, I suspect there will be a very polarized grouping of responses to this novel. It follows in the post-modern, (movie) theatre of the absurd tradition you either like because you also like to trip out, or, because you got your PhD in literature. Either way, it begs attention to the confusion and disjointedness of daily, contemporary life. In my opinion, this is somewhat redundant to most post-modern lit; as in, it was done before. Famously, in Beckett's novels that are very much at play in this novel. But Kaufman's awareness of that is what gets a pass.Others might think this too dense, pretentious, confusing, long, etc. It's both the long para and short para above. I gave it 5 stars because, as a work of literary art, one that I had to keep with me for 700 pages, I largely enjoyed the experience. Kaufman is brilliant and insightful, tragic and funny, and the book rides on so many contemporary issues: from identity politics to divisive politics. It forces you to pay attention by softening your focus on the absurdity and fixating more on the experience...wait, kinda like a movie. Eureka! If you get past the somewhat tired tropes of post-modern fourth-wall breaking and outrageous make-everything-crazyness, you get a book that hits pretty hard at middle-age American early 21st century insanity....more",Notes are private!,0,0,1,not set,not set,"Jan 16, 2024",,Kindle Edition,view (with text),/book/show/45013049-antkind
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Look Homeward, Angel","Wolfe, Thomas",0743297318,9780743297318,0743297318,544        pp,3.92,"14,820",1929,"Oct 10, 2006",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I can't. I just can't. I consider myself a patient man, and almost never quit on a book. But, halfway through, I just can't. There is nearly nothing rI can't. I just can't. I consider myself a patient man, and almost never quit on a book. But, halfway through, I just can't. There is nearly nothing redeemable about this unedited blabber. And stop with the commentary about how poetic this is. I've seen better poetry on the bathroom stall of a Giant supermarket....more",Notes are private!,0,0,1,not set,not set,"Dec 19, 2023",,Paperback,view (with text),/book/show/12448.Look_Homeward_Angel
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Revival,"King, Stephen*",1476770387,9781476770383,1476770387,405        pp,3.80,"126,057","Nov 11, 2014","Nov 11, 2014",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Stephen King can't get out of his own way, which is why we love him and are befuddled by him. Revival is an interesting book that starts with a very sStephen King can't get out of his own way, which is why we love him and are befuddled by him. Revival is an interesting book that starts with a very slow-build childhood, rural Maine chapter (sound familiar) and a tragedy that jeopardizes one's belief in God.Then it kinda goes off the deep end.But that's okay. I mean, what were you expecting here? I think the missed opportunity here was just that it didn't need to be a ""horror"" novel. It's as if, in first draft, it was the abovementioned philosophical text then King felt he needed to live up to his reputation so:-Her eyeball was on her cheek!and-Giant ants and a claw made from human faces!(I shit you not)So, I don't know...fool me a thousand times for thinking it could be different. Still, I'll read the next one; something about the prose style that is so magnetic....more",Notes are private!,0,0,1,not set,not set,"Oct 30, 2023",,Hardcover,view (with text),/book/show/20926278-revival
