,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Jess's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,One Day,"Nicholls, David",0340896965,9780340896969,0340896965,435        pp,3.83,"341,246","Jun 11, 2009","Jan 01, 2009",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Mar 16, 2024","Mar 16, 2024",,Paperback,view,/book/show/6280118-one-day
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Piranesi,"Clarke, Susanna",1635577802,9781635577808,1635577802,245        pp,4.23,"280,820","Sep 15, 2020","Sep 28, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 04, 2024",not set,"Feb 04, 2024",,Paperback,view,/book/show/56268907-piranesi
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Half of a Yellow Sun,"Adichie, Chimamanda Ngozi",0007200285,9780007200283,0007200285,448        pp,4.34,"158,873","Sep 12, 2006","May 01, 2007",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Wow I had no idea there had been a civil war in Nigeria and so recently, the book was really moving and harrowing at times. Excellently written, I’ll Wow I had no idea there had been a civil war in Nigeria and so recently, the book was really moving and harrowing at times. Excellently written, I’ll definitely read more by this author ...more",Notes are private!,0,0,1,"Dec 28, 2023","Jan 13, 2024","Jan 11, 2024",,Paperback,view (with text),/book/show/576650.Half_of_a_Yellow_Sun
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Just Kids,"Smith, Patti*",0747568766,9780747568766,0747568766,288        pp,4.21,"280,509","Jan 19, 2010","Jan 04, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Very moving such a beautiful story of love and friendship,Notes are private!,0,1,1,"Nov 21, 2023","Nov 27, 2023","Nov 21, 2023",,Paperback,view (with text),/book/show/9437270-just-kids
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All About Love: New Visions,"hooks, bell",0060959479,9780060959470,0060959479,238        pp,4.06,"86,213","Dec 22, 1999","Jan 30, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 15, 2023",not set,"Nov 15, 2023",,Paperback,view,/book/show/218042.All_About_Love
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Glorious Heresies,"McInerney, Lisa",144479888X,9781444798883,144479888X,371        pp,3.76,"8,035","Apr 09, 2015","Jan 01, 2001",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jul 21, 2023","Jul 24, 2023","Jul 21, 2023",,Paperback,view,/book/show/30001662-the-glorious-heresies
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Conundrum,"Morris, Jan",1590171896,9781590171899,1590171896,176        pp,3.91,"1,912",1974,"May 16, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 05, 2023",,Paperback,view,/book/show/553103.Conundrum
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Love in the Big City,"Park, Sang Young",0802158781,9780802158789,0802158781,240        pp,3.65,"10,228","Jun 28, 2019","Nov 16, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2023",,Hardcover,view,/book/show/57500766-love-in-the-big-city
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Seven Moons of Maali Almeida,"Karunatilaka, Shehan*",1908745908,9781908745903,1908745908,386        pp,3.93,"39,494","Aug 04, 2022","Aug 04, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 06, 2023",not set,"Feb 06, 2023",,Hardcover,view,/book/show/57224204-the-seven-moons-of-maali-almeida
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Story of the Lost Child        (The Neapolitan Novels, #4)","Ferrante, Elena",1787702693,9781787702691,1787702693,473        pp,4.44,"137,111","Oct 29, 2014","Aug 13, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"As per usual with this quartet 5*. So good I’m sad I’ve finished the series now, I don’t think I fully understand the ending but I like it none the leAs per usual with this quartet 5*. So good I’m sad I’ve finished the series now, I don’t think I fully understand the ending but I like it none the less. These are definitely my favourite books/author...more",Notes are private!,0,0,1,"Jan 03, 2023","Feb 03, 2023","Jan 03, 2023",,Paperback,view (with text),/book/show/54755828-the-story-of-the-lost-child
