,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Kelly_Hunsaker_reads's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Off the Air,"Estes, Christina*",1250863856,9781250863850,1250863856,320        pp,3.13,824,"Mar 26, 2024","Mar 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 11, 2024",not set,"Apr 11, 2024",,Hardcover,view,/book/show/127305643-off-the-air
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Kill for Me, Kill for You","Cavanagh, Steve*",1668049341,9781668049341,1668049341,352        pp,4.28,"13,204","Jul 20, 2023","Mar 19, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 10, 2024",not set,"Apr 10, 2024",,Hardcover,view,/book/show/176451879-kill-for-me-kill-for-you
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Jump: 40th Anniversary of Attending the ""1984"" Van Halen Concert","Serger, Jim*",1936800497,9781936800490,1936800497,236        pp,4.50,4,unknown,"Nov 25, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"All of us have a handful of vivid, fun memories from our childhoods. Perhaps it is flying by ourselves to visit beloved grandparents. Perhaps it is seAll of us have a handful of vivid, fun memories from our childhoods. Perhaps it is flying by ourselves to visit beloved grandparents. Perhaps it is seeing our name on a list at school, giving us a part in a play or a placement on a team. For the author, Jim Serger, one of those moments is attending his first concert: Van Halen. Forty years later he has written a book about his friends and their night at the show.It is filled with nostalgia. You do not need to have been at this or any concert to find yourself on the pages. You do not need to be a fan of the band. All of us were children and adolescents at one time, and have similar memories.Thank you to the author for my #gifted copy!...more",Notes are private!,0,0,1,"Apr 09, 2024","Apr 10, 2024","Apr 10, 2024",,Paperback,view (with text),/book/show/200775686-jump
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"City on Fire        (Danny Ryan, #1)","Winslow, Don*",0062851195,9780062851192,0062851195,384        pp,4.10,"21,792","Oct 21, 2021","Apr 26, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 09, 2024","Apr 10, 2024","Apr 09, 2024",,Hardcover,view,/book/show/57558287-city-on-fire
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Erasure,"Everett, Percival",1555975992,9781555975999,1555975992,265        pp,4.20,"11,331",2001,"Oct 05, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 08, 2024","Apr 09, 2024","Apr 08, 2024",,Paperback,view,/book/show/10889783-erasure
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The President’s Wife,"Wood, Tracey Enerson",1728257840,9781728257846,1728257840,336        pp,3.69,"1,129","Aug 15, 2023","Aug 15, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 07, 2024","Apr 08, 2024","Apr 08, 2024",,Hardcover,view,/book/show/62984543-the-president-s-wife
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Granite Harbor,"Nichols, Peter*",,,B0C4JL9GPG,320        pp,3.63,380,"Apr 30, 2024","Apr 30, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 08, 2024",not set,"Apr 08, 2024",,Kindle Edition,view,/book/show/150260819-granite-harbor
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Perris, California","Stark, Rachel",0593656202,9780593656204,0593656202,368        pp,4.40,82,"Mar 26, 2024","Mar 26, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 04, 2024","Apr 05, 2024","Apr 04, 2024",,Hardcover,view,/book/show/179548545-perris-california
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,James,"Everett, Percival",0385550367,9780385550369,0385550367,303        pp,4.63,"6,183","Mar 19, 2024","Mar 19, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Percival Everett has given us what is likely to be on every best of 2024 list.James is a reimagining of the Huck Finn story, told from the perspectivePercival Everett has given us what is likely to be on every best of 2024 list.James is a reimagining of the Huck Finn story, told from the perspective of runaway slave Jim. Although Everett takes the basic plot points and important characters and brings them into this book, I believe that calling this novel a retelling does it a disservice. James' story is much darker, sadder, and more intimate. It is a somber story of racism and slavery, and not a boys' adventure. In this book we get to understand the realities of life as a slave; the emotional impact of language, cruelty, abuse and incessant worry. There is a bit of humor, but in that area this book doesn't live up to the original. That did not ruin the story in any way, as I found this story to be more mature and that the emotion was evocative and true. Near the end of the story, I cried.Some of my favorite moments were the quiet, intelligent conversations between James & Huck, which were deep and meaningful. James was teaching Huck to see the world in a completely new way, letting the boy realize that slaves are people with the same thoughts, desires and emotions as the white people who owned them. He shared the stories calmly and without heat or emotion, just giving Huck the respect, hopeful that the boy would learn.Although this book could be read without visiting Twain's story, do yourself a favor and read both.Everett created a beautiful twist that I will not mention, but please read this book as soon as you can so that nobody ruins it for you.I received a beautiful finished copy from the publisher, @DoubledayBooks -- it has earned a permanent place on my shelves. The  reflects my honest opinion....more",Notes are private!,0,2,1,"Apr 04, 2024","Apr 04, 2024","Apr 04, 2024",,Hardcover,view (with text),/book/show/173754979-james
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Great Divide,"Henríquez, Cristina*",0063291320,9780063291324,0063291320,321        pp,3.76,"3,459","Mar 05, 2024","Mar 05, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Apr 2024,"Apr 02, 2024","Apr 01, 2024",,Hardcover,view,/book/show/181110028-the-great-divide
