,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Mollie's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wellness,"Hill, Nathan",0593536118,9780593536117,0593536118,607        pp,4.01,"33,164","Sep 26, 2023","Sep 19, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Really high 3, practically a 4! Really interesting study on a relationship that jumps around in the timeline to slowly reveal how it developed, why thReally high 3, practically a 4! Really interesting study on a relationship that jumps around in the timeline to slowly reveal how it developed, why they have the issues they have with each other, and why they are the way they are. It’s not a romcom—more intellectual, with a lot of tangents that go into psychology and emotion and brain chemistry. Sometimes I loved these rants and sometimes they went a little too far—cut them by 30 percent and the book is a 4. But at the same time, these were why I loved the book so much—it made me reflect on my own daily motives and decision making and feelings. One particular speech that happens near the Bean in Chicago toward the end of the book will stick with me forever. Love a book that is entertaining but bleeds into my life in these kinds of ways and changes my thinking. It’s a long book to commit to, and definitely not for everyone because of the deep dives, but I really enjoyed it. ...more",Notes are private!,0,1,1,not set,"Apr 10, 2024","Apr 10, 2024",,Hardcover,view (with text),/book/show/65650229-wellness
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Yours Truly        (Part of Your World, #2)","Jimenez, Abby*",1538704390,9781538704394,1538704390,416        pp,4.33,"257,019","Apr 11, 2023","Apr 11, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Whoops, accidentally read the second book in the series first, but had no idea so it doesn’t matter. Classic “we have to pretend we are in a relationsWhoops, accidentally read the second book in the series first, but had no idea so it doesn’t matter. Classic “we have to pretend we are in a relationship” rom com. Somehow it works for me—we all need this word candy every once in a while right? I’m even willing to not be too annoyed that it could all be resolved in one page if they both just put their big girl and boy pants on and said, “I have feelings for you.” Cute antics, page turning and turning to get to the eventual time these two emotionally challenged dummies realize they are for real for real in love.Side note, I feel like the title is misleading and makes you think these two rom com lovers are going to be writing letters the whole time, which isn’t the case. I suspect it was called Perfect Match at some point and they had to change it. ...more",Notes are private!,0,1,1,not set,Apr 2024,"Apr 06, 2024",,Paperback,view (with text),/book/show/61918816-yours-truly
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Finlay Donovan Knocks 'Em Dead        (Finlay Donovan, #2)","Cosimano, Elle*",1250242185,9781250242181,1250242185,357        pp,3.99,"82,515","Feb 01, 2022","Feb 01, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Very clever continuation, where the ex is now the target. Am loving how the storyline of the cop vs lawyer is continuing, how the thread of the mob stVery clever continuation, where the ex is now the target. Am loving how the storyline of the cop vs lawyer is continuing, how the thread of the mob story is still part of this so that it doesn’t feel too outlandish for her to keep needing to be an accidental hitman. The details of who did what and who is shooting at who are still a little hazy but it’s the kind of book where it’s just fun to go along for the ride. ...more",Notes are private!,0,1,1,not set,"Mar 25, 2024","Apr 06, 2024",,Hardcover,view (with text),/book/show/57693474-finlay-donovan-knocks-em-dead
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Half Moon,"Keane, Mary Beth*",1982172606,9781982172602,1982172606,304        pp,3.41,"22,859","May 02, 2023","May 02, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Really enjoyed this book, which is a contemporary fiction relationship book set in a bar in the Bronx. The couple it follows is perfectly complex, andReally enjoyed this book, which is a contemporary fiction relationship book set in a bar in the Bronx. The couple it follows is perfectly complex, and their struggles running a business, with infertility, and just trying to connect were believable and raw. It was a slower paced, character focused book. Loved the audible narrators and especially the male voice accent. Side note, did not care for how they’d switch off sometimes every paragraph because it was a little jarring to listen to like that. Otherwise glad to have read it and seen it through. ...more",Notes are private!,0,2,1,not set,"Apr 06, 2024","Apr 06, 2024",,Hardcover,view (with text),/book/show/60913577-the-half-moon
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Yellowface,"Kuang, R.F.*",,,,336        pp,3.80,"428,692","May 25, 2023","May 16, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"If you don’t mind a horrible person for a main character, this book is excellent. Super interesting exploration of cultural appropriation when she steIf you don’t mind a horrible person for a main character, this book is excellent. Super interesting exploration of cultural appropriation when she steals an Asian friend’s work and passes it as her own. Also gripping to constantly wait for the consequences! It got a little annoying when her justifications felt too far fetched. But overall a fascinating book. Don’t audible—the narrator reads it waaaay too snarky and I think it’s best experienced making your own voice. Also this book isn’t for everyone, especially if you need someone to root for. ...more",Notes are private!,0,1,1,not set,"Mar 13, 2024","Apr 06, 2024",,Hardcover,view (with text),/book/show/62047984-yellowface
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,James,"Everett, Percival",0385550367,9780385550369,0385550367,303        pp,4.63,"6,316","Mar 19, 2024","Mar 19, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Hardcover,view,/book/show/173754979-james
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sea Change,"Chung, Gina*",0593469348,9780593469347,,288        pp,3.59,"5,355","Mar 28, 2023","Mar 28, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Low three. I understood who all the authors could do the “girl in a window” or “woman in a train” or “damsel in a plane cabin” trend…who knew befriendLow three. I understood who all the authors could do the “girl in a window” or “woman in a train” or “damsel in a plane cabin” trend…who knew befriending an octopus and deep sea disappearances could also trend? This one was okay but mostly boring and left me wondering what the point of some of the story was. Like, for example, why did the ex boyfriend go to mars? The story was set in modern day but also we were colonizing mars as a really obscure subplot. For a second I thought he’d find the girls missing rather there, and then we’d have a story. But instead it was just a girl missing her dad, being lonely, quitting her job. That’s the story. ...more",Notes are private!,0,0,1,not set,"Mar 20, 2024","Mar 20, 2024",,Paperback,view (with text),/book/show/61387972-sea-change
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Finlay Donovan Is Killing It        (Finlay Donovan, #1)","Cosimano, Elle*",1250241707,9781250241702,1250241707,355        pp,4.02,"163,398","Feb 02, 2021","Feb 02, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Fun easy read about an author who becomes a hitman accidentally. Such a dumb premise that somehow works for a light brainless read and page turner. SuFun easy read about an author who becomes a hitman accidentally. Such a dumb premise that somehow works for a light brainless read and page turner. Suspend disbelief and accept some really dumb decisions regarding keeping things confidential from the police, being invited into the investigation, and ways people die and murders are hidden, and you’ll find yourself enjoying the ride. Excited for the next one. ...more",Notes are private!,0,1,2,not setnot set,"Mar 08, 2024not set","Mar 20, 2024",,Hardcover,view (with text),/book/show/53138099-finlay-donovan-is-killing-it
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Chain-Gang All-Stars,"Adjei-Brenyah, Nana Kwame*",0593317335,9780593317334,0593317335,367        pp,4.14,"37,828","May 02, 2023","May 02, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I loved this book, which read like Hunger Games meets Just Mercy—dystopian action but as a major commentary on the modern prison system. It is satire,I loved this book, which read like Hunger Games meets Just Mercy—dystopian action but as a major commentary on the modern prison system. It is satire, and sometimes while you are reading and turning pages you start to think that you are so much like the audience in the book, disconnected and intrigued, or at worst taking this in as entertainment like you shouldn’t be. Loved the strong women presented in the book, and the humanity of every character, and the ways their humanity is jeopardized by the system they are in. It feels very vivid and possible and page turning, like a movie. And is so thought provoking as a call to action how we aren’t doing enough about the insanity of mass incarceration that is a part of our reality—as evidenced by several nonfiction footnotes in the book. Warning it is super violent. But it is so different from anything else I’ve read and I’m highly recommending. ...more",Notes are private!,0,2,1,not set,"Feb 26, 2024","Feb 27, 2024",,Hardcover,view (with text),/book/show/61190770-chain-gang-all-stars
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,She Rides Shotgun,"Harper, Jordan*",1471158942,,,257        pp,4.04,"7,233","Jun 06, 2017","May 04, 2017",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Meh. By the end had to just get through. This will be a movie soon and will probably be a good one. It read wayyyy too much like that kind of action mMeh. By the end had to just get through. This will be a movie soon and will probably be a good one. It read wayyyy too much like that kind of action movie where there is a vendetta and people go around killing each other in fun and exciting ways. As such about 1.5 hours is my limit rather than the 7 hours or so to read it. ...more,Notes are private!,0,0,1,not set,"Jan 10, 2024","Feb 24, 2024",,Hardcover,view (with text),/book/show/23361199-she-rides-shotgun
