,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Deborah's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Invisible Hour,"Hoffman, Alice*",1982175389,9781982175382,1982175389,272        pp,3.63,"28,018","Aug 15, 2023","May 21, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 05, 2024",,Paperback,view,/book/show/199798000-the-invisible-hour
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Small Things Like These,"Keegan, Claire",,,B092FX6HYZ,70        pp,4.19,"153,362","Nov 05, 2021","Nov 30, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Feb 24, 2024","Feb 24, 2024","Feb 24, 2024",,Kindle Edition,view,/book/show/59016923-small-things-like-these
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Monkey Boy: A Novel,"Goldman, Francisco",,,B08WDRQP82,344        pp,3.53,847,"May 04, 2021","May 10, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jan 27, 2024","Feb 21, 2024","Jan 27, 2024",,Kindle Edition,view,/book/show/58015289-monkey-boy
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Demon Copperhead,"Kingsolver, Barbara",,,B09QMHZ53K,550        pp,4.51,"397,749","Oct 18, 2022","Oct 18, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jan 06, 2024","Jan 20, 2024","Jan 06, 2024",,Kindle Edition,view,/book/show/60317128-demon-copperhead
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Year of Magical Thinking,"Didion, Joan",1400078431,9781400078431,1400078431,227        pp,3.93,"242,900","Sep 01, 2005","Feb 13, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 01, 2023",,Paperback,view,/book/show/7815.The_Year_of_Magical_Thinking
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Last Chairlift,"Irving, John*",150118928X,9781501189289,150118928X,912        pp,3.44,"8,130","Oct 18, 2022","Oct 03, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 18, 2023",,Paperback,view,/book/show/101124861-the-last-chairlift
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tom Lake,"Patchett, Ann",006332752X,9780063327528,006332752X,309        pp,4.04,"241,610","Aug 01, 2023","Aug 01, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 01, 2023",,Hardcover,view,/book/show/63241104-tom-lake
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,This Is How You Lose the Time War,"El-Mohtar, Amal*",,,B07MNG496J,223        pp,3.91,"205,604","Jul 16, 2019","Jul 16, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 15, 2023",,Kindle Edition,view,/book/show/55710260-this-is-how-you-lose-the-time-war
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Wager: A Tale of Shipwreck, Mutiny and Murder","Grann, David*",0385534264,9780385534260,0385534264,354        pp,4.21,"96,456","Apr 18, 2023","Apr 18, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 26, 2023",,Hardcover,view,/book/show/61714633-the-wager
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Such a Quiet Place,"Miranda, Megan*",,,B08LDXPDYY,352        pp,3.46,"66,437","Jul 12, 2021","Jul 13, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 27, 2023","Mar 30, 2023","Mar 27, 2023",,Kindle Edition,view,/book/show/55937653-such-a-quiet-place
