,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Joseph's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lost Girls of Willowbrook,"Wiseman, Ellen Marie*",1496715888,9781496715883,1496715888,355        pp,3.93,"36,590","Aug 30, 2022","Aug 30, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 06, 2024",not set,"Apr 06, 2024",,Paperback,view,/book/show/59530862-the-lost-girls-of-willowbrook
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Destiny of the Republic: A Tale of Madness, Medicine and the Murder of a President","Millard, Candice",,,B005OK0XYY,398        pp,4.21,"74,740","Sep 20, 2011","Jan 01, 2011",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"For many Americans who grew up in the 40',50's, 60's, 70's, and 80's, they have asked the question how much different the United States would have beeFor many Americans who grew up in the 40',50's, 60's, 70's, and 80's, they have asked the question how much different the United States would have been if President Kennedy was never assassinated and Lyndon Johnson never became President? Even though President Kennedy did send fifteen thousand advisers to Vietnam, surely he would never had escalated the situation to all out war and by the end of his term have nearly sent half-a-million soldiers to Vietnam in hope of never being known as the first President to lose a war. And to make things worse, Nixon never would have become president nor his secretary of state Henry Kissinger finding no fault with killing hundreds of thousands of Cambodian and Vietnam citizens while another 26,000 American soldiers were killed and another one-hundred thousand wounded.The same could be said of President Lincoln's assassination. If he was never killed, surely the reconstruction period would have looked so much different. Unlike his incompetent successor,  President Johnson never would have allowed the south to resurrect slavery under the disguise of state rights.Ms. Millard's extraordinary account of President  Garfield's life and presidency, short lived as it was (five months) before he died from the hauntingly inept treatments prescribed by a self serving Dr. Bliss for a bullet wound, inflicted by the assassin Charles Guiteau, that if left alone would have healed on its own. President Garfield came from dirt poor roots that didn't hinder his rise, rising to rank of General on the Union side during the civil war, to a scholar and president of a university, to a renowned congressman and the President of the United States who was intent on changing the nation's corrupt political establishment. A few quotes from this great man and what a full term or two would of meant for our country:“There is no horizontal stratification of society in this countrylike the rocks in the earth, that hold one class down belowforevermore, and let another come to the surface to stay thereforever. Our stratification is like the ocean, where every individualdrop is free to move, and where from the sternest depths of the mightydeep any drop may come up to glitter on the highest wave that rolls.”""The chief duty of government is to keep the peace and stand out of the sunshine of the people.""“I never meet a ragged boy in the street without feeling that i may owe him a salute, for I know not what possibilities may be buttoned up under his coat.”President Garfield was a man with a loud laugh that filled his family and nation with a feeling of goodness and caring. He was a man who lived by the morals he preached, and when he passed away the nation mourned for their President in a way few presidents have ever been mourned. It is hard not to believe that if he lived, civil rights for all Americans would have been far more advanced and our country and the world would have been better off....more",Notes are private!,0,5,1,"Mar 27, 2024","Apr 06, 2024","Mar 27, 2024",,Paperback,view (with text),/book/show/142598312-destiny-of-the-republic
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Hero of the Empire: The Boer War, a Daring Escape, and the Making of Winston Churchill","Millard, Candice",0307948781,9780307948786,0307948781,416        pp,4.10,"15,730","Apr 12, 2016","May 30, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Many and many a year ago, when I still had dreams of making it in Hollywood, I embarked on a project that would easily take up a number of years of myMany and many a year ago, when I still had dreams of making it in Hollywood, I embarked on a project that would easily take up a number of years of my life. My project was to write a screenplay on the Civil War in Angelo with the Soviet Union (with help from Cuba) backing the government and the revolutionary leader, CIA backed, madman Jonas Savimbi fighting against the government. That was the first half of the screenplay. The second part of the screenplay took place in South Africa and the fictitious over throw of the racist, apartheid, government by the ANC (African National Congress) led by a figure similar to Nelson Mandela. The screenplay was amazingly well received and I was promised by prominent talent agencies ""Not to worry. They would take care of me."" Naturally nothing came of their promises. Note to all future Hollywood writers: When an agent or even a studio head tells you, ""Not to worry. They will take care of you."" Start looking for other avenues to sell your work.So when I picked up Candice Millard's fantastic biography, ""Hero of the Empire: The Boer War, a Daring Escape, and the Making of Winston Churchill"" I thought I at least had an idea of the situation she was examining. In fact, I learned so much from this novel that all the research I did for my screenplay seemed like nothing. What I would learn of a young Churchill I simply had no idea about. The man was after glory on the battle field in such a way that's it's hard to believe he made it passed twenty-five. Naturally, the glory he sought was in hope of advancing his political career which it did.Mrs. Millard, like any great biographer, does not take sides in the war between the Boers and the British. In fact, at times I found myself rooting for the racist Boers to beat the ever expanding British empire. I highly, highly recommend this book,...more",Notes are private!,0,7,1,"Mar 18, 2024","Mar 27, 2024","Mar 18, 2024",,Paperback,view (with text),/book/show/33516592-hero-of-the-empire
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Iron Curtain: The Crushing of Eastern Europe, 1944-1956","Applebaum, Anne",140009593X,9781400095933,140009593X,566        pp,4.08,"6,540","Oct 30, 2012","Aug 13, 2013",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Anne Applebaum's, ""Iron Curtain: The Crushing of Eastern Europe, 1944-1956,"" is a fantastic, riveting, brilliant analysis of the cruelty inflicted on Anne Applebaum's, ""Iron Curtain: The Crushing of Eastern Europe, 1944-1956,"" is a fantastic, riveting, brilliant analysis of the cruelty inflicted on the East European nations after World War 2 by Stalin and his puppets in Poland, Hungary, Czechoslovak, East Germany, Romania, Bulgaria, and Albania. As if the Nazis' inhumanity, torture, and murder wasn't enough, The Red Army picked up right where the Germans left off.A list of the top three most brutal dictators of the 20th century:1.) Mao- up to 70 million deaths.2.) Stalin - up to 40 million deaths.3.) Hitler - up to 17 million deaths.All Totalitarian, paranoid, dictators promising a better, alternative world for the people they ruled over.In the 21 century:President Donald Trump - responsible for at least 300,000 deaths...refusing to release information about the covid 19 virus because he thought it would hurt his re-election chances, and then spreading disinformation about the virus which proved nearly as deadly as his refusal to come clean about the virus at the very beginning.Currently, The 2024 Republican Presidential nominee. ...more",Notes are private!,0,5,1,"Feb 28, 2024","Mar 18, 2024","Feb 28, 2024",,Paperback,view (with text),/book/show/16142156-iron-curtain
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"River of the Gods: Genius, Courage, and Betrayal in the Search for the Source of the Nile","Millard, Candice",0525435646,9780525435648,0525435646,448        pp,3.84,"13,473","May 17, 2022","May 23, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"On a very basic level this biography is the story of three men and their exploration to find the location and headwaters of the Nile River. Richard BuOn a very basic level this biography is the story of three men and their exploration to find the location and headwaters of the Nile River. Richard Burton, an intellectual, who can speak over twenty-five languages and 11 dialects and who can jump back from one serious illness after the other, including a spear that goes through both sides of his jaw, and yet he continues on.The second man, John Hanning Speke, an army officer whose main passion, besides hunting, is to find the source of the Nile and claim the prize for England and to make his mark in the world. Like Burton, he can suffer one deadly illness after another and somehow find the strength to continue on.The third man, Sidi Mubarak Bombay, an ex-slave whose freedom is granted when his owner dies is a testimony to goodness and an extraordinary guide.On a much higher level this is the story of the brutal colonization of the continent of Africa by the Europeans. It is in many ways the non-fiction equivalent of Joseph Conrad's classic, ""Heart of Darkness."" In fact, Mr. Conrad is mentioned in the book.Myth and an up side down interpretation of Darwin's theory are used as reasons why the native Africans, mostly blacks, are captured and sold into slavery.Ms. Candice Millard's, ""River of the Gods,"" is a riveting, fast paced biography that takes place mostly between the 1850's to the middle and late 1860's. Sadly, the brutal colonization of Africa continued into the 1950's and its consequences can still be seen to this very day in the many wars still taking place on the continent.I would like to thank Dmitri for recommending this book. Great choice....more",Notes are private!,4,16,1,"Feb 23, 2024","Feb 28, 2024","Feb 23, 2024",,Paperback,view (with text),/book/show/75665761-river-of-the-gods
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Women,"Hannah, Kristin*",1250178630,9781250178633,,480        pp,4.69,"224,094","Feb 06, 2024","Feb 06, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"For most of my childhood and early teen years, The Vietnam War was a back story. The Johnson Administration and the military were infusing the AmericaFor most of my childhood and early teen years, The Vietnam War was a back story. The Johnson Administration and the military were infusing the American public with out and out lies...proclaiming that we were winning. That unless we stopped the Communist, these Godless crickets, it would be only a matter of time before they took over our God fearing country.When Johnson saw that public opinion turn against him and the war, one of our worst presidents ever, decided not to run for re-election and he finally had his people sit down at the table with the Godless Communist and just as they were about to sign a peace treaty a bigger evil than even Johnson secretly entered the negotiations. Behind the back of the current administration, Nixon told the corrupt South Vietnamese Leadership that the peace treaty being negotiated would be the end of their country and the North would have complete control. And so, the negotiations broke down and the second worst President in our country's history prolonged the war for another four years resulting in the deaths of at least another 26 thousand Americans, hundreds of thousands wounded, and quite possibly the death of a half-a-million innocent Vietnamese.It was just around 1969 that I remember my parents having one of the only arguments I remember them having. My father told my mother that if this war continued for another ten years, which seemed much more of a possibility than ever, that he would support his sons going to Canada. ""That this wasn't a war worth fighting. That it was all a bunch of lies and it was disgraceful that we were even there.""My mother, in turn, argued that she ""would never allow none of her sons to go to Canada and that the idea that her sons would be looked upon as cowards made her sick.""In one year's time, as the coverage of the war increased and our presence in Vietnam didn't make any rational sense, my mother changed her mind.Kristin Hannah's marvelous novel, ""The Women,"" followed the career and life of Frances McGrath and her girlfriends who volunteered as nurses in Vietnam. They experienced the horror, they held in their hands the livers, hearts, and decapitated arms and legs of dying soldiers. They treated the severely wounded and helped save the lives of countless soldiers and civilians. They passed by the countless body bags piled up outside the morgue as they made their way to the outdoor showers andlatrines. They knew war, because they lived war.After returning to the states they were spit on, and when they told people they were Vietnam vets the usual reply was, ""No you're not. Only men are over there."" Actually, nearly ten thousand women served in Vietnam and a number of them were killed. It took years after the war was over for their honorable and courageous service to be finally recognized.""The Women,"" by Kristin Hannah tells their story through the fabulously detailed, fully developed character of Frances McGrath and it is a story that I strongly recommend....more",Notes are private!,2,15,2,"Feb 18, 2024not set","Feb 23, 2024not set","Feb 18, 2024",,Hardcover,view (with text),/book/show/127305853-the-women
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Murrow Boys: Pioneers on the Front Lines of Broadcast Journalism,"Cloud, Stanley*",0395680840,9780395680841,0395680840,445        pp,4.33,759,"May 01, 1996","Jan 01, 1996",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A simply fascinating, objective, and mesmerizing account of the famous Edward R. Murrow and his team of journalists covering World War II and their liA simply fascinating, objective, and mesmerizing account of the famous Edward R. Murrow and his team of journalists covering World War II and their lives afterwards. ...more",Notes are private!,6,9,1,"Feb 08, 2024","Feb 18, 2024","Feb 08, 2024",,Hardcover,view (with text),/book/show/3562443-the-murrow-boys
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Orphan Collector,"Wiseman, Ellen Marie*",1496715861,9781496715869,1496715861,390        pp,4.24,"44,391","Jul 28, 2020","Jul 28, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"It is always a pleasant surprise when I am reading a novel and because the main characters or group of characters are so well written and developed thIt is always a pleasant surprise when I am reading a novel and because the main characters or group of characters are so well written and developed that when I feel they are in danger I have to put the book down because I don't want anything bad to happen to them. That happen in this marvelous book by Ellen Marie Wiseman, three separate times. The character of Pia Lange is so amazingly written that anytime a dangerous or negative thing was about to happen to her I could feel my heart racing. Pia, the 13 year old child of German immigrants, sees her life turned upside down in a day when the Spanish Flu epidemic hit her home city of Philadelphia. Her mother Mutti, healthy one day was dead the next, as were thousands of people throughout the city. Her father was off fighting during World War I, and she was suddenly left with two twin brothers who she became responsible for. Living in a ghetto, she left her small brothers in their apartment and went searching for food. She suddenly got very sick and passed out and when she woke-up, six days later, after surviving the flu all she could think about were her baby brothers and if they were still alive. When she went back to her apartment her brothers were gone and a new family was living there and they couldn't tell her much about her brothers but she would not give up her search and her journey in the hope of finding them alive is both mesmerizing and enthralling.The novel takes place, as I wrote, during the Spanish flu epidemic in 1918 but it could have easily taken place during the covid epidemic. The anti immigrant phenomena during covid and riding high right up to this minute in the U.S.A. was very similar during 1918. They were blamed for everything. It's sad to think that ""nativism"" could still be so out of control today.The misinformation in 1918 about the epidemic was out of control and cost thousands of lives; similar to the misinformation spit out of the mouths of such God loving politicians as President Trump, Gov. Ron DeSantis, and Senator Rand Paul. Sadly, far too many people listened to these self-serving, evil individuals than to Dr. Anthony Fauci whose previously accomplishments saved millions of people during the HIV epidemic and other serious illnesses. Thankfully, he was not deterred by the criticism and continually pushed forward with the importance of the vaccinations.""The Orphan Collector,"" is a book I highly, highly recommend.Note: ""The Spanish Flu most likely originated in the United States. One of the first recorded cases was on March 11, 1918, at Fort Riley in Kansas. Overcrowding and unsanitary conditions created a fertile breeding ground for the virus.""""The pandemic broke out near the end of World War I, when wartime censors in the belligerent countries suppressed bad news to maintain morale, but newspapers freely reported the outbreak in neutral Spain, creating a false impression of Spain as the epicenter and leading to the ""Spanish flu"" misnomer.""...more",Notes are private!,0,6,1,"Feb 02, 2024","Feb 08, 2024","Feb 02, 2024",,Paperback,view (with text),/book/show/49244342-the-orphan-collector
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lee Miller: A Life,"Burke, Carolyn",0226080676,9780226080673,0226080676,426        pp,3.99,531,"Nov 15, 2005","Apr 23, 2007",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"After reading a few fascinating articles about Ms. Miller, I picked up her only child's biography of his mother called, ""The Many Lives of Lee Miller,After reading a few fascinating articles about Ms. Miller, I picked up her only child's biography of his mother called, ""The Many Lives of Lee Miller,"" by Antony Penrose. It was really good and furthered my interest in his mother.I just finished, ""Lee Miller, a Life,"" by Carolyn Burke and it is a much more comprehensive look at this amazing woman who started off as a model, moved to France during the twenties and thirties and was a big part of the Surrealist's movement of the era. She continued to model, and then became a photojournalist, and covered the war, right up front with many of the soldiers. Her photographs of the concentration camps are simply bone chilling. After the war, she visited the countries that the Soviets' controlled and drew a stark contrast between the eastern Soviet countries like Poland and and the western democracies like Great Britain. She took photographs for ""Vogue,"" accompanied by insightful, shocking stories about fashion, art, and the war.In many ways one might say she lived many lives, was sexually promiscuous, travelled much of the world and lived the life (lives) she wanted....more",Notes are private!,0,2,1,"Jan 24, 2024","Feb 02, 2024","Jan 24, 2024",,Paperback,view (with text),/book/show/236145.Lee_Miller
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Last Hope Island: Britain, Occupied Europe, and the Brotherhood That Helped Turn the Tide of War","Olson, Lynne*",0812987160,9780812987164,0812987160,553        pp,4.31,"3,346","Apr 25, 2017","Feb 06, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I am going to make this  short, simply because, if you are interested in World War II this is a book that needs to be read. Ms. Olson is one of I am going to make this  short, simply because, if you are interested in World War II this is a book that needs to be read. Ms. Olson is one of the great historians of our generation and many of her books that focus on World War 2  I have read and have always come away bedazzled and awe-struck by the knowledge I have come away with.""Last Hope Island,"" has simply floored me in the amount of new material Ms. Olson has revealed in a personal and empathetic way that never obstructs the facts.After the Germans had rolled over Continental Europe at the beginning of World War 2, Britain remained the only European democracy still holding out against the Nazi war machine and in so doing became the refuge for the governments, armed forces, and the spy networks of 7 countries, France, Poland, The Netherlands, Belgium, Norway, Czechoslovakia, and Denmark.The contributions of these 7 governments in exile was nothing short of extraordinary. It was the efforts of the Polish pilots during the Battle of Britain that saved the British from becoming the eight country taken over by Hitler.  It was the contributions of the Polish and French code breakers that cracked the Germans' ""Enigma Code,"" which led to the flood of top secret information about German intelligence and operations that would help ensure the success of the Allied invasion of occupied Europe. The Highly regarded MI6 was quite useless during most of the war and without a doubt contributed to the senseless deaths of thousands of spies and resistance networks in each of the seven occupied countries.MI6 had a reputation for being the best spy organization in the world before the war simply because a number of fiction writers used MI6 as the organization for which their heroic, fictitious, spies worked for. President Roosevelt's betrayal of Poland and Czechoslovakia and his unwillingness to help the Netherlands at the end of the war while the Nazis were committing another genocide inside part of the country, is criminal. The Poles had probably done more to help the Allied cause than any other exiled country. The President said he didn't care about the Polish people, and he had promised that country to Stalin. General Patton was only forty miles from the Czechoslovakian capitol and when asked permission to free the Czechs from the Nazi oppression they suffered under for five years was told by Eisenhower that it would upset Stalin who was 120 miles away.Ms. Olson reminds the reader that unless you lived under the brutal repression of the Germans or fought against them, or was part of a resistance, you really had no idea what was really going on. Apparently, quite a few prominent people in high positions, unknowingly, perpetrated the slaughter of tens of thousands of innocent people, allies of ours, because their empathy went only so far.This is a great book. I have only touched on a few parts of the book but, believe me, the knowledge I came away with was enormous....more",Notes are private!,2,8,1,"Jan 16, 2024","Jan 24, 2024","Jan 16, 2024",,Paperback,view (with text),/book/show/36855342-last-hope-island
