,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Maxwell's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Long Island Compromise,"Brodesser-Akner, Taffy",0593133498,9780593133491,0593133498,464        pp,4.39,31,"Jul 09, 2024","Jul 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Hardcover,view,/book/show/55777544-long-island-compromise
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Rouge,"Awad, Mona*",,,B0BTZW48Q6,383        pp,3.59,"19,237","Sep 12, 2023","Sep 12, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Another strange and enchanting story from Mona Awad. This time diving into the beauty industry, intergenerational trauma, and grief. Belle's mother haAnother strange and enchanting story from Mona Awad. This time diving into the beauty industry, intergenerational trauma, and grief. Belle's mother has recently passed away. She must return from Montreal to San Diego to take care of some things in light of her mother's death. But when she goes home for the first time in years, she gets more than she bargained for. What exactly caused her mother's death? And how can Belle reckon with her childhood, her mother's imposing beauty, and the world that created the image she strives to see in herself, without losing her grip on reality? Only Awad could write the story that unfolds in these pages.I am biased because I love Mona Awad, and I saw her talk about this book in person on her book tour in La Jolla, California (where this book takes place and where she's written a couple of her books now!). So I have an especially personal connection to this book in particular. While it wasn't my favorite of her books, I still really enjoyed it. The atmosphere, the flashing back and forth seamlessly between the past and present, the overall weirdness that she does so well: she's in as fine of form as ever in Rouge. I also felt this was a deeply personal book for Awad herself. The topics of being mixed race, femininity and beauty, mother/daughter relationships; it all struck me, as well as hearing her speak about the book, as especially relevant.It's also wacky and fun, even in it's disturbing nature. I mean, Tom Cruise?! Jellyfish?? Mannequins??? My only criticism of this book is that it felt a bit repetitive in the middle. Because not a lot of action happens in this book, it's mostly Belle uncovering memories and reflecting on things from the past, I think it started to feel sort of redundant about halfway through. But the ending more than makes up for it, in my eyes. Merged :Another strange and enchanting story from Mona Awad. This time diving into the beauty industry, intergenerational trauma, and grief. Belle's mother has recently passed away. She must return from Montreal to San Diego to take care of some things in light of her mother's death. But when she goes home for the first time in years, she gets more than she bargained for. What exactly caused her mother's death? And how can Belle reckon with her childhood, her mother's imposing beauty, and the world that created the image she strives to see in herself, without losing her grip on reality? Only Awad could write the story that unfolds in these pages.I am biased because I love Mona Awad, and I saw her talk about this book in person on her book tour in La Jolla, California (where this book takes place and where she's written a couple of her books now!). So I have an especially personal connection to this book in particular. While it wasn't my favorite of her books, I still really enjoyed it. The atmosphere, the flashing back and forth seamlessly between the past and present, the overall weirdness that she does so well: she's in as fine of form as ever in Rouge. I also felt this was a deeply personal book for Awad herself. The topics of being mixed race, femininity and beauty, mother/daughter relationships; it all struck me, as well as hearing her speak about the book, as especially relevant.It's also wacky and fun, even in it's disturbing nature. I mean, Tom Cruise?! Jellyfish?? Mannequins??? My only criticism of this book is that it felt a bit repetitive in the middle. Because not a lot of action happens in this book, it's mostly Belle uncovering memories and reflecting on things from the past, I think it started to feel sort of redundant about halfway through. But the ending more than makes up for it, in my eyes. Merged :Another strange and enchanting story from Mona Awad. This time diving into the beauty industry, intergenerational trauma, and grief. Belle's mother has recently passed away. She must return from Montreal to San Diego to take care of some things in light of her mother's death. But when she goes home for the first time in years, she gets more than she bargained for. What exactly caused her mother's death? And how can Belle reckon with her childhood, her mother's imposing beauty, and the world that created the image she strives to see in herself, without losing her grip on reality? Only Awad could write the story that unfolds in these pages.I am biased because I love Mona Awad, and I saw her talk about this book in person on her book tour in La Jolla, California (where this book takes place and where she's written a couple of her books now!). So I have an especially personal connection to this book in particular. While it wasn't my favorite of her books, I still really enjoyed it. The atmosphere, the flashing back and forth seamlessly between the past and present, the overall weirdness that she does so well: she's in as fine of form as ever in Rouge. I also felt this was a deeply personal book for Awad herself. The topics of being mixed race, femininity and beauty, mother/daughter relationships; it all struck me, as well as hearing her speak about the book, as especially relevant.It's also wacky and fun, even in it's disturbing nature. I mean, Tom Cruise?! Jellyfish?? Mannequins??? My only criticism of this book is that it felt a bit repetitive in the middle. Because not a lot of action happens in this book, it's mostly Belle uncovering memories and reflecting on things from the past, I think it started to feel sort of redundant about halfway through. But the ending more than makes up for it, in my eyes. Merged :Another strange and enchanting story from Mona Awad. This time diving into the beauty industry, intergenerational trauma, and grief. Belle's mother has recently passed away. She must return from Montreal to San Diego to take care of some things in light of her mother's death. But when she goes home for the first time in years, she gets more than she bargained for. What exactly caused her mother's death? And how can Belle reckon with her childhood, her mother's imposing beauty, and the world that created the image she strives to see in herself, without losing her grip on reality? Only Awad could write the story that unfolds in these pages.I am biased because I love Mona Awad, and I saw her talk about this book in person on her book tour in La Jolla, California (where this book takes place and where she's written a couple of her books now!). So I have an especially personal connection to this book in particular. While it wasn't my favorite of her books, I still really enjoyed it. The atmosphere, the flashing back and forth seamlessly between the past and present, the overall weirdness that she does so well: she's in as fine of form as ever in Rouge. I also felt this was a deeply personal book for Awad herself. The topics of being mixed race, femininity and beauty, mother/daughter relationships; it all struck me, as well as hearing her speak about the book, as especially relevant.It's also wacky and fun, even in it's disturbing nature. I mean, Tom Cruise?! Jellyfish?? Mannequins??? My only criticism of this book is that it felt a bit repetitive in the middle. Because not a lot of action happens in this book, it's mostly Belle uncovering memories and reflecting on things from the past, I think it started to feel sort of redundant about halfway through. But the ending more than makes up for it, in my eyes....more",Notes are private!,0,49,2,Oct 2023not set,"Oct 05, 2023not set","Apr 08, 2024",,Kindle Edition,view (with text),/book/show/157184735-rouge
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Silver Bone        (The Kyiv Mysteries, #1)","Kurkov, Andrey",0063352303,9780063352308,B0C781W4NY,293        pp,3.47,671,2020,"Mar 05, 2024",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Not quite sure how this got nominated for the International Booker Prize, if I'm being honest. It's a 'mystery' (and I use that term lightly because tNot quite sure how this got nominated for the International Booker Prize, if I'm being honest. It's a 'mystery' (and I use that term lightly because the real mystery of the story doesn't start until well over halfway through the novel) set in 1919 Kyiv and follows a young man who, on the first page, witnesses his father's murder and loses one of his own ears. That ear comes into play in a sort of surreal/fantastical way that assists him in his new role as inspector for the police, a job he falls into unexpectedly.It's not quite historical fiction focused solely on recreating a time period and examining its impact on the present day (though the tension of this unstable period in Ukrainian history is surely the best part of the novel), and like I said the mystery elements are quite weak. So I just don't see much substance in this story? I can't quite pin down what this book is trying to do and what the judges saw in it. If I were not trying to read the whole longlist, I probably would've given up on this one by the halfway mark......more",Notes are private!,1,6,1,"Apr 03, 2024","Apr 05, 2024","Apr 03, 2024",,Kindle Edition,view (with text),/book/show/174373630-the-silver-bone
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In Memoriam,"Winn, Alice*",0593467841,9780593467848,0593467841,400        pp,4.55,"21,426","Mar 07, 2023","Mar 19, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Paperback,view,/book/show/179546799-in-memoriam
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Alternatives,"Hughes, Caoilinn*",0593545001,9780593545003,0593545001,352        pp,3.95,37,unknown,"Apr 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 01, 2024",,Hardcover,view,/book/show/192761615-the-alternatives
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Ministry of Time,"Bradley, Kaliane",1668045141,9781668045145,1668045141,352        pp,4.00,795,"May 07, 2024","May 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 01, 2024",,Hardcover,view,/book/show/199798179-the-ministry-of-time
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Simpatía,"Blanco Calderón, Rodrigo*",1911710079,9781911710073,1911710079,239        pp,3.60,170,2020,2024,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I don't have much to say about this book (which is usually a bad sign, but in this case... idk, it's just because I feel like I don't really get it?).I don't have much to say about this book (which is usually a bad sign, but in this case... idk, it's just because I feel like I don't really get it?). It's an easy enough read, well translated, and has some surprising/intriguing moments. But ultimately I'm left a bit underwhelmed. It does make me want to look up more info about Venezuela and understand the historical context of this book which I definitely lacked while reading it....more",Notes are private!,0,7,1,"Apr 06, 2024","Apr 08, 2024","Mar 30, 2024",,Paperback,view (with text),/book/show/209353919-simpat-a
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,What I'd Rather Not Think About,"Posthuma, Jente",1914484711,9781914484711,1914484711,224        pp,3.83,"1,015","May 26, 2020","Jun 08, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"What a surprise this reading experience was! One of those unexpected, totally immersive books that, while I was reading it, I completely forgot that IWhat a surprise this reading experience was! One of those unexpected, totally immersive books that, while I was reading it, I completely forgot that I was reading. I got fully lost in the narrator's story, in her reflections of her relationship to her twin brother, as she ponders what led him to ultimately take his life. There are no easy answers, perhaps no answers at all. But I found the way that Jente Posthuma wrote these vignettes, usually between 1-3 pages at most, of memories or moments from the unnamed narrator's life, creates a sort of mosaic. Each small tile, either a dark or light moment, when you zoom out, crafts a picture of their life spent together as she tries to piece it all together.There's many layers here around identity, bodies (they are twins, but not identical), family, good vs evil, etc. And she explores this through contemporary and historical examples of trauma and tragedy. But the most impactful moments are the ones that are the most simple, personal and raw: recollections of seemingly insignificant days spent with the ones you love....more",Notes are private!,0,36,1,"Apr 05, 2024","Apr 06, 2024","Mar 30, 2024",,Paperback,view (with text),/book/show/61921644-what-i-d-rather-not-think-about
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Undiscovered,"Wiener, Gabriela",,,B0BPSXJ4N9,185        pp,3.96,"3,249",2021,"Sep 26, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Not my jam, sadly. I think there’s a lot of interesting concepts especially regarding bodies & colonization and in a way she is sort of excavating herNot my jam, sadly. I think there’s a lot of interesting concepts especially regarding bodies & colonization and in a way she is sort of excavating her own existence and familial history like her ancestor ‘discovered’ Peru & its culture for a European white audience. But for me the fragmented nature here didn’t let me connect and I felt it tried to do a bit too much in such a short amount of time....more",Notes are private!,0,11,1,"Mar 29, 2024","Mar 30, 2024","Mar 29, 2024",,Kindle Edition,view (with text),/book/show/128577132-undiscovered
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The House on Via Gemito,"Starnone, Domenico",1609459253,,B0BGXKJQT6,461        pp,3.71,582,Apr 2000,"May 30, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A portrait of the artist as an egomaniac. Starnone examines his relationship to his father, a devoted artist and self-centered, toxic abuser. NevertheA portrait of the artist as an egomaniac. Starnone examines his relationship to his father, a devoted artist and self-centered, toxic abuser. Nevertheless, while the author doesn't hold back on depicting the explicitly horrible nature of his father, he also depicts the complicated reality of growing up under the oppressive and inevitably influential gaze of someone so strong-willed. Admiration and accusation, two sides of the same coin. In the early phases of the novel, Starnone expertly exhibits how fragile the peace in a household can be when run by a lothario such as his father. The hypocritical tyrannism of Federi, Starnone's father, creates an environment where every move can be either lauded or ridiculed; living in a constant state of fear, needing to appease his father, renders Starnone almost stagnant in his own development. How can we become who we are in the vacuum of another, especially such a prominent figure of one's father? I struggled a bit to get into this book. It's dense, heady and very repetitive. Perhaps much like living out these experiences would feel. By no means is it enjoyable or pleasant. However, the power of the narrative builds as you go on. And the end of each section—there are three in total, without chapter breaks—hit hard. Starnone really earns the emotional turns each part takes and by the finale I was surprisingly moved. This might not be for everyone, but those who like the gritty Neapolitan depictions in Ferrante's work and the examination of parent/child relationships found in a vulnerable memoir will find something to appreciate, if not always enjoy, in Starnone's modern epic....more",Notes are private!,0,41,1,"Mar 24, 2024","Mar 28, 2024","Mar 24, 2024",,Kindle Edition,view (with text),/book/show/122089804-the-house-on-via-gemito
