,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Cam's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Pokémon Adventures, Vol. 6","Kusaka, Hidenori",1421530597,9781421530598,B01N7MO5ZQ,208        pp,4.40,"2,551","Nov 27, 1999","Apr 06, 2010",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,finished this one so quickso much tension so much build up i can’t wait for the final one !!!!!!!!,Notes are private!,0,2,1,"Mar 29, 2024",Apr 2024,"Mar 29, 2024",,Paperback,view (with text),/book/show/6948858-pok-mon-adventures-vol-6
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Pokémon Adventures, Vol. 5","Kusaka, Hidenori",1421530589,9781421530581,1421530589,216        pp,4.38,"2,937","Apr 26, 1999","Feb 02, 2010",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"a little more brainless. i was kinda happy to see two different illustrations of evil playing out until the very end with the cliffhanger they left mea little more brainless. i was kinda happy to see two different illustrations of evil playing out until the very end with the cliffhanger they left me on. really hoping it’s just a blip and doesn’t evolve into some master master evil org. other than that, give me more yellow, green & bill. blaine is also dad as fuck, excited to see where he goes with his master weapon....more",Notes are private!,0,0,1,"Mar 05, 2024","Mar 26, 2024","Mar 05, 2024",,Paperback,view (with text),/book/show/7068986-pok-mon-adventures-vol-5
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Hours,"Cunningham, Michael*",0312305060,9780312305062,0312305060,230        pp,3.95,"141,240","Jul 31, 1998",Oct 2002,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 02, 2024",,Paperback,view,/book/show/11899.The_Hours
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Open Book,"Simpson, Jessica",,,,416        pp,4.11,"99,953","Feb 04, 2020","Feb 04, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"content is 4 stars, the writing is 2 starsi sadly returned jessica to the library today. I’ve been carrying her around with me for a while now and we’content is 4 stars, the writing is 2 starsi sadly returned jessica to the library today. I’ve been carrying her around with me for a while now and we’re finally through. i loved all the ups and downs we faced together over the past month and a half. i saw her in people at dance class. i saw her in customers at my job. there are so many Jessica Simpsons running around our world and i would like to take part of her spirit with me.It was cool to read about the 3rd most talented blonde pop star from 2000 because being 3rd best feels a lot more relatable than The Best (sorry britney). Like she says, the real her IS a southern girl with her levi’s on and an open heart. it’s exactly what you would expect a jessica simpson memoir to be. i can’t wait to watch her movies.the conversation she was having with me, as a reader, felt jarring sometimes because i forgot that’s what she was going for and the execution was so poor and not weaved throughout at all.i will definitely miss my dates with her tho....more",Notes are private!,2,2,1,"Feb 15, 2024",Apr 2024,"Feb 04, 2024",,Hardcover,view (with text),/book/show/41571753-open-book
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Pokémon Adventures, Vol. 4","Kusaka, Hidenori",1421530570,9781421530574,B06XDKJB12,216        pp,4.36,"3,430","Dec 16, 1998","Dec 01, 2009",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"lemme just say i’ve been a pokémon fan since 2003 and have played and replayed and watched the anime, specifically in kanto, so many times. getting a lemme just say i’ve been a pokémon fan since 2003 and have played and replayed and watched the anime, specifically in kanto, so many times. getting a new story and new protagonist that does not follow the games or anime is doing it for me. it is so nice to explore kanto again but in a fresh way i’ve never experienced before. Yellow is such refreshing and dynamic character (sick of red’s antics and personality); i liked the little backstory we got and can’t wait for more. i love what they’re doing w the elite 4 and makes them feel daunting in the best way possible. Long love the kanto region - i wish the game would b like this...more",Notes are private!,0,3,1,"Feb 03, 2024","Feb 14, 2024","Feb 03, 2024",,Paperback,view (with text),/book/show/7068985-pok-mon-adventures-vol-4
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Idiot,"Batuman, Elif",1594205612,9781594205613,1594205612,423        pp,3.67,"79,394","Mar 14, 2017","Mar 14, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 26, 2024",,Hardcover,view,/book/show/30962053-the-idiot
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lapvona,"Moshfegh, Ottessa",,,B09GW3P1KJ,313        pp,3.54,"60,972","Jun 21, 2022","Jun 21, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"low 4i actually think this would’ve been really really amazing if it was a little longer; i wanted the same depth that ottessa gives her characters inlow 4i actually think this would’ve been really really amazing if it was a little longer; i wanted the same depth that ottessa gives her characters in other books but this one has too many for that in 300 pages. first quarter was really good and then kinda fell off. i feel like the negative s about the book’s grotesqueness are undeserved, that’s half the point. kinda gave saltburn vibes in a good way. ...more",Notes are private!,0,0,1,"Jan 21, 2024","Jan 27, 2024","Jan 21, 2024",,Kindle Edition,view (with text),/book/show/59693959-lapvona
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Diary of Anaïs Nin, Vol. 1: 1931-1934","Nin, Anaïs",0156260255,9780156260251,0156260255,384        pp,4.16,"7,569",unknown,"Mar 19, 1969",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2024",,Paperback,view,/book/show/46064.The_Diary_of_Ana_s_Nin_Vol_1
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,They Can't Kill Us Until They Kill Us,"Abdurraqib, Hanif",,9781937512651,1937512657,291        pp,4.57,"13,698","Nov 14, 2017","Nov 07, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 26, 2023",,Paperback,view,/book/show/33947154-they-can-t-kill-us-until-they-kill-us
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Eileen,"Moshfegh, Ottessa",1594206627,9781594206627,1594206627,260        pp,3.58,"96,241","Aug 18, 2015","Aug 18, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The most 4 stars of 4 starsending was great, twist was great. first 2/3 felt like it could’ve been cut in half and i still would’ve gotten the same thThe most 4 stars of 4 starsending was great, twist was great. first 2/3 felt like it could’ve been cut in half and i still would’ve gotten the same thing out of it. that being said i think it still is worth it. i really liked all the religious nods as the story takes place in the holiday season. good and easy read, i can’t complain.never meet ur heroes...more",Notes are private!,0,2,1,"Dec 22, 2023","Jan 02, 2024","Dec 22, 2023",,Hardcover,view (with text),/book/show/23453099-eileen
