,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,DeEtte's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Meet Me at Midnight,"Pennington, Jessica*",1250187664,9781250187666,1250187664,336        pp,3.88,"4,804","Apr 07, 2020","Apr 07, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 29, 2020",,Hardcover,view,/book/show/45043589-meet-me-at-midnight
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Out of Sorts: Making Peace with an Evolving Faith,"Bessey, Sarah*",1476717583,9781476717586,1476717583,259        pp,4.24,"4,333","Nov 03, 2015","Nov 03, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 02, 2020",not set,"Apr 02, 2020",,Paperback,view,/book/show/23492740-out-of-sorts
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Un-Trumping America: A Plan to Make America a Democracy Again,"Pfeiffer, Dan",1538733560,9781538733561,B07VT2M7W7,306        pp,4.21,"2,650","Feb 18, 2020","Feb 18, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 18, 2020",not set,"Feb 18, 2020",,Kindle Edition,view,/book/show/48557334-un-trumping-america
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Place on Dalhousie,"Marchetta, Melina*",0143793535,9780143793533,0143793535,288        pp,4.16,"3,892","Apr 02, 2019","Apr 02, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 16, 2020",,Paperback,view,/book/show/37592173-the-place-on-dalhousie
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Und Book 2,"Honeyman, Gail",0008172161,9780008172169,0008172161,416        pp,4.02,46,"Sep 12, 2024","Sep 12, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 16, 2020",,Hardcover,view,/book/show/40362337-untitled-book-2
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Curse So Dark and Lonely        (Cursebreakers, #1)","Kemmerer, Brigid*",1681195089,9781681195087,1681195089,484        pp,3.98,"158,135","Jan 29, 2019","Jan 29, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 16, 2020",,Hardcover,view,/book/show/43204703-a-curse-so-dark-and-lonely
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Beautiful        (The Beautiful, #1)","Ahdieh, Renee*",1524738174,9781524738174,1524738174,425        pp,3.66,"35,245","Oct 08, 2019","Oct 08, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 16, 2020",,Hardcover,view,/book/show/42265183-the-beautiful
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Rebel        (Legend, #4)","Lu, Marie*",1250221706,9781250221704,1250221706,376        pp,4.08,"32,023","Oct 01, 2019","Oct 01, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 09, 2020",,Hardcover,view,/book/show/42121526-rebel
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"King of Scars        (King of Scars, #1)","Bardugo, Leigh*",1250142288,9781250142283,,514        pp,4.16,"200,716","Jan 29, 2019","Jan 29, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 09, 2020",,Hardcover,view,/book/show/39804936-king-of-scars
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Serious Moonlight,"Bennett, Jenn*",,,B07GNS1RLY,297        pp,3.70,"10,424","Apr 16, 2019","Apr 16, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 09, 2020",not set,"Jan 09, 2020",,Kindle Edition,view,/book/show/41453055-serious-moonlight
