,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Chana's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Fall of Giants        (The Century Trilogy, #1)","Follett, Ken*",0525951652,9780525951650,0525951652,985        pp,4.31,"323,173","Sep 28, 2010","Sep 28, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 05, 2024",not set,"Mar 05, 2024",,Hardcover,view,/book/show/7315573-fall-of-giants
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ellie's Story,"Cameron, W. Bruce*",0765374692,9780765374691,0765374692,208        pp,4.35,"5,298","Apr 14, 2015","Apr 14, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A good book for middle school age children. It is a fictional account of the life of a search and rescue dog. It is very sweet, educational and positiA good book for middle school age children. It is a fictional account of the life of a search and rescue dog. It is very sweet, educational and positive....more",Notes are private!,0,2,1,"Feb 26, 2024","Mar 04, 2024","Feb 26, 2024",,Hardcover,view (with text),/book/show/22238177-ellie-s-story
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dishwasher: One Man's Quest to Wash Dishes in All Fifty States,"Jordan, Pete",0060896426,9780060896423,0060896426,353        pp,3.61,"1,822","May 01, 2007","May 01, 2007",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Traveling around washing dishes and sleeping on friend's couches is a young man's game or maybe from a different era, the era of the hobo. Pete gets oTraveling around washing dishes and sleeping on friend's couches is a young man's game or maybe from a different era, the era of the hobo. Pete gets older and buys a van so he can vanlife through his goal of washing dishes in all fifty states. Still, once in his mid-thirties, the game is up because he wants to have a home and a wife. Sadly he doesn't complete all fifty states. That was disappointing but in order to do all fifty he would have to have had a plan that listed which states by when; it would have taken the free spirit out of it but would have seen it finished, probably. ...more",Notes are private!,0,0,1,"Feb 19, 2024","Feb 26, 2024","Feb 19, 2024",,Paperback,view (with text),/book/show/827458.Dishwasher
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Belong to Me        (Love Walked In, #2)","Santos, Marisa de los*",0061240273,9780061240270,0061240273,400        pp,3.87,"30,498","Apr 01, 2008","Apr 01, 2008",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Soap opera in the suburbs.,Notes are private!,0,1,1,"Jan 20, 2024","Jan 27, 2024","Jan 20, 2024",,Hardcover,view (with text),/book/show/2113410.Belong_to_Me
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Friction,"Brown, Sandra*",145558116X,9781455581160,145558116X,416        pp,3.98,"29,334","Aug 18, 2015","Aug 18, 2015",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I guess I can't read two Sandra Brown books in a row as I found this one insufferable. It was so unrealistic and not in a fun way. Last week I needed I guess I can't read two Sandra Brown books in a row as I found this one insufferable. It was so unrealistic and not in a fun way. Last week I needed a Sandra Brown book, this week not so much. I don't think I can blame Sandra Brown for this. When I am full to the top with serious topics then I need Sandra Brown. But two in a row? No, that is like two very rich desserts; one is delicious, the next makes you sick. This story involves a man trying to regain custody of his daughter. When he is at the courthouse before the judge a gunman bursts in shooting at the judge. He kills a bailiff (I think that is the correct word but not certain, sorry) but does not succeed in killing the judge (Holly, and she is quite attractive) because Texas Ranger Crawford Hunt jumps over the railing and on top of the judge to prevent her murder. Okay, you have your basic premise; Texas Ranger (tall and lean and heroic) and Judge Holly (attractive, as I already mentioned). ...more",Notes are private!,0,0,1,"Jan 06, 2024","Jan 06, 2024","Jan 06, 2024",,Hardcover,view (with text),/book/show/25114548-friction
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,American Dirt,"Cummins, Jeanine*",,,,459        pp,4.37,"571,491","Jan 21, 2020","Jan 21, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"From the first page I was riveted, fearful and fascinated both. It made me see the violence in Mexico and South America in a different way, much more From the first page I was riveted, fearful and fascinated both. It made me see the violence in Mexico and South America in a different way, much more intimate. I was afraid, had my heart in my throat as Lydia and her son Luca run for their lives. The migrants, the WALL, attitudes on the USA side, the Cartels, the violence, the corruption....it is all complex but here is a take away for Americans; STOP TAKING DRUGS! Drug consumers are throwing this country away! And how are there so many guns in the hands of the cartels? Who is producing all these guns and making them available to every person who can put on a uniform, legit or not and swagger around with their big guns. I'm raving and I probably am wrong about much, but while driving through Baja there were just random groups of armed teens on the side of quiet roads and drivers had to stop and submit to search of vehicles if the guys felt like it. No way to tell if these guys were legit or not, and considering how much corruption there is does ""legit"" count for much? I've been on both sides of the opinions on illegals but one thing I notice is that Mexicans (legal or illegal I don't know) work hard and at jobs that are more taxing, say roofing, road construction, cleaning and child care. The other thing I think about is that the land wasn't originally ours. Life is hardly fair but remembering to be compassionate and putting humanity before rigid rules is what seems right to me. Also, watch out for who you befriend. ...more",Notes are private!,0,2,1,"Jan 06, 2024","Jan 18, 2024","Jan 06, 2024",,Hardcover,view (with text),/book/show/45046527-american-dirt
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Lethal by Brown, Sandra (January 24, 2012) Paperback","Brown, Sandra*",,,B014I7O9P2,0        pp,4.08,"34,566",2011,unknown,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I enjoyed it. I was kind of sick of reading books for challenges and decided to just read something I would enjoy rather than reading something educatI enjoyed it. I was kind of sick of reading books for challenges and decided to just read something I would enjoy rather than reading something educational and serious. It was large print as well which sped up my reading time. I am recovering from surgery and wanted pure relaxation and this book provided it....more,Notes are private!,0,1,1,"Dec 22, 2023","Dec 23, 2023","Dec 23, 2023",,Unknown Binding,view (with text),/book/show/140770135-lethal-by-brown-sandra-january-24-2012-paperback
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Spy in the Ointment,"Westlake, Donald E.",0445408812,9780445408814,0445408812,0        pp,3.76,540,1966,"May 25, 1989",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Amusing. I appreciate Donald Westlake’s facility with language and his clever scenarios.,Notes are private!,0,2,1,"Dec 15, 2023","Dec 19, 2023","Dec 19, 2023",,Paperback,view (with text),/book/show/642496.The_Spy_in_the_Ointment
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Rescue Artist: A True Story of Art, Thieves, and the Hunt for a Missing Masterpiece","Dolnick, Edward",0060531177,9780060531171,,270        pp,3.77,"3,068","Jun 28, 2005","Jun 28, 2005",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"pending... why is this pending? Because I've written two s of this book already and somehow not saved either!! At this point all I can tell you pending... why is this pending? Because I've written two s of this book already and somehow not saved either!! At this point all I can tell you is that the book is good and I recommend it, if your interests run to famous paintings, theft of such and undercover cop work to get said art back. ...more",Notes are private!,0,2,1,"Nov 17, 2023","Dec 14, 2023","Nov 17, 2023",,Hardcover,view (with text),/book/show/478558.The_Rescue_Artist
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Quickening,"Hoover, Michelle*",1590513460,9781590513460,1590513460,215        pp,3.30,"2,193",2010,2010,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The story of two women who live on farms and are each others nearest neighbors. They go through joy and tragedy (mostly tragedy) together. Gave me a vThe story of two women who live on farms and are each others nearest neighbors. They go through joy and tragedy (mostly tragedy) together. Gave me a visceral feeling for what farm life must be like; very difficult. The writing was powerful but it was all so sad, like hopes, dreams and love dashed. ...more",Notes are private!,0,1,1,"Nov 17, 2023","Nov 17, 2023","Nov 17, 2023",,Paperback,view (with text),/book/show/7099827-the-quickening
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Possibility of Everything,"Edelman, Hope*",0345506502,9780345506504,,352        pp,3.61,"1,079","Aug 31, 2009","Sep 15, 2009",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Each person's life experiences are their own. I am not going to comment on Hope's choices but I will say that I am glad Maya is doing better and that Each person's life experiences are their own. I am not going to comment on Hope's choices but I will say that I am glad Maya is doing better and that Dodo has gone back to wherever he came from. ...more,Notes are private!,0,2,1,"Oct 30, 2023","Nov 17, 2023","Oct 30, 2023",,Hardcover,view (with text),/book/show/6539497-the-possibility-of-everything
